root_label,time,method,model,cluster,marker_count,overlap_count,overlap_ratio,processed_genes
"overlap filter ratio=0, resolution=1.0, kmeans n=10",0,kmeans,logreg,2,75,7,0.09333333333333334,"['apoc1.like', 'lum', 'apoe', 'krt12', 'lum', 'col5a3.like', 'postn', 'ly6g6c', 'loc100049121', 'krt5.7', 'Xelaev18016080m.g', 'krt12', 'Xelaev18047430m.g', 'loc100490088', 'c2orf40', 'col1a2', 'btg2', 'postn', 'loc101734526', 'col2a1', 'Xelaev18045052m.g', 'kera', 'vwa2', 'Xelaev18017960m.g', 'cldn6.1', 'frem2.1', 'fn1', 'col5a3.like', 'ptrf', 'sp9', 'epyc', 'Xetrov90029035m', 'loc100127750', 'krt', 'msmb.3', 'krt16', 'efemp2', 'lama1', 'Xelaev18047462m.g', 'fabp3', 'gad1.2', 'Xelaev18026267m.g', 'loc100497390', 'optc', 'egfl6', 'col27a1', 'mmp8', 'emx2', 'fos', 'Xetrov90005752m', 'pltp', 'ets2', 'cldn6.2', 'nid2', 'cotl1', 'Xelaev18005287m.g', 'msx1', 'kpna2', 'stc2', 'hes9.1', 'c3', 'rspo2', 'tnf', 'fgf7', 'loc100497848', 'Xelaev18013621m.g', 'mmp19.like.2', 'vcan', 'hes9.2', 'ackr3', 'prss36', 'ccnb1.2', 'ramp3', 'lmo7', 'slit2']"
"overlap filter ratio=0, resolution=1.0, kmeans n=10",0,kmeans,svm,2,75,3,0.04,"['Xelaev18047453m.g', 'lyar', 'Xelaev18001105m.g', 'col5a3.like', 'krt12', 'Xelaev18003734m.g', 'mmp8', 'Xelaev18045083m.g', 'postn', 'Xelaev18040492m.g', 'txn', 'ftmt', 'loc100490088', 'Xelaev18002241m.g', 'mmp19.like.2', 'pck1', 'serpinf1', 'thbs4', 'krt5.7', 'epgn', 'apoc1.like', 'twist1', 'krt16', 'lum', 'postn', 'ctsb', 'loc101734526', 'tnc.like', 'Xelaev18017960m.g', 'Xelaev18045052m.g', 'mmp8', 'c2orf40', 'clec11a', 'Xetrov90030519m', 'krt12', 'sp9', 'sox9', 'slc25a5', 'Xelaev18016080m.g', 'atf3', 'loc100491930', 'apoe', 'zswim4', 'loc100049121', 'loc100487362.1', 'Xelaev18017913m.g', 'akap12', 'msmb.3', 'efemp2', 'msln', 'vim', 'Xelaev18022528m.g', 'dlx5', 'fam83b', 'loc100127750', 'hes6.1', 'krt', 'ecm1', 'bmp5', 'Xelaev18032450m.g', 'col5a3.like', 'efemp1', 'ecm2.1', 'Xelaev18022531m.g', 'col27a1', 'col3a1', 'vgll1', 'Xelaev18020205m.g', 'loc100497390', 'btg2', 'loc100494822', 'Xelaev18015757m.g', 'loc100494515.like', 'Xelaev18040854m.g', 'dse']"
"overlap filter ratio=0, resolution=1.0, kmeans n=10",0,kmeans,xgboost,2,75,2,0.02666666666666667,"['apoe', 'lum', 'ccdc80', 'apoc1.like', 'ly6g6c', 'loc100497729', 'pltp', 'Xelaev18034081m.g', 'Xelaev18045083m.g', 'nid1', 'loc100497729', 'cdh11', 'pck1', 'krt12', 'col5a3.like', 'thbs4', 'slc25a5', 'Xetrov90029035m', 'atp6v0e2', 'Xelaev18040492m.g', 'col1a2', 'loc100490088', 'krt12', 'mmp19.like.2', 'mal', 'loc101734526', 'col3a1', 'frem2.1', 'atp6v0c', 'col9a2', 'tnn', 'atp1b3', 'krt5.7', 'bcl2l10', 'Xelaev18045052m.g', 'loc100494945', 'Xelaev18025511m.g', 'itgbl1', 'bmp2', 'pck1', 'loc100127750', 'agr2', 'Xelaev18017960m.g', 'ca2', 'Xelaev18047430m.g', 'Xelaev18016080m.g', 'lama1', 'atf3', 'mmp8', 'Xelaev18003734m.g', 'vwa2', 'postn', 'Xetrov90010969m', 'fn1', 'c2orf40', 'txn', 'serpinf1', 'Xelaev18040854m.g', 'loc100492954', 'ftmt', 'ctsb', 'calm2', 'calm2', 'col2a1', 'loc100491930', 'mespa', 'fah', 'uaca', 'loc101732997', 'acan', 'loc100491594', 'mesp2', 'rhcg', 'mespb', 'cttn.like.1']"
"overlap filter ratio=0, resolution=1.0, kmeans n=10",0,leiden,logreg,12,75,10,0.13333333333333333,"['apoc1.like', 'fn1', 'cldn6.1', 'krt', 'Xetrov90029035m', 'frem2.1', 'krt16', 'vcan', 'Xelaev18017960m.g', 'Xelaev18026267m.g', 'hmcn1', 'loc100127750', 'krt5.7', 'fgfbp1', 'mmp3', 'btg2', 'cldn6.2', 'optc', 'loc100049121', 'lama1', 'megf6', 'itgbl1', 'nid2', 'mmp8', 'efemp2', 'ly6g6c', 'krt16', 'Xelaev18001105m.g', 'loc100490088', 'bmp2', 'unc5b', 'atf3', 'psap', 'loc100488523', 'fbn2', 'pnhd', 'mmp8', 'egfl6', 'fos', 'krt12', 'fbn2', 'bmp5', 'lum', 'Xelaev18005287m.g', 'twsg1', 'msx2', 'cgref1', 'txn', 'fos', 'fam83b', 'bmp2', 'pltp', 'lpar3', 'lmx1b.1', 'Xetrov90011361m', 'lrrn4cl', 'mxra5', 'loc101734526', 'mmp19.like.2', 'Xelaev18038969m.g', 'col27a1', 'lsp1', 'gpi', 'Xelaev18007945m.g', 'atp1b3', 'ecm2.1', 'msx1', 'ackr3', 'cxcl14', 'mxra8', 'Xelaev18003734m.g', 'sp9', 'thbs1', 'cdc42ep3', 'fst']"
"overlap filter ratio=0, resolution=1.0, kmeans n=10",0,leiden,svm,12,75,6,0.08,"['postn', 'calm2', 'postn', 'krt16', 'loc100494945', 'Xelaev18026267m.g', 'Xelaev18040492m.g', 'krt', 'loc100494786', 'fn1', 'cldn6.1', 'Xelaev18016080m.g', 'vcan', 'Xetrov90029035m', 'hmcn1', 'Xelaev18045083m.g', 'mmp19.like.2', 'Xelaev18009504m.g', 'frem2.1', 'ca2', 'Xelaev18047462m.g', 'ftmt', 'itgbl1', 'Xelaev18035220m.g', 'Xelaev18002241m.g', 'entpd2', 'apoe', 'atf3', 'areg', 'Xelaev18040854m.g', 'loc101733581', 'npnt', 'calm2', 'pnhd', 'Xelaev18005287m.g', 'apoc1.like', 'btg2', 'sp9', 'loc100127750', 'msx2', 'krt12', 'efemp2', 'unc5b', 'Xetrov90011361m', 'krt16', 'Xelaev18017960m.g', 'krt5.7', 'col27a1', 'elf3', 'c3orf52.like', 'col5a3.like', 'loc100488523', 'Xetrov90018123m', 'atp1b3', 'loc101732997', 'cldn6.2', 'bmp5', 'Xelaev18047430m.g', 'Xetrov90010969m', 'bmp2', 'hes6.1', 'loc100494515.like', 'pltp', 'loc100497729', 'ecm2.1', 'loc100494099', 'fos', 'aldoa', 'cxcl8', 'pde4b', 'lama1', 'tfcp2l1', 'col6a1', 'mmp3', 'otog']"
"overlap filter ratio=0, resolution=1.0, kmeans n=10",0,leiden,xgboost,12,75,6,0.08,"['Xetrov90029035m', 'col1a2', 'krt16', 'fn1', 'krt12', 'mmp3', 'apoc1.like', 'psca', 'krt5.7', 'frem2.1', 'krt', 'optc', 'cdc42ep3', 'Xelaev18026267m.g', 'btg2', 'col27a1', 'krt16', 'postn', 'Xelaev18040492m.g', 'cpa6', 'Xelaev18032450m.g', 'Xetrov90026938m', 'atf3', 'postn', 'zswim4', 'mmp8', 'col5a3.like', 'loc100487364', 'pltp', 'loc100494945', 'cldn6.2', 'vcan', 'ccdc3', 'atp6v0c', 'loc100049121', 'cldn6.1', 'pmp22', 'msx2', 'stc2', 'lpar3', 'lama1', 'loc100127564', 'loc100490088', 'nid2', 'Xelaev18040854m.g', 'efemp2', 'lum', 'tgfb2', 'megf6', 'unc5b', 'Xelaev18017960m.g', 'mmp19.like.2', 'krt', 'itgbl1', 'calm2', 'Xelaev18003734m.g', 'col2a1', 'fos', 'lum', 'txn', 'krt12', 'Xelaev18001105m.g', 'vwa2', 'ets2', 'Xetrov90018123m', 'bmp2', 'scg3', 'ctsh', 'acan', 'duox1', 'chrna7', 'wdr72', 'Xelaev18018196m.g', 'fam159a', 'bcl2l10']"
"overlap filter ratio=0, resolution=1.0, kmeans n=10",0,louvain,logreg,13,75,18,0.24,"['fn1', 'apoc1.like', 'krt5.7', 'Xelaev18036372m.g', 'nid2', 'Xetrov90029035m', 'krt16', 'mmp19.like.2', 'frem2.1', 'krt16', 'unc5b', 'lpar3', 'vcan', 'lama1', 'pltp', 'ly6g6c', 'krt12', 'krt12', 'krt', 'rspo2', 'fbn2', 'megf6', 'vwa2', 'mmp3', 'Xelaev18045649m.g', 'Xelaev18047430m.g', 'bmp5', 'cpa6', 'sp9', 'rspo2', 'fgf7', 'Xetrov90011359m', 'krt', 'cldn6.1', 'btg2', 'msx1', 'Xelaev18038969m.g', 'dlx2', 'ackr3', 'fgf9', 'loc100497848', 'Xelaev18007945m.g', 'ftmt', 'itgbl1', 'cpa6', 'hes3.3', 'loc100497154', 'loc100494515.like', 'prss35', 'Xelaev18045052m.g', 'fn1', 'c3', 'vwde', 'loc100490088', 'fbn3', 'pmp22', 'col27a1', 'tgfb2', 'loc100492954', 'psap', 'Xelaev18037602m.g', 'mmp8', 'prss36', 'lamb2', 'mxra5', 'Xelaev18026756m.g', 'enpp2', 'ackr3', 'cldn6.2', 'aldob', 'Xelaev18016663m.g', 'loc100491791', 'pzp', 'tspear', 'loc101732997']"
"overlap filter ratio=0, resolution=1.0, kmeans n=10",0,louvain,svm,13,75,9,0.12,"['fn1', 'Xetrov90018123m', 'c2orf40', 'postn', 'ca2', 'Xelaev18045083m.g', 'postn', 'mmp19.like.2', 'Xelaev18036372m.g', 'nid2', 'unc5b', 'rspo2', 'cdc42ep3', 'slc25a5', 'megf6', 'krt5.7', 'loc101734526', 'nid1', 'bmp2', 'col1a2', 'atf3', 'loc100494945', 'loc100049121', 'vcan', 'jag1', 'krt', 'krt8', 'tac1', 'tnc.like', 'ctgf', 'prss36', 'Xelaev18040854m.g', 'krt12', 'c8orf4', 'Xelaev18034081m.g', 'krt16', 'tnc.like', 'fbn2', 'zswim4', 'fgf7', 'msx1', 'vwa2', 'rspo2', 'areg', 'col5a3.like', 'c3', 'loc100494515.like', 'cldn6.1', 'bmp5', 'c9', 'Xelaev18009504m.g', 'mybph', 'colgalt1', 'foxr1', 'ly6g6c', 'cpa6', 'Xelaev18045052m.g', 'apoe', 'hes3.3', 'itgbl1', 'bmp2', 'insig1', 'Xelaev18007945m.g', 'loc100497103', 'calm2', 'Xelaev18037602m.g', 'msmb.3', 'plac9', 'loc100127750', 'krt19', 'Xelaev18001105m.g', 'mxra8', 'msx2', 'cotl1', 'loc100490088']"
"overlap filter ratio=0, resolution=1.0, kmeans n=10",0,louvain,xgboost,13,75,10,0.13333333333333333,"['krt5.7', 'fn1', 'Xetrov90029035m', 'loc100049121', 'pltp', 'krt12', 'sp9', 'Xelaev18017960m.g', 'nid2', 'mmp3', 'frem2.1', 'Xetrov90018123m', 'c2orf40', 'gjb2', 'loc101734526', 'cpa6', 'mmp19.like.2', 'postn', 'krt', 'fgf7', 'atf3', 'fgf9', 'krt12', 'lpar3', 'krt16', 'lama1', 'ly6g6c', 'cdc42ep3', 'mxra5', 'vwa2', 'pdgfd', 'rspo2', 'lsp1', 'Xelaev18045649m.g', 'Xelaev18003734m.g', 'apoc1.like', 'Xelaev18036372m.g', 'optc', 'unc5b', 'megf6', 'efemp2', 'col5a3.like', 'rhcg', 'loc100491594', 'acan', 'mespa', 'rassf2', 'uaca', 'fah', 'rab11fip1', 'nif', 'loc100486730', 'neurl3', 'Xelaev18018612m.g', 'pgam2', 'mesp2', 'loc101734287', 'mespb', 'rbpms2', 'fgl2', 'ucma', 'ccdc3', 'loc101732997', 'Xelaev18017913m.g', 'lep', 'cttn.like.1', 'pstpip1', 'Xelaev18018009m.g', 'pkm', 'sema7a', 'rora', 'scamp4', 'loc100491930', 'ctsl', 'ctsh']"
"overlap filter ratio=0, resolution=1.0, kmeans n=10",1,kmeans,logreg,1,75,4,0.05333333333333334,"['col1a1', 'col1a1', 'krt12', 'col1a2', 'Xelaev18016080m.g', 'apoe', 'loc101734526', 'loc100049121', 'cldn6.1', 'apoc1.like', 'dcn', 'ly6g6c', 'kera', 'loc100494786', 'dcn', 'col14a1', 'mmp8', 'cpz', 'col1a2', 'Xelaev18038148m.g', 'mmp8', 'postn', 'loc100491788', 'tfap2b', 'ereg', 'Xelaev18009504m.g', 'frem2', 'lgals4', 'col11a1.like', 'col4a5', 'sema3b', 'igfbp2', 'ppp1r3c.2', 'col14a1', 'cfp', 'cldn6.2', 'bcam', 'itgb4', 'il13ra2', 'fermt1', 'Xetrov90018123m', 'htra4', 'lamb4', 'snai2', 'areg', 'zswim4', 'alcam', 'net1', 'Xetrov90028350m', 'ccl42d', 'egfl6', 'loc100490088', 'ogn', 'Xelaev18034830m.g', 'lama5', 'col2a1', 'bambi', 'ccl4', 'areg', 'prdm1', 'sall4', 'clca3p.like', 'cnn1', 'krt16', 'loc100490088', 'Xelaev18041402m.g', 'cotl1', 'klf2', 'mmp11', 'fras1', 'lamb1', 'plk2', 'ctgf', 'prdm1', 'Xetrov90028350m']"
