root_label,time,method,model,cluster,marker_count,overlap_count,overlap_ratio,processed_genes
"overlap filter ratio=0, resolution=1.0, kmeans n=10",0,leiden,logreg,0,75,1,0.013333333333333334,"['Xelaev18002241m.g', 'ca2', 'Xelaev18017913m.g', 'fos', 'btg2', 'crip1', 'fos', 'foxr1', 'rdh10', 'hpd.like.1', 'tnc.like', 'act3', 'tcn2', 'loc100496216', 'vim', 'ptrf', 'stmn2', 'fabp7', 'cebpa', 'unnamed.S.7', 'sncg', 'mbnl1', 'znfx1', 'sfrp2', 'pltp', 'hgd', 'Xelaev18009066m.g', 'pmel.like', 'atp6v1d', 'gas2', 'tgfb2', 'loc100497729', 'tnfsf10l', 'act3', 'aldob', 'Xelaev18045306m.g', 'phldb3', 'Xelaev18022531m.g', 'cadps', 'loc100170419', 'atp6v0a4', 'ccdc3', 'cndp2', 'akap12', 'cd34', 'ucma', 'dstn', 'loc100493381', 'cldn6.2', 'atp6v1g2', 'rab11fip1', 'loc101731311', 'cyp26a1', 'Xetrov90011359m', 'plvap', 'atp6v1h', 'nefm', 'loc100494822', 'fbp1', 'loc100494515.like', 'sncb', 'myog', 'Xelaev18031834m.g', 'aldoa', 'Xelaev18045938m.g', 'col8a1', 'slc26a10', 'ndrg1', 'slurp1l', 'loc101733140', 'Xelaev18014807m.g', 'ebf3', 'ism1', 'Xetrov90018212m', 'nmral1']"
"overlap filter ratio=0, resolution=1.0, kmeans n=10",0,leiden,logreg,1,75,0,0.0,"['ramp3', 'crip1', 'Xelaev18034081m.g', 'krt12', 'lum', 'Xelaev18016867m.g', 'krt19', 'enkur', 'atp1b3', 'tac1', 'loc101734526', 'ctsl', 'hes6.1', 'col27a1', 'aplp1', 'Xelaev18047453m.g', 'tnn', 'Xelaev18009504m.g', 'col2a1', 'krt12', 'ca2', 'enpp2', 'ube2c', 'actn3', 'Xelaev18022529m.g', 'c2orf40', 'pfkfb4', 'crp.4', 'eln2', 'ptx3', 'col1a2', 'pc', 'lect1', 'myh1.3.1', 'pde4b', 'ftmt', 'col9a2', 'pnhd', 'pdzk1ip1', 'twist1', 'Xelaev18036002m.g', 'prss57', 'lum', 'myh1.2.1', 'epx', 'tuba1b', 'Xelaev18045649m.g', 'ndrg4', 'snap91', 'arhgdib', 'ywhag', 'loc100497338.like', 'Xelaev18044446m.g', 'serpinb1', 'art5', 'gng3', 'loc100495760', 'cck', 'nefm', 'cfl2', 'arsi', 'Xetrov90029035m', 'atp6v1c2', 'loc100496565', 'rasl11b', 'Xelaev18026267m.g', 'krt16', 'serpinf1', 'ca2', 'loc100137672', 'eln1', 'c2orf50', 'col5a3.like', 'pgd', 'Xelaev18002241m.g']"
"overlap filter ratio=0, resolution=1.0, kmeans n=10",0,leiden,logreg,2,75,0,0.0,"['Xelaev18047453m.g', 'prph', 'lyar', 'tnni2', 'atp6v0c', 'atp6v1h', 'Xelaev18045083m.g', 'tuba1b', 'ccl42d', 'bcl2l10', 'atp6v1d', 'ccnb1.2', 'ckm', 'ache', 'Xelaev18001105m.g', 'cenpv', 'sncg', 'calm2', 'rrad', 'atp6v0b', 'rtbdn', 'mybph', 'slc25a5', 'chga', 'Xelaev18036345m.g', 'Xelaev18037602m.g', 'ctsb', 'gsta4', 'pax6', 'loc101735282', 'fam212a', 'lbh', 'Xelaev18022529m.g', 'entpd2', 'cda', 'cystm1', 'crp.4', 'pgm1', 'pkm', 'unnamed.S.5', 'mcam', 'tst', 'snap25', 'myh8.like', 'hes5_X2', 'esr.5', 'Xetrov90018212m', 'slc6a17', 'suclg2', 'Xelaev18031834m.g', 'cldn5', 'mmp1', 'shh', 'serpinb6', 'Xelaev18045307m.g', 'twist1', 'ramp3', 'hes9.1', 'Xelaev18022082m.g', 'ptpn6', 'pgam1', 'bcan', 'ccl34', 'fabp4', 'scg2', 'msgn1', 'rbp1', 'tal1', 'myo10', 'Xelaev18027791m.g', 'Xelaev18024665m.g', 'Xelaev18026267m.g', 'pih1d3', 'Xelaev18047462m.g', 'ccr3']"
"overlap filter ratio=0, resolution=1.0, kmeans n=10",0,leiden,logreg,3,75,3,0.04,"['apoc1.like', 'btg2', 'loc100049121', 'postn', 'nid1', 'fos', 'krt5.7', 'loc101734526', 'cldn6.1', 'Xelaev18016080m.g', 'postn', 'col5a3.like', 'loc100497390', 'tnc.like', 'Xelaev18009504m.g', 'lum', 'Xelaev18013621m.g', 'mmp19.like.2', 'col2a1', 'Xelaev18007945m.g', 'mmp8', 'lum', 'loc101732997', 'efemp1', 'Xelaev18045052m.g', 'ppargc1b', 'crip1', 'mmp8', 'dlx5', 'gng3', 'cldn6.1', 'ucma', 'Xetrov90007079m', 'optc', 'c2orf40', 'ggh', 'prss36', 'dlx2', 'cxcl8', 'Xelaev18038145m.g', 'stat1', 'col1a2', 'kera', 'ecm2.1', 'col5a3.like', 'fos', 'krt2l', 'emx2', 'nr4a2', 'ndrg4', 'krt75', 'pgam1', 'gmds', 'Xelaev18017960m.g', 'Xetrov90005752m', 'pdgfd', 'epyc', 'gstz1', 'sp9', 'cyp26a1', 'rab6a', 'loc100489067', 'Xetrov90005752m', 'lgmn', 'stap2.like', 'tst', 'ppm1l', 'rnf128', 'f2rl3', 'nmral1', 'aldob', 'itgax', 'bgn', 'ch25h', 'tspear']"
"overlap filter ratio=0, resolution=1.0, kmeans n=10",0,leiden,logreg,4,75,0,0.0,"['Xetrov90018123m', 'Xelaev18040854m.g', 'loc100494945', 'ly6g6c', 'mal', 'Xelaev18045649m.g', 'atp12a.like', 'Xelaev18035220m.g', 'slc25a5', 'Xelaev18034081m.g', 'pck1', 'loc100497729', 'psca', 'loc100487364', 'krt16', 'Xelaev18032450m.g', 'agr2', 'slitrk6', 'loc100490489', 'txn', 'Xelaev18035501m.g', 'ndrg1', 'Xelaev18028467m.g', 'loc101735282', 'loc100497729', 'ftmt', 'degs3', 'upk3b', 'fam83b', 'loc100495760', 'Xelaev18001618m.g', 'syt8', 'Xelaev18043641m.g', 'gjb2', 'loc100494072.like', 'rhpn2', 'gcm1', 'sh2d4a', 'pde4b', 'loc100487362.1', 'itln1', 'Xelaev18015037m.g', 'klf5', 'siae', 'ifnlr1', 'Xelaev18040492m.g', 'grhl3', 'golm1', 'Xetrov90027649m', 'Xelaev18034078m.g', 'loc100497338.like', 'loc101731311', 'hsd17b11', 'loc101735110', 'loc100494099', 'upk1a', 'dse', 'loc100494753', 'loc100488697', 'loc100493503.like', 'Xelaev18012141m.g', 'prss8', 'Xelaev18027466m.g', 'loc100492852', 'loc101733516.like', 'Xetrov90011359m', 'krt16', 'rab11fip1', 'upk2', 'atp12a.like.1', 'fos', 'atp13a.like', 'tfcp2l1', 'tspan1', 'loc101735282']"
"overlap filter ratio=0, resolution=1.0, kmeans n=10",0,leiden,logreg,5,75,1,0.013333333333333334,"['loc101734526', 'Xetrov90018123m', 'crip1', 'c2orf40', 'loc100494786', 'Xelaev18000469m.g', 'krt12', 'fbln7', 'krt19', 'fam212a', 'mmp8', 'loc100489839.like', 'col2a1', 'Xetrov90018123m', 'Xetrov90029035m', 'krt16', 'Xelaev18047430m.g', 'krt12', 'bmp2', 'sult2b1', 'ctsb', 'col11a2p1', 'col6a2', 'col5a3.like', 'kpna2', 'Xelaev18009504m.g', 'loc101735282', 'col22a1.like.2', 'loc101733581', 'apcdd1', 'Xelaev18041553m.g', 'postn', 'Xetrov90020904m', 'loc100494822', 'fgfbp1', 'cxcl14', 'Xelaev18020205m.g', 'loc100490816', 'lum', 'loc100490088', 'lum', 'cyp26a1', 'cyp26c1', 'ets2', 'tuba1b', 'muc1', 'Xelaev18045052m.g', 'ptrf', 's100z', 'tnc.like', 'Xelaev18008278m.g', 'foxr1', 'baz2b', 'Xelaev18047861m.g', 'ly6g6c', 'scnn1b', 'ftmt', 'lamb2', 'npnt', 'postn', 'oaf', 'stmn2', 'mmp8', 'esr.5', 'c8orf4', 'tac1', 'ptafr', 'cotl1', 'Xelaev18016867m.g', 'zfhx4', 'Xelaev18038969m.g', 'pxdn', 'neurl1b', 'hes3.3', 'gpi']"
"overlap filter ratio=0, resolution=1.0, kmeans n=10",0,leiden,logreg,6,75,0,0.0,"['stmn2', 'sncb', 'Xelaev18018196m.g', 'pcp4', 'gap43', 'calm2', 'Xelaev18020203m.g', 'snap25', 'mllt11', 'stmn2', 'abat', 'nell2', 'cplx2', 'epb41l3', 'atp1b3', 'btg2', 'fos', 'amph', 'fos', 'gng3', 'ctsb', 'calm2', 'sncb', 'ckb', 'snap25', 'esrrg', 'tnni1.2', 'cystm1', 'stmn3', 'syt1.like', 'stmn4', 'mllt11', 'prima1.like', 'fstl5', 'nefm', 'atp2b2.like', 'nova1', 'Xelaev18037480m.g', 'Xelaev18001525m.g', 'gpm6a', 'baz2b', 'stmn4', 'mgat4c', 'Xelaev18017913m.g', 'Xelaev18004547m.g', 'mgst3', 'paqr9', 'elavl4', 'rtn1', 'slc25a5', 'elavl4', 'rab6a', 'aldoa', 'atp6v0e2', 'cplx2', 'slc32a1', 'atp6v0c', 'chga', 'ywhag', 'cpe', 'kif5a', 'Xelaev18018009m.g', 'rtn1', 'sox9', 'vip', 'cxcr4', 'spock2', 'lppr1', 'aldoc', 'tubb3', 'twist1', 'loc100488682', 'sez6l2', 'cck', 'tac1']"
"overlap filter ratio=0, resolution=1.0, kmeans n=10",0,leiden,logreg,7,75,0,0.0,"['krt19', 'crip1', 'loc100490646', 'krt8', 'cldn5', 'Xelaev18015757m.g', 'iqca1', 'loc100490646', 'hes5.1', 'cldn5', 'olig2', 'duox1', 'loc100494945', 'gdf10', 'neurog1', 'dnali1', 'loc100497528', 'Xelaev18047430m.g', 'hes5.2', 'c1orf158', 'slc1a3', 'fam181a', 'Xetrov90011359m', 'cxcr4', 'hes3.3', 'Xelaev18037602m.g', 'npr3', 'Xelaev18019895m.g', 'loc101731645', 'msi1', 'hes6.2', 'krt18', 'Xelaev18024815m.g', 'sox3', 'slc1a3', 'efcab1', 'sox1', 'msi1', 'tuba1b', 'matn4', 'Xelaev18045052m.g', 'rbp1', 'itln1', 'cldn6.2', 'c17orf58', 'zic5', 'ftmt', 'hes6.1', 'slc25a5', 'lgmn', 'loc100496911', 'hes3.3', 'ckb', 'c15orf26', 'c2orf50', 'neurog3', 'tnc.like', 'nkx2.8', 'gap43', 'ccnb1.2', 'fabp7', 'hes5_X2', 'nova1', 'hes8', 'Xelaev18003734m.g', 'tubb2b', 'hes5.1', 'sall4', 'krt16', 'tepp', 'Xelaev18001105m.g', 'Xelaev18022529m.g', 'pih1d3', 'myl1', 'ngfr']"
"overlap filter ratio=0, resolution=1.0, kmeans n=10",0,leiden,logreg,8,75,0,0.0,"['dlx5', 'insig1', 'Xelaev18002241m.g', 'Xelaev18045083m.g', 'ucma', 'btg2', 'ca2', 'thtpa', 'twsg1', 'atp6v1h', 'Xelaev18034843m.g', 'atp1b3', 'Xelaev18045301m.g', 'fos', 'cldn6.1', 'mcam', 'pgam1', 'Xelaev18047462m.g', 'atp12a.like', 'col11a2p1', 'loc100049121', 'Xelaev18017960m.g', 'Xelaev18019895m.g', 'col9a1', 'tnnc2', 'tal1', 'Xelaev18044758m.g', 'Xelaev18040329m.g', 'chgb', 'Xelaev18036117m.g', 'pdgfra', 'lama4', 'fbp1', 'twist1', 'amph', 'loc100490088', 'glul.like.1', 'atp6v1e1', 'gpi', 'arhgdib', 'Xelaev18041553m.g', 'tnnt3', 'Xelaev18034929m.g', 'cst3', 'nr4a2', 'Xelaev18020205m.g', 'qdpr', 'map1b', 'cav1', 'atp6v0c', 'Xelaev18020998m.g', 'gmds', 'Xelaev18018927m.g', 'loc100494822', 'prph', 'loc100490489', 'prox1', 'hes3.3', 'atp6v0b', 'nova1', 'clca3p.like', 'hes9.1', 'loc100494515.like', 'cldn19', 'postn', 'lrrn4cl', 'pgd', 'Xelaev18035220m.g', 'col4a2', 'atf3', 'tkt', 'Xelaev18034078m.g', 'hes5_X2', 'foxi1', 'insm1']"
"overlap filter ratio=0, resolution=1.0, kmeans n=10",0,leiden,logreg,9,75,1,0.013333333333333334,"['Xelaev18047453m.g', 'Xelaev18003734m.g', 'Xelaev18001105m.g', 'Xelaev18045083m.g', 'Xelaev18047462m.g', 'btg2', 'fos', 'fos', 'sdsl', 'lyar', 'calm2', 'vim', 'ism1', 'loc100497848', 'calm2', 'atp6v1e1', 'stat1', 'tnnt3', 'ckm', 'Xelaev18047609m.g', 'sncb', 'actc1', 'hes5.2', 'Xelaev18040313m.g', 'tnni2', 'ctgf', 'hbg1', 'Xelaev18047430m.g', 'Xelaev18031834m.g', 'myl1', 'ccnb1.2', 'Xelaev18041711m.g', 'spink2', 'Xelaev18034615m.g', 'Xelaev18019512m.g', 'cotl1', 'rln3', 'slc10a4', 'ube2c', 'stmn2', 'atf3', 'jag1', 'loc101732654.like', 'Xelaev18020203m.g', 'Xelaev18032295m.g', 'hes6.1', 'loc100490646', 'ripply2.1', 'atp1a3', 'cldn6.1', 'Xelaev18034081m.g', 'igf2', 'tal1', 'nkx6.2', 'ywhag', 'loc100493992', 'enkur', 'myh7B', 'MGC75582', 'ache', 'serpinf1', 'prph', 'smad6.2', 'tubb2b', 'tpm2', 'scamp4', 'act3', 'clca3p.like', 'nrp2', 'pdzrn4', 'chrna2', 'stmn3', 'tcn2', 'mnx1', 'golm1']"
