root_label,time,method,strong_genes,strong_count
"overlap filter ratio=0, resolution=2.0, kmeans n=45",0,kmeans,"['fgf9', 'loc100494515.like', 'lum', 'egfl6', 'pltp', 'msx1', 'fos', 'jchain', 'loc100497848', 'sp9', 'fabp3', 'mxra5', 'cpa6', 'Xelaev18017960m.g', 'Xelaev18044182m.g', 'apoc1.like', 'ets2', 'krt12', 'fn1', 'ucma', 'pmp22', 'nid2', 'mmp3', 'c3', 'ly6g6c', 'twsg1', 'loc100488523', 'rspo2', 'krt5.7', 'vwde', 'frem2.1', 'Xetrov90029035m', 'krt', 'fgf7', 'msx2', 'Xelaev18026267m.g', 'aebp1', 'loc100497154', 'Xelaev18043128m.g', 'Xelaev18041553m.g', 'slc25a5', 'loc100127750', 'postn', 'loc100049121', 'Xetrov90018123m', 'c2orf40']",46
"overlap filter ratio=0, resolution=2.0, kmeans n=45",0,leiden,"['mmp19.like.2', 'Xelaev18045052m.g', 'loc100494515.like', 'pltp', 'lama1', 'msx1', 'bmp2', 'loc100497848', 'sp9', 'Xelaev18045649m.g', 'efemp2', 'lpar3', 'Xelaev18017960m.g', 'ccdc3', 'apoc1.like', 'vwa2', 'krt12', 'fn1', 'krt16', 'unc5b', 'cldn6.1', 'ackr3', 'nid2', 'mmp3', 'ly6g6c', 'twsg1', 'rspo2', 'krt5.7', 'frem2.1', 'Xelaev18036372m.g', 'Xetrov90029035m', 'krt', 'Xelaev18047430m.g', 'enpp2', 'vcan', 'prss35', 'Xelaev18017913m.g', 'Xelaev18043128m.g', 'bmp5', 'slc25a5', 'Xelaev18003734m.g', 'postn', 'loc101732997', 'loc101734526', 'loc100049121', 'Xetrov90018123m', 'c2orf40']",47
"overlap filter ratio=0, resolution=2.0, kmeans n=45",0,louvain,"['mmp19.like.2', 'Xelaev18045052m.g', 'fgf9', 'loc100494515.like', 'pltp', 'lama1', 'msx1', 'Xelaev18003734m.g', 'bmp2', 'sp9', 'Xelaev18045649m.g', 'prss36', 'cpa6', 'loc100490088', 'itgbl1', 'Xelaev18017960m.g', 'apoc1.like', 'vwa2', 'krt12', 'fbn2', 'fn1', 'krt16', 'unc5b', 'cldn6.1', 'nid2', 'mmp3', 'c3', 'ly6g6c', 'megf6', 'rspo2', 'krt5.7', 'mxra8', 'frem2.1', 'Xelaev18036372m.g', 'Xelaev18001105m.g', 'Xetrov90029035m', 'krt', 'fgf7', 'vcan', 'lpar3', 'slc25a5', 'bmp5', 'cdc42ep3', 'postn', 'col5a3.like', 'loc101734526', 'loc100049121', 'Xetrov90018123m', 'c2orf40', 'atf3']",50
"overlap filter ratio=0, resolution=2.0, kmeans n=45",1,kmeans,"['pltp', 'lama1', 'bmp2', 'mmp11', 'apoe', 'lamb4', 'apoc1.like', 'ets2', 'dcn', 'fn1', 'krt16', 'ackr3', 'cldn6.1', 'nid2', 'mmp3', 'Xelaev18022166m.g', 'c3', 'Xetrov90028350m', 'mmp8', 'frem2.1', 'col14a1', 'ablim3', 'net1', 'elf3', 'Xetrov90029035m', 'krt', 'lrrn4cl', 'msx2', 'fras1', 'Xelaev18026267m.g', 'vcan', 'krt18', 'cldn6.2', 'dlx5', 'sp8', 'Xelaev18038148m.g', 'lpar3', 'loc100127750', 'Xelaev18018009m.g', 'ogn', 'col11a1.like', 'Xetrov90018123m', 'fgf7']",43
"overlap filter ratio=0, resolution=2.0, kmeans n=45",1,leiden,"['bambi', 'txn', 'Xelaev18013503m.g', 'bmp2', 'dlx2', 'timp.1', 'ctgf', 'prss36', 'dlx3', 'apoc1.like', 'Xelaev18000469m.g', 'rdh10', 'krt12', 'fn1', 'krt16', 'krt8', 'nid2', 'mmp3', 's100a11', 'ly6g6c', 'Xelaev18022166m.g', 'loc101734526', 'Xetrov90028350m', 'mmp8', 'bmp4', 'slurp1l', 'prdm1', 'Xelaev18047430m.g', 'hey1', 'Xelaev18026267m.g', 'krt18', 'dlx5', 'ppp1r3c.2', 'Xetrov90018123m', 'loc100494945']",35
"overlap filter ratio=0, resolution=2.0, kmeans n=45",1,louvain,"['bambi', 'egfl6', 'lama1', 'bmp2', 'tnip2', 'ctsb', 'apoe', 'sdsl', 'prss36', 'cdc42ep3', 'Xelaev18017960m.g', 'ereg', 'apoc1.like', 'lama5', 'krt12', 'fn1', 'krt16', 'clca3p.like', 'krt8', 'Xelaev18022166m.g', 'nid2', 'Xetrov90028350m', 'bmp4', 'loc100049121', 'slurp1l', 'Xetrov90018123m', 'net1', 'Xelaev18047430m.g', 'fras1', 'Xelaev18026267m.g', 'vcan', 'krt18', 'plk2', 'kera', 'lamb4']",35
"overlap filter ratio=0, resolution=2.0, kmeans n=45",2,kmeans,"['pdgfd', 'hmcn1', 'pltp', 'msx1', 'snai2', 'lama1', 'bhlha9', 'jchain', 'lamb1', 'sp9', 'fgfr4', 'mxra5', 'col27a1', 'loc100490088', 'fam83b', 'dlx3', 'Xelaev18017960m.g', 'apoc1.like', 'vwa2', 'fn1', 'krt16', 'krt8', 'nid2', 'insig1', 'optc', 'bmp4', 'slurp1l', 'vwde', 'frem2.1', 'Xetrov90029035m', 'krt', 'fras1', 'msx2', 'hey1', 'Xelaev18026267m.g', 'vcan', 'krt18', 'mmp1', 'sp8', 'cldn6.2', 'lpar3', 'bmp5', 'loc100127750', 'Xetrov90018123m', 'col1a2']",45
"overlap filter ratio=0, resolution=2.0, kmeans n=45",2,leiden,"['Xelaev18001106m.g', 'hmcn1', 'pltp', 'Xelaev18008610m.g', 'msx1', 'snai2', 'lama1', 'jchain', 'lamb1', 'fgfr4', 'rasd1', 'col27a1', 'loc100490088', 'fam83b', 'dlx3', 'Xelaev18017960m.g', 'apoc1.like', 'vwa2', 'fn1', 'krt16', 'nid2', 'insig1', 'optc', 'bmp4', 'frem2.1', 'Xelaev18001105m.g', 'prdm1', 'Xetrov90029035m', 'krt', 'fgf7', 'loc100494945', 'fras1', 'hey1', 'Xelaev18026267m.g', 'vcan', 'krt18', 'cldn6.2', 'sp8', 'Xetrov90001378m', 'loc100127750', 'Xelaev18045052m.g', 'msmb.3', 'col1a2']",43
"overlap filter ratio=0, resolution=2.0, kmeans n=45",2,louvain,"['Xelaev18001106m.g', 'bmp7.1', 'txn', 'loc100487022', 'egfl6', 'lama1', 'slc38a4', 'ecm1', 'fos', 'bmp2', 'dlx2', 'nr4a2', 'Xelaev18009504m.g', 'fgfbp1', 'sst', 'mxra5', 'aldob', 'col2a1', 'loc100490088', 'tfap2b', 'dlx3', 'cnfn.1', 'Xelaev18017960m.g', 'apoc1.like', 'psap', 'rdh10', 'crip1', 'krt12', 'krt16', 'ism2', 'mmp3', 'twsg1', 'optc', 'Xetrov90028350m', 'gata2', 'mmp8', 'vwde', 'cpamd8', 'frem2.1', 'Xetrov90018123m', 'Xelaev18001105m.g', 'prdm1', 'loc100490816', 'fras1', 'enpp2', 'mmp1', 'rhpn2', 'krt18', 'cldn6.2', 'dlx5', 'Xelaev18027940m.g', 'ppap2b', 'loc100127750', 'ctgf', 'Xelaev18040855m.g', 'ly6g6c', 'msmb.3', 'col3a1', 'loc100049121', 'col1a2', 'epn3', 'col1a1']",62
"overlap filter ratio=0, resolution=2.0, kmeans n=45",3,kmeans,"['bambi', 'igfbp2', 'loc100486832', 'btg2', 'loc100487022', 'egfl6', 'pltp', 'hmcn1', 'frem2', 'fos', 'jchain', 'aldoa', 'mxra5', 'loc100498358', 'loc100490088', 'sox11', 'apoc1.like', 'cldn4', 'cpz', 'fn1', 'azin2', 'cldn6.1', 'krt8', 'c3', 'Xelaev18010947m.g', 'mmp8', 'Xelaev18013239m.g', 'c8orf4', 'frem2.1', 'cpamd8', 'col14a1', 'prdm1', 'krt', 'mdk', 'lrrn4cl', 'fras1', 'loc100486548', 'Xelaev18026267m.g', 'hey1', 'krt18', 'mmp1', 'fstl1', 'lum', 'txn', 'Xelaev18009504m.g', 'MGC75752', 'ereg', 'col5a3.like', 'ly6g6c', 'Xelaev18001105m.g', 'col1a2', 'col17a1', 'fam101b', 'myl9', 'col1a1']",55
