root_label,time,method,model,cluster,marker_count,overlap_count,overlap_ratio,processed_genes
"overlap filter ratio=0.2, resolution=2.0, kmeans n=45",0,leiden,logreg,0,75,0,0.0,"['Xelaev18002241m.g', 'ca2', 'tac1', 'loc100494822', 'Xelaev18040492m.g', 'atp6v0b', 'sncg', 'col11a2p1', 'act3', 'col27a1', 'grhl3', 'fbp1', 'atp6v1d', 'nmral1', 'phldb3', 'pik3r3', 'Xelaev18047610m.g', 'loc100496216', 'rbp4', 'loc100497729', 'twsg1', 'Xelaev18040968m.g', 'ggh', 'loc100135371', 'ftmt', 'pdgfra', 'Xetrov90011359m', 'ccr2', 'lrp1', 'ptx3', 'ch25h', 'tnni2', 'loc100487364', 'ptpn6', 'slitrk6', 'atp1b3', 'loc101732997', 'Xelaev18032450m.g', 'aldob', 'Xelaev18022529m.g', 'ramp3', 'Xelaev18017743m.g', 'epyc', 'mmp8', 'ccl4', 'rdh10', 'mapk10', 'htra3', 'Xelaev18017913m.g', 'Xelaev18031834m.g', 'Xelaev18016451m.g', 'cebpa', 'nefm', 'stmn2', 'c17orf67', 'lgmn', 'gstz1', 'hmp19', 'rtbdn', 'hpd.like.1', 'scg5', 'ccdc80', 'phlda1', 'ywhag', 'loc100049121', 'bmp2', 'sypl2', 'pdgfrl.2', 'cobl', 'Xetrov90029035m', 'ecm2.1', 'suclg2', 'psca', 'ptx3', 'col3a1']"
"overlap filter ratio=0.2, resolution=2.0, kmeans n=45",0,leiden,logreg,1,75,0,0.0,"['ramp3', 'krt12', 'col5a3.like', 'Xelaev18002241m.g', 'col1a2', 'col9a2', 'cpeb2.like', 'Xelaev18036117m.g', 'Xetrov90011359m', 'snap25', 'ca2', 'ctsl', 'eln2', 'loc101734526', 'nrp1', 'Xelaev18039168m.g', 'Xetrov90011361m', 'atp6v0c', 'ndnf', 'ptx3', 'hes6.1', 'Xelaev18020203m.g', 'akap2', 'carhsp1', 'c2orf40', 'cck', 'cldn5', 'lta4h', 'elavl4', 'Xelaev18045307m.g', 'myl1', 'tcn2', 'lum', 'col2a1', 'loc100489839.like', 'atp1b3', 'eln1', 'ache', 'ndrg4', 'fndc1', 'crip1', 'col27a1', 'loc100490088', 'Xelaev18001042m.g', 'ptx3', 'lum', 'pde4b', 'slc10a4', 'pnhd', 'rab6b', 'rora', 'gm2a', 'Xelaev18016867m.g', 'mcam', 'tubb2b', 'pygl', 'lect1', 'Xelaev18038892m.g', 'pfkfb4', 'enpp2', 'otos', 'pappa2', 'gng3', 'tuba1b', 'apcdd1', 'postn', 'krt12', 'arsi', 'sncb', 'nova1', 'Xelaev18037830m.g', 'Xelaev18020205m.g', 'loc100127750', 'stat1', 'krt16']"
"overlap filter ratio=0.2, resolution=2.0, kmeans n=45",0,leiden,logreg,2,75,2,0.02666666666666667,"['Xetrov90018123m', 'loc101734526', 'crip1', 'c2orf40', 'loc100494786', 'krt12', 'postn', 'Xelaev18000469m.g', 'Xelaev18009504m.g', 'loc100489839.like', 'mmp8', 'col2a1', 'Xelaev18047430m.g', 'fbln7', 'col11a2p1', 'krt16', 'Xetrov90018123m', 'krt19', 'Xetrov90011359m', 'fgfbp1', 'ly6g6c', 'Xelaev18045052m.g', 'loc100127564', 'Xetrov90005752m', 'loc100490088', 'fabp4', 'ctsb', 'aldoa', 'ftmt', 'col6a2', 'Xelaev18041553m.g', 'cyp26c1', 'Xelaev18038969m.g', 'loc101733581', 'lum', 'krt75', 'sult2b1', 'krt5.7', 'cyp26a1', 'fam212a', 'ptrf', 'kpna2', 'col3a1', 'Xetrov90020904m', 'mgst3', 'zswim4', 'tac1', 'Xelaev18017960m.g', 'Xelaev18016867m.g', 'oaf', 'atp1b3', 'cldn6.2', 'loc100494822', 'krt16', 'esr.5', 'lum', 'muc1', 'ube2c', 'lamb2', 'carhsp1', 'pgam1', 'Xelaev18044308m.g', 'vwde', 'lama1', 'npnt', 'loc100493999.like', 'tuba1b', 'olfm4', 'epgn', 'atp1b3', 'sall4', 'sox9', 'inf2', 'Xelaev18005157m.g', 'emx2']"
"overlap filter ratio=0.2, resolution=2.0, kmeans n=45",0,leiden,logreg,3,75,1,0.013333333333333334,"['crip1', 'Xelaev18034843m.g', 'pcp4', 'actc1', 'Xetrov90018123m', 'atp6v1g2', 'Xelaev18002241m.g', 'fbln7', 'dner', 'loc100490918.like', 'lpl', 'loc100494822', 'Xelaev18000704m.g', 'aldoc', 'btg2', 'loc100137715', 'fos', 'ube2c', 'krt19', 'sncb', 'fos', 'Xelaev18036117m.g', 'loc101731328', 'pkm', 'ca2', 'upk1a', 'Xelaev18034081m.g', 'loc100494515.like', 'loc100489067', 'pgam1', 'kpna2', 'ly6g6c', 'prima1.like', 'unnamed.L.13', 'ednrb', 'rhpn2', 'hes5.1', 'pxdn', 'elf3', 'Xelaev18026267m.g', 'colgalt1', 'Xelaev18016663m.g', 'lcp1', 'tmeff1', 'Xelaev18047861m.g', 'snap25', 'tubb2b', 'rassf2', 'loc105948211', 'gng10', 'ptrf', 'scg3', 'insig1', 'nefm', 'ndrg1', 'ckb', 'ednra', 'lama1', 'ctsc', 'ccl34', 'thbs1', 'dpp6', 'Xelaev18030549m.g', 'ets2', 'mgp', 'angptl7', 'fn1', 'fgl2', 'hmox1', 'sox9', 'sp9', 'ch25h', 'loc100170419', 'itln1', 'Xetrov90014332m']"
"overlap filter ratio=0.2, resolution=2.0, kmeans n=45",0,leiden,logreg,4,75,4,0.05333333333333334,"['apoc1.like', 'loc101734526', 'loc100049121', 'btg2', 'postn', 'efemp1', 'Xetrov90018123m', 'optc', 'twsg1', 'lum', 'ecm1', 'mmp8', 'crip1', 'cldn6.1', 'loc100497390', 'cxcl14', 'Xetrov90005752m', 'cldn6.1', 'krt5.7', 'mmp8', 'ctsc', 'bmp2', 'Xelaev18008278m.g', 'c2orf40', 'vcan', 'Xetrov90018212m', 'lum', 'slitrk6', 'Xelaev18017960m.g', 'col2a1', 'zfhx4', 'slit2', 'c3orf52.like', 'sds', 'ptrf', 'col5a3.like', 'foxr1', 'col1a2', 'fos', 'cpa6', 'Xelaev18032610m.g', 'dlx5', 'loc100494822', 'txn', 'epyc', 'ly6g6c', 'fbln7', 'frem2.1', 'pdgfa', 'Xelaev18038892m.g', 'egfl6', 'loc100488697', 'msx2', 'cldn6.2', 'loc100490088', 'fos', 'ccdc3', 'cxcl8', 'ctgf', 'Xelaev18009504m.g', 'pmp22', 'ecm2.1', 'MGC115708', 'vwde', 'Xelaev18020802m.g', 'loc101731311', 'kif1b.like', 'hmcn1', 'stap2.like', 'gata2', 'crp.4', 'loc100494786', 'atf3', 'Xelaev18022528m.g', 'tspear']"
"overlap filter ratio=0.2, resolution=2.0, kmeans n=45",0,leiden,logreg,5,75,1,0.013333333333333334,"['ly6g6c', 'Xetrov90018123m', 'Xelaev18034081m.g', 'Xelaev18040854m.g', 'fam83b', 'txn', 'Xelaev18032450m.g', 'mal', 'loc100494945', 'psca', 'Xelaev18045649m.g', 'fos', 'btg2', 'Xelaev18043641m.g', 'rhpn2', 'krt16', 'fos', 'Xelaev18000704m.g', 'grhl3', 'pck1', 'bhlhe40', 'upk1a', 'loc101735282', 'loc100497729', 'atp13a.like', 'loc100487311.like', 'klf5', 'Xelaev18035220m.g', 'Xelaev18000156m.g', 'Xelaev18032446m.g', 'agr2', 'zfand2a', 'itln1', 'syt8', 'gmds', 'atp12a.like', 'Xetrov90030519m', 'pde4b', 'loc100497729', 'slitrk6', 'sh2d4a', 'loc100495760', 'ifnlr1', 'loc101731311', 'Xetrov90027649m', 'loc101735282', 'krt16', 'ftmt', 'upk3b', 'msx1', 'phldb3', 'loc100487362.1', 'degs3', 'krt', 'trank1', 'sox9', 'loc100492852', 'loc100494822', 'loc100487362', 'Xelaev18027466m.g', 'Xelaev18014807m.g', 'slc25a5', 'ifit5', 'Xetrov90011359m', 'Xelaev18003734m.g', 'loc100497338.like', 'gcm1', 'Xelaev18020205m.g', 'Xelaev18035501m.g', 'Xetrov90018123m', 'pck1', 'epn3', 'fam20c', 'nr4a2', 'ctsb']"
"overlap filter ratio=0.2, resolution=2.0, kmeans n=45",0,leiden,logreg,6,75,0,0.0,"['fos', 'fos', 'calm2', 'cplx1', 'pcp4', 'rtn1', 'snap25', 'aldoc', 'calm2', 'sncb', 'Xelaev18020203m.g', 'ckb', 'basp1', 'tac1', 'btg2', 'Xelaev18037480m.g', 'stmn4', 'l1cam', 'stmn2', 'snap25', 'nova1', 'lbh', 'Xelaev18036101m.g', 'Xelaev18038892m.g', 'Xelaev18016867m.g', 'slit2', 'epb41l3', 'sncb', 'stmn2', 'mgat4c', 'atp1b3', 'gpm6a', 'Xelaev18017913m.g', 'scg3', 'rab6b', 'Xelaev18022839m.g', 'prima1.like', 'rtn1', 'neto1', 'slc25a5', 'evx1', 'Xelaev18021844m.g', 'sv2a', 'cck', 'mmp17', 'nog', 'Xelaev18024665m.g', 'cst3', 'onecut2', 'cntn1', 'ywhag', 'slc1a2', 'tubb3', 'Xelaev18001525m.g', 'atp1b3', 'atp2b2.like', 'cxcr4', 'vip', 'nefm', 'pcdh17', 'stmn4', 'ckm', 'nell2', 'klhl4', 'onecut2', 'lhx3', 'elavl4', 'cplx2', 'Xelaev18018196m.g', 'Xelaev18038145m.g', 'slit2', 'stmn3', 'paqr9', 'Xelaev18004130m.g', 'cck']"
"overlap filter ratio=0.2, resolution=2.0, kmeans n=45",0,leiden,logreg,7,75,3,0.04,"['btg2', 'fos', 'fos', 'ca2', 'sncb', 'Xelaev18045083m.g', 'Xelaev18002241m.g', 'MGC115708', 'Xelaev18041553m.g', 'nr4a2', 'loc100049121', 'apoc1.like', 'Xelaev18047462m.g', 'pgam1', 'twist1', 'f13a1', 'chgb', 'dpepe', 'Xelaev18003790m.g', 'syne1', 'myl1', 'loc101733581', 'pltp', 'Xelaev18044758m.g', 'hes6.1', 'col6a2', 'tubb3', 'c10orf54', 'hes5.2', 'tyrp1', 'sfrp2', 'Xelaev18035501m.g', 'loc100494515.like', 'Xelaev18017913m.g', 'tnnt3', 'pmp2', 'otos', 'fbn3', 'npr3', 'postn', 'Xelaev18022531m.g', 'hes3.3', 'foxr1', 'loc100493999.like', 'Xelaev18034929m.g', 'gstz1', 'Xelaev18008278m.g', 'mlc1', 'klf5', 'insm1', 'tie1', 'dlx5', 'slc10a4', 'gpi', 'nid2', 'otog', 'tubb2b', 'krt', 'bhlhe40', 'atp6v1h', 'Xelaev18040329m.g', 'Xetrov90013016m', 'epyc', 'amph', 'col9a1', 'agr2', 'ifnlr1', 'Xelaev18023341m.g', 'loc100495760', 'palmd', 'loc100497390', 'ackr3', 'hey1', 'loc100493381', 'loc100494487']"
"overlap filter ratio=0.2, resolution=2.0, kmeans n=45",0,leiden,logreg,8,75,2,0.02666666666666667,"['Xelaev18047453m.g', 'Xelaev18001105m.g', 'Xelaev18003734m.g', 'Xelaev18047462m.g', 'Xelaev18045083m.g', 'btg2', 'fos', 'fos', 'atp6v1e1', 'ckm', 'hbg1', 'Xelaev18047430m.g', 'actc1', 'ism1', 'tnnt3', 'Xelaev18040313m.g', 'act3', 'sdsl', 'kpna2', 'rln3', 'calm2', 'sncb', 'vim', 'ube2c', 'Xelaev18032295m.g', 'igf2', 'calm2', 'tal1', 'nr4a2', 'gsta4', 'loc100497528', 'lum', 'slc10a4', 'cldn6.1', 'ctgf', 'rdh10', 'ywhag', 'jag1', 'tal1', 'hes5.2', 'Xelaev18034615m.g', 'lyar', 'act3', 'tubb2b', 'foxr1', 'Xelaev18016451m.g', 'lsp1', 'ripply2.1', 'tnni1.2', 'atp1a3', 'Xelaev18038892m.g', 'Xelaev18036117m.g', 'Xelaev18047609m.g', 'cotl1', 'rdh10', 'stat1', 'hes6.1', 'Xelaev18031834m.g', 'Xelaev18019512m.g', 'akap2', 'clca3p.like', 'loc100490646', 'nkx6.2', 'unnamed.L.12', 'unc5b', 'sfrp2', 'loc100127750', 'enkur', 'ccnb1.2', 'thtpa', 'slc6a5', 'ckb', 'stmn3', 'dstn', 'prph']"
"overlap filter ratio=0.2, resolution=2.0, kmeans n=45",0,leiden,logreg,9,75,1,0.013333333333333334,"['msmb.3', 'kera', 'Xelaev18016080m.g', 'loc100489129', 'apoe', 'col1a2', 'epyc', 'npnt', 'krt12', 'loc100127564', 'cxcl12', 'loc100494945', 'lum', 'Xetrov90010969m', 'krt12', 'lum', 'loc100494822', 'col6a2', 'ly6g6c', 'fos', 'cav1', 'loc100137672', 'c8orf4', 'c2orf40', 'entpd2', 'Xelaev18046818m.g', 'calm2', 'krt2l', 'c3orf52.like', 'Xelaev18013621m.g', 'col5a3.like', 'MGC115708', 'Xelaev18045649m.g', 'ucma', 'tgfb1', 'ngfr', 'col5a3.like', 'Xelaev18038892m.g', 'colgalt1', 'elf3', 'col6a1', 'pde4b', 'cav1', 'loc100491930', 'vgll1', 'Xelaev18027434m.g', 'gad1.2', 'psap', 'calm2', 'Xelaev18047430m.g', 'hpd.like.1', 'slitrk6', 'enpp2', 'ptafr', 'col2a1', 'ifnlr1', 'serpinb6', 'angptl7', 'plac9', 'pltp', 'fos', 'ch25h', 'Xetrov90018123m', 'loc100490489', 'Xelaev18034843m.g', 'pgd', 'loc101732997', 'Xelaev18036372m.g', 'atp1b3', 'loc100492852', 'rasl11b', 'ftmt', 'loc100490088', 'Xelaev18031834m.g', 'btg2']"
