time,method,model,cluster,gene,score,rank_in_cluster
0,louvain,logreg,0,Xelaev18002241m.g,1.4194566011428833,1
0,louvain,logreg,0,ca2.L,1.152243971824646,2
0,louvain,logreg,0,btg2.S,0.8357561230659485,3
0,louvain,logreg,0,Xelaev18018009m.g,0.5617091655731201,4
0,louvain,logreg,0,serpinb1.L,0.5596283078193665,5
0,louvain,logreg,0,hmga2.L,0.5593504309654236,6
0,louvain,logreg,0,loc100495760.L,0.4796431362628937,7
0,louvain,logreg,0,actc1.S,0.476095587015152,8
0,louvain,logreg,0,sncg.S,0.4603675305843353,9
0,louvain,logreg,0,ndrg4.L,0.4520069658756256,10
0,louvain,logreg,0,loc100496720.L,0.43300971388816833,11
0,louvain,logreg,0,mcam.L,0.41727688908576965,12
0,louvain,logreg,0,col9a1.L,0.40741845965385437,13
0,louvain,logreg,0,cpeb2.like.S,0.393888920545578,14
0,louvain,logreg,0,gzmh.S,0.3931674659252167,15
0,louvain,logreg,0,ptx3.L,0.38924846053123474,16
0,louvain,logreg,0,c8orf4.S,0.3867356777191162,17
0,louvain,logreg,0,loc105947369.L,0.3845825791358948,18
0,louvain,logreg,0,bmp2.S,0.3828229010105133,19
0,louvain,logreg,0,thbs4.S,0.3787386417388916,20
0,louvain,logreg,0,Xelaev18040968m.g,0.37580573558807373,21
0,louvain,logreg,0,unc5b.L,0.369915634393692,22
0,louvain,logreg,0,unnamed.L.12,0.365140825510025,23
0,louvain,logreg,0,loc100049121.S,0.35558533668518066,24
0,louvain,logreg,0,chgb.S,0.34584352374076843,25
0,louvain,logreg,0,hpd.like.1.L,0.34470462799072266,26
0,louvain,logreg,0,Xelaev18031834m.g,0.3370542824268341,27
0,louvain,logreg,0,loc100494515.like.S,0.33387354016304016,28
0,louvain,logreg,0,fos.S,0.3312119245529175,29
0,louvain,logreg,0,loc100491930.L,0.3298105001449585,30
0,louvain,logreg,0,cd44.S,0.32386451959609985,31
0,louvain,logreg,0,Xelaev18045083m.g,0.3187752068042755,32
0,louvain,logreg,0,Xelaev18000704m.g,0.3154231011867523,33
0,louvain,logreg,0,kif5c.S,0.3143554627895355,34
0,louvain,logreg,0,tnnc2.L,0.3134170472621918,35
0,louvain,logreg,0,Xelaev18045307m.g,0.31287071108818054,36
0,louvain,logreg,0,hmcn1.L,0.30153006315231323,37
0,louvain,logreg,0,sfrp2.L,0.3012373745441437,38
0,louvain,logreg,0,vat1.L,0.30035534501075745,39
0,louvain,logreg,0,Xetrov90011359m.L,0.29888948798179626,40
0,louvain,logreg,0,nid2.L,0.2987727224826813,41
0,louvain,logreg,0,lyg2.S,0.2959515452384949,42
0,louvain,logreg,0,cetp.L,0.2955385744571686,43
0,louvain,logreg,0,foxa2.L,0.29224151372909546,44
0,louvain,logreg,0,mbnl1.L,0.28998348116874695,45
0,louvain,logreg,0,col8a1.L,0.28618571162223816,46
0,louvain,logreg,0,olfml2a.L,0.2842739522457123,47
0,louvain,logreg,0,mal.L,0.2816382646560669,48
0,louvain,logreg,0,cck.S,0.27878907322883606,49
0,louvain,logreg,0,MGC115708.L,0.27862265706062317,50
0,louvain,logreg,0,postn.S,0.2771255373954773,51
0,louvain,logreg,0,atp6v1h.S,0.272320032119751,52
0,louvain,logreg,0,gcm1.L,0.26840540766716003,53
0,louvain,logreg,0,gp9.L,0.26389747858047485,54
0,louvain,logreg,0,gpi.S,0.2624995708465576,55
0,louvain,logreg,0,klf5.S,0.2614307999610901,56
0,louvain,logreg,0,Xelaev18014965m.g,0.2568035423755646,57
0,louvain,logreg,0,ucma.S,0.254124253988266,58
0,louvain,logreg,0,tpte2.L,0.24876190721988678,59
0,louvain,logreg,0,Xelaev18014320m.g,0.24871790409088135,60
0,louvain,logreg,0,atp6ap1.1.S,0.2447890341281891,61
0,louvain,logreg,0,anos1.L,0.24273930490016937,62
0,louvain,logreg,0,loc100497729.L,0.24221950769424438,63
0,louvain,logreg,0,stmn2.L,0.24179744720458984,64
0,louvain,logreg,0,hes5.1.S,0.23889441788196564,65
0,louvain,logreg,0,naglu.L,0.23457202315330505,66
0,louvain,logreg,0,akap2.L,0.23454533517360687,67
0,louvain,logreg,0,loc100493999.like.S,0.23346003890037537,68
0,louvain,logreg,0,fn1.L,0.23325815796852112,69
0,louvain,logreg,0,cystm1.S,0.2316700518131256,70
0,louvain,logreg,0,gpm6a.L,0.2309829443693161,71
0,louvain,logreg,0,camk1.L,0.23029029369354248,72
0,louvain,logreg,0,nr4a2.S,0.22811119258403778,73
0,louvain,logreg,0,lgals9c.S,0.22654254734516144,74
0,louvain,logreg,0,gstz1.L,0.2240830510854721,75
0,louvain,logreg,1,Xelaev18047453m.g,4.492105960845947,1
0,louvain,logreg,1,Xelaev18001105m.g,2.2433693408966064,2
0,louvain,logreg,1,Xelaev18003734m.g,2.154499053955078,3
0,louvain,logreg,1,Xelaev18047462m.g,1.7443733215332031,4
0,louvain,logreg,1,atp1b3.S,0.6442058086395264,5
0,louvain,logreg,1,lyar.L,0.5493513345718384,6
0,louvain,logreg,1,btg2.S,0.5209785103797913,7
0,louvain,logreg,1,gsta4.S,0.5073250532150269,8
0,louvain,logreg,1,calm2.L,0.48272567987442017,9
0,louvain,logreg,1,calm2.S,0.4824712872505188,10
0,louvain,logreg,1,ccnb1.2.L,0.47842007875442505,11
0,louvain,logreg,1,slc10a4.L,0.46902379393577576,12
0,louvain,logreg,1,unc5b.L,0.4595606327056885,13
0,louvain,logreg,1,fos.L,0.4419037997722626,14
0,louvain,logreg,1,itln1.L,0.43688151240348816,15
0,louvain,logreg,1,act3.S,0.41789478063583374,16
0,louvain,logreg,1,tal1.S,0.415287047624588,17
0,louvain,logreg,1,aldoa.L,0.40209484100341797,18
0,louvain,logreg,1,hbg1.S,0.37855276465415955,19
0,louvain,logreg,1,rln3.S,0.3741163909435272,20
0,louvain,logreg,1,pgd.L,0.35593050718307495,21
