time,method,model,cluster,gene,score,rank_in_cluster
0,louvain,xgboost,5,sncb.L,0.4246271550655365,1
0,louvain,xgboost,5,atp1b3.L,0.2189881056547165,2
0,louvain,xgboost,5,tal2.L,0.06645223498344421,3
0,louvain,xgboost,5,stmn2.L,0.048715706914663315,4
0,louvain,xgboost,5,syt1.like.L,0.0389120914041996,5
0,louvain,xgboost,5,atp1b3.S,0.03658246994018555,6
0,louvain,xgboost,5,snap25.L,0.028792886063456535,7
0,louvain,xgboost,5,syp.L,0.021119020879268646,8
0,louvain,xgboost,5,krt18.S,0.016315070912241936,9
0,louvain,xgboost,5,rtn1.L,0.012121069245040417,10
0,louvain,xgboost,5,chga.L,0.009426129050552845,11
0,louvain,xgboost,5,cplx1.S,0.008510652929544449,12
0,louvain,xgboost,5,mllt11.L,0.008470099419355392,13
0,louvain,xgboost,5,nefm.S,0.007763261906802654,14
0,louvain,xgboost,5,nsg1.L,0.0060067991726100445,15
0,louvain,xgboost,5,nkx6.1.L,0.0052949730306863785,16
0,louvain,xgboost,5,matn4.S,0.003853659378364682,17
0,louvain,xgboost,5,olfm2.L,0.003501820145174861,18
0,louvain,xgboost,5,mllt11.S,0.003302869154140353,19
0,louvain,xgboost,5,slc18a3.S,0.00301443412899971,20
0,louvain,xgboost,5,rtn1.S,0.0025164035614579916,21
0,louvain,xgboost,5,map1b.L,0.0024946085177361965,22
0,louvain,xgboost,5,serpinf1.L,0.0020696360152214766,23
0,louvain,xgboost,5,ckb.L,0.001805671607144177,24
0,louvain,xgboost,5,nova1.L,0.0016433213604614139,25
0,louvain,xgboost,5,pcp4.S,0.0016315833199769258,26
0,louvain,xgboost,5,sncg.S,0.0014563638251274824,27
0,louvain,xgboost,5,krt8.S,0.0013530771248042583,28
0,louvain,xgboost,5,vat1.L,0.0011135392123833299,29
0,louvain,xgboost,5,syp.S,0.0010622149566188455,30
0,louvain,xgboost,5,baz2b.S,0.001045231707394123,31
0,louvain,xgboost,5,Xelaev18037480m.g,0.0009596362942829728,32
0,louvain,xgboost,5,fabp7.L,0.0009569802787154913,33
0,louvain,xgboost,5,snap25.S,0.0009302425314672291,34
0,louvain,xgboost,5,nrxn2.like.2.L,0.0008141058497130871,35
0,louvain,xgboost,5,Xelaev18024617m.g,0.0007711208891123533,36
0,louvain,xgboost,5,syne1.L,0.0007439022301696241,37
0,louvain,xgboost,5,dpysl2.S,0.0007320143631659448,38
0,louvain,xgboost,5,Xelaev18013771m.g,0.0006124383653514087,39
0,louvain,xgboost,5,nif.S,0.000565500755328685,40
0,louvain,xgboost,5,nell2.L,0.0004782542819157243,41
0,louvain,xgboost,5,cpe.S,0.0004445565864443779,42
0,louvain,xgboost,5,Xelaev18024665m.g,0.0004239382687956095,43
0,louvain,xgboost,5,insig1.L,0.00028053182177245617,44
0,louvain,xgboost,5,atp2b2.like.S,0.00024179888714570552,45
0,louvain,xgboost,5,sncb.S,0.000202938390430063,46
0,louvain,xgboost,5,cnih2.S,0.0001587028818903491,47
0,louvain,xgboost,5,loc100487364.L,0.00015811211778782308,48
0,louvain,xgboost,5,cpe.L,0.00012045494077028707,49
0,louvain,xgboost,5,Xelaev18024991m.g,0.00010839431342901662,50
0,louvain,xgboost,5,cntn1.L,0.00010567132994765416,51
0,louvain,xgboost,5,calm2.S,8.967473695520312e-05,52
0,louvain,xgboost,5,ywhag.S,7.780847954563797e-05,53
0,louvain,xgboost,5,tal1.L,4.3860018195118755e-05,54
0,louvain,xgboost,5,epb41l3.L,1.712358061922714e-05,55
0,louvain,xgboost,5,Xelaev18018612m.g,0.0,56
0,louvain,xgboost,5,rab11fip1.L,0.0,57
0,louvain,xgboost,5,nif.L,0.0,58
0,louvain,xgboost,5,rbpms2.L,0.0,59
0,louvain,xgboost,5,loc100486730.L,0.0,60
0,louvain,xgboost,5,rassf2.L,0.0,61
0,louvain,xgboost,5,rora.L,0.0,62
0,louvain,xgboost,5,neurl3.L,0.0,63
0,louvain,xgboost,5,Xelaev18018217m.g,0.0,64
0,louvain,xgboost,5,sema7a.L,0.0,65
0,louvain,xgboost,5,fah.L,0.0,66
0,louvain,xgboost,5,aebp1.L,0.0,67
0,louvain,xgboost,5,loc733553.L,0.0,68
0,louvain,xgboost,5,c8orf4.L,0.0,69
0,louvain,xgboost,5,sfrp1.L,0.0,70
0,louvain,xgboost,5,nkx3.1.L,0.0,71
0,louvain,xgboost,5,pkm.L,0.0,72
0,louvain,xgboost,5,Xelaev18018009m.g,0.0,73
0,louvain,xgboost,5,nefm.L,0.0,74
0,louvain,xgboost,5,pgam2.L,0.0,75
0,louvain,xgboost,11,Xelaev18047453m.g,0.09574046730995178,1
0,louvain,xgboost,11,Xelaev18045083m.g,0.07130183279514313,2
0,louvain,xgboost,11,Xelaev18002241m.g,0.0405598059296608,3
0,louvain,xgboost,11,Xelaev18001105m.g,0.039966944605112076,4
0,louvain,xgboost,11,Xelaev18003734m.g,0.034201253205537796,5
0,louvain,xgboost,11,slc25a5.L,0.030715763568878174,6
0,louvain,xgboost,11,krt12.L,0.028931312263011932,7
0,louvain,xgboost,11,Xelaev18047430m.g,0.028096210211515427,8
0,louvain,xgboost,11,Xelaev18047462m.g,0.02686375565826893,9
0,louvain,xgboost,11,krt12.S,0.024312473833560944,10
0,louvain,xgboost,11,col2a1.L,0.02173478528857231,11
0,louvain,xgboost,11,kpna2.S,0.021192360669374466,12
0,louvain,xgboost,11,Xetrov90018123m.L,0.02079302817583084,13
0,louvain,xgboost,11,krt5.7.S,0.017422005534172058,14
0,louvain,xgboost,11,Xelaev18017913m.g,0.017198409885168076,15
0,louvain,xgboost,11,tal1.S,0.015997067093849182,16
0,louvain,xgboost,11,atp1b3.S,0.01589633710682392,17
0,louvain,xgboost,11,loc100049121.S,0.01585947908461094,18
0,louvain,xgboost,11,actc1.L,0.015640243887901306,19
0,louvain,xgboost,11,fos.L,0.015248249284923077,20
0,louvain,xgboost,11,ca2.L,0.014647204428911209,21
0,louvain,xgboost,11,entpd2.L,0.013571728952229023,22
0,louvain,xgboost,11,unc5b.L,0.013187787495553493,23
0,louvain,xgboost,11,Xelaev18031834m.g,0.012885591015219688,24
0,louvain,xgboost,11,atp6v1h.L,0.01269662007689476,25
0,louvain,xgboost,11,tnni2.S,0.012376029044389725,26
0,louvain,xgboost,11,mbnl1.L,0.011729700490832329,27
0,louvain,xgboost,11,ckm.L,0.011467515490949154,28
0,louvain,xgboost,11,Xelaev18022528m.g,0.011193733662366867,29
0,louvain,xgboost,11,atp6v0b.S,0.010486098937690258,30
0,louvain,xgboost,11,col9a3.L,0.01028066873550415,31
0,louvain,xgboost,11,ramp3.L,0.010160800069570541,32
0,louvain,xgboost,11,act3.S,0.010058083571493626,33
0,louvain,xgboost,11,hbg1.S,0.010036163032054901,34
0,louvain,xgboost,11,foxr1.L,0.009842743165791035,35
0,louvain,xgboost,11,Xelaev18022531m.g,0.009809983894228935,36
0,louvain,xgboost,11,gsta4.S,0.009554430842399597,37
0,louvain,xgboost,11,Xelaev18045052m.g,0.009207670576870441,38
0,louvain,xgboost,11,atp6ap1.2.L,0.00859127938747406,39
0,louvain,xgboost,11,btg2.S,0.008540025912225246,40
0,louvain,xgboost,11,Xelaev18041711m.g,0.007938029244542122,41
0,louvain,xgboost,11,actc1.S,0.0074879080057144165,42
0,louvain,xgboost,11,c2orf40.L,0.0074245561845600605,43
0,louvain,xgboost,11,ism1.L,0.0074077183380723,44
0,louvain,xgboost,11,tal1.L,0.006788965780287981,45
0,louvain,xgboost,11,Xelaev18045307m.g,0.006561641581356525,46
0,louvain,xgboost,11,Xelaev18047609m.g,0.006482060998678207,47
0,louvain,xgboost,11,calm2.L,0.006071874406188726,48
0,louvain,xgboost,11,slc10a4.L,0.005749695468693972,49
0,louvain,xgboost,11,f2rl3.L,0.0057477448135614395,50
0,louvain,xgboost,11,myl1.S,0.005613152869045734,51
0,louvain,xgboost,11,ftmt.S,0.0055944412015378475,52
0,louvain,xgboost,11,qrfpr.L,0.005590514279901981,53
0,louvain,xgboost,11,fabp4.L,0.005422776564955711,54
0,louvain,xgboost,11,tubb2b.S,0.005337514448910952,55
0,louvain,xgboost,11,Xelaev18032295m.g,0.005276340059936047,56
0,louvain,xgboost,11,rln3.S,0.005176807753741741,57
0,louvain,xgboost,11,tspan32.L,0.005160651169717312,58
0,louvain,xgboost,11,tcn2.L,0.0051565314643085,59
0,louvain,xgboost,11,hes6.1.L,0.004704421851783991,60
0,louvain,xgboost,11,rtbdn.L,0.004699542187154293,61
0,louvain,xgboost,11,ccnb1.2.L,0.0046381354331970215,62
0,louvain,xgboost,11,cpeb2.like.S,0.004501476883888245,63
0,louvain,xgboost,11,Xelaev18036345m.g,0.004356635268777609,64
0,louvain,xgboost,11,akap2.L,0.004223313648253679,65
0,louvain,xgboost,11,fos.S,0.004010430071502924,66
0,louvain,xgboost,11,aldoa.L,0.0038263548631221056,67
0,louvain,xgboost,11,col5a3.like.L,0.0036878965329378843,68
0,louvain,xgboost,11,apoc1.like.L,0.0034428390208631754,69
0,louvain,xgboost,11,crip1.L,0.002918057143688202,70
0,louvain,xgboost,11,itln1.L,0.002864787122234702,71
0,louvain,xgboost,11,calm2.S,0.002400726778432727,72
0,louvain,xgboost,11,ccnb1.2.S,0.0023084869608283043,73
0,louvain,xgboost,11,Xelaev18037480m.g,0.002058994024991989,74
0,louvain,xgboost,11,serpinb6.L,0.001960244495421648,75
0,louvain,xgboost,1,Xelaev18047453m.g,0.41800805926322937,1
0,louvain,xgboost,1,bmp2.S,0.05182192474603653,2
0,louvain,xgboost,1,Xelaev18003734m.g,0.04213857650756836,3
0,louvain,xgboost,1,Xelaev18001105m.g,0.040082499384880066,4
0,louvain,xgboost,1,Xelaev18045083m.g,0.03222060948610306,5
0,louvain,xgboost,1,ca2.L,0.029540665447711945,6
0,louvain,xgboost,1,Xelaev18047462m.g,0.028080632910132408,7
0,louvain,xgboost,1,atp6v1h.L,0.021136615425348282,8
0,louvain,xgboost,1,tnnt3.S,0.020078571513295174,9
0,louvain,xgboost,1,atp1b3.S,0.018753327429294586,10
0,louvain,xgboost,1,cxcr4.S,0.01609688811004162,11
0,louvain,xgboost,1,Xelaev18045301m.g,0.013352558948099613,12
0,louvain,xgboost,1,myl1.S,0.01306418888270855,13
0,louvain,xgboost,1,mrc1.S,0.012813587673008442,14
0,louvain,xgboost,1,gsta4.S,0.012309898622334003,15
0,louvain,xgboost,1,Xelaev18002241m.g,0.012139027006924152,16
0,louvain,xgboost,1,unc5b.L,0.009662281721830368,17
0,louvain,xgboost,1,ckb.L,0.009506186470389366,18
0,louvain,xgboost,1,tal1.S,0.009480738081037998,19
0,louvain,xgboost,1,atp6v0b.S,0.00925168115645647,20
0,louvain,xgboost,1,rtbdn.L,0.008354523219168186,21
0,louvain,xgboost,1,Xelaev18047430m.g,0.008214452303946018,22
0,louvain,xgboost,1,Xelaev18045052m.g,0.00819308590143919,23
0,louvain,xgboost,1,tspan32.L,0.007941088639199734,24
0,louvain,xgboost,1,tcn2.L,0.007735664490610361,25
0,louvain,xgboost,1,krt12.L,0.007636099588125944,26
0,louvain,xgboost,1,calm2.S,0.007581803016364574,27
0,louvain,xgboost,1,tnni2.S,0.007580296136438847,28
0,louvain,xgboost,1,Xelaev18031834m.g,0.007396643050014973,29
0,louvain,xgboost,1,apoc1.like.L,0.007347218692302704,30
0,louvain,xgboost,1,btg2.S,0.006983913481235504,31
0,louvain,xgboost,1,Xelaev18017913m.g,0.006231562700122595,32
0,louvain,xgboost,1,ctsb.S,0.006085525266826153,33
0,louvain,xgboost,1,ube2c.L,0.005875479429960251,34
0,louvain,xgboost,1,nmral1.S,0.005517869256436825,35
0,louvain,xgboost,1,slc25a5.L,0.005510978400707245,36
0,louvain,xgboost,1,Xelaev18032295m.g,0.0051076896488666534,37
0,louvain,xgboost,1,hbg1.S,0.004718670155853033,38
0,louvain,xgboost,1,slc10a4.L,0.004678147844970226,39
0,louvain,xgboost,1,loc100494945.S,0.0039771320298314095,40
0,louvain,xgboost,1,lyar.L,0.0039670211263000965,41
0,louvain,xgboost,1,act3.S,0.0038210428319871426,42
0,louvain,xgboost,1,mbnl1.L,0.003743912559002638,43
0,louvain,xgboost,1,Xelaev18045307m.g,0.0036079040728509426,44
0,louvain,xgboost,1,ckm.L,0.003590881358832121,45
0,louvain,xgboost,1,atp1b3.L,0.0033781174570322037,46
0,louvain,xgboost,1,calm2.L,0.0033722911030054092,47
