time,method,model,cluster,gene,score,rank_in_cluster
1,kmeans,xgboost,7,Xelaev18040968m.g,0.9632107019424438,1
1,kmeans,xgboost,7,atp6ap1.1.S,0.01822219416499138,2
1,kmeans,xgboost,7,atp6v1h.L,0.011928414925932884,3
1,kmeans,xgboost,7,Xelaev18045649m.g,0.006638697348535061,4
1,kmeans,xgboost,7,ctsl.L,0.0,5
1,kmeans,xgboost,7,scg3.L,0.0,6
1,kmeans,xgboost,7,Xelaev18018196m.g,0.0,7
1,kmeans,xgboost,7,duox1.L,0.0,8
1,kmeans,xgboost,7,ctsh.L,0.0,9
1,kmeans,xgboost,7,rora.L,0.0,10
1,kmeans,xgboost,7,rbpms2.L,0.0,11
1,kmeans,xgboost,7,fgf7.L,0.0,12
1,kmeans,xgboost,7,unnamed.L.3,0.0,13
1,kmeans,xgboost,7,sema7a.L,0.0,14
1,kmeans,xgboost,7,Xelaev18018009m.g,0.0,15
1,kmeans,xgboost,7,crabp1.L,0.0,16
1,kmeans,xgboost,7,slc24a5.L,0.0,17
1,kmeans,xgboost,7,eln2.S,0.0,18
1,kmeans,xgboost,7,Xelaev18017960m.g,0.0,19
1,kmeans,xgboost,7,loc100490291.L,0.0,20
1,kmeans,xgboost,7,map1a.L,0.0,21
1,kmeans,xgboost,7,map1a.like.L,0.0,22
1,kmeans,xgboost,7,ttll13.L,0.0,23
1,kmeans,xgboost,7,c15orf26.L,0.0,24
1,kmeans,xgboost,7,loc100491930.L,0.0,25
1,kmeans,xgboost,7,loc100488087.L,0.0,26
1,kmeans,xgboost,7,rhcg.L,0.0,27
1,kmeans,xgboost,7,hapln3.L,0.0,28
1,kmeans,xgboost,7,acan.L,0.0,29
1,kmeans,xgboost,7,gnrhr2.nmi.L,0.0,30
1,kmeans,xgboost,7,nif.L,0.0,31
1,kmeans,xgboost,7,Xelaev18018612m.g,0.0,32
1,kmeans,xgboost,7,pstpip1.L,0.0,33
1,kmeans,xgboost,7,odf3.L,0.0,34
1,kmeans,xgboost,7,cttn.like.1.L,0.0,35
1,kmeans,xgboost,7,pgam2.L,0.0,36
1,kmeans,xgboost,7,stab2.L,0.0,37
1,kmeans,xgboost,7,pah.L,0.0,38
1,kmeans,xgboost,7,lta4h.L,0.0,39
1,kmeans,xgboost,7,myf5.L,0.0,40
1,kmeans,xgboost,7,nts.L,0.0,41
1,kmeans,xgboost,7,Xelaev18017456m.g,0.0,42
1,kmeans,xgboost,7,epyc.L,0.0,43
1,kmeans,xgboost,7,kera.L,0.0,44
1,kmeans,xgboost,7,dcn.L,0.0,45
1,kmeans,xgboost,7,lyz.L,0.0,46
1,kmeans,xgboost,7,ptprb.L,0.0,47
1,kmeans,xgboost,7,phlda1.L,0.0,48
1,kmeans,xgboost,7,syt1.like.L,0.0,49
1,kmeans,xgboost,7,nell2.L,0.0,50
1,kmeans,xgboost,7,pdzrn4.L,0.0,51
1,kmeans,xgboost,7,cntn1.L,0.0,52
1,kmeans,xgboost,7,cav1.L,0.0,53
1,kmeans,xgboost,7,atp6ap1.1.L,0.0,54
1,kmeans,xgboost,7,il17rel.L,0.0,55
1,kmeans,xgboost,7,lamb4.L,0.0,56
1,kmeans,xgboost,7,Xelaev18017743m.g,0.0,57
1,kmeans,xgboost,7,efcab10.like.L,0.0,58
1,kmeans,xgboost,7,reln.L,0.0,59
1,kmeans,xgboost,7,fgl2.L,0.0,60
1,kmeans,xgboost,7,gata3.L,0.0,61
1,kmeans,xgboost,7,net1.L,0.0,62
1,kmeans,xgboost,7,lep.L,0.0,63
1,kmeans,xgboost,7,il1b.L,0.0,64
