time,method,model,cluster,gene,score,rank_in_cluster
2,kmeans,svm,8,vcan.L,0.3151622720634413,1
2,kmeans,svm,8,ntn1.S,-0.21035963884096223,2
2,kmeans,svm,8,lta4h.L,-0.18067207481518202,3
2,kmeans,svm,8,eln1.L,-0.17998683966476262,4
2,kmeans,svm,8,ppap2b.S,0.1794803058037297,5
2,kmeans,svm,8,col8a2.S,-0.1764986451984486,6
2,kmeans,svm,8,gfpt2.L,-0.17492950348676667,7
2,kmeans,svm,8,ptx3.L,0.164984713689203,8
2,kmeans,svm,8,krt12.L,-0.1630996773771205,9
2,kmeans,svm,8,col2a1.L,0.1607562085798151,10
2,kmeans,svm,8,dio3.L,0.1591850613937419,11
2,kmeans,svm,8,col1a1.S,0.15322270601831953,12
2,kmeans,svm,8,epyc.L,-0.1509879334144447,13
2,kmeans,svm,8,col1a1.L,0.14987009830805706,14
2,kmeans,svm,8,myod1.S,-0.1451200354997122,15
2,kmeans,svm,8,loc100496183.L,0.1444526111357462,16
2,kmeans,svm,8,kpna2.S,0.14410561212754255,17
2,kmeans,svm,8,col8a1.L,-0.140996517010995,18
2,kmeans,svm,8,f2rl3.L,0.13916491021814803,19
2,kmeans,svm,8,efemp1.S,-0.13830905426260762,20
2,kmeans,svm,8,loc100494786.S,-0.13815316131074273,21
2,kmeans,svm,8,itgbl1.S,-0.13743312949588055,22
2,kmeans,svm,8,gamt.L,0.13730328607199546,23
2,kmeans,svm,8,Xelaev18016080m.g,-0.13470991854071993,24
2,kmeans,svm,8,myf5.S,-0.1340747625866965,25
2,kmeans,svm,8,sfrp2.S,0.13367181541641157,26
2,kmeans,svm,8,otos.L,-0.13206354104527154,27
2,kmeans,svm,8,sfrp2.L,0.1318782526655614,28
2,kmeans,svm,8,hsp90aa1.1.L,-0.1316522675845714,29
2,kmeans,svm,8,hey1.L,-0.131082010959777,30
2,kmeans,svm,8,scoc.S,0.1301939943310092,31
2,kmeans,svm,8,col1a2.L,-0.1284340337565895,32
2,kmeans,svm,8,fos.S,-0.12739895813249272,33
2,kmeans,svm,8,stc1.L,0.12476294117260979,34
2,kmeans,svm,8,syne1.L,0.12333237138328475,35
2,kmeans,svm,8,hes5.2.S,-0.12297159902490708,36
2,kmeans,svm,8,col11a2p1.S,-0.1201234362791654,37
2,kmeans,svm,8,tnfaip6.S,0.11917073600963846,38
2,kmeans,svm,8,gngt1.L,0.11687006127531697,39
2,kmeans,svm,8,gpi.S,-0.11560487438645006,40
2,kmeans,svm,8,pax7.L,-0.11480415944234865,41
2,kmeans,svm,8,lmcd1.S,-0.11445442665316397,42
2,kmeans,svm,8,colec12.S,0.11442786749752314,43
2,kmeans,svm,8,foxr1.L,-0.11343649241148161,44
2,kmeans,svm,8,mmp8.L,-0.11253337367620998,45
2,kmeans,svm,8,mmp11.L,0.11204965283747433,46
2,kmeans,svm,8,Xetrov90018123m.L,-0.10953309713958896,47
2,kmeans,svm,8,cilp.L,0.1059180655466525,48
2,kmeans,svm,8,krt16.S,-0.10513166318166187,49
2,kmeans,svm,8,Xelaev18045096m.g,-0.10451000681718699,50
2,kmeans,svm,8,actc1.S,-0.1038743024253967,51
2,kmeans,svm,8,msmb.3.L,-0.10139596211830965,52
2,kmeans,svm,8,cxcr4.L,-0.0982420291351937,53
2,kmeans,svm,8,ccnb1.2.S,-0.09814459654819227,54
2,kmeans,svm,8,col9a1.L,0.09766339173693157,55
2,kmeans,svm,8,myod1.L,-0.09762518137681629,56
2,kmeans,svm,8,lgmn.L,-0.0975637853732739,57
2,kmeans,svm,8,bmp7.1.L,0.09696665735395983,58
2,kmeans,svm,8,acta2.L,-0.09451089992410902,59
2,kmeans,svm,8,ifi30.L,-0.09268549123483896,60
2,kmeans,svm,8,cldn5.S,-0.09067341358093196,61
2,kmeans,svm,8,rspo2.L,0.09056357619297864,62
2,kmeans,svm,8,tgfbr3.S,-0.09040168658389736,63
2,kmeans,svm,8,loc100488697.L,-0.0896999351699695,64
2,kmeans,svm,8,crispld2.S,-0.08948947249654406,65
2,kmeans,svm,8,ccdc80.S,-0.08876560755208318,66
2,kmeans,svm,8,crp.4.L,-0.08772472052743246,67
2,kmeans,svm,8,Xelaev18038148m.g,-0.08751642843845835,68
2,kmeans,svm,8,Xelaev18040855m.g,-0.08655692481347968,69
2,kmeans,svm,8,col1a2.S,0.08638667669529704,70
2,kmeans,svm,8,fgfr4.L,-0.08599852645965991,71
2,kmeans,svm,8,tuba4a.S,0.08388515034018762,72
2,kmeans,svm,8,sema3a.L,-0.08369427401175292,73
2,kmeans,svm,8,dse.S,0.08290649104873335,74
2,kmeans,svm,8,ecm1.L,-0.08237183090809198,75
2,kmeans,svm,2,Xelaev18012141m.g,-0.13983444806229833,1
2,kmeans,svm,2,col1a2.L,-0.10789607136353875,2
2,kmeans,svm,2,Xelaev18045052m.g,-0.09377031143085961,3
2,kmeans,svm,2,umod.2.L,-0.08024598051989695,4
2,kmeans,svm,2,Xelaev18045096m.g,-0.07233674805474544,5
2,kmeans,svm,2,Xelaev18015037m.g,-0.07214285016881965,6
2,kmeans,svm,2,msln.L,0.06497778685972785,7
2,kmeans,svm,2,krt.S,0.06112000579141843,8
2,kmeans,svm,2,col1a1.S,-0.058840674540818136,9
2,kmeans,svm,2,ctgf.L,-0.05708570712219764,10
2,kmeans,svm,2,krt16.S,0.05595993026952749,11
2,kmeans,svm,2,agr2.L,0.05444041491504453,12
2,kmeans,svm,2,fabp3.L,-0.047485675093212984,13
2,kmeans,svm,2,Xelaev18011516m.g,0.04747491449334585,14
2,kmeans,svm,2,Xelaev18047460m.g,-0.04709143300000075,15
2,kmeans,svm,2,Xelaev18034081m.g,0.04701220070656325,16
2,kmeans,svm,2,loc101735110.L,0.04690840722552986,17
2,kmeans,svm,2,tmem38b.L,0.04635518158994207,18
2,kmeans,svm,2,loc100497729.L,0.04612596793838358,19
2,kmeans,svm,2,loc101731311.L,0.04603661922020693,20
2,kmeans,svm,2,rhcg.L,0.043893794954008115,21
2,kmeans,svm,2,Xelaev18001105m.g,-0.043806001061071013,22
2,kmeans,svm,2,Xetrov90030519m.L,0.04359284020448203,23
2,kmeans,svm,2,krt16.L,0.043435060582440795,24
2,kmeans,svm,2,col1a1.L,-0.0417045738233874,25
2,kmeans,svm,2,Xelaev18016451m.g,-0.040349486815968456,26
2,kmeans,svm,2,Xelaev18016080m.g,-0.03997094181525754,27
2,kmeans,svm,2,Xelaev18047462m.g,-0.039540496673762186,28
2,kmeans,svm,2,loc100492325.like.2.L,-0.0389320109219154,29
2,kmeans,svm,2,atp13a.like.L,0.03791175051149595,30
2,kmeans,svm,2,Xelaev18045222m.g,-0.03754826808787634,31
2,kmeans,svm,2,Xelaev18022490m.g,-0.03638066059191202,32
2,kmeans,svm,2,scnn1b.S,0.03629976806902869,33
2,kmeans,svm,2,loc100485626.L,-0.036136251366484934,34
2,kmeans,svm,2,loc100490489.L,-0.03582416974302479,35
2,kmeans,svm,2,s100a11.S,0.035610279030840415,36
2,kmeans,svm,2,Xelaev18045649m.g,0.03553010173418645,37
2,kmeans,svm,2,col3a1.S,-0.035315692157928964,38
2,kmeans,svm,2,oxct1.L,0.034351493336966854,39
2,kmeans,svm,2,loc100490489.S,-0.034268035148402036,40
2,kmeans,svm,2,loc549413.S,-0.03409748760014917,41
2,kmeans,svm,2,timp.1.S,-0.034044868385442885,42
2,kmeans,svm,2,loc101735282.S,0.03397687996118132,43
2,kmeans,svm,2,col1a2.S,-0.0336697978789727,44
2,kmeans,svm,2,Xelaev18012120m.g,-0.03342240712814054,45
2,kmeans,svm,2,epgn.L,0.03269780801784633,46
2,kmeans,svm,2,Xelaev18018009m.g,-0.03249618106887599,47
2,kmeans,svm,2,Xelaev18001106m.g,-0.03233638411001715,48
2,kmeans,svm,2,Xetrov90018123m.S,0.03230244793426614,49
2,kmeans,svm,2,syt8.L,0.031687581768644384,50
2,kmeans,svm,2,tuba4a.S,-0.03156015797233214,51
