time,method,model,cluster,gene,score,rank_in_cluster
all,kmeans,svm,1,Xelaev18045082m.g,-0.9258645336574188,1
all,kmeans,svm,1,col1a2.L,0.6225074175612255,2
all,kmeans,svm,1,Xelaev18047453m.g,-0.6005559734137736,3
all,kmeans,svm,1,gp1bb.S,0.5511029585509875,4
all,kmeans,svm,1,Xelaev18002241m.g,0.47680448837712547,5
all,kmeans,svm,1,Xelaev18047608m.g,-0.46734636893209575,6
all,kmeans,svm,1,gpi.L,-0.4635790873202849,7
all,kmeans,svm,1,mitf.S,-0.45277263103501175,8
all,kmeans,svm,1,ogn.L,-0.44329694269408293,9
all,kmeans,svm,1,col3a1.S,-0.4415633431127827,10
all,kmeans,svm,1,loc101734526.L,-0.42703093947181536,11
all,kmeans,svm,1,hbg1.S,-0.4253401743778266,12
all,kmeans,svm,1,lum.S,-0.42064835779749954,13
all,kmeans,svm,1,gstz1.L,-0.41890990182474214,14
all,kmeans,svm,1,tal1.L,-0.4127631434982103,15
all,kmeans,svm,1,mgarp.L,-0.41198229450563445,16
all,kmeans,svm,1,cndp2.S,-0.4051554263502608,17
all,kmeans,svm,1,myf5.S,-0.38352868428429343,18
all,kmeans,svm,1,psap.S,-0.3517014672712998,19
all,kmeans,svm,1,Xelaev18009066m.g,-0.3480280998563725,20
all,kmeans,svm,1,loc100496216.L,0.34788789589120905,21
all,kmeans,svm,1,kif2a.L,0.34491244957593303,22
all,kmeans,svm,1,fabp4.S,-0.3440908380543687,23
all,kmeans,svm,1,dstn.S,-0.34212841700291974,24
all,kmeans,svm,1,ca2.L,0.33387354857347923,25
all,kmeans,svm,1,map1b.L,0.33017881924499,26
all,kmeans,svm,1,tcn2.L,0.3285770857338542,27
all,kmeans,svm,1,Xelaev18047610m.g,0.3243393278665549,28
all,kmeans,svm,1,lfng.S,-0.32308890089224807,29
all,kmeans,svm,1,Xelaev18047452m.g,-0.32077259812396836,30
all,kmeans,svm,1,areg.S,-0.3200957242255367,31
all,kmeans,svm,1,ckm.L,-0.3185500781402574,32
all,kmeans,svm,1,ncam1.L,-0.31580892263353894,33
all,kmeans,svm,1,ets2.L,-0.3153374003875349,34
all,kmeans,svm,1,ly6g6c.L,-0.3123290644370512,35
all,kmeans,svm,1,dpepe.L,0.3042341828722933,36
all,kmeans,svm,1,myl1.L,-0.30361298534125863,37
all,kmeans,svm,1,lect1.L,0.3016931337671802,38
all,kmeans,svm,1,loc100490646.S,-0.30038053136125575,39
all,kmeans,svm,1,zfand2a.L,0.3003042759327567,40
all,kmeans,svm,1,Xelaev18002248m.g,-0.2959711637571417,41
