time,method,model,cluster,gene,score,rank_in_cluster
all,kmeans,xgboost,1,Xelaev18002241m.g,0.60682612657547,1
all,kmeans,xgboost,1,Xelaev18045082m.g,0.07021971046924591,2
all,kmeans,xgboost,1,ca2.L,0.0617612786591053,3
all,kmeans,xgboost,1,Xelaev18047452m.g,0.03487598896026611,4
all,kmeans,xgboost,1,lum.S,0.029802536591887474,5
all,kmeans,xgboost,1,hbg2.L,0.029654216021299362,6
all,kmeans,xgboost,1,krt12.S,0.024213207885622978,7
all,kmeans,xgboost,1,Xelaev18003734m.g,0.019085804000496864,8
all,kmeans,xgboost,1,Xelaev18047453m.g,0.016440866515040398,9
all,kmeans,xgboost,1,pgam1.S,0.011204387992620468,10
all,kmeans,xgboost,1,fos.L,0.010485785081982613,11
all,kmeans,xgboost,1,col1a2.L,0.009774798527359962,12
all,kmeans,xgboost,1,loc100487364.L,0.00885068066418171,13
all,kmeans,xgboost,1,txn.L,0.007023614831268787,14
all,kmeans,xgboost,1,Xelaev18001105m.g,0.0058519477024674416,15
all,kmeans,xgboost,1,ly6g6c.L,0.004493499640375376,16
all,kmeans,xgboost,1,Xelaev18016080m.g,0.0043860068544745445,17
all,kmeans,xgboost,1,col2a1.L,0.004116719588637352,18
all,kmeans,xgboost,1,fos.S,0.0035721014719456434,19
all,kmeans,xgboost,1,fabp3.S,0.0034430234227329493,20
all,kmeans,xgboost,1,psap.S,0.0031559548806399107,21
all,kmeans,xgboost,1,ccl42d.L,0.0029945652931928635,22
all,kmeans,xgboost,1,lta4h.L,0.002542149508371949,23
all,kmeans,xgboost,1,loc101734526.L,0.002086010528728366,24
all,kmeans,xgboost,1,Xelaev18047462m.g,0.00207538902759552,25
all,kmeans,xgboost,1,Xelaev18047460m.g,0.0020629032514989376,26
all,kmeans,xgboost,1,Xelaev18020203m.g,0.0016117781633511186,27
all,kmeans,xgboost,1,Xelaev18037480m.g,0.0015602601924911141,28
all,kmeans,xgboost,1,ckm.L,0.001372616970911622,29
all,kmeans,xgboost,1,Xetrov90018123m.L,0.0010772236855700612,30
all,kmeans,xgboost,1,MGC75752.L,0.0010513884481042624,31
all,kmeans,xgboost,1,nmral1.S,0.001020040363073349,32
all,kmeans,xgboost,1,Xelaev18045100m.g,0.0010101806838065386,33
all,kmeans,xgboost,1,myl1.S,0.0009869859786704183,34
all,kmeans,xgboost,1,Xetrov90018212m.S,0.0009730863384902477,35
all,kmeans,xgboost,1,gpi.S,0.0009116340661421418,36
