time,method,model,cluster,gene,score,rank_in_cluster
all,louvain,logreg,0,ca2.L,1.895013451576233,1
all,louvain,logreg,0,Xelaev18002241m.g,1.396294355392456,2
all,louvain,logreg,0,MGC75752.L,0.7836320996284485,3
all,louvain,logreg,0,Xetrov90018123m.S,0.7813243865966797,4
all,louvain,logreg,0,MGC75752.S,0.6689642071723938,5
all,louvain,logreg,0,tkt.S,0.6566607356071472,6
all,louvain,logreg,0,hbg2.L,0.6423547267913818,7
all,louvain,logreg,0,Xelaev18020998m.g,0.5798099637031555,8
all,louvain,logreg,0,Xelaev18003790m.g,0.5730213522911072,9
all,louvain,logreg,0,phldb3.S,0.5715399384498596,10
all,louvain,logreg,0,umod.2.L,0.5672666430473328,11
all,louvain,logreg,0,Xelaev18034929m.g,0.5621670484542847,12
all,louvain,logreg,0,Xelaev18035512m.g,0.5536044836044312,13
all,louvain,logreg,0,frem2.1.L,0.5445101857185364,14
all,louvain,logreg,0,gsta1.L,0.5404775738716125,15
all,louvain,logreg,0,Xelaev18038704m.g,0.5334275364875793,16
all,louvain,logreg,0,loc105948211.L,0.5192074179649353,17
all,louvain,logreg,0,loc101732853.L,0.4888402223587036,18
all,louvain,logreg,0,ccl42d.L,0.48730456829071045,19
all,louvain,logreg,0,atp6v1c2.L,0.481166273355484,20
all,louvain,logreg,0,Xelaev18022529m.g,0.4758966863155365,21
all,louvain,logreg,0,acta2.S,0.45266178250312805,22
all,louvain,logreg,0,s100a11.S,0.44800347089767456,23
all,louvain,logreg,0,loc100489257.L,0.43750226497650146,24
all,louvain,logreg,0,Xelaev18019228m.g,0.43735471367836,25
all,louvain,logreg,0,Xelaev18017743m.g,0.43284809589385986,26
all,louvain,logreg,0,tspan1.L,0.4218311607837677,27
all,louvain,logreg,0,ogn.L,0.41927438974380493,28
all,louvain,logreg,0,Xetrov90002578m.L,0.4166409969329834,29
all,louvain,logreg,0,tnni2.S,0.41484910249710083,30
all,louvain,logreg,0,loc100494072.like.S,0.41433653235435486,31
all,louvain,logreg,0,msx2.S,0.40894022583961487,32
all,louvain,logreg,0,c8orf4.S,0.4023277163505554,33
all,louvain,logreg,0,cplx1.S,0.40211817622184753,34
all,louvain,logreg,0,zfand2a.L,0.40148651599884033,35
all,louvain,logreg,0,chit1.S,0.39784249663352966,36
all,louvain,logreg,0,pgd.S,0.3876855969429016,37
all,louvain,logreg,0,loc100494945.L,0.3799535036087036,38
all,louvain,logreg,0,aplp1.L,0.37741121649742126,39
all,louvain,logreg,0,abat.S,0.376726895570755,40
all,louvain,logreg,0,snx31.L,0.3756801187992096,41
all,louvain,logreg,0,pygm.L,0.37267959117889404,42
all,louvain,logreg,0,loc100490489.L,0.37236303091049194,43
