time,method,model,cluster,gene,score,rank_in_cluster
1,kmeans,logreg,0,hbg2.L,2.3814821243286133,1
1,kmeans,logreg,0,Xelaev18047462m.g,1.7661526203155518,2
1,kmeans,logreg,0,Xelaev18037839m.g,0.5418634414672852,3
1,kmeans,logreg,0,Xelaev18044446m.g,0.4305681884288788,4
1,kmeans,logreg,0,Xelaev18002241m.g,0.40197697281837463,5
1,kmeans,logreg,0,ccl42d.L,0.3070913553237915,6
1,kmeans,logreg,0,hsp90aa1.1.L,0.2935203015804291,7
1,kmeans,logreg,0,Xelaev18047460m.g,0.2926885485649109,8
1,kmeans,logreg,0,loc100137715.S,0.2887171506881714,9
1,kmeans,logreg,0,fn1.L,0.27825191617012024,10
1,kmeans,logreg,0,Xelaev18022528m.g,0.2707515060901642,11
1,kmeans,logreg,0,ctsb.S,0.24200138449668884,12
1,kmeans,logreg,0,hebp2.L,0.23900243639945984,13
1,kmeans,logreg,0,Xelaev18022531m.g,0.2041764110326767,14
1,kmeans,logreg,0,acat1.L,0.20391523838043213,15
1,kmeans,logreg,0,hmox1.L,0.2005956470966339,16
1,kmeans,logreg,0,bambi.S,0.19946248829364777,17
1,kmeans,logreg,0,Xelaev18014009m.g,0.18695031106472015,18
1,kmeans,logreg,0,Xelaev18045095m.g,0.1861906498670578,19
1,kmeans,logreg,0,pfkfb4.S,0.18279199302196503,20
1,kmeans,logreg,0,Xelaev18045363m.g,0.17718133330345154,21
1,kmeans,logreg,0,lgmn.L,0.17348402738571167,22
1,kmeans,logreg,0,ggh.2.L,0.17143483459949493,23
1,kmeans,logreg,0,dpepe.L,0.17110945284366608,24
1,kmeans,logreg,0,col1a1.L,0.16708703339099884,25
1,kmeans,logreg,0,Xelaev18047430m.g,0.1661006659269333,26
1,kmeans,logreg,0,zfand2a.L,0.16594074666500092,27
1,kmeans,logreg,0,loc100495760.L,0.15980976819992065,28
1,kmeans,logreg,0,rogdi.L,0.1597147434949875,29
1,kmeans,logreg,0,pgd.S,0.15676875412464142,30
1,kmeans,logreg,0,clca3p.like.S,0.1549939662218094,31
1,kmeans,logreg,0,cldn6.1.L,0.1515074074268341,32
1,kmeans,logreg,0,gap43.S,0.14539602398872375,33
1,kmeans,logreg,0,cybb.L,0.14074105024337769,34
1,kmeans,logreg,0,Xelaev18045052m.g,0.13939005136489868,35
1,kmeans,logreg,0,slc10a4.L,0.13109850883483887,36
1,kmeans,logreg,0,loc101730537.like.L,0.1307344138622284,37
1,kmeans,logreg,0,tcn2.L,0.12953248620033264,38
1,kmeans,logreg,0,gp1bb.S,0.12777173519134521,39
1,kmeans,logreg,0,Xelaev18023137m.g,0.1268276870250702,40
1,kmeans,logreg,0,Xetrov90011361m.L,0.1263120323419571,41
1,kmeans,logreg,0,rgs1.S,0.1260635405778885,42
1,kmeans,logreg,0,Xelaev18022166m.g,0.12421564012765884,43
1,kmeans,logreg,0,Xelaev18000342m.g,0.12373196333646774,44
1,kmeans,logreg,0,loc100491788.S,0.12338406592607498,45
1,kmeans,logreg,0,sema3f.like.1.L,0.12310725450515747,46
1,kmeans,logreg,0,loc100487808.L,0.12241428345441818,47
1,kmeans,logreg,0,ctgf.L,0.11866281181573868,48
1,kmeans,logreg,0,psap.S,0.11834227293729782,49
1,kmeans,logreg,0,ccl4.L,0.11732274293899536,50
1,kmeans,logreg,0,actc1.L,0.11453883349895477,51
1,kmeans,logreg,0,Xetrov90018753m.S,0.11290833353996277,52
1,kmeans,logreg,0,Xelaev18047861m.g,0.11242672055959702,53
