time,method,model,cluster,gene,score,rank_in_cluster
1,leiden,xgboost,25,atp6v0a4.L,0.32494428753852844,1
1,leiden,xgboost,25,Xelaev18045363m.g,0.1585175096988678,2
1,leiden,xgboost,25,Xelaev18041411m.g,0.10495176911354065,3
1,leiden,xgboost,25,s100a11.S,0.07609345763921738,4
1,leiden,xgboost,25,Xelaev18020998m.g,0.07368618249893188,5
1,leiden,xgboost,25,loc100498507.S,0.033844370394945145,6
1,leiden,xgboost,25,atp6v1c2.L,0.027781689539551735,7
1,leiden,xgboost,25,loc100488828.L,0.026177948340773582,8
1,leiden,xgboost,25,krt8.S,0.022714510560035706,9
1,leiden,xgboost,25,loc100495848.S,0.01975962147116661,10
1,leiden,xgboost,25,gcnt2.L,0.018243534490466118,11
1,leiden,xgboost,25,tldc2.L,0.015051844529807568,12
1,leiden,xgboost,25,wdr16.L,0.011763853020966053,13
1,leiden,xgboost,25,Xetrov90018123m.L,0.009595857001841068,14
1,leiden,xgboost,25,atp6v0d2.L,0.00806377362459898,15
1,leiden,xgboost,25,cystm1.L,0.007701813708990812,16
1,leiden,xgboost,25,tmem72.L,0.007122835610061884,17
1,leiden,xgboost,25,tgm5.S,0.0070601110346615314,18
1,leiden,xgboost,25,atp6v1g3.L,0.006620961241424084,19
1,leiden,xgboost,25,atp6v1b1.L,0.00621799798682332,20
1,leiden,xgboost,25,Xelaev18022528m.g,0.006216405890882015,21
1,leiden,xgboost,25,insrr.S,0.0043387445621192455,22
1,leiden,xgboost,25,rnasek.S,0.004068651236593723,23
1,leiden,xgboost,25,acat1.L,0.002491649705916643,24
1,leiden,xgboost,25,elf3.L,0.002242725109681487,25
1,leiden,xgboost,25,aldob.L,0.0022167677525430918,26
1,leiden,xgboost,25,loc100127564.L,0.002199612557888031,27
1,leiden,xgboost,25,Xetrov90030519m.L,0.0019116526236757636,28
1,leiden,xgboost,25,foxi1.S,0.0012655967148020864,29
1,leiden,xgboost,25,tspan1.L,0.0010891231941059232,30
1,leiden,xgboost,25,rhcg.L,0.0010136577766388655,31
1,leiden,xgboost,25,upk1b.S,0.0009753323392942548,32
1,leiden,xgboost,25,Xelaev18011400m.g,0.000876332342159003,33
1,leiden,xgboost,25,upk1a.L,0.0007677942048758268,34
1,leiden,xgboost,25,rcan1.L,0.0007243570871651173,35
1,leiden,xgboost,25,Xelaev18022166m.g,0.0007015026640146971,36
1,leiden,xgboost,25,suclg2.L,0.0006054582190699875,37
1,leiden,xgboost,25,rogdi.L,0.00034037369186989963,38
1,leiden,xgboost,25,tmem213.S,4.032568904221989e-05,39
1,leiden,xgboost,25,hapln3.L,0.0,40
1,leiden,xgboost,25,map1a.L,0.0,41
1,leiden,xgboost,25,ctsl.L,0.0,42
1,leiden,xgboost,25,ctsh.L,0.0,43
1,leiden,xgboost,25,duox1.L,0.0,44
1,leiden,xgboost,25,Xelaev18018196m.g,0.0,45
1,leiden,xgboost,25,scg3.L,0.0,46
1,leiden,xgboost,25,cd53.S,0.0,47
1,leiden,xgboost,25,slc24a5.L,0.0,48
1,leiden,xgboost,25,fgf7.L,0.0,49
1,leiden,xgboost,25,loc100490291.L,0.0,50
1,leiden,xgboost,25,map1a.like.L,0.0,51
1,leiden,xgboost,25,loc100488087.L,0.0,52
1,leiden,xgboost,25,loc100497390.S,0.0,53
1,leiden,xgboost,25,Xelaev18018612m.g,0.0,54
1,leiden,xgboost,25,ttll13.L,0.0,55
1,leiden,xgboost,25,olfml3.S,0.0,56
1,leiden,xgboost,25,nif.L,0.0,57
1,leiden,xgboost,25,gnrhr2.nmi.L,0.0,58
1,leiden,xgboost,25,acan.L,0.0,59
