time,method,model,cluster,gene,score,rank_in_cluster
2,leiden,svm,21,col2a1.L,0.3339507617373068,1
2,leiden,svm,21,col9a1.L,0.30911667401075815,2
2,leiden,svm,21,tuba4a.S,0.2342758207418937,3
2,leiden,svm,21,epyc.L,-0.22953765528510922,4
2,leiden,svm,21,f2rl3.L,0.2128448333264394,5
2,leiden,svm,21,col8a2.S,-0.20544821644388064,6
2,leiden,svm,21,mmp11.L,0.20225415342076578,7
2,leiden,svm,21,Xelaev18045096m.g,-0.1968030428107402,8
2,leiden,svm,21,angptl7.L,0.18427298708674253,9
2,leiden,svm,21,col1a2.L,-0.18197897247685793,10
2,leiden,svm,21,otos.L,-0.1643669875512391,11
2,leiden,svm,21,ifi30.L,-0.1577912681779457,12
2,leiden,svm,21,igfbp5.S,-0.15774223504357196,13
2,leiden,svm,21,itgbl1.S,-0.1510630406748609,14
2,leiden,svm,21,loc100488697.L,-0.14892337559671254,15
2,leiden,svm,21,col8a1.S,-0.1486330258719491,16
2,leiden,svm,21,txn.L,-0.14628361805001183,17
2,leiden,svm,21,loc100485272.like.S,-0.1454693345786854,18
2,leiden,svm,21,tgfbr3.S,-0.14304827855287341,19
2,leiden,svm,21,lmcd1.S,-0.13889673440290298,20
2,leiden,svm,21,prss35.S,-0.13879157511553133,21
2,leiden,svm,21,gfpt2.L,-0.13641051742665528,22
2,leiden,svm,21,fn1.S,-0.13622698103219705,23
2,leiden,svm,21,mxra5.S,-0.1358662070498874,24
2,leiden,svm,21,cxcl12.L,-0.13428756358977598,25
2,leiden,svm,21,col1a2.S,-0.13381105432829812,26
2,leiden,svm,21,lama1.L,0.12741919978438238,27
2,leiden,svm,21,col1a1.L,0.12630039621554243,28
2,leiden,svm,21,tubb2b.S,-0.12607499180524315,29
2,leiden,svm,21,timp.1.S,-0.12411165157867213,30
2,leiden,svm,21,MGC75752.S,-0.12193106791424986,31
2,leiden,svm,21,ebf3.S,-0.12071595160178734,32
2,leiden,svm,21,cxcl10.L,-0.11998615845017079,33
2,leiden,svm,21,Xelaev18040855m.g,-0.11894389899947698,34
2,leiden,svm,21,sfrp2.L,-0.11859658423358106,35
2,leiden,svm,21,dse.S,0.11818413493830011,36
2,leiden,svm,21,lect1.L,-0.11817856190403667,37
2,leiden,svm,21,tnfaip6.S,0.11769840983914581,38
2,leiden,svm,21,tnfaip6.L,-0.1175838945883591,39
2,leiden,svm,21,nov.L,-0.11665139231320741,40
2,leiden,svm,21,atp6v1d.S,0.11531148508145903,41
2,leiden,svm,21,lta4h.L,-0.11506724493348845,42
2,leiden,svm,21,cldn5.S,-0.1150655120153194,43
2,leiden,svm,21,gamt.L,0.11341095193117803,44
2,leiden,svm,21,ntn1.S,-0.1123531527271056,45
2,leiden,svm,21,tagln.L,-0.11219595951356678,46
2,leiden,svm,21,Xelaev18045052m.g,-0.11182364775353121,47
2,leiden,svm,21,mmp15.L,-0.11077804311777628,48
2,leiden,svm,21,tspan7.S,0.10887819248004572,49
2,leiden,svm,21,crispld2.S,-0.10856109833671024,50
2,leiden,svm,21,krt12.L,-0.10813278777073604,51
2,leiden,svm,21,krt18.L,-0.10709115381744755,52
2,leiden,svm,21,bmp7.1.L,0.10448999711157786,53
2,leiden,svm,21,Xelaev18012967m.g,-0.10334989181004993,54
2,leiden,svm,21,loc101734287.S,-0.10313062950915568,55
2,leiden,svm,21,col27a1.S,-0.10306112064840055,56
2,leiden,svm,21,enpp2.L,-0.10263570489337459,57
2,leiden,svm,21,htra1.L,0.10145233874152888,58
2,leiden,svm,21,col11a2p1.S,-0.10007494015478945,59
2,leiden,svm,21,hgd.L,-0.09992963875257874,60
2,leiden,svm,21,qdpr.L,0.09953539826155339,61
2,leiden,svm,21,Xelaev18039277m.g,0.09850836522432291,62
2,leiden,svm,21,cdk1.S,0.09684940364490076,63
