time,method,model,cluster,gene,score,rank_in_cluster
2,louvain,svm,20,col9a1.L,0.3385148481807743,1
2,louvain,svm,20,col2a1.L,0.2823339675157073,2
2,louvain,svm,20,epyc.L,-0.26842877466523185,3
2,louvain,svm,20,col8a2.S,-0.24661251129956044,4
2,louvain,svm,20,tuba4a.S,0.22648424392259012,5
2,louvain,svm,20,f2rl3.L,0.21362516699606743,6
2,louvain,svm,20,itgbl1.S,-0.2099388371397833,7
2,louvain,svm,20,otos.L,-0.19141318465186807,8
2,louvain,svm,20,txn.L,-0.1903431337425097,9
2,louvain,svm,20,gfpt2.L,-0.18545035347992878,10
2,louvain,svm,20,igfbp5.S,-0.17604338609081457,11
2,louvain,svm,20,ifi30.L,-0.16714014857972465,12
2,louvain,svm,20,mmp11.L,0.1669464283437179,13
2,louvain,svm,20,tgfbr3.S,-0.16289713450433438,14
2,louvain,svm,20,col8a1.S,-0.1542686423608175,15
2,louvain,svm,20,angptl7.L,0.1499288856362621,16
2,louvain,svm,20,col1a1.L,0.1497845983554234,17
2,louvain,svm,20,loc100488697.L,-0.148804383256875,18
2,louvain,svm,20,gdf10.L,-0.1476657922961762,19
2,louvain,svm,20,ptges.S,-0.14526640121391868,20
2,louvain,svm,20,Xelaev18045096m.g,-0.14511692731663978,21
2,louvain,svm,20,col1a2.S,-0.14510738034861756,22
2,louvain,svm,20,loc100485272.like.S,-0.14466298183711693,23
2,louvain,svm,20,mxra5.S,-0.14270899269921633,24
2,louvain,svm,20,prss35.S,-0.14256276924299424,25
2,louvain,svm,20,ptx3.S,-0.13783549490875477,26
2,louvain,svm,20,snai2.L,-0.1377402947413131,27
2,louvain,svm,20,gamt.L,0.13436051601998067,28
2,louvain,svm,20,ebf3.S,-0.13393385913690614,29
2,louvain,svm,20,tubb2b.S,-0.1311434277416739,30
2,louvain,svm,20,Xelaev18002248m.g,0.1305805798834072,31
2,louvain,svm,20,dse.S,0.13000163204351237,32
2,louvain,svm,20,col1a2.L,-0.12969893258443313,33
2,louvain,svm,20,tuba1b.S,0.12756786367974773,34
2,louvain,svm,20,Xetrov90005752m.S,-0.1271178456623383,35
2,louvain,svm,20,gngt1.L,0.12645231590596928,36
2,louvain,svm,20,lama1.L,0.12549126698845664,37
2,louvain,svm,20,atp6v0e2.S,-0.12371372811932929,38
2,louvain,svm,20,bmp7.1.L,0.12246987403642091,39
2,louvain,svm,20,Xelaev18045052m.g,-0.11629995828598738,40
2,louvain,svm,20,has2.S,0.11596768205024563,41
2,louvain,svm,20,Xelaev18007618m.g,0.11555354996162306,42
2,louvain,svm,20,cldn5.S,-0.11554862449962276,43
2,louvain,svm,20,col11a2p1.S,-0.11504775051626859,44
2,louvain,svm,20,crispld2.S,-0.11501762341986423,45
2,louvain,svm,20,hmox1.L,-0.11308855423211366,46
2,louvain,svm,20,smoc1.L,0.11168630596748864,47
2,louvain,svm,20,ctsc.S,-0.11115670683576677,48
2,louvain,svm,20,loc101734287.S,-0.11083772449875237,49
2,louvain,svm,20,lta4h.L,-0.11071451936016798,50
2,louvain,svm,20,Xetrov90011359m.L,-0.10872546832237964,51
2,louvain,svm,20,efemp1.S,-0.10730060298970528,52
2,louvain,svm,20,Xelaev18012967m.g,-0.10727385456589078,53
2,louvain,svm,20,emilin3.L,-0.10690041139287283,54
2,louvain,svm,20,qdpr.L,0.10672193898326843,55
2,louvain,svm,20,atp6v1d.S,0.10384678057562526,56
2,louvain,svm,20,Xelaev18001106m.g,-0.10313883086971307,57
2,louvain,svm,20,tfap2c.L,-0.10196237995318691,58
2,louvain,svm,20,tnfaip6.L,-0.10117839930416701,59
2,louvain,svm,20,elf3.L,-0.10083367207624548,60
2,louvain,svm,20,serpine1.L,-0.10032467291210123,61
2,louvain,svm,20,loc101731931.S,0.10015353518864341,62
2,louvain,svm,20,htra3.L,0.09988421401294986,63
2,louvain,svm,20,atp1b3.L,0.09938346296527346,64
2,louvain,svm,20,krt18.L,-0.09840494851095402,65
2,louvain,svm,20,lamb1.S,0.09759717817134841,66
2,louvain,svm,20,gap43.S,-0.09734179959112871,67
2,louvain,svm,20,lmcd1.S,-0.09679706396337476,68
2,louvain,svm,20,c8orf4.S,0.09664469742977345,69
2,louvain,svm,20,MGC75752.S,-0.09624777995958579,70
2,louvain,svm,20,htra1.L,0.09595921657753112,71
2,louvain,svm,20,tnfaip6.S,0.0953562386332479,72
2,louvain,svm,20,loc100494984.L,-0.09479967920403676,73
2,louvain,svm,20,pnoc.L,-0.09477840417480136,74
2,louvain,svm,20,cxcl12.L,-0.09445522539223769,75
2,louvain,svm,17,Xelaev18012141m.g,-0.15089132825489057,1
2,louvain,svm,17,Xelaev18015037m.g,-0.14323404820528166,2
2,louvain,svm,17,cyp26c1.S,-0.13126438684067904,3
2,louvain,svm,17,Xelaev18038704m.g,-0.12469622680348992,4
2,louvain,svm,17,krt12.L,0.11403128241771217,5
2,louvain,svm,17,Xelaev18045052m.g,-0.11031173070702253,6
2,louvain,svm,17,Xelaev18026753m.g,-0.10471034546932761,7
2,louvain,svm,17,Xelaev18045096m.g,-0.10269102429046832,8
2,louvain,svm,17,tmem30b.L,0.10210340007464168,9
2,louvain,svm,17,Xelaev18001106m.g,-0.09859688486149962,10
2,louvain,svm,17,Xelaev18043641m.g,0.09688594117210017,11
2,louvain,svm,17,loc100495760.L,-0.09478454939999997,12
2,louvain,svm,17,col1a1.S,-0.09422535603129797,13
2,louvain,svm,17,limch1.L,-0.09251707164568446,14
2,louvain,svm,17,nadk.S,-0.09082824340721644,15
2,louvain,svm,17,g6pc2.L,0.08874074702057118,16
2,louvain,svm,17,dse.S,0.07748897281425127,17
2,louvain,svm,17,crip1.L,-0.07614833418035515,18
2,louvain,svm,17,msln.L,0.07610810071478702,19
2,louvain,svm,17,col1a2.L,-0.07533807504690862,20
2,louvain,svm,17,tspan1.L,0.07338489656436077,21
2,louvain,svm,17,Xelaev18016451m.g,-0.07315089218645926,22
2,louvain,svm,17,Xetrov90011361m.L,-0.0728572119146677,23
2,louvain,svm,17,upk3b.L,-0.07281482401553846,24
2,louvain,svm,17,rhobtb1.L,-0.0716465509928008,25
2,louvain,svm,17,gjb2.L,0.0707880425316313,26
2,louvain,svm,17,ndrg1.S,0.06903662520757499,27
2,louvain,svm,17,loc100490489.L,0.06887014961859175,28
2,louvain,svm,17,cyp26c1.L,-0.06884966280546707,29
2,louvain,svm,17,slc38a4.L,-0.06825548829354791,30
2,louvain,svm,17,Xetrov90018123m.L,-0.06792560229978288,31
2,louvain,svm,17,aldob.L,-0.06706567695562228,32
2,louvain,svm,17,ctgf.S,0.06620097115772301,33
2,louvain,svm,17,cdo1.S,0.06592357627775661,34
2,louvain,svm,17,mal.L,-0.06391169581301134,35
2,louvain,svm,17,rab19.L,0.06389986317225889,36
2,louvain,svm,17,Xelaev18011516m.g,0.0637677394108108,37
2,louvain,svm,17,Xelaev18018612m.g,0.06272711653098645,38
2,louvain,svm,17,secisbp2l.S,0.0625102398460397,39
2,louvain,svm,17,apln.L,0.062446689797199306,40
2,louvain,svm,17,snx31.L,0.06229914235853901,41
2,louvain,svm,17,rhpn2.L,0.061473294909866937,42
2,louvain,svm,17,sptssb.L,-0.06132666679040201,43
2,louvain,svm,17,loc101732853.L,-0.061047179559260076,44
2,louvain,svm,17,krt.S,0.060262100270892516,45
2,louvain,svm,17,muc4.S,-0.060046713769247334,46
2,louvain,svm,17,vgll1.L,0.060028054024268335,47
2,louvain,svm,17,fam3b.L,0.05937991322237534,48
2,louvain,svm,17,sox3.L,-0.05926501857516321,49
2,louvain,svm,17,Xetrov90030519m.L,0.05910631187461031,50
2,louvain,svm,17,il17c.L,-0.05869087629000491,51
2,louvain,svm,17,sox3.S,-0.05821726951186243,52
2,louvain,svm,17,epn3.S,0.05783781574702337,53
2,louvain,svm,17,grhl1.L,-0.05764075628758929,54
2,louvain,svm,17,Xelaev18044287m.g,0.05741614127246064,55
2,louvain,svm,17,ctss.S,-0.057395093884952994,56
2,louvain,svm,17,Xelaev18034081m.g,0.05694101609142792,57
2,louvain,svm,17,agr2.L,-0.056572088175920264,58
2,louvain,svm,17,krt16.L,0.05586579791488169,59
2,louvain,svm,17,Xelaev18000704m.g,0.05575895880526783,60
2,louvain,svm,17,vgll1.S,-0.05553852312295182,61
2,louvain,svm,17,rdh7.2.L,0.054958182864917576,62
2,louvain,svm,17,zfand2a.L,0.054883181449475536,63
2,louvain,svm,17,grn.L,-0.05455456299892907,64
2,louvain,svm,17,areg.S,0.054232528113679894,65
2,louvain,svm,17,itln1.L,0.05407102574203818,66
2,louvain,svm,17,loc100485626.L,0.053784772350236446,67
2,louvain,svm,17,loc101730868.like.L,0.05370510166087672,68
2,louvain,svm,17,nr4a2.S,-0.052973839629608284,69
2,louvain,svm,17,Xelaev18047462m.g,-0.05199985971987153,70
2,louvain,svm,17,tmem144.L,-0.05144339862680761,71
2,louvain,svm,17,loc101733516.like.L,-0.05140793532319031,72
2,louvain,svm,17,golm1.L,-0.05134310325207768,73
2,louvain,svm,17,capn9.S,-0.051071493967020196,74
2,louvain,svm,17,ppp1r3c.2.S,0.05094690123881484,75
2,louvain,svm,25,apoc1.like.L,0.11022115956752222,1
2,louvain,svm,25,col1a2.L,-0.10429718427182749,2
2,louvain,svm,25,Xelaev18045052m.g,-0.10307305538378733,3
2,louvain,svm,25,Xelaev18045096m.g,-0.08998559177789028,4
2,louvain,svm,25,loc101733140.L,-0.08550650859454823,5
2,louvain,svm,25,Xelaev18038149m.g,0.0819759013446109,6
2,louvain,svm,25,pmp2.S,0.07938187930103609,7
2,louvain,svm,25,loc100487364.L,-0.07578469939261745,8
2,louvain,svm,25,art5.L,0.06980870682290372,9
2,louvain,svm,25,basp1.S,0.06649126063797771,10
2,louvain,svm,25,loc100496720.L,0.06604061705352955,11
2,louvain,svm,25,aif1l.S,0.06417772685268314,12
2,louvain,svm,25,Xetrov90018212m.S,-0.061941052588105956,13
2,louvain,svm,25,npc2.L,0.060178040878534074,14
2,louvain,svm,25,ctsb.S,0.0601029850350104,15
2,louvain,svm,25,tspan36.L,0.05905572241893512,16
2,louvain,svm,25,irf7.L,0.059029292713166585,17
2,louvain,svm,25,ccr3.L,-0.05613667404579766,18
2,louvain,svm,25,ccl34.S,0.05510319130384914,19
2,louvain,svm,25,loc613063.S,0.05480846719495792,20
2,louvain,svm,25,lgmn.L,0.05469709262119997,21
2,louvain,svm,25,loc100049121.S,0.054674614067710486,22
2,louvain,svm,25,dpepe.L,0.054174238939530495,23
2,louvain,svm,25,grn.L,0.05414167148313134,24
2,louvain,svm,25,lyg2.S,-0.05390417338701348,25
2,louvain,svm,25,Xelaev18001106m.g,-0.05157291324421675,26
2,louvain,svm,25,Xetrov90002578m.L,0.05115663530645044,27
2,louvain,svm,25,Xelaev18035512m.g,-0.05030150718136708,28
2,louvain,svm,25,klf2.L,-0.05017874511891667,29
2,louvain,svm,25,cotl1.L,0.049699198783723135,30
2,louvain,svm,25,tnf.L,-0.048578176965030744,31
2,louvain,svm,25,cyba.L,-0.04821663249433985,32
2,louvain,svm,25,krt12.L,-0.04649002271097138,33
2,louvain,svm,25,txn.L,-0.04609664468152161,34
2,louvain,svm,25,timp.1.S,-0.045784404342524926,35
2,louvain,svm,25,slc7a7.L,0.04530334056493986,36
2,louvain,svm,25,slc37a2.L,0.0450564001053123,37
2,louvain,svm,25,fgl2.L,-0.04468761677772564,38
2,louvain,svm,25,crp.4.L,0.04389833017475352,39
2,louvain,svm,25,urpta.1.S,-0.043296492078553815,40
2,louvain,svm,25,gamt.L,-0.04248793071482445,41
2,louvain,svm,25,Xelaev18024498m.g,-0.041590086612884096,42
2,louvain,svm,25,loc100493381.L,-0.04136987190082896,43
2,louvain,svm,25,Xelaev18047460m.g,-0.04133311777984367,44
2,louvain,svm,25,Xetrov90002579m.S,0.041219983096757444,45
2,louvain,svm,25,Xelaev18013641m.g,0.040689543866666414,46
2,louvain,svm,25,kctd12.S,-0.04047954107400892,47
2,louvain,svm,25,hmox1.L,0.039303668316329934,48
2,louvain,svm,25,slurp1l.S,-0.03911569243063377,49
2,louvain,svm,25,trem2.S,0.03873592860351498,50
2,louvain,svm,25,hpd.like.1.L,-0.03870106184069576,51
2,louvain,svm,25,col1a1.S,-0.03749131557008924,52
2,louvain,svm,25,lta4h.L,-0.03698681619435635,53
2,louvain,svm,25,loc733459.S,0.03689890030393175,54
2,louvain,svm,25,myf5.L,-0.036628089803884455,55
2,louvain,svm,25,loc100486192.L,-0.03637020516454957,56
2,louvain,svm,25,MGC75752.S,0.03632736467751632,57
2,louvain,svm,25,ramp3.L,0.03620707300305923,58
2,louvain,svm,25,loc100493999.like.S,-0.03595344036906295,59
2,louvain,svm,25,actc1.L,-0.035491500354790186,60
2,louvain,svm,25,cysltr1.L,-0.03531439179545474,61
2,louvain,svm,25,ckm.L,-0.03492967097406399,62
2,louvain,svm,25,crip1.L,-0.03488917155822899,63
2,louvain,svm,25,Xelaev18007618m.g,0.034850960614923175,64
2,louvain,svm,25,fos.S,-0.034326383589335076,65
2,louvain,svm,25,loc100495760.L,-0.034199732944585504,66
2,louvain,svm,25,prss57.L,-0.034093345376653525,67
2,louvain,svm,25,c10orf54.S,0.03373985852544755,68
2,louvain,svm,25,Xelaev18036303m.g,-0.033539662665993744,69
2,louvain,svm,25,c1qb.L,0.03322495443003696,70
2,louvain,svm,25,lfng.S,0.03310058817526938,71
2,louvain,svm,25,Xelaev18047452m.g,-0.032877039865351294,72
2,louvain,svm,25,mmp13.S,-0.031939005001795924,73
2,louvain,svm,25,psap.S,-0.03176955522715592,74
2,louvain,svm,25,loc100493672.L,-0.03120843620487952,75
2,louvain,svm,2,Xelaev18039277m.g,-0.3817570361523981,1
2,louvain,svm,2,Xelaev18020203m.g,-0.3700423978941573,2
2,louvain,svm,2,lgmn.L,0.36256498126051495,3
2,louvain,svm,2,cxcl8.L,-0.3363023657022186,4
2,louvain,svm,2,ptx3.S,-0.33054089606814335,5
2,louvain,svm,2,slc1a3.S,-0.3163401999409952,6
2,louvain,svm,2,crispld1.L,-0.30918091617067195,7
2,louvain,svm,2,cpamd8.L,-0.2960570652362559,8
2,louvain,svm,2,dab2.S,0.28861636552211994,9
2,louvain,svm,2,Xetrov90001378m.S,-0.2877268796923125,10
2,louvain,svm,2,cldn5.L,-0.2837708109756837,11
2,louvain,svm,2,col1a2.L,-0.2820695287611227,12
2,louvain,svm,2,dio3.L,-0.2685259632284406,13
2,louvain,svm,2,f2rl3.L,-0.2682769564593055,14
2,louvain,svm,2,twsg1.S,-0.2655913853471546,15
2,louvain,svm,2,col11a2p1.S,0.26354881085816395,16
2,louvain,svm,2,Xelaev18026753m.g,-0.2594252553907388,17
2,louvain,svm,2,npc2.L,-0.2588503006923501,18
2,louvain,svm,2,Xelaev18027940m.g,-0.2570573095058676,19
2,louvain,svm,2,loc100494786.S,0.25701685750217557,20
2,louvain,svm,2,sox8.L,0.2542633684203041,21
2,louvain,svm,2,Xelaev18045052m.g,-0.25124006146669353,22
2,louvain,svm,2,atp1b3.L,-0.24857635416022816,23
2,louvain,svm,2,aebp1.S,-0.24642508758382708,24
2,louvain,svm,2,dpt.S,-0.24290380254369184,25
2,louvain,svm,2,syne1.L,-0.2366881881575626,26
2,louvain,svm,2,ckm.L,-0.23541089801034432,27
2,louvain,svm,2,pthlh.L,0.23463740513430476,28
2,louvain,svm,2,golm1.L,-0.23143306788164145,29
2,louvain,svm,2,mtus1.L,-0.2277719228435952,30
2,louvain,svm,2,fabp7.L,-0.22709826538510727,31
2,louvain,svm,2,bgn.S,-0.22518631857771151,32
2,louvain,svm,2,npr3.L,-0.2242952869283237,33
2,louvain,svm,2,Xelaev18007618m.g,0.22362737228121404,34
2,louvain,svm,2,cd37.L,-0.22109758309285563,35
2,louvain,svm,2,tagln.L,0.22074736237506407,36
2,louvain,svm,2,tnfaip6.S,-0.21968084246342248,37
2,louvain,svm,2,ctgf.S,-0.21822132462234806,38
2,louvain,svm,2,tnfrsf11b.L,-0.21651322238862517,39
2,louvain,svm,2,cav1.L,-0.21254513004770784,40
2,louvain,svm,2,pcbd1.L,0.212475177328635,41
2,louvain,svm,2,Xelaev18012967m.g,0.21132167110668454,42
2,louvain,svm,2,Xelaev18033769m.g,-0.20988895602583404,43
2,louvain,svm,2,ndnf.L,0.20811387942823772,44
2,louvain,svm,2,krt8.S,-0.20334424487793587,45
2,louvain,svm,2,ccl19.L,0.20052585668374837,46
2,louvain,svm,2,loc101730537.like.L,-0.19835183640419432,47
2,louvain,svm,2,nog.L,-0.19721612675949546,48
2,louvain,svm,2,tmem26.L,0.19506496410936153,49
2,louvain,svm,2,c9.L,0.19459328542942692,50
2,louvain,svm,2,fam212a.L,0.19377009486554345,51
2,louvain,svm,2,slurp1l.S,0.1914247711374324,52
2,louvain,svm,2,pltp.S,0.19082455236515308,53
2,louvain,svm,2,cilp.L,0.18950627136893675,54
2,louvain,svm,2,krt12.L,0.1891823997166129,55
2,louvain,svm,2,sfrp2.S,0.18787081035202965,56
2,louvain,svm,2,angptl7.L,0.18733019007695179,57
2,louvain,svm,2,dpysl3.L,-0.1866187861182615,58
2,louvain,svm,2,ednra.S,0.18626180712009605,59
2,louvain,svm,2,loc100490918.like.L,-0.18491135291515362,60
2,louvain,svm,2,fabp3.L,-0.18234014894113562,61
2,louvain,svm,2,itga4.L,-0.18177701988134062,62
2,louvain,svm,2,cst3.S,-0.17944713901135992,63
2,louvain,svm,2,bmp4.L,0.17826059421895704,64
2,louvain,svm,2,timp.1.S,-0.1776689937085921,65
2,louvain,svm,2,lmcd1.S,-0.17744195101594448,66
2,louvain,svm,2,Xelaev18045096m.g,-0.17625164716672279,67
2,louvain,svm,2,tubb2b.S,-0.1761399461642331,68
2,louvain,svm,2,kpna2.S,0.17587583480676275,69
2,louvain,svm,2,cdk1.L,0.17564644874601326,70
2,louvain,svm,2,ch25h.L,0.17434422910342584,71
2,louvain,svm,2,aldob.L,-0.17420940754156455,72
2,louvain,svm,2,unnamed.L.3,0.1739129942619941,73
2,louvain,svm,2,nov.L,-0.17384069603074295,74
2,louvain,svm,2,fgfr4.L,-0.17195498110820454,75
2,louvain,svm,10,atp6v0b.S,0.7705175923623581,1
2,louvain,svm,10,col9a1.L,-0.6936491043702375,2
2,louvain,svm,10,Xelaev18001105m.g,0.6654039517435355,3
2,louvain,svm,10,scnn1b.S,0.6350831029279546,4
2,louvain,svm,10,tnnc2.L,-0.6338585947191516,5
2,louvain,svm,10,Xelaev18018612m.g,0.613408828097166,6
2,louvain,svm,10,col1a2.L,-0.5585461115934645,7
2,louvain,svm,10,myl1.S,-0.5401637199300645,8
2,louvain,svm,10,col1a2.S,-0.5226536649363925,9
2,louvain,svm,10,loc100491930.L,0.5121029591103844,10
2,louvain,svm,10,Xetrov90018212m.S,0.5077318288215973,11
2,louvain,svm,10,tal1.S,-0.5046184783485211,12
2,louvain,svm,10,serpinb1.L,-0.4949361249309052,13
2,louvain,svm,10,tpp1.L,-0.486669257156178,14
2,louvain,svm,10,loc613063.S,-0.4838706128007252,15
2,louvain,svm,10,ifit5.L,0.48127145082703476,16
2,louvain,svm,10,col9a3.L,-0.4805420301389998,17
2,louvain,svm,10,nova1.L,0.48052977659253326,18
2,louvain,svm,10,grn.L,-0.4765977813900878,19
2,louvain,svm,10,slc10a4.L,0.46627045630423436,20
2,louvain,svm,10,art5.L,0.45687094210636614,21
2,louvain,svm,10,Xelaev18045306m.g,-0.4464426519117119,22
2,louvain,svm,10,mgarp.L,0.4452278562606232,23
2,louvain,svm,10,hsp90aa1.1.L,-0.4415538928107359,24
2,louvain,svm,10,igf2.S,-0.43776466769616235,25
2,louvain,svm,10,klf2.L,-0.425054267859826,26
2,louvain,svm,10,pmp2.S,0.4231752453406225,27
2,louvain,svm,10,cxcr4.S,0.4231211031829661,28
2,louvain,svm,10,ptx3.L,-0.4220756517610704,29
2,louvain,svm,10,cndp2.S,-0.41994406558935055,30
2,louvain,svm,10,abat.S,0.4193955767454263,31
2,louvain,svm,10,thtpa.S,-0.419087609823154,32
2,louvain,svm,10,gap43.S,-0.4190697510874946,33
2,louvain,svm,10,cdk1.L,0.41540938571620534,34
2,louvain,svm,10,aldob.L,0.415283322655358,35
2,louvain,svm,10,tac1.L,0.4130655038595397,36
2,louvain,svm,10,selp.L,0.41263768219095737,37
2,louvain,svm,10,enkur.L,0.40933257677822144,38
2,louvain,svm,10,mmp9.S,-0.4052677039240496,39
2,louvain,svm,10,gpi.S,-0.3897362670940077,40
2,louvain,svm,10,npc2.L,-0.3857954925935224,41
2,louvain,svm,10,pck1.L,-0.3821017718184267,42
2,louvain,svm,10,zfand2a.L,0.38096515341129095,43
2,louvain,svm,10,enc1.2.L,-0.3798188590492376,44
2,louvain,svm,10,slurp1l.S,-0.37946823883625136,45
2,louvain,svm,10,olfm4.L,-0.3784168797991315,46
2,louvain,svm,10,col1a1.S,0.3783453132404622,47
2,louvain,svm,10,ak7.S,-0.36787681833090047,48
2,louvain,svm,10,cpamd8.L,-0.3667240555767049,49
2,louvain,svm,10,gng3.L,-0.36628344626797615,50
2,louvain,svm,10,gamt.L,-0.36575707574642324,51
2,louvain,svm,10,smad4.1.S,0.36076660638379465,52
2,louvain,svm,10,ecm1.L,0.35776661774415613,53
2,louvain,svm,10,Xelaev18045649m.g,-0.35698076001929613,54
2,louvain,svm,10,frem1.L,-0.3551342921805963,55
2,louvain,svm,10,ranbp3l.like.L,0.35460580758903537,56
2,louvain,svm,10,cxcr4.L,0.3497000164251225,57
2,louvain,svm,10,col27a1.S,-0.3494503110458805,58
2,louvain,svm,10,glul.like.1.S,-0.349203706404197,59
2,louvain,svm,10,cav1.S,-0.348723823800696,60
2,louvain,svm,10,ctsc.S,0.34761642466423787,61
2,louvain,svm,10,c15orf26.L,-0.3404699679794255,62
2,louvain,svm,10,tpm2.L,-0.3403452446208828,63
2,louvain,svm,10,kera.S,-0.33423946749986605,64
2,louvain,svm,10,agr2.L,-0.3336001486935784,65
2,louvain,svm,10,lamb1.S,-0.3330670264797778,66
2,louvain,svm,10,tubb2b.S,-0.33205422626242975,67
2,louvain,svm,10,epgn.L,-0.33124193359335363,68
2,louvain,svm,10,Xelaev18039277m.g,0.33051502662367727,69
2,louvain,svm,10,foxr1.L,0.32916747183587375,70
2,louvain,svm,10,lta4h.L,0.3266583097972442,71
2,louvain,svm,10,tmem38a.S,-0.32659156555761987,72
2,louvain,svm,10,Xetrov90018123m.L,-0.326168907719716,73
2,louvain,svm,10,Xelaev18047452m.g,-0.3241231463976669,74
2,louvain,svm,10,pltp.S,-0.3238713053703581,75
2,louvain,svm,1,ism1.L,0.8425341442288944,1
2,louvain,svm,1,Xelaev18045100m.g,-0.6488282747839154,2
2,louvain,svm,1,hsd3b7.L,0.6448814159346463,3
2,louvain,svm,1,Xetrov90001378m.S,-0.6091330851408379,4
2,louvain,svm,1,Xelaev18047453m.g,0.5774557485907632,5
2,louvain,svm,1,ak7.S,0.5700088364705945,6
2,louvain,svm,1,loc100487364.L,0.5392398037880861,7
2,louvain,svm,1,dpepe.L,0.5182010649666786,8
2,louvain,svm,1,pc.L,0.5158073776493072,9
2,louvain,svm,1,loc100049121.S,0.5084358256120217,10
2,louvain,svm,1,col1a1.S,-0.5068590280819066,11
2,louvain,svm,1,col1a2.L,-0.49228049281417197,12
2,louvain,svm,1,Xelaev18047610m.g,0.48602620069854946,13
2,louvain,svm,1,slc10a4.L,-0.4760947308197293,14
2,louvain,svm,1,ifit5.L,-0.4576634076290383,15
2,louvain,svm,1,mmp7.L,0.449128076665192,16
2,louvain,svm,1,myl1.S,0.4450978960658688,17
2,louvain,svm,1,Xelaev18045306m.g,0.4449343116723624,18
2,louvain,svm,1,col1a1.L,-0.4447500091797738,19
2,louvain,svm,1,nr4a2.S,0.43979473799419627,20
