time,method,model,cluster,gene,score,rank_in_cluster
3,leiden,logreg,0,MGC75752.S,1.490190863609314,1
3,leiden,logreg,0,Xelaev18047453m.g,1.0321481227874756,2
3,leiden,logreg,0,Xelaev18047452m.g,0.815368115901947,3
3,leiden,logreg,0,ca2.L,0.559083878993988,4
3,leiden,logreg,0,krt2l.S,0.5482318997383118,5
3,leiden,logreg,0,Xelaev18045649m.g,0.5262459516525269,6
3,leiden,logreg,0,col9a3.L,0.5002340078353882,7
3,leiden,logreg,0,prss57.S,0.4955076277256012,8
3,leiden,logreg,0,Xelaev18009066m.g,0.47552067041397095,9
3,leiden,logreg,0,krt16.L,0.43735772371292114,10
3,leiden,logreg,0,Xelaev18010947m.g,0.4333428144454956,11
3,leiden,logreg,0,Xetrov90028350m.L,0.43147021532058716,12
3,leiden,logreg,0,mgarp.L,0.42356330156326294,13
3,leiden,logreg,0,col3a1.S,0.422326922416687,14
3,leiden,logreg,0,loc100489129.L,0.4173588752746582,15
3,leiden,logreg,0,tac1.S,0.41337260603904724,16
3,leiden,logreg,0,tcn2.L,0.4082934558391571,17
3,leiden,logreg,0,Xelaev18045363m.g,0.40455934405326843,18
3,leiden,logreg,0,loc733459.S,0.4035676121711731,19
3,leiden,logreg,0,mmp7.L,0.3712896704673767,20
3,leiden,logreg,0,Xelaev18020203m.g,0.37015414237976074,21
3,leiden,logreg,0,btg2.S,0.3604026138782501,22
3,leiden,logreg,0,loc100494945.S,0.3586791753768921,23
3,leiden,logreg,0,txn.L,0.3488328158855438,24
3,leiden,logreg,0,apoe.S,0.34419557452201843,25
3,leiden,logreg,0,bcam.L,0.34034469723701477,26
3,leiden,logreg,0,fbn3.S,0.3397715091705322,27
3,leiden,logreg,0,dync1h1.L,0.3331622779369354,28
3,leiden,logreg,0,act3.L,0.3321017026901245,29
3,leiden,logreg,0,kif2a.L,0.3305632174015045,30
3,leiden,logreg,0,c5orf15.S,0.32956463098526,31
3,leiden,logreg,0,vim.L,0.3259804844856262,32
3,leiden,logreg,0,atp6v0c.L,0.3258134126663208,33
3,leiden,logreg,0,ier2.L,0.3211645185947418,34
3,leiden,logreg,0,zfand2a.L,0.31289130449295044,35
3,leiden,logreg,0,timp.1.S,0.3096899092197418,36
3,leiden,logreg,0,rasd1.L,0.3092183470726013,37
3,leiden,logreg,0,col1a1.S,0.3077467381954193,38
3,leiden,logreg,0,atp6v1g2.L,0.30461928248405457,39
3,leiden,logreg,0,tpi1.L,0.30258920788764954,40
3,leiden,logreg,0,msx2.L,0.30216968059539795,41
3,leiden,logreg,0,krt16.S,0.2979550361633301,42
3,leiden,logreg,0,Xelaev18011461m.g,0.2957403361797333,43
3,leiden,logreg,0,nefm.S,0.2867358326911926,44
3,leiden,logreg,0,fgfbp1.S,0.2821393311023712,45
3,leiden,logreg,0,cystm1.L,0.2768073081970215,46
3,leiden,logreg,0,fosl2.S,0.2748461365699768,47
3,leiden,logreg,0,Xelaev18038248m.g,0.27352768182754517,48
3,leiden,logreg,0,ccl42d.L,0.2709401249885559,49
3,leiden,logreg,0,loc100496216.L,0.2697959840297699,50
3,leiden,logreg,0,ch25h.L,0.26966431736946106,51
3,leiden,logreg,0,il1r2.L,0.2646715044975281,52
3,leiden,logreg,0,marcksl1.L,0.2638368010520935,53
3,leiden,logreg,0,st6galnac2.S,0.262666255235672,54
3,leiden,logreg,0,MGC75752.L,0.2592881917953491,55
3,leiden,logreg,0,loc100495557.L,0.2588132917881012,56
3,leiden,logreg,0,tspan36.L,0.25385820865631104,57
3,leiden,logreg,0,gpi.S,0.2484700083732605,58
3,leiden,logreg,0,fosl1.L,0.24309594929218292,59
3,leiden,logreg,0,col2a1.L,0.24009458720684052,60
3,leiden,logreg,0,pgd.L,0.23670493066310883,61
3,leiden,logreg,0,Xelaev18040968m.g,0.23285944759845734,62
3,leiden,logreg,0,Xelaev18037480m.g,0.2324254959821701,63
3,leiden,logreg,0,sparc.S,0.23199793696403503,64
3,leiden,logreg,0,tubb2b.S,0.2295895218849182,65
3,leiden,logreg,0,lama4.L,0.22531776130199432,66
3,leiden,logreg,0,ifi30.L,0.22530168294906616,67
3,leiden,logreg,0,ndfip2.L,0.2236281782388687,68
3,leiden,logreg,0,grhl3.L,0.22295071184635162,69
3,leiden,logreg,0,Xelaev18036117m.g,0.22070595622062683,70
3,leiden,logreg,0,cabp1.L,0.218442901968956,71
3,leiden,logreg,0,loc100486192.L,0.21703696250915527,72
3,leiden,logreg,0,ifnlr1.L,0.21597033739089966,73
3,leiden,logreg,0,fabp4.L,0.21132755279541016,74
3,leiden,logreg,0,lamc1.L,0.2074412703514099,75
3,leiden,logreg,1,azin2.S,0.5643014311790466,1
3,leiden,logreg,1,krt16.L,0.4595279395580292,2
3,leiden,logreg,1,Xelaev18032450m.g,0.42591458559036255,3
3,leiden,logreg,1,Xelaev18045649m.g,0.3814103305339813,4
3,leiden,logreg,1,ly6g6c.L,0.3796761929988861,5
