time,method,model,cluster,gene,score,rank_in_cluster
all,louvain,xgboost,2,Xelaev18002241m.g,0.13168491423130035,1
all,louvain,xgboost,2,Xelaev18047460m.g,0.06773010641336441,2
all,louvain,xgboost,2,hbg2.L,0.04745151475071907,3
all,louvain,xgboost,2,Xelaev18047453m.g,0.045148611068725586,4
all,louvain,xgboost,2,Xelaev18047462m.g,0.02459344081580639,5
all,louvain,xgboost,2,col1a2.L,0.01849084161221981,6
all,louvain,xgboost,2,Xelaev18045082m.g,0.016862353309988976,7
all,louvain,xgboost,2,loc100127564.L,0.01490122638642788,8
all,louvain,xgboost,2,Xelaev18024665m.g,0.013730224221944809,9
all,louvain,xgboost,2,slurp1l.S,0.013064568862318993,10
all,louvain,xgboost,2,MGC75752.S,0.012788851745426655,11
all,louvain,xgboost,2,gstz1.L,0.01258265320211649,12
all,louvain,xgboost,2,ca2.L,0.01255106832832098,13
all,louvain,xgboost,2,Xelaev18045649m.g,0.012056776322424412,14
all,louvain,xgboost,2,krt5.7.S,0.010968541726469994,15
all,louvain,xgboost,2,Xelaev18022529m.g,0.010398805141448975,16
all,louvain,xgboost,2,Xelaev18001105m.g,0.009983726777136326,17
all,louvain,xgboost,2,Xelaev18047452m.g,0.009629417210817337,18
all,louvain,xgboost,2,tcn2.L,0.00943760946393013,19
all,louvain,xgboost,2,col1a1.L,0.009399103000760078,20
all,louvain,xgboost,2,loc100487364.L,0.009317800402641296,21
all,louvain,xgboost,2,txn.L,0.009312969632446766,22
all,louvain,xgboost,2,lcp1.L,0.009301232174038887,23
all,louvain,xgboost,2,rasl11b.L,0.008968316949903965,24
all,louvain,xgboost,2,tubb3.L,0.008938555605709553,25
all,louvain,xgboost,2,epgn.L,0.008559154346585274,26
all,louvain,xgboost,2,top2a.L,0.00833678524941206,27
all,louvain,xgboost,2,cpamd8.L,0.008283979259431362,28
all,louvain,xgboost,2,sncg.S,0.008147718384861946,29
all,louvain,xgboost,2,pgd.L,0.00809013657271862,30
all,louvain,xgboost,2,otos.S,0.007851751521229744,31
all,louvain,xgboost,2,nmral1.S,0.007748445030301809,32
all,louvain,xgboost,2,fos.S,0.007636589463800192,33
all,louvain,xgboost,2,glul.like.1.S,0.0076269181445240974,34
all,louvain,xgboost,2,Xelaev18040854m.g,0.00740472786128521,35
all,louvain,xgboost,2,ckm.L,0.007195157464593649,36
all,louvain,xgboost,2,Xelaev18003734m.g,0.0070960442535579205,37
all,louvain,xgboost,2,hba1.S,0.007044284138828516,38
all,louvain,xgboost,2,loc101735282.L,0.007041462697088718,39
all,louvain,xgboost,2,Xelaev18044446m.g,0.007011613342911005,40
all,louvain,xgboost,2,cst3.S,0.006929135415703058,41
all,louvain,xgboost,2,pcp4.S,0.0066980901174247265,42
all,louvain,xgboost,2,Xelaev18016080m.g,0.006612108089029789,43
all,louvain,xgboost,2,loc100494945.L,0.006471696309745312,44
all,louvain,xgboost,2,tac1.S,0.006353916134685278,45
all,louvain,xgboost,2,Xelaev18018009m.g,0.00599188357591629,46
all,louvain,xgboost,2,ggt1.L,0.005930043291300535,47
all,louvain,xgboost,2,Xelaev18037639m.g,0.0059034195728600025,48
all,louvain,xgboost,2,tal1.S,0.005895873531699181,49
all,louvain,xgboost,2,Xelaev18037839m.g,0.005872797220945358,50
all,louvain,xgboost,2,col1a1.S,0.005837181583046913,51
all,louvain,xgboost,2,lyar.L,0.005806636065244675,52
all,louvain,xgboost,2,Xetrov90018123m.S,0.005737253464758396,53
all,louvain,xgboost,2,cndp2.S,0.0057360948994755745,54
all,louvain,xgboost,2,dpepe.L,0.005725538823753595,55
all,louvain,xgboost,2,gp1bb.S,0.005626207683235407,56
all,louvain,xgboost,2,mylpf.L,0.005574173294007778,57
all,louvain,xgboost,2,lcp1.S,0.005478499922901392,58
all,louvain,xgboost,2,Xelaev18047861m.g,0.005365901626646519,59
all,louvain,xgboost,2,ccnb1.2.L,0.005237961187958717,60
all,louvain,xgboost,2,Xetrov90018123m.L,0.005209931172430515,61
all,louvain,xgboost,2,mmp7.L,0.005201118532568216,62
all,louvain,xgboost,2,MGC75752.L,0.005151459015905857,63
all,louvain,xgboost,2,Xelaev18038697m.g,0.005073199979960918,64
all,louvain,xgboost,2,Xetrov90011359m.L,0.005007165018469095,65
all,louvain,xgboost,2,rhpn2.L,0.004930858500301838,66
all,louvain,xgboost,2,Xelaev18027940m.g,0.0048566837795078754,67
all,louvain,xgboost,2,atp6v1h.S,0.004711528308689594,68
all,louvain,xgboost,2,Xelaev18000342m.g,0.004619523882865906,69
all,louvain,xgboost,2,ctsb.S,0.004591450560837984,70
all,louvain,xgboost,2,Xelaev18037480m.g,0.004496486857533455,71
all,louvain,xgboost,2,krt12.S,0.004494873341172934,72
all,louvain,xgboost,2,loc100049121.S,0.004456153605133295,73
all,louvain,xgboost,2,Xelaev18007618m.g,0.004349137656390667,74
all,louvain,xgboost,2,Xelaev18022531m.g,0.004345697816461325,75
all,louvain,xgboost,4,crp.4.L,0.5014885663986206,1
all,louvain,xgboost,4,ccr3.L,0.0901828333735466,2
all,louvain,xgboost,4,loc100485744.L,0.07851404696702957,3
all,louvain,xgboost,4,loc101733140.L,0.055348657071590424,4
all,louvain,xgboost,4,mpo.L,0.023410286754369736,5
all,louvain,xgboost,4,prss57.L,0.02023332007229328,6
all,louvain,xgboost,4,krt12.S,0.018198367208242416,7
all,louvain,xgboost,4,gpi.S,0.01718772016465664,8
