time,method,model,cluster,gene,score,rank_in_cluster
3,kmeans,xgboost,1,Xelaev18045095m.g,0.6554474830627441,1
3,kmeans,xgboost,1,ca2.L,0.22432400286197662,2
3,kmeans,xgboost,1,Xelaev18047460m.g,0.05652175843715668,3
3,kmeans,xgboost,1,Xelaev18047430m.g,0.013196173124015331,4
3,kmeans,xgboost,1,slc25a5.L,0.012106992304325104,5
3,kmeans,xgboost,1,Xelaev18045052m.g,0.007247360423207283,6
3,kmeans,xgboost,1,fos.S,0.006358299870043993,7
3,kmeans,xgboost,1,Xelaev18047462m.g,0.006194653455168009,8
3,kmeans,xgboost,1,arg2.L,0.005738259293138981,9
3,kmeans,xgboost,1,Xelaev18018009m.g,0.003955952823162079,10
3,kmeans,xgboost,1,app.L,0.00235909060575068,11
3,kmeans,xgboost,1,atp6v0c.S,0.002284181769937277,12
3,kmeans,xgboost,1,Xelaev18001106m.g,0.0021083196625113487,13
3,kmeans,xgboost,1,id4.S,0.0008498264942318201,14
3,kmeans,xgboost,1,loc100487364.L,0.0008384851389564574,15
3,kmeans,xgboost,1,Xelaev18001105m.g,0.0004691688227467239,16
3,kmeans,xgboost,1,mlc1.L,0.0,17
3,kmeans,xgboost,1,asb15.L,0.0,18
3,kmeans,xgboost,1,sema3c.L,0.0,19
3,kmeans,xgboost,1,slc26a3.1.L,0.0,20
3,kmeans,xgboost,1,atp6ap1.1.L,0.0,21
3,kmeans,xgboost,1,Xelaev18017743m.g,0.0,22
3,kmeans,xgboost,1,cadps2.like.L,0.0,23
3,kmeans,xgboost,1,efcab10.like.L,0.0,24
3,kmeans,xgboost,1,reln.L,0.0,25
3,kmeans,xgboost,1,fgl2.L,0.0,26
3,kmeans,xgboost,1,kif21a.L,0.0,27
3,kmeans,xgboost,1,ucma.L,0.0,28
3,kmeans,xgboost,1,foxp2.L,0.0,29
3,kmeans,xgboost,1,ccdc3.L,0.0,30
3,kmeans,xgboost,1,itih5.L,0.0,31
3,kmeans,xgboost,1,tmem110l.L,0.0,32
3,kmeans,xgboost,1,prkcq.L,0.0,33
3,kmeans,xgboost,1,Xelaev18017913m.g,0.0,34
3,kmeans,xgboost,1,loc105946937.L,0.0,35
3,kmeans,xgboost,1,lep.L,0.0,36
3,kmeans,xgboost,1,odf3.L,0.0,37
3,kmeans,xgboost,1,cttn.like.1.L,0.0,38
3,kmeans,xgboost,1,Xelaev18017960m.g,0.0,39
3,kmeans,xgboost,1,loc100498358.L,0.0,40
3,kmeans,xgboost,1,pstpip1.L,0.0,41
3,kmeans,xgboost,1,cav1.L,0.0,42
3,kmeans,xgboost,1,dpysl3.L,0.0,43
3,kmeans,xgboost,1,cntn1.L,0.0,44
3,kmeans,xgboost,1,nts.L,0.0,45
3,kmeans,xgboost,1,hrh2.L,0.0,46
3,kmeans,xgboost,1,cplx2.L,0.0,47
3,kmeans,xgboost,1,hk2.L,0.0,48
3,kmeans,xgboost,1,sncb.L,0.0,49
3,kmeans,xgboost,1,atp6v0e1.L,0.0,50
3,kmeans,xgboost,1,stab2.L,0.0,51
3,kmeans,xgboost,1,stc2.L,0.0,52
3,kmeans,xgboost,1,ascl1.L,0.0,53
3,kmeans,xgboost,1,hmp19.L,0.0,54
3,kmeans,xgboost,1,pah.L,0.0,55
3,kmeans,xgboost,1,lta4h.L,0.0,56
3,kmeans,xgboost,1,msx2.L,0.0,57
3,kmeans,xgboost,1,slc26a2.2.L,0.0,58
3,kmeans,xgboost,1,epyc.L,0.0,59
3,kmeans,xgboost,1,kera.L,0.0,60
3,kmeans,xgboost,1,lum.L,0.0,61
3,kmeans,xgboost,1,dcn.L,0.0,62
3,kmeans,xgboost,1,neurl1b.L,0.0,63
3,kmeans,xgboost,1,lyz.L,0.0,64
3,kmeans,xgboost,1,Xetrov90007547m.L,0.0,65
3,kmeans,xgboost,1,pkm.L,0.0,66
3,kmeans,xgboost,1,phlda1.L,0.0,67
3,kmeans,xgboost,1,syt1.like.L,0.0,68
3,kmeans,xgboost,1,nell2.L,0.0,69
3,kmeans,xgboost,1,pdzrn4.L,0.0,70
3,kmeans,xgboost,1,loc100498441.S,0.0,71
3,kmeans,xgboost,1,sema7a.L,0.0,72
3,kmeans,xgboost,1,loc100490082.L,0.0,73
3,kmeans,xgboost,1,Xelaev18018738m.g,0.0,74
3,kmeans,xgboost,1,Xelaev18018852m.g,0.0,75
3,kmeans,xgboost,5,crp.4.L,0.7777103781700134,1
3,kmeans,xgboost,5,unnamed.L.13,0.03654542937874794,2
3,kmeans,xgboost,5,arhgdib.L,0.032918598502874374,3
3,kmeans,xgboost,5,basp1.S,0.027256738394498825,4
3,kmeans,xgboost,5,krt5.7.S,0.02587893232703209,5
3,kmeans,xgboost,5,muc1.S,0.015540462918579578,6
3,kmeans,xgboost,5,krt12.L,0.014091089367866516,7
3,kmeans,xgboost,5,ncf1.L,0.010605745948851109,8
3,kmeans,xgboost,5,dpepe.L,0.010561587288975716,9
3,kmeans,xgboost,5,ly6g6c.L,0.00974899809807539,10
3,kmeans,xgboost,5,loc100493999.like.L,0.009174364618957043,11
3,kmeans,xgboost,5,loc548655.L,0.007452621590346098,12
3,kmeans,xgboost,5,loc100491991.like.L,0.003940765745937824,13
3,kmeans,xgboost,5,loc100496720.L,0.003804052248597145,14
3,kmeans,xgboost,5,adamts1.L,0.003478060942143202,15
3,kmeans,xgboost,5,Xelaev18045052m.g,0.002795538865029812,16
3,kmeans,xgboost,5,Xelaev18018927m.g,0.0025670123286545277,17
3,kmeans,xgboost,5,coro1a.S,0.0022240399848669767,18
3,kmeans,xgboost,5,timp2.L,0.0017824721289798617,19
3,kmeans,xgboost,5,loc100493999.like.S,0.0017229825025424361,20
3,kmeans,xgboost,5,Xelaev18036725m.g,0.00020004397083539516,21
3,kmeans,xgboost,5,loc105946937.L,0.0,22
3,kmeans,xgboost,5,atp6ap1.1.L,0.0,23
3,kmeans,xgboost,5,mlc1.L,0.0,24
3,kmeans,xgboost,5,prkcq.L,0.0,25
3,kmeans,xgboost,5,kif21a.L,0.0,26
3,kmeans,xgboost,5,slc26a3.1.L,0.0,27
3,kmeans,xgboost,5,Xelaev18017743m.g,0.0,28
3,kmeans,xgboost,5,cttn.like.1.L,0.0,29
3,kmeans,xgboost,5,efcab10.like.L,0.0,30
3,kmeans,xgboost,5,reln.L,0.0,31
3,kmeans,xgboost,5,fgl2.L,0.0,32
3,kmeans,xgboost,5,sema3c.L,0.0,33
3,kmeans,xgboost,5,odf3.L,0.0,34
3,kmeans,xgboost,5,Xelaev18017913m.g,0.0,35
3,kmeans,xgboost,5,tmem110l.L,0.0,36
3,kmeans,xgboost,5,ucma.L,0.0,37
3,kmeans,xgboost,5,lep.L,0.0,38
3,kmeans,xgboost,5,itih5.L,0.0,39
3,kmeans,xgboost,5,ccdc3.L,0.0,40
3,kmeans,xgboost,5,asb15.L,0.0,41
3,kmeans,xgboost,5,cntn1.L,0.0,42
3,kmeans,xgboost,5,cadps2.like.L,0.0,43
3,kmeans,xgboost,5,pah.L,0.0,44
3,kmeans,xgboost,5,msx2.L,0.0,45
3,kmeans,xgboost,5,hmp19.L,0.0,46
3,kmeans,xgboost,5,stc2.L,0.0,47
3,kmeans,xgboost,5,atp6v0e1.L,0.0,48
3,kmeans,xgboost,5,dpysl3.L,0.0,49
3,kmeans,xgboost,5,slc26a2.2.L,0.0,50
3,kmeans,xgboost,5,hrh2.L,0.0,51
3,kmeans,xgboost,5,cplx2.L,0.0,52
3,kmeans,xgboost,5,hk2.L,0.0,53
3,kmeans,xgboost,5,sncb.L,0.0,54
3,kmeans,xgboost,5,stab2.L,0.0,55
3,kmeans,xgboost,5,ascl1.L,0.0,56
3,kmeans,xgboost,5,lta4h.L,0.0,57
