time,method,model,cluster,gene,score,rank_in_cluster
3,louvain,logreg,0,apoc1.like.L,0.664289116859436,1
3,louvain,logreg,0,cks1b.L,0.5803669691085815,2
3,louvain,logreg,0,mafb.S,0.576626181602478,3
3,louvain,logreg,0,thbs1.L,0.525526762008667,4
3,louvain,logreg,0,MGC75752.S,0.5001868009567261,5
3,louvain,logreg,0,gcnt1.S,0.4846104383468628,6
3,louvain,logreg,0,atp6v1d.L,0.4370826184749603,7
3,louvain,logreg,0,ctsl.L,0.42075803875923157,8
3,louvain,logreg,0,lcp1.S,0.40774619579315186,9
3,louvain,logreg,0,Xelaev18032446m.g,0.3970300257205963,10
3,louvain,logreg,0,ube2c.L,0.38901785016059875,11
3,louvain,logreg,0,pcp4.S,0.38830476999282837,12
3,louvain,logreg,0,cd34.L,0.3877142071723938,13
3,louvain,logreg,0,sema3b.L,0.38761594891548157,14
3,louvain,logreg,0,mpo.L,0.374594122171402,15
3,louvain,logreg,0,Xelaev18040736m.g,0.3726465702056885,16
3,louvain,logreg,0,ifi30.L,0.36728718876838684,17
3,louvain,logreg,0,Xelaev18022531m.g,0.349867045879364,18
3,louvain,logreg,0,pgd.L,0.3436363637447357,19
3,louvain,logreg,0,trib2.L,0.34355399012565613,20
3,louvain,logreg,0,aldoa.L,0.342685341835022,21
3,louvain,logreg,0,mdk.L,0.335182785987854,22
3,louvain,logreg,0,mxd4.L,0.334044486284256,23
3,louvain,logreg,0,Xelaev18032295m.g,0.3321807384490967,24
3,louvain,logreg,0,pck1.L,0.32914990186691284,25
3,louvain,logreg,0,Xelaev18027311m.g,0.3158653676509857,26
3,louvain,logreg,0,Xelaev18038148m.g,0.3133520483970642,27
3,louvain,logreg,0,Xelaev18013641m.g,0.3104803264141083,28
3,louvain,logreg,0,cdkn1a.L,0.3093373775482178,29
3,louvain,logreg,0,loc100494515.like.S,0.3082144856452942,30
3,louvain,logreg,0,myl1.L,0.3042919933795929,31
3,louvain,logreg,0,Xelaev18014965m.g,0.3019597828388214,32
3,louvain,logreg,0,Xelaev18018009m.g,0.3009316325187683,33
3,louvain,logreg,0,cldn6.1.S,0.2994769215583801,34
3,louvain,logreg,0,tac1.L,0.29709452390670776,35
3,louvain,logreg,0,Xelaev18036272m.g,0.2755824625492096,36
3,louvain,logreg,0,Xelaev18045095m.g,0.2744027078151703,37
3,louvain,logreg,0,mmp8.L,0.27372056245803833,38
3,louvain,logreg,0,ikzf1.L,0.2702542841434479,39
3,louvain,logreg,0,ctsc.L,0.2693864405155182,40
3,louvain,logreg,0,msmb.3.L,0.26825714111328125,41
3,louvain,logreg,0,bmp4.L,0.26731088757514954,42
3,louvain,logreg,0,Xelaev18013239m.g,0.26604610681533813,43
3,louvain,logreg,0,Xelaev18030549m.g,0.2627655565738678,44
3,louvain,logreg,0,fosl1.L,0.26230812072753906,45
3,louvain,logreg,0,tubb3.L,0.2555179297924042,46
3,louvain,logreg,0,timp.1.L,0.2552984356880188,47
3,louvain,logreg,0,irf1.L,0.25249409675598145,48
3,louvain,logreg,0,loc101733140.L,0.24408602714538574,49
3,louvain,logreg,0,jund.L,0.24311457574367523,50
3,louvain,logreg,0,Xelaev18035585m.g,0.24295039474964142,51
3,louvain,logreg,0,slc25a5.L,0.2414388507604599,52
3,louvain,logreg,0,dlx3.S,0.24125033617019653,53
3,louvain,logreg,0,atp6v0c.L,0.24051667749881744,54
3,louvain,logreg,0,atp6v1h.S,0.24019496142864227,55
3,louvain,logreg,0,loc100495280.L,0.23889507353305817,56
3,louvain,logreg,0,ppp1r10.S,0.23888491094112396,57
3,louvain,logreg,0,Xelaev18012141m.g,0.23809759318828583,58
3,louvain,logreg,0,hes3.3.S,0.2374424934387207,59
3,louvain,logreg,0,idh2.S,0.23158104717731476,60
3,louvain,logreg,0,zswim4.L,0.23059889674186707,61
3,louvain,logreg,0,krt8.L,0.22823688387870789,62
3,louvain,logreg,0,myl9.S,0.22743402421474457,63
3,louvain,logreg,0,bhlhe40.S,0.22681686282157898,64
3,louvain,logreg,0,Xelaev18018852m.g,0.22623008489608765,65
3,louvain,logreg,0,MGC75752.L,0.2248668521642685,66
3,louvain,logreg,0,tpi1.L,0.22349251806735992,67
3,louvain,logreg,0,cda.L,0.22112682461738586,68
3,louvain,logreg,0,fos.S,0.22045333683490753,69
3,louvain,logreg,0,sparc.S,0.22037239372730255,70
3,louvain,logreg,0,cdh11.L,0.22005529701709747,71
3,louvain,logreg,0,loc101735287.L,0.21935465931892395,72
3,louvain,logreg,0,c4orf32.L,0.21928878128528595,73
3,louvain,logreg,0,cyp26a1.S,0.21873360872268677,74
3,louvain,logreg,0,Xelaev18028574m.g,0.21750624477863312,75
3,louvain,logreg,1,Xelaev18012141m.g,0.6071272492408752,1
3,louvain,logreg,1,umod.2.L,0.5015233755111694,2
3,louvain,logreg,1,Xelaev18015037m.g,0.3359936773777008,3
3,louvain,logreg,1,krt12.S,0.32294759154319763,4
3,louvain,logreg,1,cldn4.S,0.2869018316268921,5
3,louvain,logreg,1,krt5.7.S,0.28629422187805176,6
3,louvain,logreg,1,krt12.L,0.2813619077205658,7
3,louvain,logreg,1,Xelaev18045649m.g,0.2515878677368164,8
