time,method,model,cluster,gene,score,rank_in_cluster
all,leiden,xgboost,2,Xelaev18002241m.g,0.21374349296092987,1
all,leiden,xgboost,2,Xelaev18047460m.g,0.060211844742298126,2
all,leiden,xgboost,2,MGC75752.S,0.04166228324174881,3
all,leiden,xgboost,2,hbg2.L,0.03555760532617569,4
all,leiden,xgboost,2,Xelaev18047462m.g,0.028932824730873108,5
all,leiden,xgboost,2,Xelaev18047453m.g,0.022665437310934067,6
all,leiden,xgboost,2,Xelaev18045082m.g,0.021960150450468063,7
all,leiden,xgboost,2,col1a2.L,0.020962567999958992,8
all,leiden,xgboost,2,Xelaev18047452m.g,0.019802531227469444,9
all,leiden,xgboost,2,krt5.7.S,0.014511293731629848,10
all,leiden,xgboost,2,ccl4.L,0.014137160032987595,11
all,leiden,xgboost,2,col1a1.S,0.013756776228547096,12
all,leiden,xgboost,2,Xelaev18003734m.g,0.011949664913117886,13
all,leiden,xgboost,2,psap.S,0.011890124529600143,14
all,leiden,xgboost,2,lum.S,0.011481829918920994,15
all,leiden,xgboost,2,loc100494945.L,0.011346242390573025,16
all,leiden,xgboost,2,Xelaev18037839m.g,0.010896125808358192,17
all,leiden,xgboost,2,loc100494945.S,0.010456015355885029,18
all,leiden,xgboost,2,ca2.L,0.010100577026605606,19
all,leiden,xgboost,2,ly6g6c.L,0.009452044032514095,20
all,leiden,xgboost,2,Xelaev18004130m.g,0.009356912225484848,21
all,leiden,xgboost,2,col1a1.L,0.00925410445779562,22
all,leiden,xgboost,2,krt12.S,0.009226536378264427,23
all,leiden,xgboost,2,fos.L,0.008939003571867943,24
all,leiden,xgboost,2,Xelaev18045303m.g,0.008824764750897884,25
all,leiden,xgboost,2,hba1.S,0.008714347146451473,26
all,leiden,xgboost,2,krt16.S,0.008712968789041042,27
all,leiden,xgboost,2,MGC75752.L,0.00849718227982521,28
all,leiden,xgboost,2,loc100487364.L,0.008370045572519302,29
all,leiden,xgboost,2,fos.S,0.00835250224918127,30
all,leiden,xgboost,2,Xelaev18040854m.g,0.007848558016121387,31
all,leiden,xgboost,2,ccl42d.L,0.007401601877063513,32
all,leiden,xgboost,2,Xelaev18044446m.g,0.007327823434025049,33
all,leiden,xgboost,2,txn.L,0.006653408985584974,34
all,leiden,xgboost,2,ckm.L,0.006560441106557846,35
all,leiden,xgboost,2,postn.S,0.006483810488134623,36
all,leiden,xgboost,2,Xelaev18022528m.g,0.006352388300001621,37
all,leiden,xgboost,2,Xelaev18012120m.g,0.006326332688331604,38
all,leiden,xgboost,2,Xelaev18034081m.g,0.006275044288486242,39
all,leiden,xgboost,2,tal1.S,0.005796457175165415,40
all,leiden,xgboost,2,loc101735282.L,0.00564226321876049,41
all,leiden,xgboost,2,Xelaev18045649m.g,0.005622674711048603,42
all,leiden,xgboost,2,nmral1.S,0.005605529993772507,43
all,leiden,xgboost,2,col11a2p1.S,0.005493708420544863,44
all,leiden,xgboost,2,Xelaev18024665m.g,0.005444238893687725,45
all,leiden,xgboost,2,lgmn.L,0.005367841571569443,46
all,leiden,xgboost,2,Xelaev18037830m.g,0.005235194228589535,47
all,leiden,xgboost,2,tac1.S,0.00517086498439312,48
all,leiden,xgboost,2,krt16.L,0.004978759679943323,49
all,leiden,xgboost,2,gpi.S,0.004870020784437656,50
all,leiden,xgboost,2,Xelaev18022839m.g,0.0048499382100999355,51
all,leiden,xgboost,2,actc1.S,0.004734747111797333,52
all,leiden,xgboost,2,apoc1.like.L,0.004645249340683222,53
all,leiden,xgboost,2,msmb.3.L,0.00458446703851223,54
all,leiden,xgboost,2,fip1l1.L,0.004535429645329714,55
all,leiden,xgboost,2,atp6v1h.L,0.004430676810443401,56
all,leiden,xgboost,2,atp6v1h.S,0.004425922874361277,57
all,leiden,xgboost,2,loc100497848.L,0.00433139456436038,58
all,leiden,xgboost,2,lyar.L,0.004325050860643387,59
all,leiden,xgboost,2,cpamd8.L,0.004253679886460304,60
all,leiden,xgboost,2,ache.L,0.004239905159920454,61
all,leiden,xgboost,2,Xetrov90018123m.L,0.004210543353110552,62
all,leiden,xgboost,2,atp6v1d.L,0.004141838289797306,63
all,leiden,xgboost,2,irf1.L,0.004103544168174267,64
all,leiden,xgboost,2,dpepe.L,0.0040326910093426704,65
all,leiden,xgboost,2,mmp13.S,0.003906978759914637,66
all,leiden,xgboost,2,otos.S,0.0038068415597081184,67
all,leiden,xgboost,2,zfand2a.L,0.0038042026571929455,68
