time,method,model,cluster,gene,score,rank_in_cluster
0,kmeans,svm,1,tac1.S,-0.0798916089707584,1
0,kmeans,svm,1,stmn2.L,0.07717112866761414,2
0,kmeans,svm,1,tac1.L,-0.07520268339017867,3
0,kmeans,svm,1,syt4.L,0.07509228269644559,4
0,kmeans,svm,1,slit2.S,-0.0699708620312906,5
0,kmeans,svm,1,nefm.S,0.06616980487875346,6
0,kmeans,svm,1,slc18a3.L,-0.06564452871984458,7
0,kmeans,svm,1,lppr1.L,0.06534253307205662,8
0,kmeans,svm,1,abat.S,0.0645160683206765,9
0,kmeans,svm,1,Xelaev18002241m.g,-0.062034958921304714,10
0,kmeans,svm,1,slc32a1.S,0.05891031295138758,11
0,kmeans,svm,1,Xelaev18022531m.g,-0.05600907309184451,12
0,kmeans,svm,1,dbn1.L,0.055558775491530536,13
0,kmeans,svm,1,Xelaev18001105m.g,-0.05508583466668083,14
0,kmeans,svm,1,nif.L,0.05404754359978504,15
0,kmeans,svm,1,ftmt.S,-0.053914633318071475,16
0,kmeans,svm,1,fabp7.L,-0.0536928947110515,17
0,kmeans,svm,1,cbln2.S,0.05350790094040694,18
0,kmeans,svm,1,neurod1.L,-0.05322501923630115,19
0,kmeans,svm,1,Xelaev18045083m.g,-0.05213303808868945,20
0,kmeans,svm,1,cpe.L,0.050862055685581414,21
0,kmeans,svm,1,prph.S,-0.0504836099832959,22
0,kmeans,svm,1,slc25a5.L,-0.04898110831460835,23
0,kmeans,svm,1,Xelaev18003734m.g,-0.048780437242715496,24
0,kmeans,svm,1,lhx3.L,-0.04776024500801342,25
0,kmeans,svm,1,loc100127682.1.S,0.04763094791856657,26
0,kmeans,svm,1,Xetrov90011359m.L,-0.047161249173699786,27
0,kmeans,svm,1,slc18a3.S,-0.04653138236923844,28
0,kmeans,svm,1,prdm14.L,-0.04648807780796505,29
0,kmeans,svm,1,ca2.L,-0.04636661854850708,30
0,kmeans,svm,1,l1cam.S,-0.04562963231912326,31
0,kmeans,svm,1,snap91.S,0.04550524425983018,32
0,kmeans,svm,1,syt2.like.S,0.045326174298629195,33
0,kmeans,svm,1,cotl1.L,0.045042446888072685,34
0,kmeans,svm,1,loc100492862.L,-0.044881151582805444,35
0,kmeans,svm,1,ebf3.S,-0.044833012438672284,36
0,kmeans,svm,1,cck.S,-0.04401786022399829,37
0,kmeans,svm,1,krt12.L,-0.04385326173477795,38
0,kmeans,svm,1,basp1.S,0.043815542792904415,39
0,kmeans,svm,1,map7d2.L,0.04278123378910496,40
0,kmeans,svm,1,slc5a7.S,-0.04223331970721778,41
0,kmeans,svm,1,cck.L,-0.042108793431677956,42
0,kmeans,svm,1,slit2.L,-0.04176811368672439,43
0,kmeans,svm,1,cda.S,-0.041624597723281816,44
0,kmeans,svm,1,ckb.L,0.04040878965166699,45
0,kmeans,svm,1,ntng2.L,-0.04027206511252159,46
0,kmeans,svm,1,tubb2b.S,-0.03996468332186757,47
0,kmeans,svm,1,spock2.L,0.0395761419680454,48
0,kmeans,svm,1,baz2b.S,0.039387327659964735,49
0,kmeans,svm,1,gpm6b.like.S,-0.039311335802271107,50
0,kmeans,svm,1,hes6.1.L,-0.03908733475564754,51
0,kmeans,svm,1,loc100487364.L,0.03886453541231574,52
0,kmeans,svm,1,Xelaev18020203m.g,0.03861114951087542,53
0,kmeans,svm,1,neurod1.S,-0.03816023828867095,54
0,kmeans,svm,1,slc17a7.S,0.03797254363771815,55
0,kmeans,svm,1,adcyap1.L,-0.037398887165154285,56
0,kmeans,svm,1,fos.L,-0.036847349937773284,57
0,kmeans,svm,1,lhx3.S,-0.03650747733498313,58
