time,method,model,cluster,gene,score,rank_in_cluster
0,leiden,logreg,0,Xelaev18002241m.g,2.927490234375,1
0,leiden,logreg,0,ca2.L,2.7142648696899414,2
0,leiden,logreg,0,tac1.L,0.7950443029403687,3
0,leiden,logreg,0,loc100494822.S,0.7359415292739868,4
0,leiden,logreg,0,Xelaev18040492m.g,0.6661756038665771,5
0,leiden,logreg,0,atp6v0b.S,0.5986016392707825,6
0,leiden,logreg,0,sncg.S,0.5748531222343445,7
0,leiden,logreg,0,col11a2p1.S,0.536986768245697,8
0,leiden,logreg,0,act3.S,0.5146180987358093,9
0,leiden,logreg,0,col27a1.S,0.4950069189071655,10
0,leiden,logreg,0,grhl3.S,0.47932347655296326,11
0,leiden,logreg,0,fbp1.L,0.47145384550094604,12
0,leiden,logreg,0,atp6v1d.S,0.4484122395515442,13
0,leiden,logreg,0,nmral1.S,0.4390847980976105,14
0,leiden,logreg,0,phldb3.S,0.4052468240261078,15
0,leiden,logreg,0,pik3r3.L,0.40296339988708496,16
0,leiden,logreg,0,Xelaev18047610m.g,0.3908081352710724,17
0,leiden,logreg,0,loc100496216.L,0.38798773288726807,18
0,leiden,logreg,0,rbp4.S,0.37898898124694824,19
0,leiden,logreg,0,loc100497729.L,0.3740336298942566,20
0,leiden,logreg,0,twsg1.S,0.372709721326828,21
0,leiden,logreg,0,Xelaev18040968m.g,0.36454033851623535,22
0,leiden,logreg,0,ggh.L,0.3599196672439575,23
0,leiden,logreg,0,loc100135371.L,0.3578874170780182,24
0,leiden,logreg,0,ftmt.S,0.3383598327636719,25
0,leiden,logreg,0,pdgfra.L,0.33803224563598633,26
0,leiden,logreg,0,Xetrov90011359m.L,0.3343619108200073,27
0,leiden,logreg,0,ccr2.L,0.33275988698005676,28
0,leiden,logreg,0,lrp1.L,0.3278003931045532,29
0,leiden,logreg,0,ptx3.L,0.3271067142486572,30
0,leiden,logreg,0,ch25h.L,0.32246512174606323,31
0,leiden,logreg,0,tnni2.S,0.32234808802604675,32
0,leiden,logreg,0,loc100487364.L,0.32152408361434937,33
0,leiden,logreg,0,ptpn6.L,0.32114842534065247,34
0,leiden,logreg,0,slitrk6.L,0.3166903555393219,35
0,leiden,logreg,0,atp1b3.L,0.3111838400363922,36
0,leiden,logreg,0,loc101732997.L,0.3093077540397644,37
0,leiden,logreg,0,Xelaev18032450m.g,0.30796027183532715,38
0,leiden,logreg,0,aldob.L,0.30630823969841003,39
0,leiden,logreg,0,Xelaev18022529m.g,0.3049136996269226,40
0,leiden,logreg,0,ramp3.L,0.3048291504383087,41
0,leiden,logreg,0,Xelaev18017743m.g,0.29706376791000366,42
0,leiden,logreg,0,epyc.L,0.29501527547836304,43
0,leiden,logreg,0,mmp8.L,0.2941710352897644,44
0,leiden,logreg,0,ccl4.L,0.2938682436943054,45
0,leiden,logreg,0,rdh10.S,0.2920060157775879,46
0,leiden,logreg,0,mapk10.L,0.29045286774635315,47
0,leiden,logreg,0,htra3.L,0.286911278963089,48
0,leiden,logreg,0,Xelaev18017913m.g,0.2856908142566681,49
