time,method,model,cluster,gene,score,rank_in_cluster
0,leiden,xgboost,6,atp1b3.L,0.4248601198196411,1
0,leiden,xgboost,6,sncb.L,0.14290492236614227,2
0,leiden,xgboost,6,tac1.S,0.07655136287212372,3
0,leiden,xgboost,6,aldoc.L,0.07152029871940613,4
0,leiden,xgboost,6,loc100127564.L,0.023739520460367203,5
0,leiden,xgboost,6,chga.L,0.02342003397643566,6
0,leiden,xgboost,6,snap25.S,0.01819196715950966,7
0,leiden,xgboost,6,map1a.S,0.012095397338271141,8
0,leiden,xgboost,6,gap43.S,0.011827901005744934,9
0,leiden,xgboost,6,kif1b.like.L,0.01162960659712553,10
0,leiden,xgboost,6,rtbdn.L,0.011595150455832481,11
0,leiden,xgboost,6,loc100495760.L,0.010557744652032852,12
0,leiden,xgboost,6,rtn1.L,0.009951434098184109,13
0,leiden,xgboost,6,map1b.L,0.009381965734064579,14
0,leiden,xgboost,6,scg2.S,0.008077604696154594,15
0,leiden,xgboost,6,Xelaev18031273m.g,0.007826533168554306,16
0,leiden,xgboost,6,nova1.L,0.007447303272783756,17
0,leiden,xgboost,6,atp1b3.S,0.007339521776884794,18
0,leiden,xgboost,6,slc32a1.S,0.006613783538341522,19
0,leiden,xgboost,6,rtn1.S,0.006265026517212391,20
0,leiden,xgboost,6,ache.L,0.006117569282650948,21
0,leiden,xgboost,6,fos.S,0.0053994422778487206,22
0,leiden,xgboost,6,snap25.L,0.003981643822044134,23
0,leiden,xgboost,6,prdm14.S,0.0037164196837693453,24
0,leiden,xgboost,6,ckb.L,0.003681238740682602,25
0,leiden,xgboost,6,scg2.L,0.003605243982747197,26
0,leiden,xgboost,6,nell2.S,0.0033024658914655447,27
0,leiden,xgboost,6,nefm.S,0.0032296283170580864,28
0,leiden,xgboost,6,dner.S,0.003166883485391736,29
0,leiden,xgboost,6,tmem35.L,0.0031042355112731457,30
0,leiden,xgboost,6,calm2.L,0.0029569375328719616,31
0,leiden,xgboost,6,pcp4.S,0.0028276292141526937,32
0,leiden,xgboost,6,dnm1.S,0.0026712457183748484,33
0,leiden,xgboost,6,cplx1.S,0.002545009832829237,34
0,leiden,xgboost,6,Xelaev18007508m.g,0.0021977759897708893,35
0,leiden,xgboost,6,elavl4.S,0.0021721040830016136,36
0,leiden,xgboost,6,loc100497528.S,0.0021320898085832596,37
0,leiden,xgboost,6,glra3.L,0.002118447795510292,38
0,leiden,xgboost,6,krt5.7.S,0.0020787366665899754,39
0,leiden,xgboost,6,cst3.S,0.0020319491159170866,40
0,leiden,xgboost,6,slc18a3.L,0.0020269236993044615,41
0,leiden,xgboost,6,slc35f4.L,0.0018845858285203576,42
0,leiden,xgboost,6,sncg.S,0.001755525590851903,43
0,leiden,xgboost,6,onecut2.L,0.0016211409820243716,44
0,leiden,xgboost,6,pgam1.L,0.0015508460346609354,45
0,leiden,xgboost,6,basp1.S,0.001462843851186335,46
0,leiden,xgboost,6,loc100487364.L,0.0014517373638227582,47
0,leiden,xgboost,6,slc18a3.S,0.0014231231762096286,48
0,leiden,xgboost,6,Xelaev18004547m.g,0.0011912412010133266,49
0,leiden,xgboost,6,pcdh17.L,0.0011693694395944476,50
0,leiden,xgboost,6,fabp7.L,0.0011359312338754535,51
0,leiden,xgboost,6,paqr9.L,0.0010048507247120142,52
0,leiden,xgboost,6,nsg1.S,0.0009989527752622962,53
0,leiden,xgboost,6,loc100494945.S,0.0009499791776761413,54
0,leiden,xgboost,6,Xelaev18036101m.g,0.0009373790817335248,55
0,leiden,xgboost,6,l1cam.S,0.0009292435715906322,56
0,leiden,xgboost,6,cxcr4.S,0.0008883296395651996,57
0,leiden,xgboost,6,syt2.like.L,0.000799941539298743,58
0,leiden,xgboost,6,krt12.S,0.0007626755977980793,59
0,leiden,xgboost,6,mmp17.L,0.0006911304080858827,60
0,leiden,xgboost,6,Xelaev18037480m.g,0.000681365723721683,61
0,leiden,xgboost,6,fos.L,0.0006434113602153957,62
0,leiden,xgboost,6,Xetrov90000859m.L,0.0005712910206057131,63
0,leiden,xgboost,6,scamp4.L,0.0005594242247752845,64
0,leiden,xgboost,6,Xelaev18024665m.g,0.0005304501974023879,65
0,leiden,xgboost,6,mllt11.S,0.0004883837536908686,66
0,leiden,xgboost,6,Xelaev18001525m.g,0.0004594881902448833,67
0,leiden,xgboost,6,sez6l2.L,0.0004594018682837486,68
0,leiden,xgboost,6,nsg1.L,0.00043425115291029215,69
0,leiden,xgboost,6,gpi.L,0.00041725143091753125,70
0,leiden,xgboost,6,upp1.L,0.0004011145210824907,71
0,leiden,xgboost,6,slit2.S,0.0003731955075636506,72
0,leiden,xgboost,6,tuba1b.L,0.00034631541348062456,73
0,leiden,xgboost,6,ache.S,0.0003451171796768904,74
0,leiden,xgboost,6,syp.S,0.0003187468973919749,75
0,leiden,xgboost,13,ckm.L,0.12342354655265808,1
0,leiden,xgboost,13,Xelaev18047453m.g,0.08508878201246262,2
0,leiden,xgboost,13,actc1.L,0.07702623307704926,3
0,leiden,xgboost,13,krt12.L,0.056877098977565765,4
0,leiden,xgboost,13,Xelaev18045083m.g,0.04422259330749512,5
0,leiden,xgboost,13,Xelaev18001105m.g,0.03799166902899742,6
0,leiden,xgboost,13,c2orf40.L,0.028560589998960495,7
0,leiden,xgboost,13,slc25a5.L,0.02630671299993992,8
0,leiden,xgboost,13,cystm1.S,0.02092466503381729,9
0,leiden,xgboost,13,sdsl.S,0.020706327632069588,10
0,leiden,xgboost,13,col2a1.L,0.02024219185113907,11
0,leiden,xgboost,13,Xelaev18002241m.g,0.019604917615652084,12
0,leiden,xgboost,13,lum.L,0.01820993982255459,13
0,leiden,xgboost,13,Xelaev18003734m.g,0.017256537452340126,14
0,leiden,xgboost,13,loc100049121.S,0.017245979979634285,15
0,leiden,xgboost,13,hes9.2.L,0.016628863289952278,16
0,leiden,xgboost,13,Xelaev18047462m.g,0.015389957465231419,17
0,leiden,xgboost,13,btg2.S,0.01405626256018877,18
0,leiden,xgboost,13,Xelaev18047430m.g,0.01344852801412344,19
0,leiden,xgboost,13,Xetrov90018123m.L,0.012548516504466534,20
0,leiden,xgboost,13,calm2.S,0.012481553480029106,21
0,leiden,xgboost,13,foxr1.L,0.0124537767842412,22
0,leiden,xgboost,13,lum.S,0.012401232495903969,23
0,leiden,xgboost,13,Xelaev18036545m.g,0.011310756206512451,24
0,leiden,xgboost,13,ramp3.L,0.010743226855993271,25
0,leiden,xgboost,13,hes9.1.S,0.010146768763661385,26
0,leiden,xgboost,13,kpna2.S,0.009981195442378521,27
0,leiden,xgboost,13,Xelaev18005157m.g,0.009555387310683727,28
0,leiden,xgboost,13,Xelaev18032295m.g,0.009061077609658241,29
0,leiden,xgboost,13,fos.L,0.008520469069480896,30
0,leiden,xgboost,13,hes5.1.S,0.008503502234816551,31
0,leiden,xgboost,13,ube2c.L,0.008431123569607735,32
0,leiden,xgboost,13,ccnb1.2.S,0.008294626139104366,33
0,leiden,xgboost,13,Xelaev18045301m.g,0.007985331118106842,34
0,leiden,xgboost,13,loc100127564.L,0.007704634685069323,35
0,leiden,xgboost,13,Xelaev18047610m.g,0.007683267816901207,36
0,leiden,xgboost,13,act3.L,0.007376988884061575,37
0,leiden,xgboost,13,Xelaev18045052m.g,0.00727972574532032,38
0,leiden,xgboost,13,ftmt.S,0.006961385253816843,39
0,leiden,xgboost,13,mbnl1.L,0.006889253854751587,40
0,leiden,xgboost,13,tnni2.S,0.006740983575582504,41
0,leiden,xgboost,13,krt12.S,0.006582268513739109,42
0,leiden,xgboost,13,Xelaev18040854m.g,0.006441730540245771,43
0,leiden,xgboost,13,crip1.L,0.005778769962489605,44
0,leiden,xgboost,13,Xelaev18045303m.g,0.005730379372835159,45
0,leiden,xgboost,13,slc10a4.L,0.005708340555429459,46
0,leiden,xgboost,13,loc100496216.L,0.0055414061062037945,47
0,leiden,xgboost,13,nmral1.S,0.005278910510241985,48
0,leiden,xgboost,13,ca2.L,0.005109238438308239,49
0,leiden,xgboost,13,atp1b3.S,0.004737230949103832,50
0,leiden,xgboost,13,tubb2b.S,0.004666178487241268,51
0,leiden,xgboost,13,dpepe.L,0.004246281459927559,52
0,leiden,xgboost,13,tcn2.L,0.004187120124697685,53
0,leiden,xgboost,13,fos.S,0.004126040730625391,54
0,leiden,xgboost,13,tal1.S,0.0038358038291335106,55
0,leiden,xgboost,13,loc100494515.like.S,0.0037475835997611284,56
0,leiden,xgboost,13,myl1.S,0.0037156674079596996,57
0,leiden,xgboost,13,Xelaev18045307m.g,0.0034898980520665646,58
0,leiden,xgboost,13,apoc1.like.L,0.0034466085489839315,59
0,leiden,xgboost,13,act3.S,0.0032794196158647537,60
0,leiden,xgboost,13,cxcr4.S,0.003054684726521373,61
0,leiden,xgboost,13,tnni2.L,0.0029715634882450104,62
0,leiden,xgboost,13,actc1.S,0.002808257471770048,63
0,leiden,xgboost,13,Xelaev18017913m.g,0.0027755163609981537,64
0,leiden,xgboost,13,Xelaev18016080m.g,0.002738164970651269,65
0,leiden,xgboost,13,postn.S,0.0026386845856904984,66
0,leiden,xgboost,13,rtbdn.L,0.0026170476339757442,67
0,leiden,xgboost,13,mrc1.S,0.002117763040587306,68
0,leiden,xgboost,13,ly6g6c.L,0.0020125440787523985,69
0,leiden,xgboost,13,MGC75582.L,0.0018126077484339476,70
0,leiden,xgboost,13,calm2.L,0.001779997837729752,71
0,leiden,xgboost,13,lyar.L,0.0017372420988976955,72
0,leiden,xgboost,13,mylpf.L,0.0015929756918922067,73
0,leiden,xgboost,13,tspan32.L,0.001570620690472424,74
0,leiden,xgboost,13,atp1b3.L,0.0013473413418978453,75
0,leiden,xgboost,10,Xelaev18047453m.g,0.18254676461219788,1
0,leiden,xgboost,10,Xelaev18045083m.g,0.05478653311729431,2
0,leiden,xgboost,10,Xelaev18003734m.g,0.052227359265089035,3
0,leiden,xgboost,10,Xelaev18047610m.g,0.029286466538906097,4
0,leiden,xgboost,10,krt5.7.S,0.028022998943924904,5
0,leiden,xgboost,10,Xelaev18022531m.g,0.02432163432240486,6
0,leiden,xgboost,10,fos.S,0.022435232996940613,7
0,leiden,xgboost,10,Xelaev18002241m.g,0.022164834663271904,8
0,leiden,xgboost,10,ca2.L,0.021700242534279823,9
0,leiden,xgboost,10,Xelaev18047462m.g,0.020102612674236298,10
0,leiden,xgboost,10,Xelaev18031834m.g,0.018793649971485138,11
0,leiden,xgboost,10,cndp2.S,0.018000809475779533,12
0,leiden,xgboost,10,Xelaev18038892m.g,0.01648537628352642,13
0,leiden,xgboost,10,calm2.L,0.016106754541397095,14
0,leiden,xgboost,10,actc1.L,0.015387014485895634,15
0,leiden,xgboost,10,tnnc2.S,0.015344029292464256,16
0,leiden,xgboost,10,Xelaev18019895m.g,0.015265065245330334,17
0,leiden,xgboost,10,ccnb1.2.S,0.014441464096307755,18
0,leiden,xgboost,10,Xelaev18036345m.g,0.013077587820589542,19
0,leiden,xgboost,10,btg2.S,0.01250111497938633,20
0,leiden,xgboost,10,Xelaev18045052m.g,0.012375062331557274,21
0,leiden,xgboost,10,epb41l3.L,0.012306379154324532,22
0,leiden,xgboost,10,Xelaev18001105m.g,0.011932949535548687,23
0,leiden,xgboost,10,cystm1.S,0.011678445152938366,24
0,leiden,xgboost,10,ctsb.S,0.011476678773760796,25
0,leiden,xgboost,10,lyar.L,0.011274528689682484,26
0,leiden,xgboost,10,Xelaev18045307m.g,0.011227162554860115,27
0,leiden,xgboost,10,fos.L,0.011185611598193645,28
0,leiden,xgboost,10,crip1.L,0.01104951836168766,29
0,leiden,xgboost,10,tuba1b.L,0.010124578140676022,30
0,leiden,xgboost,10,kpna2.S,0.009973952546715736,31
0,leiden,xgboost,10,itln1.L,0.009921873919665813,32
0,leiden,xgboost,10,gap43.S,0.009783901274204254,33
0,leiden,xgboost,10,mrc1.S,0.009579310193657875,34
0,leiden,xgboost,10,krt12.S,0.009500227868556976,35
0,leiden,xgboost,10,Xelaev18034081m.g,0.009418326430022717,36
0,leiden,xgboost,10,ccnb1.2.L,0.009414957836270332,37
0,leiden,xgboost,10,cpeb2.like.S,0.009189937263727188,38
0,leiden,xgboost,10,tal1.S,0.008950429037213326,39
0,leiden,xgboost,10,Xetrov90011359m.L,0.008876574225723743,40
0,leiden,xgboost,10,f2rl3.L,0.008569691330194473,41
0,leiden,xgboost,10,loc549413.S,0.008145875297486782,42
0,leiden,xgboost,10,hes6.1.S,0.007959633134305477,43
0,leiden,xgboost,10,rtbdn.L,0.007814415730535984,44
0,leiden,xgboost,10,Xelaev18047430m.g,0.0076065706089138985,45
0,leiden,xgboost,10,tnnt3.S,0.0074226767756044865,46
0,leiden,xgboost,10,cxcr4.S,0.006887414958328009,47
0,leiden,xgboost,10,atp6v0c.L,0.006790859624743462,48
0,leiden,xgboost,10,slc25a5.L,0.006130164489150047,49
0,leiden,xgboost,10,lgmn.L,0.005893236957490444,50
0,leiden,xgboost,10,rln3.S,0.005285884253680706,51
0,leiden,xgboost,10,myl1.S,0.005192408803850412,52
0,leiden,xgboost,10,ftmt.S,0.005092708859592676,53
0,leiden,xgboost,10,akap2.L,0.005033344030380249,54
0,leiden,xgboost,10,atp6v1d.S,0.004966569133102894,55
0,leiden,xgboost,10,slc10a4.L,0.004962127655744553,56
0,leiden,xgboost,10,ism1.L,0.004864423535764217,57
0,leiden,xgboost,10,tal1.L,0.0047702305018901825,58
0,leiden,xgboost,10,psap.S,0.004528751131147146,59
0,leiden,xgboost,10,calm2.S,0.004418347496539354,60
0,leiden,xgboost,10,Xelaev18022528m.g,0.004266578704118729,61
0,leiden,xgboost,10,ckm.L,0.003734713653102517,62
0,leiden,xgboost,10,dpepe.L,0.003633190644904971,63
0,leiden,xgboost,10,ube2c.L,0.0036141055170446634,64
0,leiden,xgboost,10,apoc1.like.L,0.0035942040849477053,65
0,leiden,xgboost,10,actc1.S,0.0034583434462547302,66
0,leiden,xgboost,10,Xelaev18036545m.g,0.0031356478575617075,67
0,leiden,xgboost,10,hbg1.S,0.002829459263011813,68
0,leiden,xgboost,10,mbnl1.L,0.0027485035825520754,69
0,leiden,xgboost,10,fabp7.L,0.0026230129878968,70
0,leiden,xgboost,10,tspan32.L,0.0026057788636535406,71
0,leiden,xgboost,10,Xelaev18018009m.g,0.002560633234679699,72
0,leiden,xgboost,10,tnnc2.L,0.002475109649822116,73
0,leiden,xgboost,10,foxr1.L,0.0023568072356283665,74
0,leiden,xgboost,10,tubb2b.S,0.0020691649988293648,75
0,leiden,xgboost,23,nhlh1.S,0.37835440039634705,1
0,leiden,xgboost,23,atp6v0c.L,0.0685916319489479,2
0,leiden,xgboost,23,krt8.S,0.06747201085090637,3
0,leiden,xgboost,23,dpysl3.L,0.046978674829006195,4
0,leiden,xgboost,23,tubb2b.L,0.037114087492227554,5
0,leiden,xgboost,23,cplx1.S,0.03505132347345352,6
0,leiden,xgboost,23,atp1b3.S,0.032638803124427795,7
0,leiden,xgboost,23,tuba1b.L,0.026642002165317535,8
0,leiden,xgboost,23,cadps.L,0.02542184107005596,9
0,leiden,xgboost,23,Xelaev18047430m.g,0.020830461755394936,10
0,leiden,xgboost,23,sncb.S,0.017137518152594566,11
0,leiden,xgboost,23,vsnl1.S,0.017074676230549812,12
0,leiden,xgboost,23,krt18.S,0.014865743927657604,13
0,leiden,xgboost,23,galnt9.S,0.014293743297457695,14
0,leiden,xgboost,23,tubb2b.S,0.013683605007827282,15
0,leiden,xgboost,23,cplx2.L,0.012723876163363457,16
0,leiden,xgboost,23,snap25.S,0.012364367954432964,17
0,leiden,xgboost,23,neto1.L,0.010743648745119572,18
0,leiden,xgboost,23,map1b.L,0.01040589064359665,19
0,leiden,xgboost,23,ckb.L,0.009998967871069908,20
0,leiden,xgboost,23,neurod1.L,0.008383429609239101,21
0,leiden,xgboost,23,scrt1.S,0.008327233605086803,22
0,leiden,xgboost,23,Xelaev18039277m.g,0.007328319828957319,23
0,leiden,xgboost,23,evx1.L,0.007183917798101902,24
0,leiden,xgboost,23,aldoc.L,0.006554488092660904,25
0,leiden,xgboost,23,pcdh17.L,0.00637880340218544,26
0,leiden,xgboost,23,nhlh1.L,0.006300885695964098,27
0,leiden,xgboost,23,onecut1.2.L,0.005267290398478508,28
0,leiden,xgboost,23,fos.S,0.005252514034509659,29
0,leiden,xgboost,23,ttc28.like.L,0.004702017176896334,30
0,leiden,xgboost,23,syp.S,0.003609979525208473,31
0,leiden,xgboost,23,map1a.S,0.0035081456881016493,32
0,leiden,xgboost,23,rtn1.L,0.003324365708976984,33
0,leiden,xgboost,23,map7d2.L,0.0030750988516956568,34
0,leiden,xgboost,23,fabp3.L,0.002999987220391631,35
0,leiden,xgboost,23,scg2.L,0.002876317361369729,36
0,leiden,xgboost,23,Xelaev18037480m.g,0.0028215593192726374,37
0,leiden,xgboost,23,gng3.S,0.002770873950794339,38
0,leiden,xgboost,23,syp.L,0.002593762008473277,39
0,leiden,xgboost,23,pkm.L,0.0025508985854685307,40
0,leiden,xgboost,23,gpm6b.like.S,0.002470392035320401,41
0,leiden,xgboost,23,Xelaev18003734m.g,0.0022264616563916206,42
0,leiden,xgboost,23,fos.L,0.0021315179765224457,43
0,leiden,xgboost,23,fabp7.L,0.0019945825915783644,44
0,leiden,xgboost,23,Xelaev18038145m.g,0.0019684580620378256,45
0,leiden,xgboost,23,alcam.L,0.001816921285353601,46
0,leiden,xgboost,23,rab3c.L,0.0017921016551554203,47
0,leiden,xgboost,23,slc17a7.S,0.001652590581215918,48
0,leiden,xgboost,23,tmem35.L,0.0014701858162879944,49
0,leiden,xgboost,23,mllt11.S,0.0012411557836458087,50
0,leiden,xgboost,23,hes6.1.S,0.00122177810408175,51
0,leiden,xgboost,23,cntn1.L,0.0011804281966760755,52
0,leiden,xgboost,23,kif5a.S,0.0010723421582952142,53
0,leiden,xgboost,23,cpeb2.like.S,0.0009105679928325117,54
0,leiden,xgboost,23,prss35.L,0.0007810412789694965,55
0,leiden,xgboost,23,cenpv.L,0.0007357480935752392,56
0,leiden,xgboost,23,dbn1.L,0.0007069279672577977,57
0,leiden,xgboost,23,prph.L,0.0006805527373217046,58
0,leiden,xgboost,23,fabp3.S,0.0006571444682776928,59
0,leiden,xgboost,23,neurog1.L,0.0005995620158500969,60
0,leiden,xgboost,23,Xelaev18038892m.g,0.0005673903506249189,61
0,leiden,xgboost,23,Xelaev18040313m.g,0.0005526090390048921,62
0,leiden,xgboost,23,stmn3.L,0.0004191453044768423,63
0,leiden,xgboost,23,elavl4.L,0.0003961194888688624,64
0,leiden,xgboost,23,pgam1.S,0.0003939160378649831,65
0,leiden,xgboost,23,nsg1.L,0.0003740009560715407,66
0,leiden,xgboost,23,rab6b.S,0.0003249966830480844,67
0,leiden,xgboost,23,cpe.L,0.0002968369808513671,68
0,leiden,xgboost,23,syt2.like.S,0.000261545879766345,69
0,leiden,xgboost,23,onecut2.L,0.00018270674627274275,70
0,leiden,xgboost,23,ftmt.S,0.00016384705668315291,71
0,leiden,xgboost,23,nova1.S,0.0001366407232126221,72
0,leiden,xgboost,23,atp6v0e2.S,0.0001340188755420968,73
0,leiden,xgboost,23,atp6v0b.S,0.00010841973562492058,74
0,leiden,xgboost,23,mllt11.L,8.598464773967862e-05,75
0,leiden,xgboost,8,Xelaev18047453m.g,0.20774181187152863,1
0,leiden,xgboost,8,Xelaev18003734m.g,0.1839013397693634,2
0,leiden,xgboost,8,Xelaev18045083m.g,0.06092816963791847,3
0,leiden,xgboost,8,ca2.L,0.030937502160668373,4
0,leiden,xgboost,8,atp6v0c.L,0.02689949981868267,5
0,leiden,xgboost,8,btg2.S,0.026196928694844246,6
0,leiden,xgboost,8,myl1.L,0.021021394059062004,7
0,leiden,xgboost,8,itln1.L,0.020780138671398163,8
0,leiden,xgboost,8,slc25a5.L,0.020233452320098877,9
0,leiden,xgboost,8,atp6v0b.S,0.020182043313980103,10
0,leiden,xgboost,8,fos.S,0.019771704450249672,11
0,leiden,xgboost,8,fos.L,0.0184230487793684,12
0,leiden,xgboost,8,Xelaev18001105m.g,0.017642229795455933,13
0,leiden,xgboost,8,Xelaev18002241m.g,0.017631998285651207,14
0,leiden,xgboost,8,Xelaev18047462m.g,0.01719583384692669,15
0,leiden,xgboost,8,krt5.7.S,0.015004880726337433,16
0,leiden,xgboost,8,loc100494945.S,0.014298923313617706,17
0,leiden,xgboost,8,ctsb.S,0.014131479896605015,18
0,leiden,xgboost,8,hbg1.S,0.014002365060150623,19
0,leiden,xgboost,8,smad6.2.L,0.012593361549079418,20
0,leiden,xgboost,8,mbnl1.L,0.012474652379751205,21
0,leiden,xgboost,8,tnnt3.S,0.012340372428297997,22
0,leiden,xgboost,8,Xetrov90011359m.L,0.011762958951294422,23
0,leiden,xgboost,8,atp6v1h.S,0.011013840325176716,24
0,leiden,xgboost,8,loc100127564.L,0.010750493966042995,25
0,leiden,xgboost,8,tnnc2.L,0.010623449459671974,26
