time,method,model,cluster,gene,score,rank_in_cluster
2,kmeans,logreg,0,msmb.3.L,0.8389214873313904,1
2,kmeans,logreg,0,Xelaev18016080m.g,0.7012686133384705,2
2,kmeans,logreg,0,col1a1.L,0.5051918029785156,3
2,kmeans,logreg,0,col1a1.S,0.44937753677368164,4
2,kmeans,logreg,0,col1a2.S,0.4126196801662445,5
2,kmeans,logreg,0,col1a2.L,0.3855733573436737,6
2,kmeans,logreg,0,timp.1.S,0.33559662103652954,7
2,kmeans,logreg,0,loc100127564.L,0.32465627789497375,8
2,kmeans,logreg,0,kera.S,0.24724307656288147,9
2,kmeans,logreg,0,krt12.L,0.22761863470077515,10
2,kmeans,logreg,0,mmp19.like.2.L,0.17475154995918274,11
2,kmeans,logreg,0,c9.L,0.16469600796699524,12
2,kmeans,logreg,0,Xelaev18007618m.g,0.14931514859199524,13
2,kmeans,logreg,0,cxcl8.L,0.1395013928413391,14
2,kmeans,logreg,0,frem1.L,0.13662774860858917,15
2,kmeans,logreg,0,loc100491930.L,0.13376066088676453,16
2,kmeans,logreg,0,loc100490816.L,0.13268162310123444,17
2,kmeans,logreg,0,atp6v0b.S,0.131502166390419,18
2,kmeans,logreg,0,ereg.L,0.13040460646152496,19
2,kmeans,logreg,0,ch25h.S,0.12986166775226593,20
2,kmeans,logreg,0,tfap2c.L,0.12966662645339966,21
2,kmeans,logreg,0,c3orf52.like.S,0.12819011509418488,22
2,kmeans,logreg,0,col2a1.L,0.12656651437282562,23
2,kmeans,logreg,0,Xelaev18009066m.g,0.12480853497982025,24
2,kmeans,logreg,0,elf3.L,0.121714286506176,25
2,kmeans,logreg,0,Xelaev18046818m.g,0.12127010524272919,26
2,kmeans,logreg,0,c3.L,0.12125164270401001,27
2,kmeans,logreg,0,Xelaev18045052m.g,0.11921657621860504,28
2,kmeans,logreg,0,enpp2.L,0.11755294352769852,29
2,kmeans,logreg,0,pthlh.S,0.11498504132032394,30
2,kmeans,logreg,0,loc733459.S,0.11470798403024673,31
2,kmeans,logreg,0,mtus1.L,0.11417880654335022,32
2,kmeans,logreg,0,Xelaev18039168m.g,0.1128750890493393,33
2,kmeans,logreg,0,Xelaev18002248m.g,0.11199420690536499,34
2,kmeans,logreg,0,loc100489129.L,0.11187750846147537,35
2,kmeans,logreg,0,trank1.L,0.1107540875673294,36
2,kmeans,logreg,0,scnn1b.S,0.10889797657728195,37
2,kmeans,logreg,0,Xelaev18038148m.g,0.10877861827611923,38
2,kmeans,logreg,0,loc101735282.S,0.10509322583675385,39
2,kmeans,logreg,0,stc2.L,0.10456838458776474,40
2,kmeans,logreg,0,ddit3.L,0.1027355045080185,41
2,kmeans,logreg,0,fst.L,0.10074909031391144,42
