time,method,model,cluster,gene,score,rank_in_cluster
3,louvain,xgboost,8,krt12.L,0.06931858509778976,1
3,louvain,xgboost,8,Xelaev18047462m.g,0.04468967393040657,2
3,louvain,xgboost,8,krt16.S,0.038414500653743744,3
3,louvain,xgboost,8,ca2.L,0.030809948220849037,4
3,louvain,xgboost,8,Xelaev18045649m.g,0.02977404184639454,5
3,louvain,xgboost,8,loc100487364.L,0.02815987914800644,6
3,louvain,xgboost,8,col1a2.S,0.026556454598903656,7
3,louvain,xgboost,8,apoc1.like.L,0.026530038565397263,8
3,louvain,xgboost,8,Xelaev18022531m.g,0.026123596355319023,9
3,louvain,xgboost,8,fos.L,0.02563454955816269,10
3,louvain,xgboost,8,MGC75752.L,0.024167560040950775,11
3,louvain,xgboost,8,ikzf1.L,0.022459667176008224,12
3,louvain,xgboost,8,Xelaev18011461m.g,0.02219882793724537,13
3,louvain,xgboost,8,ccnb1.2.L,0.022102441638708115,14
3,louvain,xgboost,8,loc100494945.S,0.02193090319633484,15
3,louvain,xgboost,8,Xelaev18045052m.g,0.021535031497478485,16
3,louvain,xgboost,8,psap.S,0.02083982713520527,17
3,louvain,xgboost,8,loc100049121.S,0.01880851946771145,18
3,louvain,xgboost,8,nptx1.L,0.018287084996700287,19
3,louvain,xgboost,8,Xelaev18003734m.g,0.018064698204398155,20
3,louvain,xgboost,8,btg2.S,0.017434775829315186,21
3,louvain,xgboost,8,rab6a.L,0.017115475609898567,22
3,louvain,xgboost,8,Xelaev18047460m.g,0.01665685698390007,23
3,louvain,xgboost,8,lgmn.L,0.015585935674607754,24
3,louvain,xgboost,8,Xetrov90018212m.S,0.015380775555968285,25
3,louvain,xgboost,8,Xelaev18001105m.g,0.01441083662211895,26
3,louvain,xgboost,8,atp6v0b.S,0.014343980699777603,27
3,louvain,xgboost,8,Xelaev18040854m.g,0.013160592876374722,28
3,louvain,xgboost,8,Xelaev18012120m.g,0.012729843147099018,29
3,louvain,xgboost,8,bhlhe40.S,0.0125050637871027,30
3,louvain,xgboost,8,MGC75752.S,0.012225918471813202,31
3,louvain,xgboost,8,slc40a1.L,0.012118808925151825,32
3,louvain,xgboost,8,Xelaev18001106m.g,0.012015864253044128,33
3,louvain,xgboost,8,Xelaev18047430m.g,0.011908750981092453,34
3,louvain,xgboost,8,Xelaev18045095m.g,0.011905234307050705,35
3,louvain,xgboost,8,tuba1b.L,0.011591033078730106,36
3,louvain,xgboost,8,Xelaev18035501m.g,0.011482122354209423,37
3,louvain,xgboost,8,col3a1.S,0.011431326158344746,38
3,louvain,xgboost,8,bambi.S,0.011215949431061745,39
3,louvain,xgboost,8,Xelaev18047453m.g,0.010337598621845245,40
3,louvain,xgboost,8,Xelaev18034626m.g,0.010225740261375904,41
3,louvain,xgboost,8,atp6v0c.L,0.009532340802252293,42
3,louvain,xgboost,8,insig1.L,0.008991708979010582,43
3,louvain,xgboost,8,cldn4.S,0.008814457803964615,44
3,louvain,xgboost,8,txnrd3.L,0.00828212033957243,45
3,louvain,xgboost,8,nmral1.S,0.008082502521574497,46
3,louvain,xgboost,8,slc25a5.L,0.007089338731020689,47
3,louvain,xgboost,8,lyar.L,0.007035145536065102,48
3,louvain,xgboost,8,Xelaev18017913m.g,0.007001104298979044,49
3,louvain,xgboost,8,txn.L,0.006790463346987963,50
3,louvain,xgboost,8,fos.S,0.006602935027331114,51
3,louvain,xgboost,8,jund.L,0.006248109973967075,52
3,louvain,xgboost,8,ier2.L,0.006206806283444166,53
3,louvain,xgboost,8,msmb.3.L,0.005790990311652422,54
