time,method,model,cluster,gene,score,rank_in_cluster
0,leiden,logreg,0,Xelaev18002241m.g,2.339020252227783,1
0,leiden,logreg,0,ca2.L,1.8135014772415161,2
0,leiden,logreg,0,Xelaev18017913m.g,0.7299503684043884,3
0,leiden,logreg,0,fos.L,0.7205901741981506,4
0,leiden,logreg,0,btg2.S,0.6625549793243408,5
0,leiden,logreg,0,crip1.L,0.6316264867782593,6
0,leiden,logreg,0,fos.S,0.6174066662788391,7
0,leiden,logreg,0,foxr1.L,0.6038960814476013,8
0,leiden,logreg,0,rdh10.S,0.5999722480773926,9
0,leiden,logreg,0,hpd.like.1.L,0.5928604006767273,10
0,leiden,logreg,0,tnc.like.L,0.5665981769561768,11
0,leiden,logreg,0,act3.S,0.5477185249328613,12
0,leiden,logreg,0,tcn2.L,0.5135048031806946,13
0,leiden,logreg,0,loc100496216.L,0.5062202215194702,14
0,leiden,logreg,0,vim.L,0.504565417766571,15
0,leiden,logreg,0,ptrf.S,0.4947283864021301,16
0,leiden,logreg,0,stmn2.L,0.45218634605407715,17
0,leiden,logreg,0,fabp7.L,0.44312775135040283,18
0,leiden,logreg,0,cebpa.L,0.42011964321136475,19
0,leiden,logreg,0,unnamed.S.7,0.41914334893226624,20
0,leiden,logreg,0,sncg.S,0.3990260362625122,21
0,leiden,logreg,0,mbnl1.L,0.3884247839450836,22
0,leiden,logreg,0,znfx1.L,0.38799551129341125,23
0,leiden,logreg,0,sfrp2.S,0.38650134205818176,24
0,leiden,logreg,0,pltp.S,0.37755465507507324,25
0,leiden,logreg,0,hgd.L,0.37658408284187317,26
0,leiden,logreg,0,Xelaev18009066m.g,0.3700026273727417,27
0,leiden,logreg,0,pmel.like.L,0.35797014832496643,28
0,leiden,logreg,0,atp6v1d.S,0.35218021273612976,29
0,leiden,logreg,0,gas2.L,0.337240070104599,30
0,leiden,logreg,0,tgfb2.L,0.3181123435497284,31
0,leiden,logreg,0,loc100497729.L,0.3176800012588501,32
0,leiden,logreg,0,tnfsf10l.L,0.3114984333515167,33
0,leiden,logreg,0,act3.L,0.29879921674728394,34
0,leiden,logreg,0,aldob.L,0.2977445721626282,35
0,leiden,logreg,0,Xelaev18045306m.g,0.295492559671402,36
0,leiden,logreg,0,phldb3.S,0.2953731417655945,37
0,leiden,logreg,0,Xelaev18022531m.g,0.29151037335395813,38
0,leiden,logreg,0,cadps.L,0.28888460993766785,39
0,leiden,logreg,0,loc100170419.S,0.28746604919433594,40
0,leiden,logreg,0,atp6v0a4.L,0.2819444537162781,41
0,leiden,logreg,0,ccdc3.L,0.2813708782196045,42
0,leiden,logreg,0,cndp2.S,0.28092989325523376,43
0,leiden,logreg,0,akap12.S,0.2794770300388336,44
0,leiden,logreg,0,cd34.L,0.27828526496887207,45
0,leiden,logreg,0,ucma.L,0.27765563130378723,46
0,leiden,logreg,0,dstn.S,0.2771052122116089,47
0,leiden,logreg,0,loc100493381.S,0.27379941940307617,48
0,leiden,logreg,0,cldn6.2.S,0.27197328209877014,49
0,leiden,logreg,0,atp6v1g2.L,0.2701358497142792,50
0,leiden,logreg,0,rab11fip1.L,0.269523561000824,51
0,leiden,logreg,0,loc101731311.L,0.26417800784111023,52
0,leiden,logreg,0,cyp26a1.S,0.2607930302619934,53
0,leiden,logreg,0,Xetrov90011359m.L,0.26006820797920227,54
0,leiden,logreg,0,plvap.L,0.25869256258010864,55
0,leiden,logreg,0,atp6v1h.S,0.25829076766967773,56
0,leiden,logreg,0,nefm.L,0.25060874223709106,57
0,leiden,logreg,0,loc100494822.S,0.2491159737110138,58
0,leiden,logreg,0,fbp1.L,0.2486923336982727,59
0,leiden,logreg,0,loc100494515.like.S,0.2486676573753357,60
0,leiden,logreg,0,sncb.L,0.2430606186389923,61
0,leiden,logreg,0,myog.S,0.24092333018779755,62
0,leiden,logreg,0,Xelaev18031834m.g,0.23653683066368103,63
0,leiden,logreg,0,aldoa.L,0.23583075404167175,64
0,leiden,logreg,0,Xelaev18045938m.g,0.2355658859014511,65
0,leiden,logreg,0,col8a1.S,0.23144765198230743,66
0,leiden,logreg,0,slc26a10.S,0.23126503825187683,67
0,leiden,logreg,0,ndrg1.L,0.22666020691394806,68
0,leiden,logreg,0,slurp1l.S,0.22424909472465515,69
0,leiden,logreg,0,loc101733140.L,0.22184979915618896,70
0,leiden,logreg,0,Xelaev18014807m.g,0.22002045810222626,71
0,leiden,logreg,0,ebf3.S,0.2199791818857193,72
0,leiden,logreg,0,ism1.L,0.21344654262065887,73
0,leiden,logreg,0,Xetrov90018212m.S,0.21297214925289154,74
0,leiden,logreg,0,nmral1.S,0.21209463477134705,75
0,leiden,logreg,1,ramp3.L,0.7536141276359558,1
0,leiden,logreg,1,crip1.L,0.7149513959884644,2
0,leiden,logreg,1,Xelaev18034081m.g,0.6500524282455444,3
0,leiden,logreg,1,krt12.L,0.6279059648513794,4
0,leiden,logreg,1,lum.L,0.6243470907211304,5
0,leiden,logreg,1,Xelaev18016867m.g,0.6053638458251953,6
0,leiden,logreg,1,krt19.L,0.5900875329971313,7
0,leiden,logreg,1,enkur.L,0.5595493912696838,8
0,leiden,logreg,1,atp1b3.L,0.5373218655586243,9
0,leiden,logreg,1,tac1.L,0.5255013108253479,10
0,leiden,logreg,1,loc101734526.L,0.48964768648147583,11
0,leiden,logreg,1,ctsl.L,0.46763837337493896,12
0,leiden,logreg,1,hes6.1.S,0.45857641100883484,13
0,leiden,logreg,1,col27a1.S,0.44823920726776123,14
0,leiden,logreg,1,aplp1.L,0.4052066206932068,15
0,leiden,logreg,1,Xelaev18047453m.g,0.40310847759246826,16
0,leiden,logreg,1,tnn.L,0.3952355682849884,17
0,leiden,logreg,1,Xelaev18009504m.g,0.39264562726020813,18
0,leiden,logreg,1,col2a1.L,0.37755030393600464,19
0,leiden,logreg,1,krt12.S,0.3758309781551361,20
0,leiden,logreg,1,ca2.L,0.3732058107852936,21
0,leiden,logreg,1,enpp2.L,0.36805275082588196,22
0,leiden,logreg,1,ube2c.L,0.3678768277168274,23
0,leiden,logreg,1,actn3.S,0.3575541079044342,24
0,leiden,logreg,1,Xelaev18022529m.g,0.3560570180416107,25
0,leiden,logreg,1,c2orf40.L,0.33338430523872375,26
0,leiden,logreg,1,pfkfb4.S,0.3298405706882477,27
0,leiden,logreg,1,crp.4.L,0.32925790548324585,28
0,leiden,logreg,1,eln2.S,0.3225536048412323,29
0,leiden,logreg,1,ptx3.L,0.3173893094062805,30
0,leiden,logreg,1,col1a2.S,0.31673240661621094,31
0,leiden,logreg,1,pc.L,0.3154621124267578,32
0,leiden,logreg,1,lect1.L,0.3088722229003906,33
0,leiden,logreg,1,myh1.3.1.L,0.3083087205886841,34
0,leiden,logreg,1,pde4b.S,0.30446791648864746,35
0,leiden,logreg,1,ftmt.S,0.3034542500972748,36
0,leiden,logreg,1,col9a2.S,0.3010719120502472,37
0,leiden,logreg,1,pnhd.L,0.2949005961418152,38
0,leiden,logreg,1,pdzk1ip1.L,0.2937130928039551,39
0,leiden,logreg,1,twist1.S,0.2914133071899414,40
0,leiden,logreg,1,Xelaev18036002m.g,0.2903808057308197,41
0,leiden,logreg,1,prss57.L,0.2882636785507202,42
0,leiden,logreg,1,lum.S,0.2862369418144226,43
0,leiden,logreg,1,myh1.2.1.S,0.2852339744567871,44
0,leiden,logreg,1,epx.L,0.283942848443985,45
0,leiden,logreg,1,tuba1b.L,0.2830791473388672,46
0,leiden,logreg,1,Xelaev18045649m.g,0.2824788987636566,47
0,leiden,logreg,1,ndrg4.L,0.2782624363899231,48
0,leiden,logreg,1,snap91.S,0.27452224493026733,49
0,leiden,logreg,1,arhgdib.L,0.27059227228164673,50
0,leiden,logreg,1,ywhag.L,0.2696312665939331,51
0,leiden,logreg,1,loc100497338.like.L,0.2643440365791321,52
0,leiden,logreg,1,Xelaev18044446m.g,0.2621467709541321,53
0,leiden,logreg,1,serpinb1.L,0.25614652037620544,54
0,leiden,logreg,1,art5.L,0.2516948878765106,55
0,leiden,logreg,1,gng3.L,0.25161880254745483,56
0,leiden,logreg,1,loc100495760.L,0.2503955662250519,57
0,leiden,logreg,1,cck.L,0.24802415072917938,58
0,leiden,logreg,1,nefm.S,0.24704137444496155,59
0,leiden,logreg,1,cfl2.L,0.24600838124752045,60
0,leiden,logreg,1,arsi.S,0.24506086111068726,61
0,leiden,logreg,1,Xetrov90029035m.L,0.2445962131023407,62
0,leiden,logreg,1,atp6v1c2.L,0.24421735107898712,63
0,leiden,logreg,1,loc100496565.S,0.24034270644187927,64
0,leiden,logreg,1,rasl11b.L,0.23906008899211884,65
0,leiden,logreg,1,Xelaev18026267m.g,0.2351255714893341,66
0,leiden,logreg,1,krt16.S,0.23313486576080322,67
0,leiden,logreg,1,serpinf1.L,0.2215380221605301,68
0,leiden,logreg,1,ca2.S,0.2204846292734146,69
0,leiden,logreg,1,loc100137672.S,0.2197534441947937,70
0,leiden,logreg,1,eln1.L,0.2159907966852188,71
0,leiden,logreg,1,c2orf50.L,0.21542339026927948,72
0,leiden,logreg,1,col5a3.like.L,0.213877335190773,73
0,leiden,logreg,1,pgd.S,0.2117568403482437,74
0,leiden,logreg,1,Xelaev18002241m.g,0.211427703499794,75
0,leiden,logreg,2,Xelaev18047453m.g,1.5680761337280273,1
0,leiden,logreg,2,prph.S,0.5922998785972595,2
0,leiden,logreg,2,lyar.L,0.576469898223877,3
0,leiden,logreg,2,tnni2.L,0.5689198970794678,4
0,leiden,logreg,2,atp6v0c.L,0.5378928184509277,5
0,leiden,logreg,2,atp6v1h.S,0.5010784864425659,6
0,leiden,logreg,2,Xelaev18045083m.g,0.41836103796958923,7
