time,method,model,cluster,gene,score,rank_in_cluster
2,kmeans,xgboost,8,colec12.S,0.20846675336360931,1
2,kmeans,xgboost,8,krt18.L,0.1412898749113083,2
2,kmeans,xgboost,8,crlf1.L,0.07641527056694031,3
2,kmeans,xgboost,8,vcan.L,0.07377206534147263,4
2,kmeans,xgboost,8,ptx3.S,0.05338115617632866,5
2,kmeans,xgboost,8,loc100127564.L,0.0411067008972168,6
2,kmeans,xgboost,8,lect1.L,0.0374097004532814,7
2,kmeans,xgboost,8,col8a2.S,0.029632797464728355,8
2,kmeans,xgboost,8,sfrp2.S,0.02690030448138714,9
2,kmeans,xgboost,8,pthlh.S,0.022333715111017227,10
2,kmeans,xgboost,8,dio3.L,0.021936656907200813,11
2,kmeans,xgboost,8,tuba1b.S,0.019552351906895638,12
2,kmeans,xgboost,8,ptx3.L,0.016314756125211716,13
2,kmeans,xgboost,8,otos.L,0.016171427443623543,14
2,kmeans,xgboost,8,tnfaip6.S,0.014475035481154919,15
2,kmeans,xgboost,8,sfrp2.L,0.013386622071266174,16
2,kmeans,xgboost,8,bgn.S,0.012576175853610039,17
2,kmeans,xgboost,8,atp1b3.L,0.01084866002202034,18
2,kmeans,xgboost,8,stc1.L,0.009628068655729294,19
2,kmeans,xgboost,8,fn1.S,0.008856958709657192,20
2,kmeans,xgboost,8,efemp1.S,0.008370843715965748,21
2,kmeans,xgboost,8,val,0.007758544757962227,22
2,kmeans,xgboost,8,crip1.L,0.007598382420837879,23
2,kmeans,xgboost,8,anos1.L,0.007067010272294283,24
2,kmeans,xgboost,8,eln1.L,0.006777073256671429,25
2,kmeans,xgboost,8,epyc.L,0.0065875849686563015,26
2,kmeans,xgboost,8,col1a1.S,0.005907648708671331,27
2,kmeans,xgboost,8,krt12.L,0.005641940515488386,28
2,kmeans,xgboost,8,gfpt2.L,0.0056128473952412605,29
2,kmeans,xgboost,8,ccnb1.2.S,0.005467765964567661,30
2,kmeans,xgboost,8,Xetrov90018123m.L,0.005398658104240894,31
2,kmeans,xgboost,8,fos.S,0.005198010243475437,32
2,kmeans,xgboost,8,Xelaev18002842m.g,0.004808744881302118,33
2,kmeans,xgboost,8,Xelaev18016663m.g,0.0047338553704321384,34
2,kmeans,xgboost,8,spon1.L,0.004668461158871651,35
2,kmeans,xgboost,8,tspan7.S,0.0044584330171346664,36
2,kmeans,xgboost,8,col2a1.L,0.004364833235740662,37
2,kmeans,xgboost,8,hpd.like.1.L,0.004130162298679352,38
2,kmeans,xgboost,8,col3a1.S,0.003373808925971389,39
2,kmeans,xgboost,8,hey1.L,0.0029956665821373463,40
2,kmeans,xgboost,8,igfbp5.S,0.0029109767638146877,41
2,kmeans,xgboost,8,kpna2.S,0.002316887956112623,42
2,kmeans,xgboost,8,mmp8.L,0.002305796602740884,43
2,kmeans,xgboost,8,MGC75752.L,0.002269899472594261,44
2,kmeans,xgboost,8,f2rl3.L,0.0021523945033550262,45
2,kmeans,xgboost,8,itga4.L,0.002139885677024722,46
2,kmeans,xgboost,8,ppap2b.S,0.002089669229462743,47
2,kmeans,xgboost,8,gap43.S,0.0017816792242228985,48
2,kmeans,xgboost,8,nid2.L,0.0017419522628188133,49
2,kmeans,xgboost,8,timp.1.S,0.0015883592423051596,50
2,kmeans,xgboost,8,col1a1.L,0.0014627096243202686,51
2,kmeans,xgboost,8,gpi.S,0.00112676783464849,52
2,kmeans,xgboost,8,Xelaev18045096m.g,0.0011240955209359527,53
2,kmeans,xgboost,8,serpine1.L,0.0011097099632024765,54
2,kmeans,xgboost,8,tuba4a.S,0.0010470307897776365,55
2,kmeans,xgboost,8,tmem26.L,0.0008575405227020383,56
2,kmeans,xgboost,8,ntn1.S,0.0008277113665826619,57
2,kmeans,xgboost,8,col27a1.S,0.0007712777587585151,58
2,kmeans,xgboost,8,loc100496183.L,0.0006356048979796469,59
2,kmeans,xgboost,8,angptl7.L,0.0005882697296328843,60
2,kmeans,xgboost,8,Xetrov90001378m.S,0.0005189694929867983,61
2,kmeans,xgboost,8,col9a1.L,0.0004782628093380481,62
2,kmeans,xgboost,8,lta4h.L,0.0004125970008317381,63
2,kmeans,xgboost,8,Xelaev18045052m.g,0.00039745698450133204,64
2,kmeans,xgboost,8,Xelaev18027940m.g,0.00034267615410499275,65
2,kmeans,xgboost,8,ebf3.S,0.00030386768048629165,66
2,kmeans,xgboost,8,ly6g6c.L,0.0002999248099513352,67
2,kmeans,xgboost,8,ctgf.L,0.00018707377603277564,68
2,kmeans,xgboost,8,col1a2.L,0.0001801101170713082,69
2,kmeans,xgboost,8,txn.L,0.0001593306806171313,70
2,kmeans,xgboost,8,Xetrov90018212m.S,0.00015778810484334826,71
2,kmeans,xgboost,8,has2.L,0.00013131002197042108,72
2,kmeans,xgboost,8,col9a3.L,0.00011938627721974626,73
2,kmeans,xgboost,8,psap.S,8.772588626015931e-05,74
2,kmeans,xgboost,8,loc100127794.L,0.0,75
2,kmeans,xgboost,2,loc100494945.L,0.4406900703907013,1
2,kmeans,xgboost,2,psca.L,0.11061807721853256,2
2,kmeans,xgboost,2,Xelaev18034081m.g,0.104167141020298,3
2,kmeans,xgboost,2,loc100497729.L,0.09229177981615067,4
2,kmeans,xgboost,2,atp6v1c2.L,0.08698974549770355,5
2,kmeans,xgboost,2,Xelaev18012141m.g,0.05144370719790459,6
2,kmeans,xgboost,2,umod.2.L,0.026630496606230736,7
2,kmeans,xgboost,2,Xelaev18045649m.g,0.016544440761208534,8
2,kmeans,xgboost,2,Xelaev18016080m.g,0.011925606988370419,9
2,kmeans,xgboost,2,col1a2.L,0.009312688373029232,10
2,kmeans,xgboost,2,nqo1.L,0.007938719354569912,11
2,kmeans,xgboost,2,tmem38b.L,0.006199085619300604,12
2,kmeans,xgboost,2,loc100490489.L,0.004944140557199717,13
2,kmeans,xgboost,2,s100a11.S,0.004088027868419886,14
2,kmeans,xgboost,2,krt16.L,0.003649885766208172,15
