time,method,model,cluster,gene,score,rank_in_cluster
2,leiden,svm,5,col9a1.L,0.27593274774823817,1
2,leiden,svm,5,col2a1.L,0.2669622781903586,2
2,leiden,svm,5,epyc.S,-0.2272148159609951,3
2,leiden,svm,5,foxc2.S,0.21387824751232204,4
2,leiden,svm,5,col8a2.S,-0.20953702842932434,5
2,leiden,svm,5,cav1.S,-0.20074942199455892,6
2,leiden,svm,5,sfrp2.S,-0.1939417420971212,7
2,leiden,svm,5,otos.L,-0.1888216767036937,8
2,leiden,svm,5,igf2.S,0.18835763707302977,9
2,leiden,svm,5,prss35.S,-0.18116773480028828,10
2,leiden,svm,5,col1a2.S,-0.1796352888219989,11
2,leiden,svm,5,dpt.S,0.1794948580821526,12
2,leiden,svm,5,col9a3.L,0.1782869341036467,13
2,leiden,svm,5,mmp23b.L,-0.17361834036833146,14
2,leiden,svm,5,epyc.L,-0.16573606429086846,15
2,leiden,svm,5,hapln1.L,-0.15737333196885028,16
2,leiden,svm,5,val,0.14523289963847685,17
2,leiden,svm,5,Xelaev18040855m.g,-0.1446195971446736,18
2,leiden,svm,5,sfrp2.L,-0.14206743385764747,19
2,leiden,svm,5,chrna7.S,-0.14194661827751698,20
2,leiden,svm,5,ecm1.L,0.13773300884493475,21
2,leiden,svm,5,nkx3.2.S,0.13596619120768327,22
2,leiden,svm,5,colec12.S,-0.13539927443314126,23
2,leiden,svm,5,lama1.L,0.13441046131744902,24
2,leiden,svm,5,loc100498318.like.L,-0.13125681360281274,25
2,leiden,svm,5,htra3.L,0.12996298337505116,26
2,leiden,svm,5,fxyd5.L,0.1281430834779628,27
2,leiden,svm,5,unnamed.L.3,-0.1260477214305887,28
2,leiden,svm,5,loc100485272.like.S,-0.12528684393316808,29
2,leiden,svm,5,col1a2.L,-0.12508014740873283,30
2,leiden,svm,5,mmp11.L,0.12498666953563925,31
2,leiden,svm,5,spon1.L,-0.12471028948605022,32
2,leiden,svm,5,ctgf.L,0.12411272724952857,33
2,leiden,svm,5,itga4.L,0.12383326107424661,34
2,leiden,svm,5,col27a1.S,-0.12329868656393207,35
2,leiden,svm,5,Xetrov90028350m.S,-0.12328722145066928,36
2,leiden,svm,5,txn.L,-0.12314452531950648,37
2,leiden,svm,5,pmp2.S,-0.12309975301947482,38
2,leiden,svm,5,crp.4.L,0.1216789135874648,39
2,leiden,svm,5,loc100494786.S,-0.12106172757657738,40
2,leiden,svm,5,gap43.L,-0.11910317086120394,41
2,leiden,svm,5,Xelaev18045052m.g,-0.11875224770026,42
2,leiden,svm,5,Xelaev18045096m.g,-0.11815472628605311,43
2,leiden,svm,5,tnfaip6.S,0.1161067692446139,44
2,leiden,svm,5,tagln.S,0.11483836751131288,45
2,leiden,svm,5,tuba1b.S,0.11422721778713457,46
2,leiden,svm,5,tpm2.L,0.11418686369758561,47
2,leiden,svm,5,eln1.L,-0.11417001897156612,48
2,leiden,svm,5,clec3b.L,0.11188336944439202,49
2,leiden,svm,5,ccl4.L,0.1115308395256021,50
2,leiden,svm,5,serpine1.L,-0.10951338032575106,51
2,leiden,svm,5,Xetrov90011359m.L,-0.10858491785342288,52
2,leiden,svm,5,lect1.S,-0.10779410141666229,53
2,leiden,svm,5,rbp4.S,0.10698760673237608,54
2,leiden,svm,5,ctsb.S,-0.1063355772607089,55
2,leiden,svm,5,fam212a.L,-0.10577823092627683,56
2,leiden,svm,5,loc101730537.like.L,-0.10542899582216168,57
2,leiden,svm,5,ednra.L,-0.1043037521427914,58
2,leiden,svm,5,Xelaev18001105m.g,-0.1042202921488016,59
2,leiden,svm,5,Xelaev18012967m.g,-0.10383589247036856,60
2,leiden,svm,5,has2.S,0.10373758485386528,61
2,leiden,svm,5,atp6v1d.S,0.10350191887474013,62
2,leiden,svm,5,msmb.3.L,-0.10332169635708158,63
2,leiden,svm,5,nrp1.L,-0.1019238075350824,64
2,leiden,svm,5,vcan.L,-0.10130054841481428,65
2,leiden,svm,5,fam132a.L,0.10089570879460119,66
2,leiden,svm,5,lrrn4cl.L,-0.10064782229748453,67
2,leiden,svm,5,tnfaip6.L,-0.10014631868619576,68
2,leiden,svm,5,hgd.L,-0.09933287826591919,69
2,leiden,svm,5,ifit5.L,0.09798616839991699,70
2,leiden,svm,5,loc100488697.L,-0.0977348496219374,71
2,leiden,svm,5,Xelaev18040854m.g,-0.09745457766218722,72
2,leiden,svm,5,bgn.S,-0.0973051720184213,73
2,leiden,svm,5,Xelaev18009504m.g,-0.09598726686838056,74
2,leiden,svm,5,tat.S,-0.0952706083850178,75
2,leiden,svm,9,col1a2.L,-0.10750860526453512,1
2,leiden,svm,9,Xelaev18012141m.g,-0.09154650586290235,2
2,leiden,svm,9,Xelaev18015037m.g,-0.08868011703954051,3
2,leiden,svm,9,Xelaev18045052m.g,-0.08011777357651996,4
2,leiden,svm,9,krt16.L,0.07707475659780817,5
2,leiden,svm,9,krt16.S,0.07229662829386944,6
2,leiden,svm,9,Xelaev18045096m.g,-0.072153275666377,7
2,leiden,svm,9,col1a1.S,-0.06960550023221923,8
2,leiden,svm,9,Xelaev18001106m.g,-0.06511360444681837,9
2,leiden,svm,9,umod.2.L,-0.060635560025992616,10
2,leiden,svm,9,Xelaev18001105m.g,-0.05843686520365041,11
2,leiden,svm,9,ly6g6c.L,0.05493254253750123,12
2,leiden,svm,9,Xelaev18034081m.g,0.052324673457665054,13
2,leiden,svm,9,loc100494945.L,0.05215081125596666,14
2,leiden,svm,9,Xelaev18045649m.g,0.05141393089909015,15
2,leiden,svm,9,Xelaev18016451m.g,-0.04976452923057035,16
2,leiden,svm,9,scnn1b.S,0.04883885982402083,17
2,leiden,svm,9,rab19.L,0.04683379859736561,18
2,leiden,svm,9,Xelaev18047460m.g,-0.04582664517161242,19
2,leiden,svm,9,loc101731311.L,0.043537160452903276,20
2,leiden,svm,9,col2a1.L,-0.04352876730427138,21
2,leiden,svm,9,loc100494945.S,0.04324186565544001,22
2,leiden,svm,9,txn.L,-0.041587387357688264,23
2,leiden,svm,9,Xelaev18026753m.g,-0.04097655886058922,24
2,leiden,svm,9,Xelaev18013182m.g,0.03981844172323976,25
2,leiden,svm,9,sp8.L,0.039422434982873414,26
2,leiden,svm,9,s100a11.S,0.039309927177484466,27
2,leiden,svm,9,g6pc2.L,0.03925346049156752,28
2,leiden,svm,9,loc100490489.S,-0.03815971892889449,29
2,leiden,svm,9,krt.S,0.03758016780419293,30
2,leiden,svm,9,fabp3.L,-0.03741816540828054,31
2,leiden,svm,9,prss8,0.03457393492904353,32
2,leiden,svm,9,ctgf.L,-0.03433401029378212,33
2,leiden,svm,9,Xelaev18047462m.g,-0.0342497539769201,34
2,leiden,svm,9,zfand2a.L,0.033966257214255335,35
2,leiden,svm,9,tuba4a.S,-0.03148368009589347,36
2,leiden,svm,9,fam83b.S,0.030988756247885333,37
2,leiden,svm,9,Xelaev18001323m.g,0.030396043384164993,38
2,leiden,svm,9,sytl1.S,0.029631553415059957,39
2,leiden,svm,9,loc101732853.L,-0.02922210597593788,40
2,leiden,svm,9,Xelaev18036218m.g,0.02879161219273183,41
2,leiden,svm,9,loc100495760.L,0.028590791954652285,42
2,leiden,svm,9,col3a1.S,-0.027734658764757458,43
2,leiden,svm,9,Xelaev18043641m.g,0.027431813829339503,44
2,leiden,svm,9,Xelaev18047452m.g,-0.026965215830290316,45
2,leiden,svm,9,Xetrov90011361m.L,-0.026849834721166893,46
2,leiden,svm,9,Xelaev18040854m.g,0.026744079983353524,47
2,leiden,svm,9,ranbp3l.like.L,0.02609533164018258,48
2,leiden,svm,9,Xelaev18022490m.g,-0.025985379462007744,49
2,leiden,svm,9,ppp1r3c.2.S,0.02593944875184006,50
2,leiden,svm,9,loc101733516.like.L,-0.025685563389076987,51
2,leiden,svm,9,Xelaev18022082m.g,-0.025616332908025632,52
2,leiden,svm,9,loc100489718.L,0.02535963423648253,53
2,leiden,svm,9,Xelaev18000156m.g,0.025268148089236202,54
2,leiden,svm,9,b3gnt7.L,0.024948529136919376,55
2,leiden,svm,9,fbp1.L,-0.024590474328051736,56
2,leiden,svm,9,loc101730868.like.L,0.024590350539518406,57
2,leiden,svm,9,Xelaev18032450m.g,0.02443403021689003,58
2,leiden,svm,9,Xelaev18038710m.g,-0.024336713783774444,59
2,leiden,svm,9,elf3.L,-0.02423569695109271,60
2,leiden,svm,9,degs3.L,-0.02416193413642436,61
2,leiden,svm,9,bhlha9.S,0.023847661947379136,62
2,leiden,svm,9,grhl1.S,-0.02375246723316733,63
2,leiden,svm,9,il17c.L,-0.023690194083958428,64
2,leiden,svm,9,snx31.S,-0.02365893591745282,65
2,leiden,svm,9,col1a2.S,-0.023487858259681034,66
2,leiden,svm,9,Xelaev18044287m.g,0.02322689326513667,67
2,leiden,svm,9,ctsc.S,-0.02320536025477839,68
2,leiden,svm,9,crip1.L,-0.02249012717466751,69
2,leiden,svm,9,krt8.S,-0.021922408833333944,70
2,leiden,svm,9,fam3b.L,0.021895168601507184,71
2,leiden,svm,9,Xelaev18038699m.g,0.021593641760713544,72
2,leiden,svm,9,bmp7.1.L,0.021498975805533352,73
2,leiden,svm,9,smagp.L,-0.021439852049260917,74
2,leiden,svm,9,myf5.S,-0.021278381032470272,75
2,leiden,svm,17,apoc1.like.L,0.11465800474631173,1
2,leiden,svm,17,Xelaev18045052m.g,-0.10778103700544078,2
2,leiden,svm,17,col1a2.L,-0.09296817637928077,3
2,leiden,svm,17,loc100487364.L,-0.085771395467409,4
2,leiden,svm,17,ccl34.S,0.08016289885683148,5
2,leiden,svm,17,Xelaev18045096m.g,-0.07770064101209702,6
2,leiden,svm,17,Xetrov90018212m.S,-0.0729534608098887,7
