time,method,model,cluster,gene,score,rank_in_cluster
2,louvain,svm,7,col9a1.L,0.29403103396640295,1
2,louvain,svm,7,col2a1.L,0.2475153824901426,2
2,louvain,svm,7,prss35.S,-0.2444369483108288,3
2,louvain,svm,7,dpt.S,0.23037555072649898,4
2,louvain,svm,7,epyc.S,-0.2257493086075355,5
2,louvain,svm,7,epyc.L,-0.2241473467492741,6
2,louvain,svm,7,col1a2.S,-0.22101306455627806,7
2,louvain,svm,7,unnamed.L.3,-0.21529782031971118,8
2,louvain,svm,7,has2.S,0.21402718196998916,9
2,louvain,svm,7,col9a3.L,0.21291891641094596,10
2,louvain,svm,7,serpine1.L,-0.21141195471457194,11
2,louvain,svm,7,mmp23b.L,-0.20338311716538235,12
2,louvain,svm,7,lama1.L,0.20228828538110025,13
2,louvain,svm,7,col8a2.S,-0.19188149787543224,14
2,louvain,svm,7,tuba1b.S,0.18626227628102626,15
2,louvain,svm,7,cav1.S,-0.18332933547467717,16
2,louvain,svm,7,txn.L,-0.1731216331074123,17
2,louvain,svm,7,rbp4.S,0.16858381309247833,18
2,louvain,svm,7,Xelaev18002842m.g,-0.16835718280797762,19
2,louvain,svm,7,otos.L,-0.16481684478628783,20
2,louvain,svm,7,snai2.L,-0.16341931291693185,21
2,louvain,svm,7,pmp2.S,-0.15633740605331095,22
2,louvain,svm,7,hgd.L,-0.15526474197612197,23
2,louvain,svm,7,Xetrov90011359m.L,-0.15461842186560004,24
2,louvain,svm,7,insig1.L,-0.15359462413111677,25
2,louvain,svm,7,Xetrov90028350m.S,-0.1510758121981547,26
2,louvain,svm,7,Xelaev18040855m.g,-0.15096652842490013,27
2,louvain,svm,7,foxc2.S,0.1468778475611231,28
2,louvain,svm,7,hmox1.L,-0.14532441275904742,29
2,louvain,svm,7,Xelaev18012967m.g,-0.14527034923115675,30
2,louvain,svm,7,sfrp2.S,-0.14384172729689224,31
2,louvain,svm,7,crp.4.L,0.14328901019493226,32
2,louvain,svm,7,fam212a.L,-0.14305879670168126,33
2,louvain,svm,7,tfpi2.S,-0.14194966764394593,34
2,louvain,svm,7,colec12.S,-0.14151574179580842,35
2,louvain,svm,7,ednra.L,-0.13946097566223625,36
2,louvain,svm,7,nkx3.2.L,0.138676067345115,37
2,louvain,svm,7,tpm2.L,0.13822847715707712,38
2,louvain,svm,7,nkx3.2.S,0.13814464953903702,39
2,louvain,svm,7,loc100485272.like.S,-0.13553212135186968,40
2,louvain,svm,7,f2rl3.L,0.13385479891539473,41
2,louvain,svm,7,asah1.L,-0.13369658933009848,42
