time,method,model,cluster,gene,score,rank_in_cluster
all,leiden,svm,2,loc100495131.like.L,1.5530722355440438,1
all,leiden,svm,2,areg.S,-1.520066705973554,2
all,leiden,svm,2,loc101735282.L,-1.5118402045864285,3
all,leiden,svm,2,sh3bgr.L,-1.409602622343319,4
all,leiden,svm,2,hes5_X1.L,-1.4057209415697307,5
all,leiden,svm,2,rassf2.L,-1.3641705110309377,6
all,leiden,svm,2,fabp7.L,-1.3058298142646871,7
all,leiden,svm,2,cpa6.L,-1.2946529582738298,8
all,leiden,svm,2,tmem72.L,-1.2919151170551424,9
all,leiden,svm,2,loc100497154.S,1.265406288176124,10
all,leiden,svm,2,prima1.like.S,-1.2604315422271004,11
all,leiden,svm,2,stmn3.S,1.2149854241753761,12
all,leiden,svm,2,mnx1.S,1.214691873395282,13
all,leiden,svm,2,Xelaev18021851m.g,-1.2127143204378896,14
all,leiden,svm,2,MGC86492.S,-1.1925005385238163,15
all,leiden,svm,2,Xelaev18022082m.g,1.1875314270363937,16
all,leiden,svm,2,loc100488695.S,1.1855701524305013,17
all,leiden,svm,2,lrrn4cl.L,-1.1831207904540346,18
all,leiden,svm,2,laptm5.L,-1.1727573618078815,19
all,leiden,svm,2,paqr9.L,1.168043776099195,20
all,leiden,svm,2,loc549413.S,-1.15561604365511,21
all,leiden,svm,2,slc7a7.L,1.143593125793061,22
all,leiden,svm,2,rnf128.L,-1.1360514247639855,23
all,leiden,svm,2,msmb.3.L,-1.1339456451775265,24
all,leiden,svm,2,hey1.L,-1.111771860269039,25
all,leiden,svm,2,hoxa13.L,-1.1106838228947968,26
all,leiden,svm,2,Xelaev18036521m.g,-1.1011787076460375,27
all,leiden,svm,2,pthlh.S,-1.099299577502578,28
all,leiden,svm,2,acta2.L,1.0974875523691168,29
all,leiden,svm,2,cpe.L,-1.082622166748804,30
all,leiden,svm,2,pdgfd.S,-1.0805408053568595,31
all,leiden,svm,2,vwc2l.2.L,1.0766359075095868,32
all,leiden,svm,2,loc100127750.S,-1.0698796094677898,33
all,leiden,svm,2,tspan1.L,1.065564026665926,34
all,leiden,svm,2,tie1.L,1.0652511539925975,35
all,leiden,svm,2,map2.S,1.060805210452391,36
all,leiden,svm,2,adh1b.S,1.0591671059111805,37
all,leiden,svm,2,anos1.L,1.0528094270091533,38
all,leiden,svm,2,Xelaev18046818m.g,-1.050857507847699,39
all,leiden,svm,2,nrn1.L,1.0483201361302004,40
all,leiden,svm,2,Xelaev18041553m.g,-1.0372938231148277,41
all,leiden,svm,2,loc100491922.like.S,-1.0209051764629227,42
all,leiden,svm,2,gpi.S,-1.0085058161533353,43
all,leiden,svm,2,c1orf194.L,0.9983982463883241,44
all,leiden,svm,2,Xelaev18022109m.g,0.9937512134727122,45
all,leiden,svm,2,Xelaev18005094m.g,-0.9913927073417593,46
all,leiden,svm,2,fndc1.S,-0.9841179645511132,47
all,leiden,svm,2,cthrc1.S,0.9760795207602599,48
all,leiden,svm,2,MGC75582.L,-0.9720188733446807,49
all,leiden,svm,2,naglu.L,0.9683517136289345,50
all,leiden,svm,2,tmem38a.S,0.9681289031410206,51
all,leiden,svm,2,il1b.L,0.9678342989806552,52
all,leiden,svm,2,il1b.S,-0.9669985123286585,53
all,leiden,svm,2,Xelaev18040454m.g,0.9619803900175279,54
all,leiden,svm,2,angptl2.S,0.9595541381751268,55
all,leiden,svm,2,Xelaev18019228m.g,-0.959392086974157,56
all,leiden,svm,2,uts2.S,0.958769441379791,57
all,leiden,svm,2,nova1.L,-0.9585129775589958,58
all,leiden,svm,2,loc101733164.L,-0.9582861679949348,59
all,leiden,svm,2,aplp1.L,-0.9532865680539949,60
all,leiden,svm,2,Xelaev18020802m.g,-0.94812207097063,61
all,leiden,svm,2,il13ra2.S,0.9447671813074661,62
all,leiden,svm,2,klhl31.L,0.9440855178563522,63
all,leiden,svm,2,spib.L,0.9424377237708842,64
all,leiden,svm,2,vgll1.S,0.9409873165183261,65
all,leiden,svm,2,hhip.L,-0.9371475535787003,66
all,leiden,svm,2,myh1.3.1.L,0.9349370306938198,67
all,leiden,svm,2,Xelaev18022839m.g,-0.9339938569715001,68
all,leiden,svm,2,c3.L,-0.9297464123250141,69
all,leiden,svm,2,bmp4.L,-0.9188765900927961,70
all,leiden,svm,2,Xelaev18016451m.g,-0.9187131471940542,71
all,leiden,svm,2,c1qtnf3.L,-0.9186872088141647,72
all,leiden,svm,2,smad6.2.L,-0.9144699499258604,73
all,leiden,svm,2,mmp13.S,0.9135917198277491,74
all,leiden,svm,2,crispld2.L,-0.9133562077271039,75
all,leiden,svm,13,slurp1l.S,0.3516298924470614,1
all,leiden,svm,13,cxcr3L..S,-0.19449130609140095,2
all,leiden,svm,13,lyg2.S,0.18465530088450924,3
all,leiden,svm,13,timp.1.S,-0.16759913710037766,4
all,leiden,svm,13,crp.4.L,0.16720650966722875,5
all,leiden,svm,13,ckm.L,-0.1630827185301895,6
all,leiden,svm,13,col1a2.L,-0.16023683961943322,7
all,leiden,svm,13,ccl34.S,0.15788186290801964,8
all,leiden,svm,13,gpr141.L,-0.15683631408940849,9
all,leiden,svm,13,loc100486192.L,-0.15117045020728775,10
all,leiden,svm,13,sla.L,-0.1479264965950445,11
all,leiden,svm,13,loc101733140.L,-0.14655859810063357,12
all,leiden,svm,13,loc100485744.L,0.1458238429433801,13
all,leiden,svm,13,pygl.S,-0.14465591987747248,14
all,leiden,svm,13,prss57.L,-0.14130323280326582,15
all,leiden,svm,13,ctsc.L,0.13756592611171883,16
all,leiden,svm,13,Xelaev18024498m.g,0.13400634558079846,17
all,leiden,svm,13,dstn.S,0.13378256600762717,18
all,leiden,svm,13,pgd.S,-0.13172675780716017,19
all,leiden,svm,13,loc100492943.L,0.12971984848178963,20
all,leiden,svm,13,mmp1.S,-0.12964264398857173,21
all,leiden,svm,13,mmp9.S,-0.12825441421145037,22
all,leiden,svm,13,ccr3.L,0.1277786806458714,23
all,leiden,svm,13,prss57.S,-0.12565280820384392,24
all,leiden,svm,13,loc101732654.like.L,-0.12420763470469745,25
all,leiden,svm,13,mpo.L,0.1203435710827899,26
all,leiden,svm,13,slc2a3.L,-0.11870275064028656,27
all,leiden,svm,13,f13a1.S,-0.11450233445973568,28
all,leiden,svm,13,tcn2.L,-0.11346795991338542,29
all,leiden,svm,13,itgb2.L,-0.11062787212259961,30
all,leiden,svm,13,loc100493006.L,-0.1093975517762647,31
all,leiden,svm,13,rassf2.L,0.10922271675355923,32
all,leiden,svm,13,adam28.S,-0.10415533030050837,33
all,leiden,svm,13,loc100493999.like.L,-0.10195462667312441,34
all,leiden,svm,13,hmox1.L,0.10038334115837086,35
all,leiden,svm,13,hba1.S,0.0992659483592622,36
all,leiden,svm,13,loc101731250.L,0.09804309650749617,37
all,leiden,svm,13,krt5.7.S,-0.0974014041532519,38
all,leiden,svm,13,Xetrov90002578m.L,0.09597838798122346,39
all,leiden,svm,13,got1.S,0.09502927315703957,40
all,leiden,svm,13,MGC75752.L,-0.09440423429632609,41
all,leiden,svm,13,Xelaev18022082m.g,0.0934216787803587,42
all,leiden,svm,13,fabp3.S,0.0920623305755354,43
all,leiden,svm,13,Xelaev18036534m.g,0.09127151082016895,44
all,leiden,svm,13,tcf7.S,-0.09020267319927282,45
all,leiden,svm,13,loc100490489.S,-0.09001162815396241,46
all,leiden,svm,13,fos.S,-0.08988870808994705,47
all,leiden,svm,13,loc100490587.L,-0.08948779617456033,48
all,leiden,svm,13,actc1.L,-0.0880711179064059,49
all,leiden,svm,13,loc100494502.L,-0.086923563458862,50
all,leiden,svm,13,loc100494945.S,0.08662160453284805,51
all,leiden,svm,13,camp1.L,-0.08636484556245035,52
all,leiden,svm,13,col9a3.L,-0.08587956345352574,53
all,leiden,svm,13,bmp4.S,-0.08572314854245444,54
all,leiden,svm,13,upp2.L,0.08570897220391831,55
all,leiden,svm,13,bcl11b.L,-0.08542531264767528,56
all,leiden,svm,13,gpr84.S,-0.08491603807319022,57
all,leiden,svm,13,atp6v0e1.L,0.08447668556306065,58
all,leiden,svm,13,itgax.L,-0.08387399877923678,59
all,leiden,svm,13,hk2.S,-0.08300980439247851,60
all,leiden,svm,13,gzma.S,-0.08176509511731113,61
all,leiden,svm,13,Xelaev18012141m.g,-0.08175815322208231,62
all,leiden,svm,13,Xelaev18040854m.g,-0.08060541556577155,63
all,leiden,svm,13,il1b.S,-0.08031497081829421,64
all,leiden,svm,13,txn.L,0.07971446603430982,65
all,leiden,svm,13,otos.L,0.07932531721989913,66
all,leiden,svm,13,alox5.L,0.0791936943424051,67
all,leiden,svm,13,ptpn6.L,0.07894452836881762,68
all,leiden,svm,13,cybb.L,0.07830688627643968,69
all,leiden,svm,13,cst7.L,-0.07796601019103443,70
all,leiden,svm,13,loxl2.L,-0.077523717727131,71
all,leiden,svm,13,loc100127750.L,0.0774583936284407,72
all,leiden,svm,13,cyba.L,0.0773578882943893,73
all,leiden,svm,13,loc100486268.like.S,-0.07698225320975083,74
all,leiden,svm,13,ncf1.L,-0.07687005348427516,75
all,leiden,svm,18,col1a2.L,-0.09663635002254041,1
all,leiden,svm,18,Xelaev18045363m.g,0.09019042876597605,2
all,leiden,svm,18,Xelaev18020998m.g,0.0869957894520167,3
all,leiden,svm,18,Xelaev18017743m.g,0.08199011013405112,4
all,leiden,svm,18,atp6v0a4.L,0.08001065359175547,5
all,leiden,svm,18,foxi1.S,0.07855776303500185,6
all,leiden,svm,18,Xelaev18002241m.g,-0.07495640353908388,7
all,leiden,svm,18,Xelaev18040968m.g,0.07429618877184514,8
all,leiden,svm,18,Xelaev18001105m.g,-0.07099189924150326,9
all,leiden,svm,18,MGC75752.L,-0.06696382962879426,10
all,leiden,svm,18,ckm.L,-0.0636678145709601,11
all,leiden,svm,18,c1qtnf3.L,-0.06332485609094624,12
all,leiden,svm,18,myf5.S,-0.060070790472034424,13
all,leiden,svm,18,atp6v1g3.S,0.05656151657592337,14
all,leiden,svm,18,hpd.like.1.L,-0.056314220624922,15
all,leiden,svm,18,atp6ap1.1.S,0.05333597986152584,16
all,leiden,svm,18,Xelaev18003734m.g,-0.04824852889702043,17
all,leiden,svm,18,Xelaev18045307m.g,-0.04815017995699862,18
all,leiden,svm,18,Xelaev18020203m.g,0.04778528945422035,19
all,leiden,svm,18,ca2.L,-0.047429376476555624,20
all,leiden,svm,18,mia.L,-0.04694042815379476,21
all,leiden,svm,18,atp6v1g3.L,0.04657086067778468,22
all,leiden,svm,18,Xetrov90018123m.L,-0.045938518575238764,23
all,leiden,svm,18,tmem72.L,0.04487773118771279,24
all,leiden,svm,18,cystm1.L,0.04483972849260908,25
all,leiden,svm,18,fabp3.L,-0.0422270113616468,26
all,leiden,svm,18,tfcp2l1.L,0.04216947525477694,27
all,leiden,svm,18,ca2.S,0.03856723633698779,28
all,leiden,svm,18,ctsb.S,-0.03668523024620724,29
all,leiden,svm,18,timp.1.L,-0.03631127186186125,30
all,leiden,svm,18,actc1.L,-0.03574025412787128,31
all,leiden,svm,18,foxi1.L,0.0354429945742915,32
all,leiden,svm,18,atp6v1d.S,0.03476801741991294,33
all,leiden,svm,18,atp6v0d2.L,0.0347611128329078,34
all,leiden,svm,18,foxr1.L,-0.03343700412773081,35
all,leiden,svm,18,loc100494753.L,0.032855726111047326,36
all,leiden,svm,18,atp6v1c2.L,0.03253800510511337,37
all,leiden,svm,18,ube2c.L,-0.031497950848719515,38
all,leiden,svm,18,fos.L,-0.030982306964512863,39
all,leiden,svm,18,pcbd1.L,-0.030842121761297466,40
all,leiden,svm,18,dlx5.L,-0.030606454507982613,41
all,leiden,svm,18,msln.L,0.030517834206570265,42
all,leiden,svm,18,loc101732585.L,0.03018155417712266,43
all,leiden,svm,18,myf5.L,-0.02964853688138389,44
all,leiden,svm,18,atp6v1h.L,0.02950625370383802,45
all,leiden,svm,18,actc1.S,-0.029483178816861518,46
all,leiden,svm,18,Xelaev18045938m.g,0.029000319459528984,47
all,leiden,svm,18,Xelaev18018009m.g,-0.02872031272520161,48
all,leiden,svm,18,slc4a9.L,0.02817942687796968,49
all,leiden,svm,18,atp6ap1.1.L,0.02770418237397187,50
all,leiden,svm,18,loc100485113.L,-0.02766129553026957,51
all,leiden,svm,18,glul.like.1.S,-0.027532317495257804,52
all,leiden,svm,18,gstz1.L,-0.0273302385401033,53
