time,method,model,cluster,gene,score,rank_in_cluster
0,kmeans,logreg,0,Xelaev18002241m.g,1.127591848373413,1
0,kmeans,logreg,0,Xelaev18045083m.g,1.0919545888900757,2
0,kmeans,logreg,0,Xelaev18047453m.g,0.875939667224884,3
0,kmeans,logreg,0,ca2.L,0.8581281304359436,4
0,kmeans,logreg,0,ftmt.S,0.5841575264930725,5
0,kmeans,logreg,0,c2orf40.L,0.4713694453239441,6
0,kmeans,logreg,0,crip1.L,0.4395204782485962,7
0,kmeans,logreg,0,stmn2.S,0.37383773922920227,8
0,kmeans,logreg,0,loc100494786.S,0.3699856400489807,9
0,kmeans,logreg,0,loc100049121.S,0.36151477694511414,10
0,kmeans,logreg,0,cystm1.S,0.33593684434890747,11
0,kmeans,logreg,0,Xelaev18047861m.g,0.30540645122528076,12
0,kmeans,logreg,0,Xetrov90018123m.L,0.2917729914188385,13
0,kmeans,logreg,0,cyp26a1.S,0.28929734230041504,14
0,kmeans,logreg,0,myh1.2.1.S,0.2873433530330658,15
0,kmeans,logreg,0,Xelaev18016080m.g,0.2817505896091461,16
0,kmeans,logreg,0,tuba1b.L,0.28122231364250183,17
0,kmeans,logreg,0,loc100487364.L,0.2788917124271393,18
0,kmeans,logreg,0,Xelaev18047608m.g,0.25245118141174316,19
0,kmeans,logreg,0,tac1.L,0.2497413456439972,20
0,kmeans,logreg,0,mmp9.S,0.24973073601722717,21
0,kmeans,logreg,0,Xelaev18034843m.g,0.24731075763702393,22
0,kmeans,logreg,0,Xelaev18020998m.g,0.2468758225440979,23
0,kmeans,logreg,0,krt12.L,0.24331790208816528,24
0,kmeans,logreg,0,eln2.L,0.24328403174877167,25
0,kmeans,logreg,0,krt8.S,0.2426796406507492,26
0,kmeans,logreg,0,ggh.L,0.2407672256231308,27
0,kmeans,logreg,0,epyc.S,0.23697979748249054,28
0,kmeans,logreg,0,akap2.L,0.23647277057170868,29
0,kmeans,logreg,0,c7orf57.L,0.2281111776828766,30
0,kmeans,logreg,0,hes5.1.S,0.22158579528331757,31
0,kmeans,logreg,0,hes6.1.L,0.21650050580501556,32
0,kmeans,logreg,0,tnc.like.L,0.2105262577533722,33
0,kmeans,logreg,0,ngfr.S,0.2087676078081131,34
0,kmeans,logreg,0,pcp4.S,0.2065497189760208,35
0,kmeans,logreg,0,slurp1l.S,0.20243234932422638,36
0,kmeans,logreg,0,col9a3.L,0.1956019252538681,37
0,kmeans,logreg,0,fndc1.S,0.19471919536590576,38
0,kmeans,logreg,0,grhl3.S,0.19315683841705322,39
0,kmeans,logreg,0,fn1.L,0.19078467786312103,40
0,kmeans,logreg,0,atp1b3.L,0.1885233223438263,41
0,kmeans,logreg,0,glul.like.1.S,0.18822142481803894,42
0,kmeans,logreg,0,Xelaev18040854m.g,0.17656825482845306,43
0,kmeans,logreg,0,Xelaev18036372m.g,0.1760033667087555,44
0,kmeans,logreg,0,prph.L,0.17466627061367035,45
0,kmeans,logreg,0,tcn2.L,0.1744184046983719,46
0,kmeans,logreg,0,lect1.L,0.17417126893997192,47
0,kmeans,logreg,0,pgd.L,0.1729266494512558,48
0,kmeans,logreg,0,atp12a.like.S,0.16891537606716156,49
0,kmeans,logreg,0,tspan32.L,0.16867992281913757,50
0,kmeans,logreg,0,klf5.S,0.16858679056167603,51
0,kmeans,logreg,0,Xelaev18016663m.g,0.16485637426376343,52
0,kmeans,logreg,0,Xelaev18027466m.g,0.16041266918182373,53
0,kmeans,logreg,0,loc613063.S,0.15903717279434204,54
0,kmeans,logreg,0,Xelaev18009011m.g,0.1577128916978836,55
0,kmeans,logreg,0,lox.S,0.15632858872413635,56
0,kmeans,logreg,0,znfx1.L,0.15510500967502594,57
0,kmeans,logreg,0,postn.L,0.1546022891998291,58
0,kmeans,logreg,0,Xelaev18045649m.g,0.15104475617408752,59
0,kmeans,logreg,0,nid1.S,0.1486615389585495,60
0,kmeans,logreg,0,Xelaev18022531m.g,0.1484878808259964,61
0,kmeans,logreg,0,loc100491399.S,0.14741986989974976,62
0,kmeans,logreg,0,Xelaev18036117m.g,0.14640378952026367,63
0,kmeans,logreg,0,rtbdn.L,0.13582859933376312,64
0,kmeans,logreg,0,nova1.S,0.13387300074100494,65
0,kmeans,logreg,0,degs3.S,0.13048315048217773,66
0,kmeans,logreg,0,loc100494099.L,0.1301122009754181,67
0,kmeans,logreg,0,mmp8.L,0.12996865808963776,68
0,kmeans,logreg,0,Xelaev18016867m.g,0.12952260673046112,69
0,kmeans,logreg,0,c3orf52.like.S,0.12855146825313568,70
0,kmeans,logreg,0,cpa6.L,0.12804165482521057,71
0,kmeans,logreg,0,Xelaev18018852m.g,0.12747083604335785,72
0,kmeans,logreg,0,Xelaev18009066m.g,0.1273259073495865,73
0,kmeans,logreg,0,atp6v1d.S,0.1269313395023346,74
0,kmeans,logreg,0,atp6v1e1.L,0.12640075385570526,75
0,kmeans,logreg,1,cotl1.L,0.20824317634105682,1
0,kmeans,logreg,1,stmn2.L,0.207070454955101,2
0,kmeans,logreg,1,slc32a1.S,0.18659242987632751,3
0,kmeans,logreg,1,abat.S,0.185822531580925,4
0,kmeans,logreg,1,cplx2.L,0.17914541065692902,5
0,kmeans,logreg,1,syt4.L,0.17350055277347565,6
0,kmeans,logreg,1,loc100487364.L,0.16314223408699036,7
0,kmeans,logreg,1,loc100127682.1.S,0.1577605903148651,8
0,kmeans,logreg,1,cbln2.S,0.15610557794570923,9
