time,method,model,cluster,gene,score,rank_in_cluster
0,louvain,logreg,0,atp1b3.S,0.9902845025062561,1
0,louvain,logreg,0,Xelaev18002241m.g,0.8254395723342896,2
0,louvain,logreg,0,krt12.L,0.7631824016571045,3
0,louvain,logreg,0,ramp3.L,0.7038261294364929,4
0,louvain,logreg,0,rasl11b.L,0.6725274920463562,5
0,louvain,logreg,0,lum.L,0.6062695384025574,6
0,louvain,logreg,0,col1a2.S,0.5943545699119568,7
0,louvain,logreg,0,Xelaev18020203m.g,0.5921533107757568,8
0,louvain,logreg,0,ca2.L,0.5895793437957764,9
0,louvain,logreg,0,atp1b3.L,0.5716916918754578,10
0,louvain,logreg,0,pgd.L,0.5624446272850037,11
0,louvain,logreg,0,enpp2.L,0.5469127893447876,12
0,louvain,logreg,0,epx.L,0.5275356769561768,13
0,louvain,logreg,0,krt16.S,0.5245896577835083,14
0,louvain,logreg,0,Xelaev18045307m.g,0.5230201482772827,15
0,louvain,logreg,0,col5a3.like.S,0.5170258283615112,16
0,louvain,logreg,0,ctsl.L,0.5016636848449707,17
0,louvain,logreg,0,loc100494099.L,0.4977162182331085,18
0,louvain,logreg,0,loc100490646.L,0.4766867160797119,19
0,louvain,logreg,0,itgbl1.L,0.473503977060318,20
0,louvain,logreg,0,krt12.S,0.4708159267902374,21
0,louvain,logreg,0,fbn3.L,0.45881131291389465,22
0,louvain,logreg,0,col9a2.S,0.4575093984603882,23
0,louvain,logreg,0,lect1.L,0.4529493451118469,24
0,louvain,logreg,0,loc100494945.S,0.44413602352142334,25
0,louvain,logreg,0,loc101734526.L,0.43629810214042664,26
0,louvain,logreg,0,loc100489839.like.L,0.4182981252670288,27
0,louvain,logreg,0,pde4b.S,0.413252592086792,28
0,louvain,logreg,0,tmeff1.S,0.4060932397842407,29
0,louvain,logreg,0,insm1.L,0.40036630630493164,30
0,louvain,logreg,0,cldn5.L,0.3997330963611603,31
0,louvain,logreg,0,rora.L,0.3955715298652649,32
0,louvain,logreg,0,ca2.S,0.3878331184387207,33
0,louvain,logreg,0,cck.L,0.38595589995384216,34
0,louvain,logreg,0,pcp4.S,0.38313525915145874,35
0,louvain,logreg,0,tuba1b.L,0.38038960099220276,36
0,louvain,logreg,0,c3orf52.like.S,0.38038310408592224,37
0,louvain,logreg,0,lta4h.L,0.3799532949924469,38
0,louvain,logreg,0,Xelaev18022531m.g,0.37734508514404297,39
0,louvain,logreg,0,atp6v0c.L,0.373665452003479,40
0,louvain,logreg,0,cybb.L,0.36706316471099854,41
0,louvain,logreg,0,fabp7.L,0.3591177463531494,42
0,louvain,logreg,0,pgm1.L,0.35497286915779114,43
0,louvain,logreg,0,sdsl.S,0.35286301374435425,44
0,louvain,logreg,0,loc100137672.S,0.35107147693634033,45
0,louvain,logreg,0,lgmn.L,0.34975099563598633,46
0,louvain,logreg,0,krt5.7.S,0.3388686180114746,47
0,louvain,logreg,0,pnhd.L,0.3370979428291321,48
0,louvain,logreg,0,ndnf.L,0.335677832365036,49
0,louvain,logreg,0,Xelaev18020205m.g,0.3319908380508423,50
0,louvain,logreg,0,Xetrov90011361m.L,0.3311769664287567,51
0,louvain,logreg,0,ptx3.L,0.3292216360569,52
0,louvain,logreg,0,arsi.S,0.3285881578922272,53
0,louvain,logreg,0,loc101732654.like.L,0.32684391736984253,54
0,louvain,logreg,0,rab6a.L,0.32578784227371216,55
0,louvain,logreg,0,ckm.L,0.3233635425567627,56
0,louvain,logreg,0,postn.L,0.32324570417404175,57
0,louvain,logreg,0,myo10.S,0.3226686418056488,58
0,louvain,logreg,0,Xelaev18009504m.g,0.3194986879825592,59
0,louvain,logreg,0,Xelaev18045301m.g,0.31831517815589905,60
0,louvain,logreg,0,Xelaev18017002m.g,0.3173063099384308,61
0,louvain,logreg,0,msi1.L,0.31249845027923584,62
0,louvain,logreg,0,ywhag.L,0.31153976917266846,63
0,louvain,logreg,0,Xelaev18041711m.g,0.3072223663330078,64
0,louvain,logreg,0,hbg1.S,0.30403026938438416,65
0,louvain,logreg,0,snai1.S,0.29542434215545654,66
0,louvain,logreg,0,cystm1.S,0.29491153359413147,67
0,louvain,logreg,0,naglu.L,0.29440590739250183,68
0,louvain,logreg,0,Xelaev18043762m.g,0.29344913363456726,69
0,louvain,logreg,0,actc1.S,0.29308757185935974,70
0,louvain,logreg,0,pygl.S,0.2923670709133148,71
0,louvain,logreg,0,tnfrsf11b.L,0.2922171354293823,72
0,louvain,logreg,0,krt19.L,0.29175859689712524,73
0,louvain,logreg,0,hes6.1.L,0.28961899876594543,74
0,louvain,logreg,0,Xetrov90011359m.L,0.2852315604686737,75
0,louvain,logreg,1,btg2.S,1.911752700805664,1
0,louvain,logreg,1,ca2.L,1.7404530048370361,2
0,louvain,logreg,1,fos.L,1.6352899074554443,3
0,louvain,logreg,1,Xelaev18002241m.g,1.5563158988952637,4
0,louvain,logreg,1,Xelaev18045083m.g,1.5427688360214233,5
0,louvain,logreg,1,fos.S,1.3002930879592896,6
0,louvain,logreg,1,ftmt.S,0.7882205247879028,7
0,louvain,logreg,1,Xelaev18047462m.g,0.7719460725784302,8
0,louvain,logreg,1,cst3.S,0.6479551792144775,9
0,louvain,logreg,1,Xelaev18009066m.g,0.6084933876991272,10
0,louvain,logreg,1,ca2.S,0.6003319621086121,11
0,louvain,logreg,1,kif5a.S,0.5962140560150146,12
0,louvain,logreg,1,mylpf.L,0.5942506790161133,13
0,louvain,logreg,1,apoc1.like.L,0.5936239361763,14
0,louvain,logreg,1,Xelaev18017960m.g,0.5851333737373352,15
0,louvain,logreg,1,vim.L,0.5667678713798523,16
0,louvain,logreg,1,ccl4.L,0.5575520396232605,17
0,louvain,logreg,1,Xelaev18009504m.g,0.556219756603241,18
0,louvain,logreg,1,Xelaev18034843m.g,0.5424211025238037,19
0,louvain,logreg,1,foxr1.L,0.5267190933227539,20
0,louvain,logreg,1,loc100494786.S,0.5264848470687866,21
0,louvain,logreg,1,tnn.L,0.5069047212600708,22
0,louvain,logreg,1,aldob.L,0.5003169178962708,23
0,louvain,logreg,1,cldn6.1.S,0.48583540320396423,24
0,louvain,logreg,1,pck1.S,0.4843589961528778,25
0,louvain,logreg,1,atp12a.like.S,0.47036588191986084,26
0,louvain,logreg,1,apoe.S,0.46621617674827576,27
0,louvain,logreg,1,Xelaev18022529m.g,0.4467179477214813,28
0,louvain,logreg,1,fabp4.L,0.4391198754310608,29
0,louvain,logreg,1,Xetrov90018123m.L,0.43735653162002563,30
0,louvain,logreg,1,Xelaev18004130m.g,0.4315023720264435,31
0,louvain,logreg,1,tspan32.L,0.40665414929389954,32
0,louvain,logreg,1,Xelaev18036117m.g,0.4040774405002594,33
0,louvain,logreg,1,sncb.L,0.40393948554992676,34
0,louvain,logreg,1,hbg1.S,0.4029736816883087,35
0,louvain,logreg,1,Xelaev18036372m.g,0.40266358852386475,36
0,louvain,logreg,1,Xelaev18026267m.g,0.40181833505630493,37
0,louvain,logreg,1,atp6v1c2.L,0.39598575234413147,38
0,louvain,logreg,1,Xelaev18022531m.g,0.3930233418941498,39
0,louvain,logreg,1,aldoc.L,0.39285165071487427,40
0,louvain,logreg,1,lama4.L,0.38780176639556885,41
0,louvain,logreg,1,gng10.L,0.3877950608730316,42
0,louvain,logreg,1,pcp4.S,0.3828737437725067,43
0,louvain,logreg,1,Xelaev18003790m.g,0.38161399960517883,44
0,louvain,logreg,1,phldb3.S,0.3810158967971802,45
0,louvain,logreg,1,trem2.S,0.3794099688529968,46
0,louvain,logreg,1,bcl2l10.L,0.3764188587665558,47
0,louvain,logreg,1,Xelaev18003895m.g,0.37613338232040405,48
0,louvain,logreg,1,Xelaev18032295m.g,0.36983203887939453,49
0,louvain,logreg,1,actc1.L,0.3607889413833618,50
0,louvain,logreg,1,prph.S,0.35689786076545715,51
0,louvain,logreg,1,ak7.S,0.35627394914627075,52
0,louvain,logreg,1,mmp9.S,0.3551957309246063,53
0,louvain,logreg,1,loc100049121.S,0.351358026266098,54
0,louvain,logreg,1,prss35.L,0.3441237211227417,55
0,louvain,logreg,1,psca.L,0.3405589461326599,56
0,louvain,logreg,1,neto1.L,0.3392010033130646,57
0,louvain,logreg,1,lyg2.S,0.3387415409088135,58
0,louvain,logreg,1,atp6v1e1.L,0.33787548542022705,59
0,louvain,logreg,1,hes5_X2.L,0.3372116982936859,60
0,louvain,logreg,1,sema7a.L,0.33580198884010315,61
0,louvain,logreg,1,Xetrov90014332m.L,0.33292827010154724,62
0,louvain,logreg,1,loc100137715.S,0.33086255192756653,63
0,louvain,logreg,1,tkt.S,0.33056411147117615,64
0,louvain,logreg,1,loc105948211.L,0.32650884985923767,65
0,louvain,logreg,1,gap43.L,0.32517486810684204,66
0,louvain,logreg,1,ptx3.L,0.32151952385902405,67
0,louvain,logreg,1,foxd2.S,0.318486750125885,68
0,louvain,logreg,1,loc100492862.L,0.3161776065826416,69
0,louvain,logreg,1,atp6v0e2.S,0.31459999084472656,70
0,louvain,logreg,1,krt16.L,0.3089379370212555,71
0,louvain,logreg,1,scg5.S,0.3078920543193817,72
0,louvain,logreg,1,hes5.2.S,0.3071309030056,73
0,louvain,logreg,1,colgalt1.L,0.3064912259578705,74
0,louvain,logreg,1,gsta1.L,0.3058663010597229,75
0,louvain,logreg,2,msmb.3.L,0.8992213606834412,1
0,louvain,logreg,2,Xelaev18016080m.g,0.8328559994697571,2
0,louvain,logreg,2,col1a2.S,0.5782721638679504,3
0,louvain,logreg,2,kera.S,0.5759638547897339,4
0,louvain,logreg,2,lum.S,0.4608432352542877,5
0,louvain,logreg,2,krt12.L,0.431583970785141,6
0,louvain,logreg,2,krt2l.S,0.43133607506752014,7
0,louvain,logreg,2,apoe.S,0.39415767788887024,8
0,louvain,logreg,2,loc100489129.L,0.39203035831451416,9
0,louvain,logreg,2,ly6g6c.L,0.36565110087394714,10
0,louvain,logreg,2,npnt.L,0.3478902578353882,11
0,louvain,logreg,2,pde4b.S,0.3403656780719757,12
0,louvain,logreg,2,lum.L,0.3290669023990631,13
0,louvain,logreg,2,loc100127564.L,0.3243260681629181,14
0,louvain,logreg,2,Xelaev18013621m.g,0.3091040551662445,15
0,louvain,logreg,2,ftmt.S,0.3010198473930359,16
0,louvain,logreg,2,Xetrov90010969m.L,0.2954416275024414,17
0,louvain,logreg,2,loc100491930.L,0.2939527630805969,18
0,louvain,logreg,2,Xetrov90018212m.S,0.28789204359054565,19
0,louvain,logreg,2,areg.S,0.2724513113498688,20
0,louvain,logreg,2,hmox1.L,0.26520439982414246,21
0,louvain,logreg,2,fos.S,0.2609841823577881,22
0,louvain,logreg,2,entpd2.L,0.2507276237010956,23
0,louvain,logreg,2,gad1.2.S,0.2441784143447876,24
0,louvain,logreg,2,cxcl12.L,0.2428140640258789,25
0,louvain,logreg,2,epyc.S,0.23670439422130585,26
0,louvain,logreg,2,paqr9.L,0.23250994086265564,27
0,louvain,logreg,2,cav1.S,0.2285502403974533,28
0,louvain,logreg,2,loc100137672.S,0.22605876624584198,29
0,louvain,logreg,2,psap.S,0.21915973722934723,30
0,louvain,logreg,2,cldn6.2.S,0.2156652808189392,31
0,louvain,logreg,2,c2orf40.L,0.2094670683145523,32
0,louvain,logreg,2,Xelaev18045649m.g,0.20619019865989685,33
0,louvain,logreg,2,col6a1.L,0.20614390075206757,34
0,louvain,logreg,2,calm2.S,0.20347744226455688,35
0,louvain,logreg,2,hsp90aa1.1.L,0.1931912899017334,36
0,louvain,logreg,2,c8orf4.S,0.19125674664974213,37
0,louvain,logreg,2,col6a2.L,0.18566206097602844,38
0,louvain,logreg,2,ch25h.S,0.17732183635234833,39
0,louvain,logreg,2,snai1.S,0.1741524487733841,40
0,louvain,logreg,2,Xelaev18046818m.g,0.16686393320560455,41
0,louvain,logreg,2,calm2.L,0.16590440273284912,42
0,louvain,logreg,2,insm1.L,0.1641898900270462,43
0,louvain,logreg,2,ngfr.S,0.16127189993858337,44
0,louvain,logreg,2,enpp2.L,0.15889683365821838,45
0,louvain,logreg,2,ets2.L,0.15288224816322327,46
0,louvain,logreg,2,Xelaev18038892m.g,0.15140631794929504,47
0,louvain,logreg,2,col5a3.like.S,0.1506582498550415,48
0,louvain,logreg,2,ctsb.S,0.1473686844110489,49
0,louvain,logreg,2,col5a3.like.L,0.14715373516082764,50
0,louvain,logreg,2,emx2.L,0.14519919455051422,51
0,louvain,logreg,2,loc100490088.L,0.14491285383701324,52
0,louvain,logreg,2,Xelaev18045052m.g,0.14086781442165375,53
0,louvain,logreg,2,lpl.L,0.13666073977947235,54
0,louvain,logreg,2,Xetrov90026938m.L,0.13412530720233917,55
0,louvain,logreg,2,gjb2.L,0.13332247734069824,56
0,louvain,logreg,2,mxra5.S,0.1332380622625351,57
0,louvain,logreg,2,Xetrov90018123m.S,0.13007143139839172,58
0,louvain,logreg,2,f2rl3.L,0.12722012400627136,59
0,louvain,logreg,2,aldoa.L,0.12692533433437347,60
0,louvain,logreg,2,Xetrov90011361m.L,0.1246812641620636,61
0,louvain,logreg,2,nid2.L,0.12464656680822372,62
0,louvain,logreg,2,Xelaev18016867m.g,0.12404235452413559,63
0,louvain,logreg,2,krt12.S,0.12034609913825989,64
0,louvain,logreg,2,rasl11b.L,0.11797820776700974,65
0,louvain,logreg,2,Xelaev18031834m.g,0.11708815395832062,66
0,louvain,logreg,2,eln2.L,0.11618378758430481,67
0,louvain,logreg,2,epn3.S,0.11557628959417343,68
0,louvain,logreg,2,loc100494822.S,0.11455467343330383,69
0,louvain,logreg,2,loc101732997.L,0.1137228012084961,70
0,louvain,logreg,2,msx2.S,0.11277881264686584,71
0,louvain,logreg,2,pltp.S,0.11246910691261292,72
0,louvain,logreg,2,col11a2p1.S,0.11061511933803558,73
0,louvain,logreg,2,jag1.L,0.11057881265878677,74
0,louvain,logreg,2,bhlhe40.L,0.10945946723222733,75
0,louvain,logreg,3,Xelaev18002241m.g,2.246628522872925,1
0,louvain,logreg,3,ca2.L,1.831872582435608,2
0,louvain,logreg,3,loc100494822.S,0.7750563025474548,3
0,louvain,logreg,3,atp6v1e1.L,0.6752737164497375,4
0,louvain,logreg,3,atp6v0b.S,0.5855245590209961,5
0,louvain,logreg,3,col3a1.S,0.5534156560897827,6
0,louvain,logreg,3,loc101732997.L,0.5519424080848694,7
0,louvain,logreg,3,Xelaev18022528m.g,0.5478817224502563,8
0,louvain,logreg,3,eln2.L,0.5465653538703918,9
0,louvain,logreg,3,suclg2.L,0.5379709005355835,10
0,louvain,logreg,3,gap43.S,0.5192894339561462,11
0,louvain,logreg,3,rab11fip1.L,0.5184345841407776,12
0,louvain,logreg,3,ucma.S,0.5171213746070862,13
0,louvain,logreg,3,tac1.S,0.5030332803726196,14
0,louvain,logreg,3,Xelaev18022529m.g,0.4992600679397583,15
0,louvain,logreg,3,ggh.L,0.49649283289909363,16
0,louvain,logreg,3,Xelaev18022531m.g,0.49162358045578003,17
0,louvain,logreg,3,loc100494487.S,0.4851994514465332,18
0,louvain,logreg,3,Xelaev18044446m.g,0.47999435663223267,19
0,louvain,logreg,3,col27a1.S,0.47807973623275757,20
0,louvain,logreg,3,ccl4.L,0.47657904028892517,21
0,louvain,logreg,3,foxi1.L,0.4729859232902527,22
0,louvain,logreg,3,col11a2p1.S,0.46598371863365173,23
0,louvain,logreg,3,pik3r3.L,0.4602157473564148,24
0,louvain,logreg,3,loc100490489.L,0.45063599944114685,25
0,louvain,logreg,3,pam.L,0.4255480468273163,26
0,louvain,logreg,3,ctsc.L,0.42379459738731384,27
0,louvain,logreg,3,loc100495760.L,0.4164918065071106,28
0,louvain,logreg,3,Xetrov90027649m.L,0.4148287773132324,29
0,louvain,logreg,3,loc100488697.L,0.40745967626571655,30
0,louvain,logreg,3,pc.L,0.40540486574172974,31
0,louvain,logreg,3,epyc.L,0.40197283029556274,32
0,louvain,logreg,3,prox1.L,0.40099048614501953,33
0,louvain,logreg,3,loc100494099.S,0.3964710235595703,34
0,louvain,logreg,3,ecm1.L,0.39306676387786865,35
0,louvain,logreg,3,elavl4.L,0.38807985186576843,36
0,louvain,logreg,3,gng3.L,0.38736242055892944,37
0,louvain,logreg,3,loc100485113.L,0.38335108757019043,38
0,louvain,logreg,3,sdsl.S,0.38321900367736816,39
0,louvain,logreg,3,Xelaev18036272m.g,0.38090676069259644,40
0,louvain,logreg,3,cfl2.L,0.3793056607246399,41
0,louvain,logreg,3,col5a3.like.S,0.37497055530548096,42
0,louvain,logreg,3,Xetrov90029035m.L,0.37037840485572815,43
0,louvain,logreg,3,vat1.L,0.36974164843559265,44
0,louvain,logreg,3,esr.5.L,0.369663268327713,45
0,louvain,logreg,3,slitrk6.L,0.3592410981655121,46
