time,method,model,cluster,gene,score,rank_in_cluster
1,kmeans,svm,9,msln.L,-0.1369676539637752,1
1,kmeans,svm,9,foxi1.S,0.11249856376929919,2
1,kmeans,svm,9,Xelaev18001106m.g,-0.10443179302301807,3
1,kmeans,svm,9,ckm.L,-0.10366045344699225,4
1,kmeans,svm,9,Xelaev18002241m.g,-0.10340120172096084,5
1,kmeans,svm,9,Xelaev18017743m.g,0.09745774119730559,6
1,kmeans,svm,9,Xelaev18022166m.g,-0.09714923913347348,7
1,kmeans,svm,9,loc100497848.L,-0.08512388024165646,8
1,kmeans,svm,9,Xelaev18020998m.g,0.08100763109453421,9
1,kmeans,svm,9,Xetrov90018123m.L,-0.07930422379518708,10
1,kmeans,svm,9,tmem72.L,0.07335149684503012,11
1,kmeans,svm,9,akr1c2.L,0.06960338337377904,12
1,kmeans,svm,9,Xelaev18010901m.g,-0.06307295273636915,13
1,kmeans,svm,9,s100a11.S,-0.05801279806177542,14
1,kmeans,svm,9,cystm1.L,0.05762344098814996,15
1,kmeans,svm,9,elf3.L,0.05576046877191407,16
1,kmeans,svm,9,serpinb5.S,-0.055550054920614725,17
1,kmeans,svm,9,upk1a.L,-0.055480398713178315,18
1,kmeans,svm,9,slc4a9.L,0.0549479118146498,19
1,kmeans,svm,9,Xelaev18034078m.g,0.05429718709795198,20
1,kmeans,svm,9,loc100488697.L,0.054014101278579814,21
1,kmeans,svm,9,Xelaev18022529m.g,0.05386853535687289,22
1,kmeans,svm,9,Xetrov90018123m.S,-0.05119234686108114,23
1,kmeans,svm,9,loc100489839.like.L,-0.050545897083936225,24
1,kmeans,svm,9,loc100494515.like.S,-0.0495881862539731,25
1,kmeans,svm,9,tmem38b.L,0.04938205346347928,26
1,kmeans,svm,9,Xelaev18040492m.g,-0.04831746647260977,27
1,kmeans,svm,9,tmem72.S,-0.048218088161806866,28
1,kmeans,svm,9,Xetrov90030519m.L,0.04794772545547838,29
1,kmeans,svm,9,foxi1.L,0.04772669796182335,30
1,kmeans,svm,9,fabp3.L,-0.04734141728380879,31
1,kmeans,svm,9,fam83a.L,-0.047106598091564866,32
1,kmeans,svm,9,spink2.L,-0.04666894759468138,33
1,kmeans,svm,9,acat1.L,0.0466580941760201,34
1,kmeans,svm,9,Xelaev18040968m.g,0.04628159333861434,35
1,kmeans,svm,9,loc100145701.L,-0.04605156171331003,36
1,kmeans,svm,9,itln1.L,0.04570233989268116,37
1,kmeans,svm,9,il20rb.like.L,-0.0456861096760597,38
1,kmeans,svm,9,slc26a2.2.S,-0.045628152896864914,39
1,kmeans,svm,9,loc549413.S,0.04543523653749817,40
1,kmeans,svm,9,atp6v1g3.L,0.04530614325121152,41
1,kmeans,svm,9,Xelaev18034823m.g,0.04436412552632219,42
1,kmeans,svm,9,Xelaev18045052m.g,-0.04391453223364954,43
1,kmeans,svm,9,tmem213.S,-0.04357131531456858,44
1,kmeans,svm,9,Xelaev18028574m.g,0.042874923666890614,45
1,kmeans,svm,9,Xelaev18042505m.g,-0.042814792581208114,46
1,kmeans,svm,9,rnasek.S,-0.042594073899196665,47
1,kmeans,svm,9,Xelaev18045363m.g,-0.042015531184295546,48
1,kmeans,svm,9,gcnt1.S,-0.041705290319701306,49
1,kmeans,svm,9,psap.S,-0.041687613957696476,50
1,kmeans,svm,9,slc26a2.2.L,-0.04130081809182919,51
1,kmeans,svm,9,spink2.S,0.04118167105914222,52
1,kmeans,svm,9,atp12a.like.S,-0.04097908279700841,53
1,kmeans,svm,9,Xetrov90027649m.L,0.04077794886490769,54
1,kmeans,svm,9,grhl3.S,0.04061507056679498,55
1,kmeans,svm,9,loc100492852.S,-0.04057062038041478,56
1,kmeans,svm,9,atp6v0e1.L,0.040512391901472204,57
1,kmeans,svm,9,Xelaev18045649m.g,-0.040313077644197184,58
1,kmeans,svm,9,Xelaev18027466m.g,0.04000988299893181,59
1,kmeans,svm,9,Xelaev18047430m.g,-0.03932466252871214,60
1,kmeans,svm,9,Xelaev18047462m.g,-0.039013835160175106,61
1,kmeans,svm,9,loc100490489.L,-0.03705417091892907,62
1,kmeans,svm,9,Xelaev18016451m.g,-0.03681611745678255,63
1,kmeans,svm,9,ca2.S,0.03675831343234869,64
1,kmeans,svm,9,upk1b.S,-0.0364459967695992,65
1,kmeans,svm,9,atp6v1g3.S,0.03585337185486768,66
1,kmeans,svm,9,loc100498388.L,-0.035693603324626434,67
1,kmeans,svm,9,snx31.S,-0.03563175354254813,68
1,kmeans,svm,9,krt8.S,-0.03551686299344697,69
1,kmeans,svm,9,tfcp2l1.L,-0.03537077812900339,70
1,kmeans,svm,9,Xelaev18021648m.g,-0.03504216647885526,71
1,kmeans,svm,9,fabp4.L,-0.034133455515886764,72
1,kmeans,svm,9,tpgs1.L,-0.033673936932406556,73
1,kmeans,svm,9,dmrt2.L,-0.03361418290958189,74
1,kmeans,svm,9,wdr16.L,0.033371514132974636,75
1,kmeans,svm,25,ccl4.L,-1.01508695745834,1
1,kmeans,svm,25,hbg2.L,0.9527493649457892,2
1,kmeans,svm,25,enc1.2.L,-0.5703404207057738,3
1,kmeans,svm,25,Xelaev18000342m.g,-0.5622127961064337,4
1,kmeans,svm,25,Xelaev18047460m.g,-0.5270727682562482,5
1,kmeans,svm,25,Xelaev18036345m.g,-0.5236373487640357,6
1,kmeans,svm,25,Xelaev18047453m.g,0.49255045509700385,7
1,kmeans,svm,25,Xelaev18022166m.g,-0.48504159588635803,8
1,kmeans,svm,25,actc1.S,-0.47551823038859437,9
1,kmeans,svm,25,mrc1.S,-0.47090860722433303,10
1,kmeans,svm,25,hes6.1.S,-0.45405488618834683,11
1,kmeans,svm,25,cxcl10.L,0.43112668871077603,12
1,kmeans,svm,25,nmral1.S,-0.4147730688861302,13
1,kmeans,svm,25,Xelaev18041553m.g,-0.4058707041379283,14
1,kmeans,svm,25,col1a2.L,-0.3999460065269758,15
1,kmeans,svm,25,Xetrov90011361m.L,0.389906188831306,16
1,kmeans,svm,25,MGC75582.S,-0.389781923840192,17
1,kmeans,svm,25,slc10a4.L,0.3633316997140877,18
1,kmeans,svm,25,Xelaev18047452m.g,0.36100403144589716,19
1,kmeans,svm,25,adck3.S,-0.3586947395486134,20
1,kmeans,svm,25,tnnc2.S,0.34651037555648595,21
1,kmeans,svm,25,slco2b1.S,0.34583700956224306,22
1,kmeans,svm,25,Xelaev18028574m.g,-0.34174035096230343,23
1,kmeans,svm,25,Xetrov90018123m.L,-0.3415295095764384,24
1,kmeans,svm,25,Xetrov90001378m.S,0.3379646947506225,25
1,kmeans,svm,25,Xelaev18045307m.g,-0.33452366686429313,26
1,kmeans,svm,25,dpepe.L,-0.3335796419084073,27
