time,method,model,cluster,gene,score,rank_in_cluster
3,leiden,xgboost,15,krt12.L,0.07144226133823395,1
3,leiden,xgboost,15,Xelaev18047462m.g,0.03948646038770676,2
3,leiden,xgboost,15,atp6v1d.L,0.03898094967007637,3
3,leiden,xgboost,15,myl9.L,0.03696759417653084,4
3,leiden,xgboost,15,jund.L,0.03190421313047409,5
3,leiden,xgboost,15,col6a2.S,0.03169853612780571,6
3,leiden,xgboost,15,Xelaev18001105m.g,0.03151726350188255,7
3,leiden,xgboost,15,loc100487364.L,0.030452897772192955,8
3,leiden,xgboost,15,atp6v0b.S,0.02517647109925747,9
3,leiden,xgboost,15,MGC75752.L,0.024748152121901512,10
3,leiden,xgboost,15,Xelaev18022531m.g,0.02369249239563942,11
3,leiden,xgboost,15,Xelaev18003734m.g,0.023490432649850845,12
3,leiden,xgboost,15,lum.S,0.022201886400580406,13
3,leiden,xgboost,15,Xelaev18047430m.g,0.021797511726617813,14
3,leiden,xgboost,15,ly6g6c.L,0.01920592598617077,15
3,leiden,xgboost,15,Xelaev18045052m.g,0.01891177147626877,16
3,leiden,xgboost,15,Xelaev18047460m.g,0.018696971237659454,17
3,leiden,xgboost,15,cdk1.L,0.018304135650396347,18
3,leiden,xgboost,15,insig1.L,0.018084891140460968,19
3,leiden,xgboost,15,bambi.S,0.01793237216770649,20
3,leiden,xgboost,15,myl1.L,0.017611393705010414,21
3,leiden,xgboost,15,marcksl1.S,0.016876716166734695,22
3,leiden,xgboost,15,pck1.L,0.016275295987725258,23
3,leiden,xgboost,15,Xelaev18045095m.g,0.015859724953770638,24
3,leiden,xgboost,15,Xelaev18036725m.g,0.01569897122681141,25
3,leiden,xgboost,15,Xelaev18011461m.g,0.01538905967026949,26
3,leiden,xgboost,15,fos.L,0.014952133409678936,27
3,leiden,xgboost,15,apoc1.like.L,0.014937550760805607,28
3,leiden,xgboost,15,btg2.S,0.014745406806468964,29
3,leiden,xgboost,15,Xelaev18045649m.g,0.01471948716789484,30
3,leiden,xgboost,15,cndp2.L,0.01454021967947483,31
3,leiden,xgboost,15,psap.S,0.014241345226764679,32
3,leiden,xgboost,15,slc25a5.L,0.01376761868596077,33
3,leiden,xgboost,15,col1a1.L,0.012201599776744843,34
3,leiden,xgboost,15,Xelaev18047861m.g,0.011461530812084675,35
3,leiden,xgboost,15,Xelaev18047452m.g,0.01135887112468481,36
3,leiden,xgboost,15,krt12.S,0.01087071280926466,37
3,leiden,xgboost,15,ramp3.L,0.010718287900090218,38
3,leiden,xgboost,15,ca2.L,0.010505389422178268,39
3,leiden,xgboost,15,bhlhe40.S,0.010012898594141006,40
3,leiden,xgboost,15,atp6v0c.L,0.00992565043270588,41
3,leiden,xgboost,15,ltbp1.L,0.009630341082811356,42
3,leiden,xgboost,15,kpna2.L,0.008602362126111984,43
3,leiden,xgboost,15,loc100494945.S,0.008019202388823032,44
3,leiden,xgboost,15,ier2.L,0.007077101152390242,45
3,leiden,xgboost,15,slc40a1.L,0.006821549963206053,46
3,leiden,xgboost,15,tpi1.L,0.006702141836285591,47
3,leiden,xgboost,15,msx1.L,0.006349253933876753,48
3,leiden,xgboost,15,atp6v0c.S,0.0061995186842978,49
3,leiden,xgboost,15,rasl11b.L,0.0058122663758695126,50
3,leiden,xgboost,15,nmral1.S,0.005608743987977505,51
3,leiden,xgboost,15,loc101731250.L,0.005380439572036266,52
3,leiden,xgboost,15,col3a1.S,0.005343086086213589,53
3,leiden,xgboost,15,MGC75752.S,0.005302984733134508,54
3,leiden,xgboost,15,txnrd3.L,0.0051084524020552635,55
3,leiden,xgboost,15,Xelaev18016080m.g,0.005063348915427923,56
3,leiden,xgboost,15,Xelaev18015037m.g,0.004973789677023888,57
3,leiden,xgboost,15,Xelaev18047453m.g,0.004642345476895571,58
3,leiden,xgboost,15,fos.S,0.004498699679970741,59
3,leiden,xgboost,15,Xelaev18040854m.g,0.004139001481235027,60
3,leiden,xgboost,15,Xelaev18022529m.g,0.003771057352423668,61
3,leiden,xgboost,15,p2ry13.L,0.0036092943046242,62
3,leiden,xgboost,15,Xelaev18045082m.g,0.003262974787503481,63
3,leiden,xgboost,15,loc101733131.L,0.0025513614527881145,64
3,leiden,xgboost,15,dpepe.L,0.0025337738916277885,65
3,leiden,xgboost,15,Xelaev18017913m.g,0.0023514647036790848,66
3,leiden,xgboost,15,Xelaev18001106m.g,0.0022158350329846144,67
3,leiden,xgboost,15,txn.L,0.002170214895159006,68
3,leiden,xgboost,15,Xelaev18034081m.g,0.001872741966508329,69
3,leiden,xgboost,15,col1a1.S,0.001665232004597783,70
3,leiden,xgboost,15,cldn6.1.S,0.0016234386712312698,71
3,leiden,xgboost,15,sparc.S,0.0013902165228500962,72
3,leiden,xgboost,15,col1a2.L,0.0013535358011722565,73
3,leiden,xgboost,15,ifitm1.S,0.0012195671442896128,74
3,leiden,xgboost,15,lyar.L,0.0011268241796642542,75
3,leiden,xgboost,2,crp.4.L,0.42190662026405334,1
3,leiden,xgboost,2,Xelaev18024498m.g,0.16246791183948517,2
3,leiden,xgboost,2,loc100496720.L,0.074128657579422,3
3,leiden,xgboost,2,loc733459.S,0.06744308024644852,4
3,leiden,xgboost,2,unnamed.L.13,0.04502158239483833,5
3,leiden,xgboost,2,lta4h.L,0.03954927623271942,6
3,leiden,xgboost,2,tkt.S,0.03336748480796814,7
3,leiden,xgboost,2,tspan36.L,0.019387489184737206,8
3,leiden,xgboost,2,loc100486548.L,0.017627166584134102,9
3,leiden,xgboost,2,fabp4.L,0.015788311138749123,10
3,leiden,xgboost,2,Xelaev18001042m.g,0.014025186188519001,11
3,leiden,xgboost,2,loc101733140.L,0.012329727411270142,12
3,leiden,xgboost,2,c1qa.L,0.01162478793412447,13
3,leiden,xgboost,2,Xelaev18030549m.g,0.010283366777002811,14
3,leiden,xgboost,2,rgs1.S,0.008441252633929253,15
3,leiden,xgboost,2,Xelaev18015058m.g,0.008048560470342636,16
3,leiden,xgboost,2,basp1.S,0.006760224234312773,17
3,leiden,xgboost,2,MGC75752.S,0.006583697162568569,18
3,leiden,xgboost,2,Xetrov90002578m.L,0.003891225438565016,19
3,leiden,xgboost,2,fbp1.L,0.003021831391379237,20
3,leiden,xgboost,2,apoc1.like.L,0.002622239990159869,21
3,leiden,xgboost,2,ctsb.S,0.0024246247485280037,22
3,leiden,xgboost,2,aif1l.S,0.0020443371031433344,23
3,leiden,xgboost,2,pgd.L,0.001990513876080513,24
3,leiden,xgboost,2,ctsc.L,0.0018840905977413058,25
3,leiden,xgboost,2,lgmn.L,0.001797775854356587,26
3,leiden,xgboost,2,c1qb.L,0.0017321910709142685,27
3,leiden,xgboost,2,ptafr.L,0.0015653573209419847,28
3,leiden,xgboost,2,ctss.S,0.000648831541184336,29
3,leiden,xgboost,2,ikzf1.L,0.0005871319444850087,30
3,leiden,xgboost,2,loc100485744.L,0.0005108127952553332,31
3,leiden,xgboost,2,btg2.S,0.0004946516710333526,32
3,leiden,xgboost,2,fgl2.L,0.0,33
3,leiden,xgboost,2,kif21a.L,0.0,34
3,leiden,xgboost,2,slc26a3.1.L,0.0,35
3,leiden,xgboost,2,Xelaev18018009m.g,0.0,36
3,leiden,xgboost,2,pstpip1.L,0.0,37
3,leiden,xgboost,2,Xelaev18017743m.g,0.0,38
3,leiden,xgboost,2,efcab10.like.L,0.0,39
3,leiden,xgboost,2,loc100498358.L,0.0,40
3,leiden,xgboost,2,reln.L,0.0,41
3,leiden,xgboost,2,ucma.L,0.0,42
3,leiden,xgboost,2,sema3c.L,0.0,43
3,leiden,xgboost,2,Xelaev18017960m.g,0.0,44
3,leiden,xgboost,2,cttn.like.1.L,0.0,45
3,leiden,xgboost,2,ccdc3.L,0.0,46
3,leiden,xgboost,2,odf3.L,0.0,47
3,leiden,xgboost,2,itih5.L,0.0,48
3,leiden,xgboost,2,loc100491128.L,0.0,49
3,leiden,xgboost,2,lep.L,0.0,50
3,leiden,xgboost,2,prkcq.L,0.0,51
3,leiden,xgboost,2,Xelaev18017913m.g,0.0,52
3,leiden,xgboost,2,loc105946937.L,0.0,53
3,leiden,xgboost,2,tmem110l.L,0.0,54
3,leiden,xgboost,2,atp6ap1.1.L,0.0,55
3,leiden,xgboost,2,mlc1.L,0.0,56
3,leiden,xgboost,2,asb15.L,0.0,57
3,leiden,xgboost,2,hrh2.L,0.0,58
3,leiden,xgboost,2,cplx2.L,0.0,59
3,leiden,xgboost,2,hk2.L,0.0,60
3,leiden,xgboost,2,sncb.L,0.0,61
3,leiden,xgboost,2,stab2.L,0.0,62
3,leiden,xgboost,2,ascl1.L,0.0,63
3,leiden,xgboost,2,pah.L,0.0,64
3,leiden,xgboost,2,c3.L,0.0,65
3,leiden,xgboost,2,nts.L,0.0,66
3,leiden,xgboost,2,epyc.L,0.0,67
3,leiden,xgboost,2,kera.L,0.0,68
3,leiden,xgboost,2,lum.L,0.0,69
3,leiden,xgboost,2,dcn.L,0.0,70
3,leiden,xgboost,2,lyz.L,0.0,71
3,leiden,xgboost,2,phlda1.L,0.0,72
3,leiden,xgboost,2,syt1.like.L,0.0,73
3,leiden,xgboost,2,nell2.L,0.0,74
3,leiden,xgboost,2,pdzrn4.L,0.0,75
3,leiden,xgboost,21,Xelaev18020203m.g,0.877726137638092,1
3,leiden,xgboost,21,atp6v0a4.L,0.042537689208984375,2
3,leiden,xgboost,21,cystm1.L,0.029229918494820595,3
3,leiden,xgboost,21,rnasek.S,0.021033594384789467,4
3,leiden,xgboost,21,atp6v1d.S,0.013638229109346867,5
3,leiden,xgboost,21,slc25a5.L,0.00893209595233202,6
3,leiden,xgboost,21,atp6v0c.S,0.00690237432718277,7
3,leiden,xgboost,21,kif21a.L,0.0,8
3,leiden,xgboost,21,slc26a3.1.L,0.0,9
3,leiden,xgboost,21,Xelaev18017743m.g,0.0,10
3,leiden,xgboost,21,prkcq.L,0.0,11
3,leiden,xgboost,21,efcab10.like.L,0.0,12
3,leiden,xgboost,21,reln.L,0.0,13
3,leiden,xgboost,21,fgl2.L,0.0,14
3,leiden,xgboost,21,sema3c.L,0.0,15
3,leiden,xgboost,21,ucma.L,0.0,16
3,leiden,xgboost,21,ccdc3.L,0.0,17
3,leiden,xgboost,21,itih5.L,0.0,18
3,leiden,xgboost,21,tmem110l.L,0.0,19
3,leiden,xgboost,21,loc100498441.S,0.0,20
3,leiden,xgboost,21,Xelaev18017913m.g,0.0,21
3,leiden,xgboost,21,asb15.L,0.0,22
3,leiden,xgboost,21,loc105946937.L,0.0,23
3,leiden,xgboost,21,lep.L,0.0,24
3,leiden,xgboost,21,odf3.L,0.0,25
3,leiden,xgboost,21,cttn.like.1.L,0.0,26
3,leiden,xgboost,21,Xelaev18017960m.g,0.0,27
3,leiden,xgboost,21,loc100498358.L,0.0,28
3,leiden,xgboost,21,pstpip1.L,0.0,29
3,leiden,xgboost,21,Xelaev18018009m.g,0.0,30
3,leiden,xgboost,21,pkm.L,0.0,31
3,leiden,xgboost,21,sema7a.L,0.0,32
