time,method,model,cluster,gene,score,rank_in_cluster
all,kmeans,logreg,0,krt16.S,0.44394683837890625,1
all,kmeans,logreg,0,krt16.L,0.41267070174217224,2
all,kmeans,logreg,0,Xelaev18022528m.g,0.38514238595962524,3
all,kmeans,logreg,0,Xelaev18022529m.g,0.3539465069770813,4
all,kmeans,logreg,0,Xelaev18022531m.g,0.33868661522865295,5
all,kmeans,logreg,0,loc100494945.L,0.32031649351119995,6
all,kmeans,logreg,0,loc100494945.S,0.3108155429363251,7
all,kmeans,logreg,0,loc100127750.S,0.3062480092048645,8
all,kmeans,logreg,0,gstp1.L,0.298213392496109,9
all,kmeans,logreg,0,Xetrov90011361m.L,0.2973744571208954,10
all,kmeans,logreg,0,itln1.L,0.28978896141052246,11
all,kmeans,logreg,0,txn.L,0.26739242672920227,12
all,kmeans,logreg,0,loc100497848.S,0.26354366540908813,13
all,kmeans,logreg,0,nmral1.S,0.2486654818058014,14
all,kmeans,logreg,0,krt.S,0.24203452467918396,15
all,kmeans,logreg,0,bhlha9.S,0.23651398718357086,16
all,kmeans,logreg,0,Xelaev18045082m.g,0.21628089249134064,17
all,kmeans,logreg,0,krt5.7.S,0.20999479293823242,18
all,kmeans,logreg,0,dlx5.S,0.19701246917247772,19
all,kmeans,logreg,0,loc100127564.L,0.19301973283290863,20
all,kmeans,logreg,0,Xelaev18020203m.g,0.1775023192167282,21
all,kmeans,logreg,0,loc100491791.L,0.17094355821609497,22
all,kmeans,logreg,0,Xelaev18047453m.g,0.16959230601787567,23
all,kmeans,logreg,0,Xelaev18013239m.g,0.16906675696372986,24
all,kmeans,logreg,0,nos2.L,0.16140222549438477,25
all,kmeans,logreg,0,Xelaev18015757m.g,0.15674541890621185,26
all,kmeans,logreg,0,loc100495760.L,0.156700998544693,27
all,kmeans,logreg,0,Xelaev18032448m.g,0.15300878882408142,28
all,kmeans,logreg,0,Xetrov90018122m.S,0.15263430774211884,29
all,kmeans,logreg,0,hes3.3.S,0.14851972460746765,30
all,kmeans,logreg,0,cxcl14.L,0.14727053046226501,31
all,kmeans,logreg,0,hs3st1.L,0.14452221989631653,32
all,kmeans,logreg,0,krt12.S,0.13813205063343048,33
all,kmeans,logreg,0,ppp1r13l.L,0.1356913149356842,34
all,kmeans,logreg,0,grhl3.S,0.13287454843521118,35
all,kmeans,logreg,0,top2a.L,0.1321161389350891,36
all,kmeans,logreg,0,Xelaev18040855m.g,0.12962497770786285,37
all,kmeans,logreg,0,Xelaev18001105m.g,0.12566626071929932,38
all,kmeans,logreg,0,acp5.L,0.1256457418203354,39
all,kmeans,logreg,0,akr1c2.L,0.12442074716091156,40
all,kmeans,logreg,0,msln.L,0.12196306884288788,41
all,kmeans,logreg,0,sds.S,0.12152612209320068,42
all,kmeans,logreg,0,Xelaev18038969m.g,0.11952995508909225,43
all,kmeans,logreg,0,apoc1.like.L,0.11212492734193802,44
all,kmeans,logreg,0,lmo7.S,0.11137204617261887,45
all,kmeans,logreg,0,Xelaev18011412m.g,0.11126190423965454,46
all,kmeans,logreg,0,krt.L,0.11085247993469238,47
all,kmeans,logreg,0,Xelaev18011400m.g,0.1081991046667099,48
all,kmeans,logreg,0,loc100495760.S,0.10682845860719681,49
all,kmeans,logreg,0,Xelaev18047460m.g,0.10618197917938232,50
all,kmeans,logreg,0,got1.S,0.10370030254125595,51
all,kmeans,logreg,0,Xelaev18013493m.g,0.1026945412158966,52
all,kmeans,logreg,0,loc100497338.like.L,0.10139010101556778,53
all,kmeans,logreg,0,atp6v1d.L,0.1009812131524086,54
all,kmeans,logreg,0,lgmn.L,0.10041842609643936,55
all,kmeans,logreg,0,Xelaev18034081m.g,0.09574500471353531,56
all,kmeans,logreg,0,snx10.L,0.09409145265817642,57
all,kmeans,logreg,0,Xelaev18040854m.g,0.09372986108064651,58
all,kmeans,logreg,0,Xelaev18022549m.g,0.08705520629882812,59
all,kmeans,logreg,0,Xelaev18032478m.g,0.08575398474931717,60
all,kmeans,logreg,0,prph.L,0.08511178195476532,61
all,kmeans,logreg,0,rtbdn.S,0.08291073143482208,62
all,kmeans,logreg,0,serpinb6.L,0.08268388360738754,63
all,kmeans,logreg,0,loc101730713.like.L,0.08199669420719147,64
all,kmeans,logreg,0,gnb3.L,0.07865999639034271,65
all,kmeans,logreg,0,col1a2.L,0.07829105854034424,66
all,kmeans,logreg,0,Xetrov90003932m.L,0.07826754450798035,67
all,kmeans,logreg,0,sall4.L,0.07741699367761612,68
all,kmeans,logreg,0,dlx3.L,0.0757986530661583,69
all,kmeans,logreg,0,gad1.2.S,0.07559464871883392,70
all,kmeans,logreg,0,grhl3.L,0.0726529061794281,71
all,kmeans,logreg,0,msx1.L,0.07230160385370255,72
all,kmeans,logreg,0,vgll1.S,0.07190097123384476,73
all,kmeans,logreg,0,ggt1.L,0.07189999520778656,74
all,kmeans,logreg,0,spink2.L,0.0717659592628479,75
all,kmeans,logreg,1,ca2.L,1.3308768272399902,1
all,kmeans,logreg,1,Xelaev18002241m.g,1.3002424240112305,2
all,kmeans,logreg,1,Xelaev18047453m.g,1.0812711715698242,3
all,kmeans,logreg,1,Xelaev18047452m.g,1.062340259552002,4
all,kmeans,logreg,1,col1a2.L,0.8613053560256958,5
all,kmeans,logreg,1,MGC75752.L,0.6915594935417175,6
all,kmeans,logreg,1,col1a1.S,0.5722593069076538,7
all,kmeans,logreg,1,MGC75752.S,0.5459825396537781,8
all,kmeans,logreg,1,Xelaev18039168m.g,0.5014746785163879,9
all,kmeans,logreg,1,aplnr.S,0.4339087903499603,10
all,kmeans,logreg,1,Xelaev18014011m.g,0.38897624611854553,11
all,kmeans,logreg,1,Xelaev18032295m.g,0.3711223304271698,12
all,kmeans,logreg,1,loc101735110.S,0.3554597496986389,13
all,kmeans,logreg,1,Xelaev18045100m.g,0.3413967490196228,14
all,kmeans,logreg,1,c1qb.L,0.3307236135005951,15
all,kmeans,logreg,1,ramp3.L,0.32045647501945496,16
all,kmeans,logreg,1,Xetrov90018123m.L,0.3094552755355835,17
