time,method,model,cluster,gene,score,rank_in_cluster
all,kmeans,xgboost,13,Xelaev18002241m.g,0.1475839465856552,1
all,kmeans,xgboost,13,Xelaev18047453m.g,0.10338503122329712,2
all,kmeans,xgboost,13,hbg2.L,0.10277216136455536,3
all,kmeans,xgboost,13,Xelaev18047462m.g,0.0910741463303566,4
all,kmeans,xgboost,13,ca2.L,0.08014897257089615,5
all,kmeans,xgboost,13,Xelaev18045082m.g,0.030675357207655907,6
all,kmeans,xgboost,13,fos.S,0.027163706719875336,7
all,kmeans,xgboost,13,nmral1.S,0.01842617057263851,8
all,kmeans,xgboost,13,Xelaev18047452m.g,0.016346381977200508,9
all,kmeans,xgboost,13,txn.L,0.015290607698261738,10
all,kmeans,xgboost,13,Xelaev18000342m.g,0.01441095769405365,11
all,kmeans,xgboost,13,mllt11.L,0.013488242402672768,12
all,kmeans,xgboost,13,Xelaev18045649m.g,0.012666413560509682,13
all,kmeans,xgboost,13,zc3h12a.L,0.012554491870105267,14
all,kmeans,xgboost,13,loc100487364.L,0.012292630039155483,15
all,kmeans,xgboost,13,lgmn.L,0.01165865920484066,16
all,kmeans,xgboost,13,col1a2.L,0.0114938635379076,17
all,kmeans,xgboost,13,Xelaev18037639m.g,0.010705024935305119,18
all,kmeans,xgboost,13,col1a1.S,0.010680337436497211,19
all,kmeans,xgboost,13,col2a1.L,0.010385723784565926,20
all,kmeans,xgboost,13,tspan1.L,0.009323381818830967,21
all,kmeans,xgboost,13,act3.L,0.00913223996758461,22
all,kmeans,xgboost,13,MGC75752.L,0.008027802221477032,23
all,kmeans,xgboost,13,mgarp.L,0.007409338839352131,24
all,kmeans,xgboost,13,atp6v1d.S,0.007386204786598682,25
all,kmeans,xgboost,13,krt12.S,0.007315230555832386,26
all,kmeans,xgboost,13,Xelaev18022529m.g,0.006987893022596836,27
all,kmeans,xgboost,13,ccl4.L,0.006146435625851154,28
all,kmeans,xgboost,13,loc100494945.S,0.0060757179744541645,29
all,kmeans,xgboost,13,Xelaev18012141m.g,0.0060369535349309444,30
all,kmeans,xgboost,13,col1a1.L,0.00593155063688755,31
all,kmeans,xgboost,13,loc100494822.L,0.0057577393017709255,32
all,kmeans,xgboost,13,krt5.7.S,0.005605896934866905,33
all,kmeans,xgboost,13,fip1l1.L,0.005602802615612745,34
all,kmeans,xgboost,13,Xelaev18017960m.g,0.005558176897466183,35
all,kmeans,xgboost,13,Xelaev18047460m.g,0.005241083912551403,36
all,kmeans,xgboost,13,lcp1.S,0.005125035997480154,37
all,kmeans,xgboost,13,tal1.L,0.005016382783651352,38
all,kmeans,xgboost,13,Xelaev18001105m.g,0.004990143235772848,39
all,kmeans,xgboost,13,Xetrov90018123m.L,0.004929513204842806,40
all,kmeans,xgboost,13,tnnc2.L,0.00460729468613863,41
all,kmeans,xgboost,13,Xelaev18034081m.g,0.004592866636812687,42
all,kmeans,xgboost,13,loc100496720.L,0.004384197294712067,43
all,kmeans,xgboost,13,loc100127564.L,0.004205887671560049,44
all,kmeans,xgboost,13,lyg2.S,0.004176664166152477,45
all,kmeans,xgboost,13,ly6g6c.L,0.004066239111125469,46
all,kmeans,xgboost,13,cyba.L,0.004021157044917345,47
all,kmeans,xgboost,13,fn1.S,0.003988460171967745,48
all,kmeans,xgboost,13,fos.L,0.0036632122937589884,49
all,kmeans,xgboost,13,ctgf.L,0.0036126708146184683,50
all,kmeans,xgboost,13,ccnb1.2.L,0.0035805818624794483,51
all,kmeans,xgboost,13,Xelaev18002248m.g,0.003525905543938279,52
all,kmeans,xgboost,13,slc10a4.L,0.0034138683695346117,53
all,kmeans,xgboost,13,ramp3.L,0.0033945965114980936,54
all,kmeans,xgboost,13,apoc1.like.L,0.003388933837413788,55
all,kmeans,xgboost,13,MGC75752.S,0.0033028011675924063,56
all,kmeans,xgboost,13,loc100494945.L,0.0032550301402807236,57
all,kmeans,xgboost,13,krt16.L,0.003177516395226121,58
all,kmeans,xgboost,13,timp.1.S,0.0031622122041881084,59
all,kmeans,xgboost,13,hba1.S,0.003150259144604206,60
all,kmeans,xgboost,13,Xetrov90011359m.L,0.003049389459192753,61
all,kmeans,xgboost,13,Xelaev18037638m.g,0.003009469248354435,62
all,kmeans,xgboost,13,loc100490489.L,0.0029937373474240303,63
all,kmeans,xgboost,13,irf1.L,0.00288404431194067,64
all,kmeans,xgboost,13,myl1.S,0.0027488521300256252,65
all,kmeans,xgboost,13,gp1bb.S,0.0026634482201188803,66
all,kmeans,xgboost,13,Xelaev18003734m.g,0.002491812687367201,67
all,kmeans,xgboost,13,Xelaev18014009m.g,0.0024261907674372196,68
all,kmeans,xgboost,13,pcp4.S,0.0023739344906061888,69
all,kmeans,xgboost,13,myl1.L,0.0023703349288553,70
all,kmeans,xgboost,13,Xelaev18034626m.g,0.0020247637294232845,71
all,kmeans,xgboost,13,nr4a2.L,0.002013065852224827,72
all,kmeans,xgboost,13,gstz1.L,0.0019771892111748457,73
all,kmeans,xgboost,13,rasl11b.L,0.0018972897669300437,74
all,kmeans,xgboost,13,Xetrov90018123m.S,0.0016121108783409,75
all,kmeans,xgboost,12,trem2.S,0.48728519678115845,1
all,kmeans,xgboost,12,loc100496720.L,0.0545988492667675,2
all,kmeans,xgboost,12,apoc1.like.L,0.04739763215184212,3
all,kmeans,xgboost,12,ctsc.L,0.036158714443445206,4
all,kmeans,xgboost,12,tspan36.L,0.029923684895038605,5
all,kmeans,xgboost,12,loc100486192.L,0.02412896789610386,6
all,kmeans,xgboost,12,Xelaev18038149m.g,0.0217741709202528,7
all,kmeans,xgboost,12,loc100492872.L,0.02054188959300518,8
all,kmeans,xgboost,12,unnamed.L.13,0.02038329653441906,9
all,kmeans,xgboost,12,loc733459.S,0.019750632345676422,10
all,kmeans,xgboost,12,slurp1l.S,0.019629331305623055,11
all,kmeans,xgboost,12,loc101733140.L,0.01887504756450653,12
all,kmeans,xgboost,12,ctsb.S,0.01735490933060646,13
