time,method,model,cluster,gene,score,rank_in_cluster
all,leiden,logreg,0,hbg2.L,3.0665202140808105,1
all,leiden,logreg,0,Xelaev18002241m.g,1.380863904953003,2
all,leiden,logreg,0,ca2.L,0.9924500584602356,3
all,leiden,logreg,0,hmox1.S,0.7522757649421692,4
all,leiden,logreg,0,gcnt1.S,0.7356064915657043,5
all,leiden,logreg,0,tac1.S,0.7300258278846741,6
all,leiden,logreg,0,Xelaev18022531m.g,0.714012086391449,7
all,leiden,logreg,0,Xelaev18047462m.g,0.7105992436408997,8
all,leiden,logreg,0,rasd1.L,0.6844440698623657,9
all,leiden,logreg,0,Xelaev18014009m.g,0.5915148258209229,10
all,leiden,logreg,0,Xelaev18024665m.g,0.588473379611969,11
all,leiden,logreg,0,il1b.S,0.581318736076355,12
all,leiden,logreg,0,hmox1.L,0.5627753734588623,13
all,leiden,logreg,0,act3.L,0.5624346733093262,14
all,leiden,logreg,0,gap43.L,0.5612679123878479,15
all,leiden,logreg,0,hbg1.S,0.5448791980743408,16
all,leiden,logreg,0,loc100127564.L,0.5413413047790527,17
all,leiden,logreg,0,cldn6.2.S,0.5341419577598572,18
all,leiden,logreg,0,atp12a.like.S,0.5280736684799194,19
all,leiden,logreg,0,Xelaev18022529m.g,0.5242370367050171,20
all,leiden,logreg,0,Xelaev18003790m.g,0.5059989094734192,21
all,leiden,logreg,0,pltp.S,0.4903380274772644,22
all,leiden,logreg,0,Xelaev18034843m.g,0.47448182106018066,23
all,leiden,logreg,0,Xelaev18034626m.g,0.46010667085647583,24
all,leiden,logreg,0,dpepe.L,0.45530351996421814,25
all,leiden,logreg,0,atp6v0e1.L,0.4358542859554291,26
all,leiden,logreg,0,des.1.S,0.4311304986476898,27
all,leiden,logreg,0,cxcl8.L,0.43096065521240234,28
all,leiden,logreg,0,Xelaev18007508m.g,0.42587810754776,29
all,leiden,logreg,0,Xelaev18013239m.g,0.42289599776268005,30
all,leiden,logreg,0,rgs1.L,0.41615915298461914,31
all,leiden,logreg,0,slitrk6.L,0.41112321615219116,32
all,leiden,logreg,0,Xelaev18027791m.g,0.3864266276359558,33
all,leiden,logreg,0,nmral1.S,0.3773592710494995,34
all,leiden,logreg,0,Xetrov90011359m.L,0.3762812316417694,35
all,leiden,logreg,0,stmn3.L,0.37240540981292725,36
all,leiden,logreg,0,colgalt1.L,0.37164831161499023,37
all,leiden,logreg,0,Xelaev18044758m.g,0.36986786127090454,38
all,leiden,logreg,0,Xelaev18022528m.g,0.3636501729488373,39
all,leiden,logreg,0,loc101732654.like.L,0.35443034768104553,40
all,leiden,logreg,0,c1qb.L,0.34457430243492126,41
all,leiden,logreg,0,ctsl.L,0.3400186002254486,42
all,leiden,logreg,0,Xelaev18040322m.g,0.3382318615913391,43
all,leiden,logreg,0,stmn2.S,0.3379684388637543,44
all,leiden,logreg,0,hoxa13.L,0.33344873785972595,45
all,leiden,logreg,0,Xelaev18027940m.g,0.3325222432613373,46
all,leiden,logreg,0,foxr1.L,0.33020901679992676,47
all,leiden,logreg,0,loc549413.L,0.3272421658039093,48
all,leiden,logreg,0,ngfr.S,0.3220878839492798,49
all,leiden,logreg,0,ccdc3.L,0.3188283145427704,50
all,leiden,logreg,0,timp.1.S,0.3164532780647278,51
all,leiden,logreg,0,krt2l.S,0.3144279420375824,52
all,leiden,logreg,0,atp6v1g2.L,0.30983585119247437,53
all,leiden,logreg,0,rasl11b.L,0.30885884165763855,54
all,leiden,logreg,0,loc100490646.L,0.30811259150505066,55
all,leiden,logreg,0,cst3.S,0.3070794939994812,56
all,leiden,logreg,0,ccl4.L,0.3066202700138092,57
all,leiden,logreg,0,akap12.S,0.30229073762893677,58
all,leiden,logreg,0,neurod4.L,0.30050531029701233,59
all,leiden,logreg,0,tmem72.L,0.2994975745677948,60
all,leiden,logreg,0,Xelaev18039828m.g,0.29909801483154297,61
all,leiden,logreg,0,sult1e1.L,0.2981421947479248,62
