time,method,model,cluster,gene,score,rank_in_cluster
0,kmeans,logreg,0,Xelaev18045083m.g,0.8860220909118652,1
0,kmeans,logreg,0,ca2.L,0.5502225756645203,2
0,kmeans,logreg,0,Xelaev18002241m.g,0.5195041298866272,3
0,kmeans,logreg,0,ftmt.S,0.43689286708831787,4
0,kmeans,logreg,0,Xelaev18047453m.g,0.32296663522720337,5
0,kmeans,logreg,0,Xelaev18001105m.g,0.24366231262683868,6
0,kmeans,logreg,0,slc25a5.L,0.18059608340263367,7
0,kmeans,logreg,0,lyar.L,0.16038978099822998,8
0,kmeans,logreg,0,apoc1.like.L,0.1449400633573532,9
0,kmeans,logreg,0,myf5.S,0.1382916271686554,10
0,kmeans,logreg,0,myod1.S,0.1373092085123062,11
0,kmeans,logreg,0,act3.L,0.12303885072469711,12
0,kmeans,logreg,0,Xelaev18047462m.g,0.12177487462759018,13
0,kmeans,logreg,0,Xetrov90011361m.L,0.11966901272535324,14
0,kmeans,logreg,0,ctsh.L,0.11851225793361664,15
0,kmeans,logreg,0,Xelaev18021482m.g,0.11613225191831589,16
0,kmeans,logreg,0,ccnb1.2.L,0.11574400216341019,17
0,kmeans,logreg,0,Xelaev18013123m.g,0.10574693232774734,18
0,kmeans,logreg,0,Xelaev18001597m.g,0.09914980828762054,19
0,kmeans,logreg,0,actc1.L,0.09883972257375717,20
0,kmeans,logreg,0,Xetrov90018123m.L,0.09737438708543777,21
0,kmeans,logreg,0,cyp26a1.S,0.09640005230903625,22
0,kmeans,logreg,0,ctsb.S,0.09162314236164093,23
0,kmeans,logreg,0,myog.L,0.09034276008605957,24
0,kmeans,logreg,0,loc105947369.L,0.08761455118656158,25
0,kmeans,logreg,0,Xelaev18018009m.g,0.08679166436195374,26
0,kmeans,logreg,0,loc100497910.L,0.0816485583782196,27
0,kmeans,logreg,0,cthrc1.S,0.080935999751091,28
0,kmeans,logreg,0,rasd1.L,0.07979605346918106,29
0,kmeans,logreg,0,fabp3.L,0.07938177138566971,30
0,kmeans,logreg,0,Xelaev18009504m.g,0.07935874164104462,31
0,kmeans,logreg,0,c2orf40.L,0.07886342704296112,32
0,kmeans,logreg,0,cpa3.L,0.07833313196897507,33
0,kmeans,logreg,0,tmem119.L,0.07718653976917267,34
0,kmeans,logreg,0,Xelaev18008740m.g,0.07488632947206497,35
0,kmeans,logreg,0,Xelaev18008739m.g,0.07486510276794434,36
0,kmeans,logreg,0,cmya5.S,0.07476166635751724,37
0,kmeans,logreg,0,tyrp1.L,0.07295923680067062,38
0,kmeans,logreg,0,Xetrov90029035m.L,0.07289398461580276,39
0,kmeans,logreg,0,rgs13.L,0.07078598439693451,40
0,kmeans,logreg,0,Xelaev18003734m.g,0.06963936984539032,41
0,kmeans,logreg,0,golm1.L,0.06751563400030136,42
0,kmeans,logreg,0,des.1.S,0.06707478314638138,43
0,kmeans,logreg,0,dlx5.S,0.0656910315155983,44
0,kmeans,logreg,0,atp6v1h.S,0.06490739434957504,45
0,kmeans,logreg,0,Xelaev18014969m.g,0.064076729118824,46
0,kmeans,logreg,0,loc100494786.S,0.061722539365291595,47
0,kmeans,logreg,0,Xelaev18040854m.g,0.06168508157134056,48
0,kmeans,logreg,0,fbxl22.S,0.06130019947886467,49
0,kmeans,logreg,0,loc100494515.like.S,0.061184704303741455,50
0,kmeans,logreg,0,Xelaev18040337m.g,0.06079348176717758,51
0,kmeans,logreg,0,rtn2.S,0.06077349931001663,52
0,kmeans,logreg,0,rgs1.S,0.058679647743701935,53
0,kmeans,logreg,0,zswim4.L,0.058576978743076324,54
0,kmeans,logreg,0,gng10.L,0.057539232075214386,55
0,kmeans,logreg,0,cst7.L,0.05737451836466789,56
0,kmeans,logreg,0,ptpn6.L,0.056650251150131226,57
0,kmeans,logreg,0,gngt1.L,0.05550606548786163,58
0,kmeans,logreg,0,nrxn2.like.2.L,0.05539938062429428,59
0,kmeans,logreg,0,Xelaev18036345m.g,0.0544944666326046,60
0,kmeans,logreg,0,Xelaev18018852m.g,0.0543377548456192,61
0,kmeans,logreg,0,twist1.L,0.05390867218375206,62
0,kmeans,logreg,0,pgd.L,0.0533425509929657,63
0,kmeans,logreg,0,pygl.S,0.053054992109537125,64
0,kmeans,logreg,0,nog.L,0.051782749593257904,65
0,kmeans,logreg,0,fgl2.L,0.05165375769138336,66
0,kmeans,logreg,0,gzmh.S,0.050488948822021484,67
0,kmeans,logreg,0,gng10.S,0.04987654834985733,68
