time,method,model,cluster,gene,score,rank_in_cluster
2,louvain,xgboost,7,col1a2.S,0.19202487170696259,1
2,louvain,xgboost,7,col8a2.S,0.1439070850610733,2
2,louvain,xgboost,7,col9a1.L,0.09006619453430176,3
2,louvain,xgboost,7,Xelaev18040855m.g,0.0537213496863842,4
2,louvain,xgboost,7,loc100485272.like.S,0.050614405423402786,5
2,louvain,xgboost,7,col9a3.L,0.04663865268230438,6
2,louvain,xgboost,7,epyc.L,0.043148066848516464,7
2,louvain,xgboost,7,glul.like.1.L,0.03670799732208252,8
2,louvain,xgboost,7,col11a2p1.S,0.029208028689026833,9
2,louvain,xgboost,7,cav1.S,0.02258874475955963,10
2,louvain,xgboost,7,otos.L,0.019497547298669815,11
2,louvain,xgboost,7,lect1.L,0.017164310440421104,12
2,louvain,xgboost,7,angptl7.L,0.016087107360363007,13
2,louvain,xgboost,7,hapln1.L,0.014136826619505882,14
2,louvain,xgboost,7,myoc.S,0.013960616663098335,15
2,louvain,xgboost,7,prss35.S,0.01373112853616476,16
2,louvain,xgboost,7,mmp8.L,0.013149631209671497,17
2,louvain,xgboost,7,cav1.L,0.012529038824141026,18
2,louvain,xgboost,7,epyc.S,0.01084329653531313,19
2,louvain,xgboost,7,spon2.L,0.010221836157143116,20
2,louvain,xgboost,7,tagln.L,0.009598706848919392,21
2,louvain,xgboost,7,col3a1.S,0.009594062343239784,22
2,louvain,xgboost,7,tmem26.L,0.009564802050590515,23
2,louvain,xgboost,7,timp.1.S,0.00895923562347889,24
2,louvain,xgboost,7,krt12.L,0.008725113235414028,25
2,louvain,xgboost,7,col1a2.L,0.0077058495953679085,26
2,louvain,xgboost,7,ptx3.S,0.005786408670246601,27
2,louvain,xgboost,7,col8a1.L,0.005749707110226154,28
2,louvain,xgboost,7,fn1.S,0.005697376560419798,29
2,louvain,xgboost,7,Xetrov90011359m.L,0.004803641699254513,30
2,louvain,xgboost,7,hpd.like.1.L,0.00479229586198926,31
2,louvain,xgboost,7,val,0.004776692949235439,32
2,louvain,xgboost,7,tnfaip6.S,0.004195395391434431,33
2,louvain,xgboost,7,igf2.S,0.0038494740147143602,34
2,louvain,xgboost,7,vwc2l.2.L,0.0036126819904893637,35
2,louvain,xgboost,7,has2.S,0.0034857499413192272,36
2,louvain,xgboost,7,ctsb.S,0.0034335912205278873,37
2,louvain,xgboost,7,nkx3.2.L,0.0034116962924599648,38
2,louvain,xgboost,7,loc100498318.like.L,0.0032392244320362806,39
2,louvain,xgboost,7,tuba4a.S,0.0030474732629954815,40
