time,method,model,cluster,gene,score,rank_in_cluster
all,louvain,xgboost,1,Xelaev18002241m.g,0.26829779148101807,1
all,louvain,xgboost,1,hbg2.L,0.13545174896717072,2
all,louvain,xgboost,1,Xelaev18045082m.g,0.06973443925380707,3
all,louvain,xgboost,1,ca2.L,0.05823631212115288,4
all,louvain,xgboost,1,Xelaev18047462m.g,0.025899218395352364,5
all,louvain,xgboost,1,Xelaev18001105m.g,0.022733857855200768,6
all,louvain,xgboost,1,Xelaev18047452m.g,0.020762231200933456,7
all,louvain,xgboost,1,krt12.S,0.01934630423784256,8
all,louvain,xgboost,1,Xelaev18047453m.g,0.019073225557804108,9
all,louvain,xgboost,1,Xelaev18047460m.g,0.017951790243387222,10
all,louvain,xgboost,1,ckm.L,0.017169790342450142,11
all,louvain,xgboost,1,irf1.L,0.014535157009959221,12
all,louvain,xgboost,1,Xelaev18022529m.g,0.014457402750849724,13
all,louvain,xgboost,1,krt5.7.S,0.013257211074233055,14
all,louvain,xgboost,1,txn.L,0.013125671073794365,15
all,louvain,xgboost,1,msmb.3.L,0.011142781935632229,16
all,louvain,xgboost,1,Xelaev18022531m.g,0.010513310320675373,17
all,louvain,xgboost,1,Xetrov90018123m.L,0.009273436851799488,18
all,louvain,xgboost,1,ly6g6c.L,0.008512075990438461,19
all,louvain,xgboost,1,fos.S,0.007193529047071934,20
all,louvain,xgboost,1,loc100049121.S,0.006621101871132851,21
all,louvain,xgboost,1,atp6v1h.S,0.0063211494125425816,22
all,louvain,xgboost,1,timp.1.S,0.006295445375144482,23
all,louvain,xgboost,1,Xelaev18003734m.g,0.005396232940256596,24
all,louvain,xgboost,1,loc100127564.L,0.005267794709652662,25
all,louvain,xgboost,1,Xelaev18003790m.g,0.0049713472835719585,26
all,louvain,xgboost,1,gpi.L,0.004896149970591068,27
all,louvain,xgboost,1,Xelaev18000342m.g,0.004731043707579374,28
all,louvain,xgboost,1,lyg2.S,0.0046629393473267555,29
all,louvain,xgboost,1,top2a.L,0.004591831471771002,30
all,louvain,xgboost,1,ptrf.S,0.004548322409391403,31
all,louvain,xgboost,1,nmral1.S,0.0045381044037640095,32
all,louvain,xgboost,1,nif.L,0.004451138433068991,33
all,louvain,xgboost,1,lta4h.L,0.004384858533740044,34
all,louvain,xgboost,1,Xelaev18045100m.g,0.004313840065151453,35
all,louvain,xgboost,1,thtpa.S,0.004269233904778957,36
all,louvain,xgboost,1,Xetrov90011359m.L,0.004054456949234009,37
all,louvain,xgboost,1,fip1l1.L,0.00397757813334465,38
all,louvain,xgboost,1,lyar.L,0.00392335606738925,39
all,louvain,xgboost,1,ccl42d.L,0.003923133015632629,40
all,louvain,xgboost,1,cndp2.S,0.0039168414659798145,41
all,louvain,xgboost,1,fos.L,0.003862831275910139,42
all,louvain,xgboost,1,ccl4.L,0.0037867738865315914,43
all,louvain,xgboost,1,col1a1.L,0.0037802073638886213,44
all,louvain,xgboost,1,col1a2.L,0.0035937000066041946,45
all,louvain,xgboost,1,hba1.S,0.003591658780351281,46
all,louvain,xgboost,1,Xelaev18014009m.g,0.0035884822718799114,47
all,louvain,xgboost,1,ctss.S,0.0035473997704684734,48
all,louvain,xgboost,1,gp1bb.S,0.0035257565323263407,49
all,louvain,xgboost,1,insig1.L,0.0035256892442703247,50
all,louvain,xgboost,1,MGC75752.S,0.003518647514283657,51
all,louvain,xgboost,1,gng3.L,0.003416279563680291,52
all,louvain,xgboost,1,loc100496216.L,0.0033804390113800764,53
all,louvain,xgboost,1,postn.S,0.003344286233186722,54
all,louvain,xgboost,1,Xelaev18037839m.g,0.003182299667969346,55
all,louvain,xgboost,1,Xelaev18040854m.g,0.0031055796425789595,56
all,louvain,xgboost,1,MGC75752.L,0.0030842269770801067,57
all,louvain,xgboost,1,Xelaev18002248m.g,0.003075090702623129,58
all,louvain,xgboost,1,Xelaev18047608m.g,0.003074928652495146,59
all,louvain,xgboost,1,ctsb.S,0.003049616003409028,60
all,louvain,xgboost,1,apoc1.like.L,0.0030489531345665455,61
all,louvain,xgboost,1,mylpf.L,0.0029171910136938095,62
all,louvain,xgboost,1,lgmn.L,0.002877460792660713,63
all,louvain,xgboost,1,Xelaev18034081m.g,0.0028575549367815256,64
all,louvain,xgboost,1,tac1.L,0.002817746251821518,65
all,louvain,xgboost,1,loc100494945.S,0.002540395362302661,66
all,louvain,xgboost,1,sncb.L,0.002475238870829344,67
all,louvain,xgboost,1,myl1.L,0.002363911597058177,68
all,louvain,xgboost,1,pgd.L,0.0023201757576316595,69
all,louvain,xgboost,1,mmp8.L,0.002130198758095503,70
all,louvain,xgboost,1,Xelaev18045307m.g,0.002030622214078903,71
all,louvain,xgboost,1,Xelaev18009066m.g,0.0020282745826989412,72
all,louvain,xgboost,1,ctgf.L,0.001979995984584093,73
all,louvain,xgboost,1,atp6v1d.S,0.0018636577297002077,74
all,louvain,xgboost,1,socs1.S,0.001828646520152688,75
all,louvain,xgboost,12,crp.4.L,0.5014885663986206,1
all,louvain,xgboost,12,ccr3.L,0.0901828333735466,2
all,louvain,xgboost,12,loc100485744.L,0.07851404696702957,3
all,louvain,xgboost,12,loc101733140.L,0.055348657071590424,4
all,louvain,xgboost,12,mpo.L,0.023410286754369736,5
all,louvain,xgboost,12,prss57.L,0.02023332007229328,6
all,louvain,xgboost,12,krt12.S,0.018198367208242416,7
all,louvain,xgboost,12,gpi.S,0.01718772016465664,8
all,louvain,xgboost,12,dstn.S,0.01642998866736889,9
all,louvain,xgboost,12,Xelaev18001042m.g,0.014465522952377796,10
all,louvain,xgboost,12,loc100487364.L,0.012276279740035534,11
all,louvain,xgboost,12,prtn3.S,0.011110655032098293,12
all,louvain,xgboost,12,ptpn6.L,0.010974183678627014,13
all,louvain,xgboost,12,rgs1.S,0.00789159256964922,14
all,louvain,xgboost,12,slurp1l.S,0.0078085376881062984,15
all,louvain,xgboost,12,Xelaev18018927m.g,0.007413214072585106,16
all,louvain,xgboost,12,trem2.S,0.007016527466475964,17
all,louvain,xgboost,12,unnamed.L.13,0.006849673576653004,18
all,louvain,xgboost,12,loc100496720.L,0.005699741188436747,19
