time,method,model,cluster,gene,score,rank_in_cluster
0,leiden,svm,6,aldoc.L,0.13348824236040574,1
0,leiden,svm,6,rtn1.L,0.1296074416106637,2
0,leiden,svm,6,loc100494945.S,-0.11697046269418136,3
0,leiden,svm,6,syt2.like.L,-0.11494500026275796,4
0,leiden,svm,6,fos.S,0.10412303854252992,5
0,leiden,svm,6,Xelaev18001105m.g,-0.09942629619215722,6
0,leiden,svm,6,Xelaev18003734m.g,-0.09935785481707768,7
0,leiden,svm,6,fos.L,0.09534529501572732,8
0,leiden,svm,6,rtbdn.L,-0.09530099650168389,9
0,leiden,svm,6,basp1.S,0.0941737393985801,10
0,leiden,svm,6,slc8a1.like.S,-0.08911636570360282,11
0,leiden,svm,6,cplx1.S,0.08835313824539065,12
0,leiden,svm,6,loc100127564.L,-0.08489179761270042,13
0,leiden,svm,6,tac1.S,0.08264831646160438,14
0,leiden,svm,6,pgam1.L,-0.0823098400146958,15
0,leiden,svm,6,Xelaev18036101m.g,0.08067690322134177,16
0,leiden,svm,6,fabp3.L,-0.07968008387058842,17
0,leiden,svm,6,krt5.7.S,-0.07927762871818526,18
0,leiden,svm,6,slc25a5.L,-0.07920460056410825,19
0,leiden,svm,6,Xelaev18020203m.g,0.07546405979995992,20
0,leiden,svm,6,Xelaev18002241m.g,-0.07533720047059904,21
0,leiden,svm,6,stmn4.S,0.07474041624690747,22
0,leiden,svm,6,spock2.S,-0.07458586596879421,23
0,leiden,svm,6,Xelaev18031273m.g,-0.0734338925806282,24
0,leiden,svm,6,neurod1.S,-0.0733831860519829,25
0,leiden,svm,6,ache.L,-0.07326607071984637,26
0,leiden,svm,6,Xelaev18038892m.g,0.0726326791969064,27
0,leiden,svm,6,Xelaev18037480m.g,0.07184042402072735,28
0,leiden,svm,6,fabp7.L,-0.07180696885829341,29
0,leiden,svm,6,ftmt.S,-0.07169219509337775,30
0,leiden,svm,6,rtn1.S,0.07057474486784396,31
0,leiden,svm,6,l1cam.S,0.07050427379398985,32
0,leiden,svm,6,onecut2.S,0.0701455354018906,33
0,leiden,svm,6,scg2.S,-0.06926769729722877,34
0,leiden,svm,6,mgat4c.L,0.06916369839394852,35
0,leiden,svm,6,nova1.L,0.06480283723857866,36
0,leiden,svm,6,pcp4.S,0.06367919249771742,37
0,leiden,svm,6,Xelaev18009011m.g,-0.06367044973366476,38
0,leiden,svm,6,sncb.L,0.06331163962486298,39
0,leiden,svm,6,nhlh1.L,-0.06314532016346938,40
0,leiden,svm,6,krt12.L,-0.06297904177080607,41
0,leiden,svm,6,scn3a.S,-0.06286695628530022,42
0,leiden,svm,6,nog.L,0.06257590286473647,43
0,leiden,svm,6,snap25.S,0.0624228881305465,44
0,leiden,svm,6,Xelaev18045052m.g,-0.06226650315714336,45
0,leiden,svm,6,uts2.L,-0.06222244751158488,46
0,leiden,svm,6,tusc3.L,-0.06107666734295263,47
0,leiden,svm,6,scg3.S,0.06064791546763922,48
0,leiden,svm,6,itln1.L,-0.060588566298707375,49
0,leiden,svm,6,neto1.L,0.05967842191170454,50
0,leiden,svm,6,pax2.L,0.057297909101213726,51
0,leiden,svm,6,kif1b.like.L,-0.05721624571208155,52
0,leiden,svm,6,onecut2.L,0.056995195516874,53
0,leiden,svm,6,ywhag.L,0.05693254839633049,54
0,leiden,svm,6,ckb.L,0.05671409770051202,55
0,leiden,svm,6,chgb.L,-0.056530366381658335,56
0,leiden,svm,6,hhip.L,-0.05579467244363635,57
0,leiden,svm,6,scamp4.L,-0.05578180428516797,58
0,leiden,svm,6,syt2.like.S,-0.05566714349912011,59
0,leiden,svm,6,atp2b2.like.S,0.055486382843573885,60
0,leiden,svm,6,sfrp2.S,-0.05398732638238115,61
0,leiden,svm,6,prima1.like.S,0.05394043250842109,62
0,leiden,svm,6,mapk10.L,-0.05296690742488,63
0,leiden,svm,6,gpi.S,-0.05276689662646748,64
0,leiden,svm,6,vcan.L,-0.052617962613092845,65
0,leiden,svm,6,slit2.S,0.05166511365970904,66
0,leiden,svm,6,scamp4.S,-0.05164597997846141,67
0,leiden,svm,6,Xelaev18017913m.g,0.05162085030289494,68
0,leiden,svm,6,crhbp.L,0.05068299619100186,69
0,leiden,svm,6,pvrl3.L,-0.04963102223421401,70
0,leiden,svm,6,ntng2.L,-0.04936811974672128,71
