time,method,model,cluster,gene,score,rank_in_cluster
1,louvain,svm,22,Xelaev18040968m.g,0.1425831688207865,1
1,louvain,svm,22,Xelaev18002241m.g,-0.1175059171545666,2
1,louvain,svm,22,s100a11.S,-0.10954655561885367,3
1,louvain,svm,22,slc26a2.2.L,0.10199305541347554,4
1,louvain,svm,22,ckm.L,-0.10018882809763108,5
1,louvain,svm,22,atp6v1g3.L,0.09752194680494113,6
1,louvain,svm,22,tmem213.S,-0.09575945601052863,7
1,louvain,svm,22,Xelaev18001106m.g,-0.09460744081955781,8
1,louvain,svm,22,Xetrov90018123m.L,-0.09448663362737464,9
1,louvain,svm,22,acat1.L,0.09332223996227695,10
1,louvain,svm,22,tgm5.S,-0.09307271433733068,11
1,louvain,svm,22,loc100494515.like.S,-0.09281007045088546,12
1,louvain,svm,22,Xelaev18017743m.g,0.09031464144888376,13
1,louvain,svm,22,loc100498507.S,-0.08880767229955779,14
1,louvain,svm,22,Xelaev18022166m.g,-0.08480063900427683,15
1,louvain,svm,22,insrr.S,-0.08369036668234198,16
1,louvain,svm,22,Xelaev18047430m.g,-0.08287497646395187,17
1,louvain,svm,22,atp6v1b1.L,0.08160094835431049,18
1,louvain,svm,22,muc1.S,-0.07961920183259075,19
1,louvain,svm,22,tmem72.S,-0.0796075495082356,20
1,louvain,svm,22,ca2.S,0.07885306692955037,21
1,louvain,svm,22,Xelaev18045052m.g,-0.0788092739201014,22
1,louvain,svm,22,foxi1.S,0.07841289750878225,23
1,louvain,svm,22,slc26a2.2.S,0.07750339397217804,24
1,louvain,svm,22,atp6ap1.1.S,0.07550510601112212,25
1,louvain,svm,22,Xelaev18010901m.g,-0.07407348248741853,26
1,louvain,svm,22,krt8.S,-0.07315203487349951,27
1,louvain,svm,22,Xelaev18045649m.g,0.07207023048470244,28
1,louvain,svm,22,Xelaev18028574m.g,0.07081999291698199,29
1,louvain,svm,22,upk1b.S,-0.07012380756516523,30
1,louvain,svm,22,Xelaev18047462m.g,-0.06929137388183271,31
1,louvain,svm,22,rhobtb1.S,-0.06676462085005601,32
1,louvain,svm,22,Xelaev18020998m.g,0.06654024261040187,33
1,louvain,svm,22,atp6v0d2.L,0.06635120362748402,34
1,louvain,svm,22,snx31.L,-0.06539914874358481,35
1,louvain,svm,22,hbg1.L,0.06520817408496235,36
1,louvain,svm,22,st6galnac2.S,-0.0640758231235082,37
1,louvain,svm,22,loc100145701.L,-0.06315520279364817,38
1,louvain,svm,22,adck3.S,0.06114218763076094,39
1,louvain,svm,22,Xetrov90018123m.S,-0.0609760944770109,40
1,louvain,svm,22,Xelaev18045082m.g,-0.0599171447806028,41
1,louvain,svm,22,Xelaev18022529m.g,0.0590368525943869,42
1,louvain,svm,22,gsn.S,-0.0587953606268392,43
1,louvain,svm,22,camk1.L,0.058577436977468644,44
1,louvain,svm,22,Xelaev18045938m.g,-0.058375717455319,45
1,louvain,svm,22,serpinb5.S,-0.05707589631405634,46
1,louvain,svm,22,Xelaev18043178m.g,-0.0570098125061766,47
1,louvain,svm,22,itln1.L,0.05581688508594942,48
1,louvain,svm,22,loc100488828.L,-0.054804003856668324,49
1,louvain,svm,22,rhcg.L,0.054665434698945255,50
1,louvain,svm,22,Xelaev18034830m.g,-0.05441452934303067,51
1,louvain,svm,22,elf3.L,0.05434582912750672,52
1,louvain,svm,22,zswim4.L,-0.05357347526610946,53
1,louvain,svm,22,wdr16.L,0.053062517143199296,54
1,louvain,svm,22,Xelaev18034626m.g,0.052582447018898,55
1,louvain,svm,22,Xelaev18013824m.g,-0.050394283006325424,56
1,louvain,svm,22,atp6ap1.1.L,0.04961894957856895,57
1,louvain,svm,22,col1a1.S,-0.04914149958520644,58
1,louvain,svm,22,ly6g6c.L,0.04913117946142614,59
1,louvain,svm,22,loc100495848.S,-0.04908081870071845,60
1,louvain,svm,22,tmem45b.L,-0.04894769078767362,61
1,louvain,svm,22,ets2.L,0.04877889353541267,62
1,louvain,svm,22,Xelaev18038704m.g,0.048131404614448196,63
1,louvain,svm,22,esrrg.L,-0.04786909159672618,64
1,louvain,svm,22,slc4a9.L,0.047850591511238265,65
1,louvain,svm,22,fabp3.L,-0.04724268003374374,66
1,louvain,svm,22,Xelaev18040492m.g,-0.04674712646702311,67
1,louvain,svm,22,tldc2.L,-0.04661945544224431,68
1,louvain,svm,22,sdsl.S,-0.04657942845227699,69
1,louvain,svm,22,psap.S,-0.046347679243991725,70
1,louvain,svm,22,ctsb.S,-0.04634543782311469,71
1,louvain,svm,22,upk1a.L,-0.045888955519599234,72
1,louvain,svm,22,hsd17b11.L,-0.04585579384484879,73
1,louvain,svm,22,ddit4.S,0.045379653177128366,74
1,louvain,svm,22,fkbp1b.L,0.04424974393772117,75
1,louvain,svm,15,Xetrov90018212m.S,-0.9604017236456558,1
1,louvain,svm,15,tmem38b.L,-0.8947304160409576,2
1,louvain,svm,15,loc100487808.L,0.7793995825360132,3
1,louvain,svm,15,qdpr.L,0.7637151112106885,4
1,louvain,svm,15,smad6.2.L,0.753451675693155,5
1,louvain,svm,15,col3a1.S,0.726071304339278,6
1,louvain,svm,15,Xelaev18018852m.g,-0.7107576322071807,7
1,louvain,svm,15,mmp7.L,-0.710547255183993,8
1,louvain,svm,15,ube2c.L,-0.709656276821706,9
1,louvain,svm,15,myl1.S,0.7001186625639132,10
1,louvain,svm,15,cdk1.L,0.697470616103479,11
1,louvain,svm,15,ism1.L,-0.6907170024460709,12
1,louvain,svm,15,gamt.S,0.6757059032871902,13
1,louvain,svm,15,gstz1.L,-0.6756628328107062,14
1,louvain,svm,15,Xetrov90001378m.S,0.6698010782945832,15
1,louvain,svm,15,Xelaev18016080m.g,0.6687354813830795,16
1,louvain,svm,15,ankrd37.L,0.6582344646882077,17
1,louvain,svm,15,fip1l1.L,-0.6518695669992728,18
1,louvain,svm,15,msra.1.L,-0.6500577744040694,19
1,louvain,svm,15,upk3b.L,0.6289713633350816,20
1,louvain,svm,15,Xelaev18037640m.g,0.6227770101781234,21
1,louvain,svm,15,lfng.S,0.6094095833670249,22
1,louvain,svm,15,slc35b2.S,-0.6050858608240622,23
1,louvain,svm,15,aldoc.L,0.5994632164606307,24
1,louvain,svm,15,c4orf32.L,-0.5724283611035726,25
1,louvain,svm,15,atp6v1h.L,-0.5699978928863205,26
1,louvain,svm,15,tfap2c.S,0.5630896748304486,27
1,louvain,svm,15,Xetrov90011361m.L,0.5602512707410453,28
1,louvain,svm,15,cldn6.2.S,-0.5518685184959878,29
1,louvain,svm,15,tgfb1.L,-0.5489091288105106,30
1,louvain,svm,15,igfbp2.S,-0.5415903262623711,31
1,louvain,svm,15,cdk1.S,-0.538966020348214,32
1,louvain,svm,15,ablim3.L,0.5333713430929037,33
1,louvain,svm,15,apoe.S,0.5330622605372083,34
1,louvain,svm,15,Xelaev18014011m.g,0.5317009207128891,35
1,louvain,svm,15,ctsb.S,-0.5274807516954876,36
1,louvain,svm,15,dstn.S,-0.5251919778710024,37
1,louvain,svm,15,mcam.L,0.5203238606644869,38
1,louvain,svm,15,itgbl1.L,0.5093025655068861,39
1,louvain,svm,15,Xelaev18047606m.g,-0.5065287040285297,40
1,louvain,svm,15,postn.S,0.5063287989048607,41
1,louvain,svm,15,foxr1.L,0.5053611356038771,42
1,louvain,svm,15,krt18.L,0.5008436938399534,43
1,louvain,svm,15,ogn.L,0.4914609839723345,44
1,louvain,svm,15,tpgs1.L,0.4908167818267339,45
1,louvain,svm,15,epgn.S,0.489647541905651,46
1,louvain,svm,15,elf3.L,0.4869460033056432,47
1,louvain,svm,15,mst1.L,0.48496391213310863,48
1,louvain,svm,15,rragd.S,-0.4827164097587424,49
1,louvain,svm,15,Xelaev18047608m.g,-0.48229360100666535,50
1,louvain,svm,15,bcam.L,0.48004201263176566,51
1,louvain,svm,15,mmp8.L,0.4792764264749881,52
1,louvain,svm,15,sema3f.like.1.L,0.47848579026183474,53
1,louvain,svm,15,kiaa1755.like.S,-0.4753238963264899,54
1,louvain,svm,15,bcl2l10.S,0.4742642118328001,55
1,louvain,svm,15,actc1.S,-0.47276441828568555,56
1,louvain,svm,15,rogdi.L,-0.4678550053986567,57
1,louvain,svm,15,Xelaev18022528m.g,-0.4672552669498388,58
1,louvain,svm,15,aqp3.S,0.46103715392380684,59
1,louvain,svm,15,ets2.L,-0.45872286542019886,60
1,louvain,svm,15,rnf128.L,0.4566507709636451,61
1,louvain,svm,15,aldob.L,0.4561965218049731,62
1,louvain,svm,15,tal1.S,-0.45414102002154233,63
1,louvain,svm,15,mmp13l.S,-0.45039115875143915,64
1,louvain,svm,15,col11a1.like.L,-0.4503431658150516,65
1,louvain,svm,15,tnnc2.L,-0.44689639217514326,66
1,louvain,svm,15,nefm.S,0.44510781201175503,67
1,louvain,svm,15,loc100494099.S,0.4417624546201243,68
1,louvain,svm,15,plk1.S,0.44146196285036116,69
1,louvain,svm,15,arhgdib.S,-0.43826273653221004,70
1,louvain,svm,15,trank1.L,-0.4328119170269414,71
1,louvain,svm,15,hbg1.L,-0.4298429567837019,72
1,louvain,svm,15,map1b.L,0.42593341181069466,73
1,louvain,svm,15,cotl1.L,-0.424855548826454,74
1,louvain,svm,15,pgam2.L,0.42300529985948815,75
1,louvain,svm,0,col3a1.S,-0.6957719839558506,1
1,louvain,svm,0,hbg2.L,0.6874072423110947,2
