time,method,model,cluster,gene,score,rank_in_cluster
2,kmeans,svm,6,epyc.S,-0.24346969580331923,1
2,kmeans,svm,6,fkbp1b.L,-0.2314462615563407,2
2,kmeans,svm,6,vcan.L,-0.21994676036803934,3
2,kmeans,svm,6,mmp11.L,0.21529561802874903,4
2,kmeans,svm,6,Xelaev18045052m.g,-0.20981867836556062,5
2,kmeans,svm,6,cldn5.S,0.1986701381492694,6
2,kmeans,svm,6,ntn1.S,0.19044487020738288,7
2,kmeans,svm,6,col8a2.S,-0.18991830750227318,8
2,kmeans,svm,6,cav1.S,-0.18649060824500485,9
2,kmeans,svm,6,Xetrov90001378m.S,-0.17963031671811205,10
2,kmeans,svm,6,fxyd5.L,0.17836563026783697,11
2,kmeans,svm,6,ctgf.L,0.17660067542832142,12
2,kmeans,svm,6,epyc.L,-0.1731398464391593,13
2,kmeans,svm,6,fn1.S,0.17253194623122425,14
2,kmeans,svm,6,spon2.L,0.17100869947300942,15
2,kmeans,svm,6,dio3.L,-0.16650209415328288,16
2,kmeans,svm,6,hapln1.L,-0.16633208164177718,17
2,kmeans,svm,6,MGC75752.L,-0.16506732034925944,18
2,kmeans,svm,6,Xelaev18011601m.g,0.16056287455206264,19
2,kmeans,svm,6,otos.L,-0.15834641536370236,20
2,kmeans,svm,6,spon1.L,-0.15650211636869707,21
2,kmeans,svm,6,timp.1.S,-0.15586087829696074,22
2,kmeans,svm,6,colec12.S,-0.1550129569259421,23
2,kmeans,svm,6,fos.S,-0.1535398287153736,24
2,kmeans,svm,6,itga4.L,0.15124056422507545,25
2,kmeans,svm,6,ccnb1.2.L,0.1495557914335961,26
2,kmeans,svm,6,steap4.L,-0.1429024926470048,27
2,kmeans,svm,6,tgfb2.L,0.1416233362097042,28
2,kmeans,svm,6,col2a1.L,0.14080973369156177,29
2,kmeans,svm,6,col1a1.L,0.14033879272067354,30
2,kmeans,svm,6,stc1.L,-0.14025431268694588,31
2,kmeans,svm,6,gdf10.L,0.13845105574891567,32
2,kmeans,svm,6,rbp4.S,0.13668605502385767,33
2,kmeans,svm,6,loc100494984.L,0.1366069515975338,34
