time,method,model,cluster,gene,score,rank_in_cluster
2,kmeans,xgboost,6,epyc.S,0.17772209644317627,1
2,kmeans,xgboost,6,col9a1.L,0.08544333279132843,2
2,kmeans,xgboost,6,otos.L,0.07858549803495407,3
2,kmeans,xgboost,6,col2a1.L,0.06389228254556656,4
2,kmeans,xgboost,6,eln1.L,0.03783608600497246,5
2,kmeans,xgboost,6,sfrp2.S,0.03305455669760704,6
2,kmeans,xgboost,6,col9a3.L,0.03128790855407715,7
2,kmeans,xgboost,6,cpamd8.L,0.03050556406378746,8
2,kmeans,xgboost,6,ctgf.L,0.03017784096300602,9
2,kmeans,xgboost,6,lect1.L,0.029521338641643524,10
2,kmeans,xgboost,6,col3a1.S,0.027977487072348595,11
2,kmeans,xgboost,6,col1a2.L,0.02626941166818142,12
2,kmeans,xgboost,6,col11a2p1.S,0.024549247696995735,13
2,kmeans,xgboost,6,ppap2b.S,0.02228853665292263,14
2,kmeans,xgboost,6,col8a2.S,0.021102365106344223,15
2,kmeans,xgboost,6,ccnb1.2.L,0.02073611691594124,16
2,kmeans,xgboost,6,rspo2.L,0.020248806104063988,17
2,kmeans,xgboost,6,col1a1.L,0.02006225474178791,18
2,kmeans,xgboost,6,fn1.S,0.0200431477278471,19
2,kmeans,xgboost,6,unnamed.L.3,0.01733771152794361,20
2,kmeans,xgboost,6,ly6g6c.L,0.01588796079158783,21
2,kmeans,xgboost,6,fos.S,0.015446304343640804,22
2,kmeans,xgboost,6,col1a1.S,0.013305620290338993,23
2,kmeans,xgboost,6,Xelaev18040855m.g,0.012336930260062218,24
2,kmeans,xgboost,6,Xelaev18045052m.g,0.011365575715899467,25
2,kmeans,xgboost,6,nog.L,0.010750643908977509,26
2,kmeans,xgboost,6,bdnf.L,0.008283969014883041,27
2,kmeans,xgboost,6,prss35.S,0.006772086955606937,28
2,kmeans,xgboost,6,f2rl3.L,0.006688594352453947,29
2,kmeans,xgboost,6,loc100496911.L,0.00634783273562789,30
2,kmeans,xgboost,6,hhip.L,0.006095612421631813,31
2,kmeans,xgboost,6,Xelaev18011601m.g,0.005048432387411594,32
2,kmeans,xgboost,6,spon2.L,0.004378859885036945,33
2,kmeans,xgboost,6,htra1.L,0.004223480820655823,34
2,kmeans,xgboost,6,Xetrov90001378m.S,0.004192364402115345,35
2,kmeans,xgboost,6,Xelaev18025819m.g,0.004147822503000498,36
2,kmeans,xgboost,6,ebf3.S,0.004125514067709446,37
2,kmeans,xgboost,6,hapln1.L,0.0038881837390363216,38
2,kmeans,xgboost,6,hmcn1.L,0.003289648797363043,39
2,kmeans,xgboost,6,grn.L,0.0032622821163386106,40
2,kmeans,xgboost,6,lamb1.S,0.0028707159217447042,41
2,kmeans,xgboost,6,timp.1.S,0.002761982847005129,42
2,kmeans,xgboost,6,crispld2.S,0.002652606461197138,43
2,kmeans,xgboost,6,val,0.002127627143636346,44
2,kmeans,xgboost,6,epyc.L,0.0018441083375364542,45
2,kmeans,xgboost,6,col27a1.S,0.0017404170939698815,46
2,kmeans,xgboost,6,psap.S,0.0017303542699664831,47
2,kmeans,xgboost,6,vcan.L,0.0013571166200563312,48
2,kmeans,xgboost,6,itga4.L,0.0012742546387016773,49
2,kmeans,xgboost,6,itgbl1.S,0.001231249887496233,50
2,kmeans,xgboost,6,tuba4a.S,0.0011964330915361643,51
2,kmeans,xgboost,6,mmp8.L,0.0011276818113401532,52
2,kmeans,xgboost,6,clec11a.S,0.001068693003617227,53
2,kmeans,xgboost,6,col8a1.L,0.0009742488618940115,54
2,kmeans,xgboost,6,tgfb2.L,0.0008308233227580786,55
2,kmeans,xgboost,6,fkbp1b.L,0.0007667058380320668,56
2,kmeans,xgboost,6,foxc2.S,0.0006741754477843642,57
2,kmeans,xgboost,6,app.L,0.0006361751002259552,58
2,kmeans,xgboost,6,Xelaev18045096m.g,0.000571325421333313,59
2,kmeans,xgboost,6,ntn1.S,0.000491324404720217,60
2,kmeans,xgboost,6,has2.S,0.00045919150579720736,61
2,kmeans,xgboost,6,ctsb.S,0.0004186227743048221,62
2,kmeans,xgboost,6,MGC75752.L,0.00037978499312885106,63
2,kmeans,xgboost,6,ctsc.S,0.00037411326775327325,64
2,kmeans,xgboost,6,atp6v0b.S,0.00034967297688126564,65
2,kmeans,xgboost,6,Xelaev18001105m.g,0.00034187533310614526,66
2,kmeans,xgboost,6,tnfaip6.S,0.0003026478225365281,67
2,kmeans,xgboost,6,acta2.S,0.00029101769905537367,68
2,kmeans,xgboost,6,atp1b3.L,0.00026040064403787255,69
2,kmeans,xgboost,6,Xelaev18027940m.g,0.00021430700144264847,70
2,kmeans,xgboost,6,angptl7.L,0.00020099962421227247,71
2,kmeans,xgboost,6,kif21a.L,0.0,72
2,kmeans,xgboost,6,loc101732997.L,0.0,73
2,kmeans,xgboost,6,lyz.L,0.0,74
2,kmeans,xgboost,6,mgat4c.L,0.0,75
2,kmeans,xgboost,4,loc100494945.L,0.3943294882774353,1
2,kmeans,xgboost,4,atp12a.like.S,0.10719573497772217,2
2,kmeans,xgboost,4,atp6v0b.S,0.08140137046575546,3
2,kmeans,xgboost,4,krt16.L,0.07312577217817307,4
2,kmeans,xgboost,4,Xelaev18020203m.g,0.041779112070798874,5
2,kmeans,xgboost,4,loc100497729.L,0.037820104509592056,6
2,kmeans,xgboost,4,loc101735110.L,0.03748808056116104,7
2,kmeans,xgboost,4,sptssb.L,0.035427652299404144,8
2,kmeans,xgboost,4,tspan1.L,0.024086499586701393,9
2,kmeans,xgboost,4,krt16.S,0.017887001857161522,10
2,kmeans,xgboost,4,capn9.S,0.015805033966898918,11
2,kmeans,xgboost,4,tfcp2l1.L,0.012528710998594761,12
2,kmeans,xgboost,4,col1a2.L,0.012441273778676987,13
2,kmeans,xgboost,4,loc100494822.S,0.012020958587527275,14
2,kmeans,xgboost,4,itln1.L,0.00975178275257349,15
2,kmeans,xgboost,4,s100a11.S,0.009487085044384003,16
2,kmeans,xgboost,4,Xelaev18014807m.g,0.007919564843177795,17
2,kmeans,xgboost,4,Xelaev18035501m.g,0.00754504231736064,18
2,kmeans,xgboost,4,Xelaev18022549m.g,0.007257506251335144,19
2,kmeans,xgboost,4,grhl3.S,0.0060735298320651054,20
2,kmeans,xgboost,4,Xelaev18011516m.g,0.00604586023837328,21
2,kmeans,xgboost,4,psca.L,0.005993464961647987,22
2,kmeans,xgboost,4,rab19.L,0.005919249728322029,23
2,kmeans,xgboost,4,sult1e1.L,0.005830712616443634,24
2,kmeans,xgboost,4,muc4.S,0.005496919620782137,25
2,kmeans,xgboost,4,krt12.L,0.003606596030294895,26
2,kmeans,xgboost,4,sox3.S,0.0029804555233567953,27
2,kmeans,xgboost,4,Xelaev18035220m.g,0.0026364990044385195,28
2,kmeans,xgboost,4,Xelaev18034078m.g,0.002272497396916151,29
2,kmeans,xgboost,4,Xelaev18040854m.g,0.002211532322689891,30
2,kmeans,xgboost,4,Xelaev18013239m.g,0.0021555672865360975,31
2,kmeans,xgboost,4,Xelaev18013493m.g,0.0021406698506325483,32
2,kmeans,xgboost,4,slc37a2.S,0.0008584901806898415,33
2,kmeans,xgboost,4,gmds.L,0.00048021291149780154,34
2,kmeans,xgboost,4,cav1.L,0.0,35
2,kmeans,xgboost,4,mgat4c.L,0.0,36
2,kmeans,xgboost,4,myf5.L,0.0,37
2,kmeans,xgboost,4,lep.L,0.0,38
2,kmeans,xgboost,4,lta4h.L,0.0,39
2,kmeans,xgboost,4,adm2.L,0.0,40
2,kmeans,xgboost,4,txnrd1.L,0.0,41
2,kmeans,xgboost,4,odf3.L,0.0,42
2,kmeans,xgboost,4,cttn.like.1.L,0.0,43
2,kmeans,xgboost,4,Xelaev18017960m.g,0.0,44
2,kmeans,xgboost,4,crabp1.L,0.0,45
2,kmeans,xgboost,4,loc100496311.like.L,0.0,46
2,kmeans,xgboost,4,Xelaev18018009m.g,0.0,47
2,kmeans,xgboost,4,pah.L,0.0,48
2,kmeans,xgboost,4,sema7a.L,0.0,49
2,kmeans,xgboost,4,unnamed.L.3,0.0,50
2,kmeans,xgboost,4,rora.L,0.0,51
2,kmeans,xgboost,4,ascl1.L,0.0,52
2,kmeans,xgboost,4,rbpms2.L,0.0,53
2,kmeans,xgboost,4,ctsl.L,0.0,54
2,kmeans,xgboost,4,ctsh.L,0.0,55
2,kmeans,xgboost,4,stab2.L,0.0,56
2,kmeans,xgboost,4,loc100127794.L,0.0,57
2,kmeans,xgboost,4,ccr8.L,0.0,58
2,kmeans,xgboost,4,loc101732997.L,0.0,59
2,kmeans,xgboost,4,Xelaev18017743m.g,0.0,60
2,kmeans,xgboost,4,wnt2.L,0.0,61
2,kmeans,xgboost,4,cntn1.L,0.0,62
2,kmeans,xgboost,4,atp6ap1.1.L,0.0,63
2,kmeans,xgboost,4,pdzrn4.L,0.0,64
2,kmeans,xgboost,4,nell2.L,0.0,65
2,kmeans,xgboost,4,duox1.L,0.0,66
2,kmeans,xgboost,4,il17rel.L,0.0,67
2,kmeans,xgboost,4,slc38a4.L,0.0,68
2,kmeans,xgboost,4,kif21a.L,0.0,69
2,kmeans,xgboost,4,syt1.like.L,0.0,70
2,kmeans,xgboost,4,gata3.L,0.0,71
2,kmeans,xgboost,4,efcab10.like.L,0.0,72
2,kmeans,xgboost,4,reln.L,0.0,73
2,kmeans,xgboost,4,ptprr.L,0.0,74
