time,method,model,cluster,gene,score,rank_in_cluster
3,louvain,logreg,0,krt12.L,0.875572919845581,1
3,louvain,logreg,0,krt16.L,0.5253507494926453,2
3,louvain,logreg,0,krt16.S,0.4782261550426483,3
3,louvain,logreg,0,loc100494945.S,0.44502440094947815,4
3,louvain,logreg,0,Xelaev18045649m.g,0.4175894260406494,5
3,louvain,logreg,0,Xelaev18034081m.g,0.41713622212409973,6
3,louvain,logreg,0,krt12.S,0.38387131690979004,7
3,louvain,logreg,0,fos.S,0.3730841279029846,8
3,louvain,logreg,0,Xelaev18032450m.g,0.3352198302745819,9
3,louvain,logreg,0,Xelaev18040854m.g,0.31601786613464355,10
3,louvain,logreg,0,txn.L,0.3071531653404236,11
3,louvain,logreg,0,fos.L,0.282133549451828,12
3,louvain,logreg,0,ly6g6c.L,0.2806429862976074,13
3,louvain,logreg,0,msln.L,0.24935008585453033,14
3,louvain,logreg,0,krt5.7.S,0.24796243011951447,15
3,louvain,logreg,0,slitrk6.L,0.23359417915344238,16
3,louvain,logreg,0,loc100485898.like.L,0.23044352233409882,17
3,louvain,logreg,0,ier2.L,0.22724676132202148,18
3,louvain,logreg,0,loc100497338.like.L,0.21929603815078735,19
3,louvain,logreg,0,btg2.S,0.21726800501346588,20
3,louvain,logreg,0,cldn4.S,0.21505656838417053,21
3,louvain,logreg,0,rab27b.S,0.21493080258369446,22
3,louvain,logreg,0,c4orf32.L,0.2125302404165268,23
3,louvain,logreg,0,Xelaev18047430m.g,0.1973402053117752,24
3,louvain,logreg,0,kank1.L,0.19388270378112793,25
3,louvain,logreg,0,phldb3.S,0.18616946041584015,26
3,louvain,logreg,0,ifnlr1.L,0.1845325231552124,27
3,louvain,logreg,0,pck1.L,0.18132264912128448,28
3,louvain,logreg,0,nfkbia.S,0.17764677107334137,29
3,louvain,logreg,0,loc100492852.S,0.17701871693134308,30
3,louvain,logreg,0,loc100493503.like.S,0.17622758448123932,31
3,louvain,logreg,0,Xelaev18016451m.g,0.1712413877248764,32
3,louvain,logreg,0,loc100492496.L,0.1617162823677063,33
3,louvain,logreg,0,selenbp1.L,0.16159255802631378,34
3,louvain,logreg,0,loc100494822.L,0.153808131814003,35
3,louvain,logreg,0,atp13a.like.S,0.15277141332626343,36
3,louvain,logreg,0,lum.L,0.1517489105463028,37
3,louvain,logreg,0,gcm1.L,0.14956489205360413,38
3,louvain,logreg,0,loc100135371.L,0.14636573195457458,39
3,louvain,logreg,0,loc100485319.L,0.14486423134803772,40
3,louvain,logreg,0,Xetrov90018123m.S,0.13777059316635132,41
3,louvain,logreg,0,c5orf15.S,0.130401149392128,42
3,louvain,logreg,0,loc100049121.S,0.13037380576133728,43
3,louvain,logreg,0,cldn6.1.S,0.1299671083688736,44
3,louvain,logreg,0,fosl2.S,0.12943749129772186,45
3,louvain,logreg,0,txnrd3.L,0.1261177510023117,46
3,louvain,logreg,0,krt.S,0.12340301275253296,47
3,louvain,logreg,0,hes2.L,0.1232025995850563,48
3,louvain,logreg,0,cebpa.S,0.12205912172794342,49
3,louvain,logreg,0,Xelaev18036521m.g,0.12199147045612335,50
3,louvain,logreg,0,loc101730754.L,0.12173265963792801,51
3,louvain,logreg,0,Xelaev18011461m.g,0.11864600330591202,52
3,louvain,logreg,0,aldob.L,0.11827179044485092,53
3,louvain,logreg,0,leng9.L,0.11551187187433243,54
3,louvain,logreg,0,Xelaev18000158m.g,0.11547337472438812,55
