time,method,model,cluster,gene,score,rank_in_cluster
all,kmeans,svm,13,Xelaev18041402m.g,-1.4886747143769312,1
all,kmeans,svm,13,eln2.S,-1.359132049348687,2
all,kmeans,svm,13,ddc.L,-1.3577267456619055,3
all,kmeans,svm,13,slc26a2.2.L,1.3205482598675136,4
all,kmeans,svm,13,fndc1.S,-1.2553225022103287,5
all,kmeans,svm,13,rnf128.L,-1.1707981662032427,6
all,kmeans,svm,13,dkk1.L,-1.1565290861432136,7
all,kmeans,svm,13,Xelaev18013493m.g,-1.1365320358467998,8
all,kmeans,svm,13,msi1.S,-1.1305833448127371,9
all,kmeans,svm,13,adcyap1.L,1.1206390959391423,10
all,kmeans,svm,13,efemp2.L,1.1201052256227748,11
all,kmeans,svm,13,dlx5.S,-1.1069622762648912,12
all,kmeans,svm,13,loc100496565.S,-1.0493854384193222,13
all,kmeans,svm,13,mnx1.S,1.0323909244098353,14
all,kmeans,svm,13,ets2.L,1.0323713637983147,15
all,kmeans,svm,13,Xelaev18007508m.g,-1.0191652452259745,16
all,kmeans,svm,13,otos.L,1.0083597731161,17
all,kmeans,svm,13,rab11fip1.L,1.0072652101982897,18
all,kmeans,svm,13,cyba.L,1.0044839066130011,19
all,kmeans,svm,13,sncg.L,0.990539647937218,20
all,kmeans,svm,13,kif1b.like.L,-0.9869093287501054,21
all,kmeans,svm,13,cav1.S,-0.975795229598179,22
all,kmeans,svm,13,loc100497464.S,0.9732889113504564,23
all,kmeans,svm,13,rbp4.S,0.9665984069002571,24
all,kmeans,svm,13,hbg1.S,-0.9542357446256877,25
all,kmeans,svm,13,loc100495848.S,0.9472994331209676,26
all,kmeans,svm,13,tac1.S,-0.9385919343476848,27
all,kmeans,svm,13,c17orf58.L,-0.9381383670681825,28
all,kmeans,svm,13,Xelaev18040329m.g,0.9375046112421613,29
all,kmeans,svm,13,prss57.S,-0.9356382675840913,30
all,kmeans,svm,13,hbg2.L,-0.9336967877977109,31
all,kmeans,svm,13,col8a1.L,0.932436805804764,32
all,kmeans,svm,13,Xelaev18032232m.g,-0.9247800909111514,33
all,kmeans,svm,13,tst.S,-0.9220635630421868,34
all,kmeans,svm,13,arhgef40.L,0.9201991681991717,35
all,kmeans,svm,13,sfrp2.L,-0.8944357733636503,36
all,kmeans,svm,13,hes5_X1.L,-0.8781155022800422,37
all,kmeans,svm,13,Xelaev18010947m.g,-0.8756481187772699,38
all,kmeans,svm,13,loc100488697.L,0.8751122555784219,39
all,kmeans,svm,13,Xelaev18007945m.g,-0.8713649737291218,40
all,kmeans,svm,13,fabp7.L,-0.8694160214323691,41
all,kmeans,svm,13,ptx3.S,-0.864435935367341,42
all,kmeans,svm,13,myh1.3.1.L,-0.8568683025341548,43
all,kmeans,svm,13,Xelaev18041711m.g,0.8529852393983737,44
all,kmeans,svm,13,ascl1.L,-0.8439826464693698,45
all,kmeans,svm,13,Xelaev18002369m.g,-0.8389520352585489,46
all,kmeans,svm,13,bmp4.L,-0.8340388478038252,47
all,kmeans,svm,13,hes9.1.L,0.8315887985593142,48
all,kmeans,svm,13,loc101732585.L,0.8303082889852779,49
all,kmeans,svm,13,ptprb.L,-0.8291558630729187,50
all,kmeans,svm,13,chgb.S,-0.8254370864634195,51
all,kmeans,svm,13,nefl.S,0.824797986009346,52
all,kmeans,svm,13,npas4.L,-0.823290347893757,53
all,kmeans,svm,13,zc3h12a.L,-0.8213406735348414,54
all,kmeans,svm,13,Xelaev18039277m.g,-0.8192843476547522,55
all,kmeans,svm,13,stat1.S,-0.8190601452443881,56
all,kmeans,svm,13,clu.L,0.817230661770142,57
all,kmeans,svm,13,lamb3.S,-0.8116472771050224,58
all,kmeans,svm,13,Xelaev18001525m.g,0.8115856558998785,59
all,kmeans,svm,13,myo10.S,-0.8065196850961218,60
all,kmeans,svm,13,Xelaev18047462m.g,0.8054739563329628,61
all,kmeans,svm,13,hes9.1.S,0.8047853007029143,62
all,kmeans,svm,13,cck.S,0.7989276299373208,63
all,kmeans,svm,13,Xelaev18045222m.g,-0.7913364865011698,64
all,kmeans,svm,13,Xelaev18039168m.g,-0.7901829483760561,65
all,kmeans,svm,13,Xelaev18043128m.g,0.7898731179848993,66
all,kmeans,svm,13,hes5.2.S,0.7852699729785928,67
all,kmeans,svm,13,plvap.L,0.7846834980730275,68
all,kmeans,svm,13,laptm5.L,-0.7771743753817072,69
all,kmeans,svm,13,cotl1.L,0.7746582605666456,70
all,kmeans,svm,13,grhl3.S,-0.773273028268807,71
all,kmeans,svm,13,zfhx4.S,0.7725491588341933,72
all,kmeans,svm,13,vcan.L,0.7649373034301096,73
all,kmeans,svm,13,pygl.S,-0.7591821122989549,74
all,kmeans,svm,13,spon2.L,-0.7547336432239843,75
all,kmeans,svm,12,apoc1.like.L,0.26660673116134387,1
all,kmeans,svm,12,loc100487364.L,-0.16895134116510838,2
all,kmeans,svm,12,gcnt1.S,-0.15588238072661312,3
all,kmeans,svm,12,lgmn.L,0.15419726632734773,4
all,kmeans,svm,12,tspan36.L,0.1306528895762505,5
all,kmeans,svm,12,lta4h.L,-0.13040639335557713,6
all,kmeans,svm,12,trem2.S,0.12561917463788627,7
all,kmeans,svm,12,Xelaev18024665m.g,-0.12239147915298167,8
