time,method,model,cluster,gene,score,rank_in_cluster
all,leiden,svm,13,igsf10.L,1.440584931128777,1
all,leiden,svm,13,Xelaev18040454m.g,1.3496255678659574,2
all,leiden,svm,13,lcp1.S,-1.325429453526963,3
all,leiden,svm,13,adgrf2.S,1.1676981003811404,4
all,leiden,svm,13,tnni2.L,1.1590094926094887,5
all,leiden,svm,13,loc100490646.L,-1.1503905560015937,6
all,leiden,svm,13,Xelaev18044758m.g,-1.122811792319349,7
all,leiden,svm,13,susd1.S,1.1145919379150777,8
all,leiden,svm,13,klf5.S,1.1106996542838397,9
all,leiden,svm,13,loc100494786.S,-1.0986430928592523,10
all,leiden,svm,13,elavl4.L,-1.0813579234610917,11
all,leiden,svm,13,loc100497154.S,1.0738648441607217,12
all,leiden,svm,13,slc25a4.L,1.0538119125128893,13
all,leiden,svm,13,Xelaev18047610m.g,-1.0463650090287058,14
all,leiden,svm,13,psca.L,-1.0421550781782276,15
all,leiden,svm,13,pltp.S,-1.0268788250278789,16
all,leiden,svm,13,Xelaev18009011m.g,1.0222666739673765,17
all,leiden,svm,13,bcam.L,-1.0216505438095216,18
all,leiden,svm,13,krt18.S,-1.02157439316989,19
all,leiden,svm,13,tnfaip6.L,-1.0176044987780124,20
all,leiden,svm,13,phlda1.L,-1.0050136180666902,21
all,leiden,svm,13,gng10.L,-1.0042645439425015,22
all,leiden,svm,13,loc733459.S,-0.9807768624083916,23
all,leiden,svm,13,cxcl11.L,0.9748139021996326,24
all,leiden,svm,13,c1qtnf3.L,-0.974017909678917,25
all,leiden,svm,13,npnt.L,-0.969011672130497,26
all,leiden,svm,13,loc100170419.S,-0.9562911945858688,27
all,leiden,svm,13,sall4.L,-0.9551835283043233,28
all,leiden,svm,13,cntn1.S,0.9478795952883461,29
all,leiden,svm,13,syt4.S,-0.9477731364063763,30
all,leiden,svm,13,gas2.S,-0.9266511527871929,31
all,leiden,svm,13,got1.S,0.9266303518816605,32
all,leiden,svm,13,lect1.S,0.9253014932687826,33
all,leiden,svm,13,lcp1.L,-0.9152685337445072,34
all,leiden,svm,13,tmem72.L,-0.9097990732397305,35
all,leiden,svm,13,tpm2.S,0.902302254138515,36
all,leiden,svm,13,gamt.L,-0.9003185098297803,37
all,leiden,svm,13,Xelaev18025819m.g,0.8984638016448516,38
all,leiden,svm,13,nell2.L,0.8929223449779948,39
all,leiden,svm,13,enpp6.L,-0.8898178140652847,40
all,leiden,svm,13,loc100497390.S,0.8893592734312851,41
all,leiden,svm,13,nkx2.8.L,0.8716326735091251,42
all,leiden,svm,13,sh3bgr.L,-0.8567185301305431,43
all,leiden,svm,13,epgn.L,-0.8541641247382671,44
all,leiden,svm,13,gap43.S,-0.8247100224412703,45
all,leiden,svm,13,Xelaev18019546m.g,-0.8219178642794629,46
all,leiden,svm,13,Xelaev18008278m.g,-0.8127698548025885,47
all,leiden,svm,13,dlx5.L,-0.8125435472842731,48
all,leiden,svm,13,tnnt3.L,0.8112906489028211,49
all,leiden,svm,13,map1b.L,-0.8094340544878956,50
all,leiden,svm,13,npas4.L,-0.8038803986350797,51
all,leiden,svm,13,crhbp.S,0.7960722374880386,52
all,leiden,svm,13,rdh7.2.L,0.7960524367092153,53
all,leiden,svm,13,loc549413.S,-0.7931008445456776,54
all,leiden,svm,13,dkk1.L,-0.7922936577599405,55
all,leiden,svm,13,Xelaev18004547m.g,-0.7871115975171189,56
all,leiden,svm,13,c1qb.L,0.7848584537167076,57
all,leiden,svm,13,slc26a2.2.L,-0.7820787548140199,58
all,leiden,svm,13,uts2.S,0.7766622359915971,59
all,leiden,svm,13,rab6a.L,-0.7670009618306741,60
all,leiden,svm,13,coro1a.S,0.765118787747751,61
all,leiden,svm,13,loc100488932.S,-0.7625207504371371,62
all,leiden,svm,13,loc101732997.L,-0.7599405989175486,63
all,leiden,svm,13,esm1.S,-0.75967597734076,64
all,leiden,svm,13,bmp5.L,0.7566197429276008,65
all,leiden,svm,13,hes5_X1.L,-0.7563515086227603,66
all,leiden,svm,13,ccl34.S,-0.7560484228609947,67
all,leiden,svm,13,s100a1.S,0.7548525782236606,68
all,leiden,svm,13,eln1.L,-0.7501399558955847,69
all,leiden,svm,13,tek.S,-0.7495792146877824,70
all,leiden,svm,13,spib.S,0.7494058855118744,71
all,leiden,svm,13,slc22a7.L,-0.7491675111998215,72
all,leiden,svm,13,nefm.S,0.7447749243419236,73
all,leiden,svm,13,sncg.L,0.7446875602995088,74
all,leiden,svm,13,epb41l3.L,-0.7432495611285446,75
all,leiden,svm,9,crp.4.L,0.20001627857285628,1
all,leiden,svm,9,prss57.S,-0.17535610448977285,2
all,leiden,svm,9,prtn3.S,-0.143103692374179,3
all,leiden,svm,9,ptafr.L,0.13936475048148522,4
all,leiden,svm,9,lgmn.L,0.13539282315754667,5
all,leiden,svm,9,epx.L,-0.13439977718766197,6
all,leiden,svm,9,basp1.S,0.11152234082952388,7
all,leiden,svm,9,loc100493381.S,0.11144736774866155,8
all,leiden,svm,9,ggt1.L,-0.10844132431490079,9
all,leiden,svm,9,mmp9.S,-0.10125045202784072,10
all,leiden,svm,9,fermt3.L,0.10064774424674411,11
all,leiden,svm,9,Xelaev18024498m.g,-0.09481746066675148,12
all,leiden,svm,9,loc101733164.L,0.09025249084540747,13
all,leiden,svm,9,Xelaev18009504m.g,0.08968693281487475,14
all,leiden,svm,9,Xelaev18002241m.g,-0.08873071173877449,15
all,leiden,svm,9,loc100485744.L,0.08748181329975693,16
all,leiden,svm,9,ctsc.L,0.08742617974692886,17
all,leiden,svm,9,mmp25.L,-0.08631027375680585,18
all,leiden,svm,9,col1a2.L,-0.08601418970620658,19
all,leiden,svm,9,c1qtnf3.L,-0.08465678892660097,20
all,leiden,svm,9,top2a.L,-0.08465089608494707,21
all,leiden,svm,9,il2rg.L,-0.08343046646998918,22
all,leiden,svm,9,tspan36.L,0.08284773228596781,23
all,leiden,svm,9,Xelaev18036272m.g,0.0828284063934274,24
all,leiden,svm,9,il18rap.L,-0.08168241649626586,25
all,leiden,svm,9,hk2.L,-0.08077118546083141,26
all,leiden,svm,9,trem2.S,0.08020747063047996,27
all,leiden,svm,9,hvcn1.S,-0.07887941042382489,28
all,leiden,svm,9,Xelaev18036303m.g,-0.07873265766240574,29
all,leiden,svm,9,Xetrov90018123m.L,-0.07670352325414612,30
all,leiden,svm,9,rgs1.S,0.07461777785280692,31
all,leiden,svm,9,Xelaev18038244m.g,0.07399242491354922,32
all,leiden,svm,9,Xelaev18012028m.g,0.07376650093019524,33
all,leiden,svm,9,Xelaev18036534m.g,-0.07329242417361709,34
all,leiden,svm,9,loc100493999.like.S,-0.07327007741788219,35
all,leiden,svm,9,Xelaev18045307m.g,-0.07299835341149938,36
all,leiden,svm,9,serpinb6.L,0.07239191135605404,37
all,leiden,svm,9,irg1.L,-0.07134436458940241,38
all,leiden,svm,9,il1b.L,0.07102266933297835,39
all,leiden,svm,9,Xelaev18035512m.g,0.07017956496472615,40
all,leiden,svm,9,Xelaev18024665m.g,-0.06930559479505806,41
all,leiden,svm,9,tkt.S,-0.06923710453086236,42
all,leiden,svm,9,Xelaev18030549m.g,0.06901198810340384,43
all,leiden,svm,9,ncf1.L,-0.06766473613508864,44
all,leiden,svm,9,cxcr2.S,-0.06739943306964961,45
all,leiden,svm,9,apoc1.like.L,-0.06739388765167671,46
