time,method,model,cluster,gene,score,rank_in_cluster
all,leiden,xgboost,13,Xelaev18002241m.g,0.1153005063533783,1
all,leiden,xgboost,13,hbg2.L,0.05722010135650635,2
all,leiden,xgboost,13,Xelaev18047460m.g,0.051351383328437805,3
all,leiden,xgboost,13,col1a2.L,0.040571000427007675,4
all,leiden,xgboost,13,Xelaev18047453m.g,0.033174749463796616,5
all,leiden,xgboost,13,Xelaev18047462m.g,0.024477988481521606,6
all,leiden,xgboost,13,col1a1.L,0.02181900665163994,7
all,leiden,xgboost,13,ccl42d.L,0.02031596191227436,8
all,leiden,xgboost,13,Xelaev18022529m.g,0.020147133618593216,9
all,leiden,xgboost,13,Xelaev18032450m.g,0.02004142850637436,10
all,leiden,xgboost,13,MGC75752.S,0.018537985160946846,11
all,leiden,xgboost,13,ckm.L,0.01645241118967533,12
all,leiden,xgboost,13,Xelaev18045082m.g,0.015040318481624126,13
all,leiden,xgboost,13,loc100488751.S,0.014649003744125366,14
all,leiden,xgboost,13,atp6v1d.S,0.014338137581944466,15
all,leiden,xgboost,13,nmral1.S,0.013536212965846062,16
all,leiden,xgboost,13,ccl4.L,0.01230864878743887,17
all,leiden,xgboost,13,epgn.L,0.012031915597617626,18
all,leiden,xgboost,13,Xelaev18047608m.g,0.011499874293804169,19
all,leiden,xgboost,13,slurp1l.S,0.011102388612926006,20
all,leiden,xgboost,13,Xelaev18047452m.g,0.011061226017773151,21
all,leiden,xgboost,13,lum.S,0.010835220105946064,22
all,leiden,xgboost,13,ctsc.L,0.010591723024845123,23
all,leiden,xgboost,13,loc100485744.L,0.009712419472634792,24
all,leiden,xgboost,13,pgd.L,0.009256575256586075,25
all,leiden,xgboost,13,txn.L,0.008981863968074322,26
all,leiden,xgboost,13,lyar.L,0.008682901971042156,27
all,leiden,xgboost,13,krt5.7.S,0.008196365088224411,28
all,leiden,xgboost,13,Xetrov90018212m.S,0.007923313416540623,29
all,leiden,xgboost,13,Xelaev18044446m.g,0.007607304025441408,30
all,leiden,xgboost,13,Xelaev18014009m.g,0.007428872399032116,31
all,leiden,xgboost,13,pcp4.S,0.007424232084304094,32
all,leiden,xgboost,13,ca2.L,0.007225288078188896,33
all,leiden,xgboost,13,lum.L,0.007130046375095844,34
all,leiden,xgboost,13,col1a1.S,0.00712683517485857,35
all,leiden,xgboost,13,psap.S,0.00710284011438489,36
all,leiden,xgboost,13,apoc1.like.L,0.007038446608930826,37
all,leiden,xgboost,13,loc100170419.S,0.007019511424005032,38
all,leiden,xgboost,13,Xelaev18001105m.g,0.006970714777708054,39
all,leiden,xgboost,13,loc100494945.L,0.006937322206795216,40
all,leiden,xgboost,13,Xelaev18037639m.g,0.006926822941750288,41
all,leiden,xgboost,13,Xelaev18045100m.g,0.006783441640436649,42
all,leiden,xgboost,13,hmox1.S,0.006771674379706383,43
all,leiden,xgboost,13,dpepe.L,0.006550353020429611,44
all,leiden,xgboost,13,atp12a.like.S,0.006430459208786488,45
all,leiden,xgboost,13,tac1.L,0.006337674334645271,46
all,leiden,xgboost,13,tcn2.L,0.006337079685181379,47
all,leiden,xgboost,13,msx2.S,0.006318085361272097,48
all,leiden,xgboost,13,MGC75752.L,0.006167361047118902,49
all,leiden,xgboost,13,fip1l1.L,0.005977331195026636,50
all,leiden,xgboost,13,loc100487364.L,0.005940920207649469,51
all,leiden,xgboost,13,Xelaev18045649m.g,0.00580648984760046,52
all,leiden,xgboost,13,Xelaev18022531m.g,0.005728492513298988,53
all,leiden,xgboost,13,atp6v1h.L,0.005623677279800177,54
all,leiden,xgboost,13,Xelaev18027311m.g,0.005541098769754171,55
all,leiden,xgboost,13,krt12.S,0.005535766016691923,56
all,leiden,xgboost,13,Xelaev18032295m.g,0.005515235010534525,57
all,leiden,xgboost,13,Xelaev18003734m.g,0.005425795912742615,58
all,leiden,xgboost,13,col2a1.L,0.00538654113188386,59
all,leiden,xgboost,13,Xelaev18034081m.g,0.005331191699951887,60
all,leiden,xgboost,13,Xelaev18000342m.g,0.005179728381335735,61
all,leiden,xgboost,13,elavl4.L,0.005166562274098396,62
all,leiden,xgboost,13,bcam.L,0.005153880920261145,63
all,leiden,xgboost,13,tnnt3.S,0.004898634739220142,64
all,leiden,xgboost,13,Xelaev18040854m.g,0.004817519802600145,65
all,leiden,xgboost,13,hba1.S,0.0047958018258214,66
all,leiden,xgboost,13,col9a3.L,0.0047265696339309216,67
all,leiden,xgboost,13,loc101731250.L,0.004718957003206015,68
all,leiden,xgboost,13,act3.L,0.004715566523373127,69
all,leiden,xgboost,13,fos.S,0.0046354071237146854,70
all,leiden,xgboost,13,gp1bb.S,0.004446825478225946,71
all,leiden,xgboost,13,loc101735282.L,0.004203273449093103,72
all,leiden,xgboost,13,ptx3.L,0.004133014008402824,73
all,leiden,xgboost,13,lcp1.S,0.003907906822860241,74
all,leiden,xgboost,13,loc100494945.S,0.003815822536125779,75
all,leiden,xgboost,9,crp.4.L,0.6328369379043579,1
all,leiden,xgboost,9,prss57.S,0.051573872566223145,2
all,leiden,xgboost,9,loc100496720.L,0.039871782064437866,3
all,leiden,xgboost,9,ggt1.L,0.036021504551172256,4
all,leiden,xgboost,9,unnamed.L.13,0.02536531537771225,5
all,leiden,xgboost,9,krt12.S,0.02529645524919033,6
all,leiden,xgboost,9,trem2.S,0.02066427655518055,7
all,leiden,xgboost,9,basp1.S,0.009419544599950314,8
all,leiden,xgboost,9,epx.L,0.009236689656972885,9
all,leiden,xgboost,9,dpepe.L,0.008646011352539062,10
all,leiden,xgboost,9,mpo.L,0.008138966746628284,11
all,leiden,xgboost,9,tmem35.L,0.007918191142380238,12
all,leiden,xgboost,9,cndp2.S,0.00769671518355608,13
all,leiden,xgboost,9,cxcr2.S,0.006050745490938425,14
all,leiden,xgboost,9,loc100486192.L,0.005872190464287996,15
all,leiden,xgboost,9,lgmn.L,0.005808139219880104,16
all,leiden,xgboost,9,plac9.S,0.005463963374495506,17
all,leiden,xgboost,9,loc398476.S,0.005347667261958122,18
all,leiden,xgboost,9,slurp1l.S,0.0053068725392222404,19
all,leiden,xgboost,9,loc100127564.L,0.005262276157736778,20
all,leiden,xgboost,9,gpi.L,0.005235015880316496,21
all,leiden,xgboost,9,Xelaev18018927m.g,0.005086951889097691,22
all,leiden,xgboost,9,c1qa.L,0.004570852965116501,23
all,leiden,xgboost,9,tkt.S,0.004429001361131668,24
all,leiden,xgboost,9,Xetrov90018123m.L,0.004400691948831081,25
all,leiden,xgboost,9,Xelaev18038244m.g,0.00399308605119586,26
all,leiden,xgboost,9,vat1.L,0.0038567634765058756,27
all,leiden,xgboost,9,loc100493381.S,0.0037526499945670366,28
all,leiden,xgboost,9,loc100493999.like.S,0.00374812469817698,29
all,leiden,xgboost,9,c1qb.L,0.003260003635659814,30
all,leiden,xgboost,9,mmp9.S,0.0032335056457668543,31
all,leiden,xgboost,9,ctsc.L,0.0030641104094684124,32
all,leiden,xgboost,9,fermt3.L,0.0029205302707850933,33
all,leiden,xgboost,9,MGC108117.L,0.002892754040658474,34
all,leiden,xgboost,9,il1b.S,0.002529734978452325,35
all,leiden,xgboost,9,tspan36.L,0.0024131047539412975,36
all,leiden,xgboost,9,slc7a7.L,0.0020785329397767782,37
all,leiden,xgboost,9,dstn.S,0.002064268570393324,38
all,leiden,xgboost,9,Xelaev18038149m.g,0.0019116452895104885,39
all,leiden,xgboost,9,zswim4.L,0.00167200923897326,40
all,leiden,xgboost,9,loc101731250.L,0.0015697996132075787,41
all,leiden,xgboost,9,rgs1.S,0.0012864265590906143,42
all,leiden,xgboost,9,ctgf.L,0.001070933765731752,43
all,leiden,xgboost,9,Xelaev18001042m.g,0.0010212701745331287,44
all,leiden,xgboost,9,Xelaev18012028m.g,0.0006572200800292194,45
all,leiden,xgboost,9,ptpn6.L,0.0006499477312900126,46
all,leiden,xgboost,9,loc100049121.S,0.000634935509879142,47
all,leiden,xgboost,9,psap.S,0.0006222655647434294,48
all,leiden,xgboost,9,Xelaev18036303m.g,0.0006086053908802569,49
all,leiden,xgboost,9,loc100497154.S,0.0005759922787547112,50
all,leiden,xgboost,9,Xetrov90002578m.L,0.0005027359584346414,51
all,leiden,xgboost,9,unnamed.S.7,0.0003759957617148757,52
all,leiden,xgboost,9,rassf2.L,0.0003052714164368808,53
all,leiden,xgboost,9,prss57.L,0.00026002959930337965,54
all,leiden,xgboost,9,MGC75752.S,0.00025572945014573634,55
all,leiden,xgboost,9,fabp3.S,0.00019903513020835817,56
all,leiden,xgboost,9,cttn.like.1.L,0.00018232686852570623,57
all,leiden,xgboost,9,il18rap.L,0.00016203020641114563,58
all,leiden,xgboost,9,loc100495760.L,0.00014796006144024432,59
all,leiden,xgboost,9,neurl3.L,0.0,60
all,leiden,xgboost,9,Xelaev18018612m.g,0.0,61
all,leiden,xgboost,9,il1b.L,0.0,62
all,leiden,xgboost,9,rab11fip1.L,0.0,63
all,leiden,xgboost,9,pgam2.L,0.0,64
all,leiden,xgboost,9,aebp1.L,0.0,65
all,leiden,xgboost,9,nif.L,0.0,66
all,leiden,xgboost,9,eln2.S,0.0,67
all,leiden,xgboost,9,fah.L,0.0,68
all,leiden,xgboost,9,uaca.L,0.0,69
all,leiden,xgboost,9,slc28a2.L,0.0,70
all,leiden,xgboost,9,crabp1.L,0.0,71
all,leiden,xgboost,9,Xelaev18018009m.g,0.0,72
all,leiden,xgboost,9,loxl1.L,0.0,73
all,leiden,xgboost,9,sema7a.L,0.0,74
all,leiden,xgboost,9,rora.L,0.0,75
all,leiden,xgboost,19,Xelaev18040968m.g,0.8059461116790771,1
all,leiden,xgboost,19,atp6v1g3.L,0.09137564897537231,2
all,leiden,xgboost,19,atp6v0a4.L,0.06830800324678421,3
all,leiden,xgboost,19,atp6v1c2.L,0.009768516756594181,4
all,leiden,xgboost,19,atp6ap1.1.S,0.006698119919747114,5
all,leiden,xgboost,19,atp6v1h.L,0.006478805094957352,6
all,leiden,xgboost,19,atp6v1g3.S,0.00551757775247097,7
all,leiden,xgboost,19,atp6v1d.S,0.0028988211415708065,8
all,leiden,xgboost,19,foxi1.L,0.0021680507343262434,9
all,leiden,xgboost,19,foxi1.S,0.0007812719559296966,10
all,leiden,xgboost,19,cystm1.L,5.9037723985966295e-05,11
