time,method,model,cluster,gene,score,rank_in_cluster
all,louvain,logreg,0,Xelaev18012141m.g,1.000601053237915,1
all,louvain,logreg,0,Xelaev18015037m.g,0.9008103013038635,2
all,louvain,logreg,0,umod.2.L,0.7630885243415833,3
all,louvain,logreg,0,Xetrov90018123m.L,0.6930645704269409,4
all,louvain,logreg,0,Xetrov90018123m.S,0.5761187672615051,5
all,louvain,logreg,0,Xelaev18012120m.g,0.49323445558547974,6
all,louvain,logreg,0,Xelaev18032610m.g,0.40151065587997437,7
all,louvain,logreg,0,krt5.7.S,0.3925483822822571,8
all,louvain,logreg,0,loc100494945.S,0.370096355676651,9
all,louvain,logreg,0,Xelaev18045649m.g,0.3661273419857025,10
all,louvain,logreg,0,ly6g6c.L,0.3520336449146271,11
all,louvain,logreg,0,Xelaev18034929m.g,0.3511015474796295,12
all,louvain,logreg,0,fos.S,0.33178722858428955,13
all,louvain,logreg,0,Xelaev18014965m.g,0.331113338470459,14
all,louvain,logreg,0,stap2.like.S,0.32724058628082275,15
all,louvain,logreg,0,slco2b1.S,0.3221375048160553,16
all,louvain,logreg,0,Xelaev18034078m.g,0.31832051277160645,17
all,louvain,logreg,0,loc100486088.L,0.3173947334289551,18
all,louvain,logreg,0,Xelaev18022082m.g,0.30887454748153687,19
all,louvain,logreg,0,spink2.L,0.2760384976863861,20
all,louvain,logreg,0,Xelaev18003734m.g,0.27306675910949707,21
all,louvain,logreg,0,loc100490489.L,0.2693881690502167,22
all,louvain,logreg,0,muc1.S,0.2640560269355774,23
all,louvain,logreg,0,loc101735110.S,0.2636004090309143,24
all,louvain,logreg,0,txn.L,0.25735753774642944,25
all,louvain,logreg,0,Xelaev18040854m.g,0.2570491135120392,26
all,louvain,logreg,0,epgn.S,0.2535151243209839,27
all,louvain,logreg,0,Xelaev18016451m.g,0.24583441019058228,28
all,louvain,logreg,0,snx31.S,0.24240438640117645,29
all,louvain,logreg,0,Xelaev18001105m.g,0.24137870967388153,30
all,louvain,logreg,0,scnn1b.S,0.23600077629089355,31
all,louvain,logreg,0,Xelaev18013493m.g,0.23494940996170044,32
all,louvain,logreg,0,ch25h.L,0.23451291024684906,33
all,louvain,logreg,0,psca.L,0.23178331553936005,34
all,louvain,logreg,0,syt8.L,0.22645562887191772,35
all,louvain,logreg,0,Xelaev18013239m.g,0.22204576432704926,36
all,louvain,logreg,0,Xelaev18010901m.g,0.2196539342403412,37
all,louvain,logreg,0,Xelaev18045222m.g,0.2170252501964569,38
all,louvain,logreg,0,Xelaev18036521m.g,0.21411794424057007,39
all,louvain,logreg,0,areg.S,0.21297968924045563,40
all,louvain,logreg,0,aldh1a1.S,0.21182973682880402,41
all,louvain,logreg,0,tspan1.L,0.2115679234266281,42
all,louvain,logreg,0,Xelaev18015036m.g,0.20965658128261566,43
all,louvain,logreg,0,Xelaev18027466m.g,0.208577498793602,44
all,louvain,logreg,0,loc100487364.L,0.20268592238426208,45
all,louvain,logreg,0,Xelaev18041411m.g,0.2024257779121399,46
all,louvain,logreg,0,Xelaev18038699m.g,0.1995445191860199,47
all,louvain,logreg,0,Xelaev18027962m.g,0.1977892518043518,48
all,louvain,logreg,0,col1a1.S,0.1972009241580963,49
all,louvain,logreg,0,loc549858.L,0.19613057374954224,50
all,louvain,logreg,0,Xelaev18038036m.g,0.19538530707359314,51
all,louvain,logreg,0,fgfbp1.S,0.19498226046562195,52
all,louvain,logreg,0,fos.L,0.19200219213962555,53
all,louvain,logreg,0,loc100490157.L,0.1892860233783722,54
all,louvain,logreg,0,upk3b.L,0.18756671249866486,55
all,louvain,logreg,0,ube2c.L,0.18672645092010498,56
all,louvain,logreg,0,prss8,0.18186436593532562,57
all,louvain,logreg,0,ctss.S,0.18178242444992065,58
all,louvain,logreg,0,ch25h.S,0.17840851843357086,59
all,louvain,logreg,0,loc101733516.like.L,0.17805670201778412,60
all,louvain,logreg,0,clic3.S,0.17653681337833405,61
all,louvain,logreg,0,vgll1.S,0.17630797624588013,62
all,louvain,logreg,0,zfand2a.L,0.17251336574554443,63
all,louvain,logreg,0,atp6ap1.1.S,0.17055848240852356,64
all,louvain,logreg,0,ccl20a.L,0.1680261194705963,65
all,louvain,logreg,0,itln1.S,0.1670219451189041,66
all,louvain,logreg,0,loc101735282.L,0.16564679145812988,67
all,louvain,logreg,0,noxo1.1.L,0.1597055345773697,68
all,louvain,logreg,0,krt16.L,0.15822650492191315,69
all,louvain,logreg,0,rhobtb1.S,0.15394584834575653,70
all,louvain,logreg,0,Xelaev18022490m.g,0.15112341940402985,71
all,louvain,logreg,0,rhcg.L,0.14998216927051544,72
all,louvain,logreg,0,hbg2.L,0.1491343379020691,73
all,louvain,logreg,0,rhpn2.L,0.14697757363319397,74
all,louvain,logreg,0,Xelaev18018612m.g,0.14176014065742493,75
all,louvain,logreg,1,hbg2.L,2.4959163665771484,1
all,louvain,logreg,1,Xelaev18002241m.g,1.149062156677246,2
all,louvain,logreg,1,des.1.S,0.8786145448684692,3
all,louvain,logreg,1,tubb3.S,0.8144917488098145,4
all,louvain,logreg,1,smad4.1.S,0.7837806344032288,5
all,louvain,logreg,1,ckm.L,0.7316581010818481,6
all,louvain,logreg,1,ca2.L,0.7228935956954956,7
all,louvain,logreg,1,c8orf4.S,0.6985927820205688,8
all,louvain,logreg,1,Xelaev18047608m.g,0.6902520656585693,9
all,louvain,logreg,1,stmn3.L,0.6653838157653809,10
all,louvain,logreg,1,tac1.S,0.6453100442886353,11
all,louvain,logreg,1,camk1.L,0.6326465606689453,12
all,louvain,logreg,1,cystm1.S,0.6123386025428772,13
all,louvain,logreg,1,c3.L,0.6086821556091309,14
all,louvain,logreg,1,col9a1.L,0.6073432564735413,15
all,louvain,logreg,1,Xelaev18024665m.g,0.5918147563934326,16
all,louvain,logreg,1,rgs1.S,0.5774354934692383,17
all,louvain,logreg,1,lgmn.L,0.5541892051696777,18
all,louvain,logreg,1,fbn2.S,0.5479096174240112,19
all,louvain,logreg,1,Xelaev18044446m.g,0.5452541708946228,20
all,louvain,logreg,1,rhobtb1.S,0.5427623987197876,21
all,louvain,logreg,1,Xelaev18034626m.g,0.5226816534996033,22
all,louvain,logreg,1,Xelaev18045303m.g,0.5170819163322449,23
all,louvain,logreg,1,hes6.1.S,0.5122305154800415,24
all,louvain,logreg,1,fip1l1.L,0.5082763433456421,25
all,louvain,logreg,1,loc100490489.S,0.5045716762542725,26
all,louvain,logreg,1,cndp2.S,0.49564507603645325,27
all,louvain,logreg,1,Xelaev18014011m.g,0.49188700318336487,28
all,louvain,logreg,1,cxcl12.L,0.4713875353336334,29
all,louvain,logreg,1,MGC75752.S,0.4645935893058777,30
all,louvain,logreg,1,ca2.S,0.4593602120876312,31
all,louvain,logreg,1,gap43.L,0.45617374777793884,32
all,louvain,logreg,1,aldob.S,0.4483925402164459,33
all,louvain,logreg,1,ccl5.S,0.443808913230896,34
all,louvain,logreg,1,gamt.L,0.4338907301425934,35
all,louvain,logreg,1,Xetrov90029035m.L,0.4198973774909973,36
all,louvain,logreg,1,hk1.L,0.4081251621246338,37
all,louvain,logreg,1,loc100170419.S,0.40686360001564026,38
all,louvain,logreg,1,adamts1.S,0.40669211745262146,39
all,louvain,logreg,1,atp6v0d2.L,0.40159931778907776,40
all,louvain,logreg,1,slc10a4.L,0.4013530910015106,41
all,louvain,logreg,1,Xelaev18013493m.g,0.3997010886669159,42
all,louvain,logreg,1,chgb.S,0.3930850923061371,43
all,louvain,logreg,1,atp6v1g2.L,0.38956186175346375,44
all,louvain,logreg,1,rarres1.L,0.38779976963996887,45
all,louvain,logreg,1,pdgfra.L,0.3874320685863495,46
all,louvain,logreg,1,cadm3.L,0.385994017124176,47
all,louvain,logreg,1,Xelaev18036514m.g,0.3856033980846405,48
all,louvain,logreg,1,tmem38a.S,0.38515833020210266,49
all,louvain,logreg,1,Xelaev18037480m.g,0.3791166841983795,50
all,louvain,logreg,1,loc100494515.like.S,0.3676278293132782,51
all,louvain,logreg,1,ptx3.S,0.36634695529937744,52
all,louvain,logreg,1,vwa2.S,0.3661879301071167,53
all,louvain,logreg,1,pygm.L,0.3605245053768158,54
all,louvain,logreg,1,c11orf87.L,0.3561767637729645,55
all,louvain,logreg,1,dpp6.S,0.3480544686317444,56
all,louvain,logreg,1,c2orf50.L,0.3471607267856598,57
all,louvain,logreg,1,cldn6.2.S,0.34477880597114563,58
all,louvain,logreg,1,ywhag.L,0.3441678285598755,59
all,louvain,logreg,1,lmx1b.1.L,0.3375929594039917,60
all,louvain,logreg,1,stmn4.S,0.33235400915145874,61
all,louvain,logreg,1,Xelaev18012028m.g,0.33231332898139954,62
all,louvain,logreg,1,loc100490587.S,0.32808759808540344,63
all,louvain,logreg,1,gzmh.S,0.3274047374725342,64
all,louvain,logreg,1,col11a2p1.S,0.3270367681980133,65
all,louvain,logreg,1,Xelaev18027940m.g,0.32593733072280884,66
all,louvain,logreg,1,xcl1.S,0.3253532946109772,67
all,louvain,logreg,1,Xelaev18003297m.g,0.32518938183784485,68
all,louvain,logreg,1,gpi.L,0.3233471214771271,69
all,louvain,logreg,1,ctss.S,0.3223669230937958,70
all,louvain,logreg,1,bcam.L,0.3186067044734955,71
all,louvain,logreg,1,socs1.L,0.3183816373348236,72
all,louvain,logreg,1,loc100486241.L,0.31540223956108093,73
all,louvain,logreg,1,slc7a7.L,0.3128471374511719,74
all,louvain,logreg,1,casq1.S,0.31259259581565857,75
all,louvain,logreg,2,napsa.L,0.8828953504562378,1
all,louvain,logreg,2,Xelaev18002241m.g,0.8667306900024414,2
all,louvain,logreg,2,MGC75752.S,0.7926996946334839,3
all,louvain,logreg,2,Xelaev18022529m.g,0.6992797255516052,4
all,louvain,logreg,2,ca2.L,0.6436053514480591,5
all,louvain,logreg,2,loc100497338.like.L,0.6274152994155884,6
all,louvain,logreg,2,ppp1r15a.L,0.6110279560089111,7
all,louvain,logreg,2,pgd.L,0.608877956867218,8
all,louvain,logreg,2,mgst3.L,0.5963578224182129,9
all,louvain,logreg,2,cldn6.2.S,0.5935585498809814,10
