time,method,model,cluster,gene,score,rank_in_cluster
all,louvain,svm,2,vip.L,-1.443966632830146,1
all,louvain,svm,2,lcp1.L,-1.3365536198621863,2
all,louvain,svm,2,gata3.S,1.3025427646884742,3
all,louvain,svm,2,igsf10.L,1.2229855571129875,4
all,louvain,svm,2,bmp4.L,-1.2046484589512942,5
all,louvain,svm,2,MGC86492.S,-1.2022407493042402,6
all,louvain,svm,2,rhpn2.L,1.163656240474156,7
all,louvain,svm,2,hes5_X1.L,-1.1621728822197954,8
all,louvain,svm,2,lgals2.L,-1.155912986767886,9
all,louvain,svm,2,anos1.L,1.1261093223280878,10
all,louvain,svm,2,dner.S,-1.1180762995728366,11
all,louvain,svm,2,slc7a7.L,1.1134624712306864,12
all,louvain,svm,2,thtpa.S,1.106910746752688,13
all,louvain,svm,2,prima1.like.S,-1.1067378631763551,14
all,louvain,svm,2,uts2.S,1.0998858380170597,15
all,louvain,svm,2,c1qtnf3.L,-1.095243050453104,16
all,louvain,svm,2,stmn3.S,1.086842711571545,17
all,louvain,svm,2,Xelaev18021482m.g,-1.085705775832986,18
all,louvain,svm,2,mia.L,-1.080328707211841,19
all,louvain,svm,2,hvcn1.S,-1.0557435215171918,20
all,louvain,svm,2,pltp.S,-1.0410977137590738,21
all,louvain,svm,2,vgll1.S,1.0376095593428156,22
all,louvain,svm,2,degs3.S,1.036975602249562,23
all,louvain,svm,2,prss57.S,-1.0293947896313318,24
all,louvain,svm,2,sncg.S,-1.0283994483284051,25
all,louvain,svm,2,Xelaev18009011m.g,1.0121489578258438,26
all,louvain,svm,2,loc101732997.L,-1.0066925584660213,27
all,louvain,svm,2,prima1.like.L,-1.0058630756437197,28
all,louvain,svm,2,il1b.L,0.9995733982615856,29
all,louvain,svm,2,loc100489067.L,-0.9754866265136095,30
all,louvain,svm,2,tusc3.L,-0.9673147921857275,31
all,louvain,svm,2,syt8.L,-0.964786864090072,32
all,louvain,svm,2,napsa.L,0.9597749541883603,33
all,louvain,svm,2,basp1.S,-0.9559503383647037,34
all,louvain,svm,2,cntn1.S,0.9541941133645375,35
all,louvain,svm,2,dpt.S,-0.9530062043175664,36
all,louvain,svm,2,tie1.L,0.9525176140851567,37
all,louvain,svm,2,adgrf2.S,0.9510053758230321,38
