time,method,model,cluster,marker_count
0,leiden,logreg,0,75
0,leiden,logreg,8,75
0,leiden,logreg,9,75
0,leiden,logreg,16,75
0,leiden,logreg,24,75
0,leiden,logreg,25,75
0,leiden,logreg,28,75
0,leiden,logreg,30,75
0,leiden,logreg,31,75
0,leiden,logreg,33,75
0,leiden,logreg,35,75
0,leiden,logreg,36,75
0,leiden,logreg,38,75
0,leiden,logreg,40,75
0,leiden,logreg,42,75
0,leiden,logreg,43,75
0,leiden,xgboost,0,75
0,leiden,xgboost,1,75
0,leiden,xgboost,2,75
0,leiden,xgboost,3,75
0,leiden,xgboost,4,75
0,leiden,xgboost,5,75
0,leiden,xgboost,7,75
0,leiden,xgboost,8,75
0,leiden,xgboost,10,75
0,leiden,xgboost,11,75
0,leiden,xgboost,12,75
0,leiden,xgboost,13,75
0,leiden,xgboost,15,75
0,leiden,xgboost,16,75
0,leiden,xgboost,17,75
0,leiden,xgboost,25,75
0,leiden,xgboost,27,75
0,leiden,xgboost,29,75
0,leiden,xgboost,40,75
0,leiden,svm,0,75
0,leiden,svm,2,75
0,leiden,svm,5,75
0,leiden,svm,8,75
0,leiden,svm,9,75
0,leiden,svm,11,75
0,leiden,svm,16,75
0,leiden,svm,18,75
0,leiden,svm,19,75
0,leiden,svm,20,75
0,leiden,svm,21,75
0,leiden,svm,22,75
0,leiden,svm,24,75
0,leiden,svm,25,75
0,leiden,svm,26,75
0,leiden,svm,27,75
0,leiden,svm,28,75
0,leiden,svm,29,75
0,leiden,svm,30,75
0,leiden,svm,31,75
0,leiden,svm,33,75
0,leiden,svm,34,75
0,leiden,svm,35,75
0,leiden,svm,38,75
0,leiden,svm,39,75
0,leiden,svm,40,75
0,leiden,svm,41,75
0,leiden,svm,42,75
0,leiden,svm,43,75
0,louvain,logreg,0,75
0,louvain,logreg,1,75
0,louvain,logreg,4,75
0,louvain,logreg,9,75
0,louvain,logreg,10,75
0,louvain,logreg,17,75
0,louvain,logreg,19,75
0,louvain,logreg,24,75
0,louvain,logreg,26,75
0,louvain,logreg,29,75
0,louvain,logreg,31,75
0,louvain,logreg,33,75
0,louvain,logreg,34,75
0,louvain,logreg,35,75
0,louvain,logreg,38,75
0,louvain,logreg,39,75
0,louvain,logreg,41,75
0,louvain,logreg,42,75
0,louvain,logreg,45,75
0,louvain,logreg,46,75
0,louvain,xgboost,0,75
0,louvain,xgboost,1,75
0,louvain,xgboost,2,75
0,louvain,xgboost,3,75
0,louvain,xgboost,6,75
0,louvain,xgboost,7,75
0,louvain,xgboost,8,75
0,louvain,xgboost,9,75
0,louvain,xgboost,10,75
0,louvain,xgboost,12,75
0,louvain,xgboost,13,75
0,louvain,xgboost,14,75
0,louvain,xgboost,17,75
0,louvain,xgboost,18,75
0,louvain,xgboost,19,75
0,louvain,xgboost,22,75
0,louvain,xgboost,24,75
0,louvain,xgboost,28,75
0,louvain,xgboost,34,75
