time,method,model,cluster,gene,score,rank_in_cluster
0,kmeans,xgboost,1,stmn2.L,0.6443316340446472,1
0,kmeans,xgboost,1,sncb.L,0.1936163604259491,2
0,kmeans,xgboost,1,map1b.L,0.027067627757787704,3
0,kmeans,xgboost,1,stmn2.S,0.02238272875547409,4
0,kmeans,xgboost,1,nell2.S,0.01867590844631195,5
0,kmeans,xgboost,1,tubb3.S,0.014942902140319347,6
0,kmeans,xgboost,1,elavl4.L,0.0135505897924304,7
0,kmeans,xgboost,1,atp1b3.S,0.010110520757734776,8
0,kmeans,xgboost,1,map1b.S,0.007618901319801807,9
0,kmeans,xgboost,1,sncb.S,0.005879643838852644,10
0,kmeans,xgboost,1,scg5.S,0.004835774656385183,11
0,kmeans,xgboost,1,gng3.L,0.003998589236289263,12
0,kmeans,xgboost,1,snap25.L,0.003784313565120101,13
0,kmeans,xgboost,1,gng3.S,0.003540630219504237,14
0,kmeans,xgboost,1,map1a.L,0.0034115975722670555,15
0,kmeans,xgboost,1,atp1a3.L,0.0028259630780667067,16
0,kmeans,xgboost,1,nif.L,0.0025329184718430042,17
0,kmeans,xgboost,1,atp6v0e2.S,0.0023298992309719324,18
0,kmeans,xgboost,1,col5a3.like.L,0.001679801382124424,19
0,kmeans,xgboost,1,cplx1.S,0.0016686971066519618,20
0,kmeans,xgboost,1,vim.L,0.0016183748375624418,21
0,kmeans,xgboost,1,aldoc.L,0.0011352025903761387,22
0,kmeans,xgboost,1,atp1b3.L,0.0011236144928261638,23
0,kmeans,xgboost,1,nell2.L,0.0011178667191416025,24
0,kmeans,xgboost,1,tmem100.L,0.0010763558093458414,25
0,kmeans,xgboost,1,nsg1.L,0.0010565700940787792,26
0,kmeans,xgboost,1,rtbdn.L,0.0009786272421479225,27
0,kmeans,xgboost,1,kif5a.S,0.0009149537072516978,28
0,kmeans,xgboost,1,scrt1.S,0.0005134703242219985,29
0,kmeans,xgboost,1,syp.L,0.0005064937868155539,30
0,kmeans,xgboost,1,Xelaev18023591m.g,0.00048721639905124903,31
