time,method,model,cluster,gene,score,rank_in_cluster
1,leiden,xgboost,22,atp6v0a4.L,0.32494428753852844,1
1,leiden,xgboost,22,Xelaev18045363m.g,0.1585175096988678,2
1,leiden,xgboost,22,Xelaev18041411m.g,0.10495176911354065,3
1,leiden,xgboost,22,s100a11.S,0.07609345763921738,4
1,leiden,xgboost,22,Xelaev18020998m.g,0.07368618249893188,5
1,leiden,xgboost,22,loc100498507.S,0.033844370394945145,6
1,leiden,xgboost,22,atp6v1c2.L,0.027781689539551735,7
1,leiden,xgboost,22,loc100488828.L,0.026177948340773582,8
1,leiden,xgboost,22,krt8.S,0.022714510560035706,9
1,leiden,xgboost,22,loc100495848.S,0.01975962147116661,10
1,leiden,xgboost,22,gcnt2.L,0.018243534490466118,11
1,leiden,xgboost,22,tldc2.L,0.015051844529807568,12
1,leiden,xgboost,22,wdr16.L,0.011763853020966053,13
1,leiden,xgboost,22,Xetrov90018123m.L,0.009595857001841068,14
1,leiden,xgboost,22,atp6v0d2.L,0.00806377362459898,15
1,leiden,xgboost,22,cystm1.L,0.007701813708990812,16
1,leiden,xgboost,22,tmem72.L,0.007122835610061884,17
1,leiden,xgboost,22,tgm5.S,0.0070601110346615314,18
1,leiden,xgboost,22,atp6v1g3.L,0.006620961241424084,19
1,leiden,xgboost,22,atp6v1b1.L,0.00621799798682332,20
1,leiden,xgboost,22,Xelaev18022528m.g,0.006216405890882015,21
1,leiden,xgboost,22,insrr.S,0.0043387445621192455,22
1,leiden,xgboost,22,rnasek.S,0.004068651236593723,23
1,leiden,xgboost,22,acat1.L,0.002491649705916643,24
1,leiden,xgboost,22,elf3.L,0.002242725109681487,25
1,leiden,xgboost,22,aldob.L,0.0022167677525430918,26
1,leiden,xgboost,22,loc100127564.L,0.002199612557888031,27
1,leiden,xgboost,22,Xetrov90030519m.L,0.0019116526236757636,28
1,leiden,xgboost,22,foxi1.S,0.0012655967148020864,29
1,leiden,xgboost,22,tspan1.L,0.0010891231941059232,30
1,leiden,xgboost,22,rhcg.L,0.0010136577766388655,31
1,leiden,xgboost,22,upk1b.S,0.0009753323392942548,32
1,leiden,xgboost,22,Xelaev18011400m.g,0.000876332342159003,33
1,leiden,xgboost,22,upk1a.L,0.0007677942048758268,34
1,leiden,xgboost,22,rcan1.L,0.0007243570871651173,35
1,leiden,xgboost,22,Xelaev18022166m.g,0.0007015026640146971,36
1,leiden,xgboost,22,suclg2.L,0.0006054582190699875,37
1,leiden,xgboost,22,rogdi.L,0.00034037369186989963,38
1,leiden,xgboost,22,tmem213.S,4.032568904221989e-05,39
1,leiden,xgboost,22,hapln3.L,0.0,40
1,leiden,xgboost,22,map1a.L,0.0,41
1,leiden,xgboost,22,ctsl.L,0.0,42
1,leiden,xgboost,22,ctsh.L,0.0,43
1,leiden,xgboost,22,duox1.L,0.0,44
1,leiden,xgboost,22,Xelaev18018196m.g,0.0,45
1,leiden,xgboost,22,scg3.L,0.0,46
1,leiden,xgboost,22,cd53.S,0.0,47
1,leiden,xgboost,22,slc24a5.L,0.0,48
1,leiden,xgboost,22,fgf7.L,0.0,49
1,leiden,xgboost,22,loc100490291.L,0.0,50
1,leiden,xgboost,22,map1a.like.L,0.0,51
1,leiden,xgboost,22,loc100488087.L,0.0,52
1,leiden,xgboost,22,loc100497390.S,0.0,53
1,leiden,xgboost,22,Xelaev18018612m.g,0.0,54
1,leiden,xgboost,22,ttll13.L,0.0,55
1,leiden,xgboost,22,olfml3.S,0.0,56
1,leiden,xgboost,22,nif.L,0.0,57
1,leiden,xgboost,22,gnrhr2.nmi.L,0.0,58
1,leiden,xgboost,22,acan.L,0.0,59
1,leiden,xgboost,22,c15orf26.L,0.0,60
1,leiden,xgboost,22,loc100491930.L,0.0,61
1,leiden,xgboost,22,rbpms2.L,0.0,62
1,leiden,xgboost,22,sema7a.L,0.0,63
1,leiden,xgboost,22,rora.L,0.0,64
1,leiden,xgboost,22,unnamed.L.3,0.0,65
1,leiden,xgboost,22,lyz.L,0.0,66
1,leiden,xgboost,22,ptprb.L,0.0,67
1,leiden,xgboost,22,phlda1.L,0.0,68
1,leiden,xgboost,22,syt1.like.L,0.0,69
1,leiden,xgboost,22,nell2.L,0.0,70
1,leiden,xgboost,22,pdzrn4.L,0.0,71
1,leiden,xgboost,22,cntn1.L,0.0,72
1,leiden,xgboost,22,cav1.L,0.0,73
1,leiden,xgboost,22,atp6ap1.1.L,0.0,74
1,leiden,xgboost,22,il17rel.L,0.0,75
1,leiden,xgboost,0,Xelaev18047453m.g,0.42630600929260254,1
1,leiden,xgboost,0,Xelaev18047460m.g,0.13391180336475372,2
1,leiden,xgboost,0,Xelaev18047452m.g,0.12867236137390137,3
1,leiden,xgboost,0,hbg2.L,0.11105625331401825,4
1,leiden,xgboost,0,Xelaev18045082m.g,0.03583372011780739,5
1,leiden,xgboost,0,hbg1.L,0.030913107097148895,6
1,leiden,xgboost,0,lta4h.L,0.020577477291226387,7
1,leiden,xgboost,0,ccnb1.2.L,0.016845673322677612,8
1,leiden,xgboost,0,gstp1.L,0.01515901554375887,9
1,leiden,xgboost,0,ube2c.L,0.012574072927236557,10
1,leiden,xgboost,0,Xelaev18047462m.g,0.01225318480283022,11
1,leiden,xgboost,0,slc7a8.L,0.010177724994719028,12
1,leiden,xgboost,0,pik3r3.L,0.009456595405936241,13
1,leiden,xgboost,0,ifit5.L,0.007160057779401541,14
1,leiden,xgboost,0,eif5b.L,0.007096767425537109,15
1,leiden,xgboost,0,Xelaev18002241m.g,0.002967213047668338,16
1,leiden,xgboost,0,slc10a4.L,0.0027913700323551893,17
