time,method,model,cluster,gene,score,rank_in_cluster
3,louvain,svm,0,aldoc.L,-1.297595734837702,1
3,louvain,svm,0,cabp1.L,1.283446783965933,2
3,louvain,svm,0,Xelaev18040736m.g,1.2044474384398378,3
3,louvain,svm,0,Xelaev18016867m.g,-1.1751247887450762,4
3,louvain,svm,0,trib2.L,1.134568810933724,5
3,louvain,svm,0,tagln2.S,-1.1323629166779468,6
3,louvain,svm,0,pck1.S,-1.1040594699902857,7
3,louvain,svm,0,loc100495280.L,1.0911750263556348,8
3,louvain,svm,0,znfx1.L,1.0405829441822911,9
3,louvain,svm,0,dstn.S,-1.0304888801058563,10
3,louvain,svm,0,mafb.S,1.0231918306308083,11
3,louvain,svm,0,loxl3.S,-1.0228312129999773,12
3,louvain,svm,0,rragd.S,-1.0222720507377439,13
3,louvain,svm,0,ptafr.L,-1.0155496811067604,14
3,louvain,svm,0,Xelaev18012028m.g,-1.014650231344608,15
3,louvain,svm,0,thbs1.L,1.0046189579047455,16
3,louvain,svm,0,aldoa.L,0.9684052241219969,17
3,louvain,svm,0,Xelaev18035501m.g,0.9520941157927251,18
3,louvain,svm,0,slc26a2.2.L,-0.9482654977335693,19
3,louvain,svm,0,atp6v0e1.L,-0.9461293338708513,20
3,louvain,svm,0,col6a2.L,-0.945363646854214,21
3,louvain,svm,0,loc101733140.L,0.9408773954818752,22
3,louvain,svm,0,tnnc2.S,-0.9293695464215914,23
3,louvain,svm,0,aldob.L,-0.9276294390796871,24
3,louvain,svm,0,loc100490646.S,0.922300621026366,25
3,louvain,svm,0,ccl34.S,0.9196177331646685,26
3,louvain,svm,0,col14a1.L,-0.9069147629755241,27
3,louvain,svm,0,cda.L,0.9033282264516431,28
3,louvain,svm,0,cyp26a1.S,0.8910475943067161,29
3,louvain,svm,0,loc100490729.L,0.8706323662695993,30
3,louvain,svm,0,Xelaev18004130m.g,0.8646874782544183,31
3,louvain,svm,0,apoc1.like.L,0.8639155190293816,32
3,louvain,svm,0,myl1.L,0.8622335973212125,33
3,louvain,svm,0,pcp4.S,0.8564100154360478,34
3,louvain,svm,0,basp1.S,-0.853204918648015,35
3,louvain,svm,0,Xelaev18018852m.g,0.8482231702414283,36
3,louvain,svm,0,otos.S,-0.8459433632105526,37
3,louvain,svm,0,mmp2.S,-0.8452747100815428,38
3,louvain,svm,0,Xetrov90014332m.L,0.8341406496833067,39
3,louvain,svm,0,Xelaev18030549m.g,0.8261074579137482,40
3,louvain,svm,0,msx1.L,0.8250231154116457,41
3,louvain,svm,0,rgs1.L,-0.8225244108827039,42
3,louvain,svm,0,atp6ap1.1.S,0.8191637306847396,43
3,louvain,svm,0,dlx5.L,-0.8156978379999993,44
3,louvain,svm,0,frem2.1.L,-0.8006136982510845,45
3,louvain,svm,0,ptx3.L,-0.7998342319673434,46
3,louvain,svm,0,cav1.L,-0.7997861677984124,47
3,louvain,svm,0,mgst3.L,-0.7988061419555378,48
3,louvain,svm,0,ch25h.L,0.794049119233156,49
3,louvain,svm,0,cdk1.S,-0.7892077921647004,50
3,louvain,svm,0,myadm.L,-0.7869511128394934,51
3,louvain,svm,0,loc100491930.L,-0.7799872138891785,52
3,louvain,svm,0,Xelaev18015058m.g,0.7765903348392391,53
3,louvain,svm,0,cox5b.2.like.L,-0.7752442136839512,54
3,louvain,svm,0,igf2.S,0.7746656298119073,55
3,louvain,svm,0,col1a2.S,0.7703813314279302,56
3,louvain,svm,0,dync1h1.L,-0.7700646701858173,57
3,louvain,svm,0,fgl2.L,-0.7680223631538232,58
3,louvain,svm,0,pgam1.L,0.7635595980988771,59
3,louvain,svm,0,loc100490989.S,-0.7621144666614335,60
3,louvain,svm,0,ch25h.S,-0.7617541479270443,61
3,louvain,svm,0,Xelaev18010947m.g,-0.7529399774047918,62
3,louvain,svm,0,fosl1.L,0.7523009212671311,63
3,louvain,svm,0,loc100490088.S,0.7506218898175895,64
3,louvain,svm,0,Xelaev18036002m.g,-0.7443835607244331,65
3,louvain,svm,0,twist1.S,0.7442740056083036,66
3,louvain,svm,0,lect1.L,-0.7435427700373118,67
3,louvain,svm,0,thtpa.S,-0.7386245114269844,68
3,louvain,svm,0,fgfbp2.L,-0.732105695879807,69
3,louvain,svm,0,loc100491382.L,0.7316694925849936,70
3,louvain,svm,0,nif.S,0.7299431163637227,71
3,louvain,svm,0,Xelaev18018009m.g,0.7284274544470043,72
3,louvain,svm,0,stc2.L,0.7275756460770935,73
3,louvain,svm,0,lamc1.L,-0.7258703943428729,74
3,louvain,svm,0,hes5.1.L,0.7231365304005264,75
3,louvain,svm,7,ca2.L,-0.09152125429270722,1
3,louvain,svm,7,Xelaev18045095m.g,-0.09060740065191324,2
3,louvain,svm,7,loc100486192.L,-0.06955277175010287,3
3,louvain,svm,7,slc25a5.L,-0.06904199875512822,4
3,louvain,svm,7,crp.4.L,0.06716850456046555,5
3,louvain,svm,7,Xelaev18047462m.g,-0.05773549114121154,6
