time,method,model,cluster,gene,score,rank_in_cluster
3,louvain,xgboost,0,Xelaev18047462m.g,0.07191634178161621,1
3,louvain,xgboost,0,ca2.L,0.055190954357385635,2
3,louvain,xgboost,0,MGC75752.S,0.03670499473810196,3
3,louvain,xgboost,0,Xelaev18001105m.g,0.03263648971915245,4
3,louvain,xgboost,0,apoc1.like.L,0.025746822357177734,5
3,louvain,xgboost,0,pck1.L,0.02414383739233017,6
3,louvain,xgboost,0,fos.S,0.023003937676548958,7
3,louvain,xgboost,0,tuba1b.S,0.020124241709709167,8
3,louvain,xgboost,0,col1a2.L,0.01725495047867298,9
3,louvain,xgboost,0,aldob.L,0.01637398637831211,10
3,louvain,xgboost,0,cks1b.L,0.01631777733564377,11
3,louvain,xgboost,0,lyg2.S,0.015222735702991486,12
3,louvain,xgboost,0,MGC75752.L,0.014629697427153587,13
3,louvain,xgboost,0,ccl4.L,0.014626987278461456,14
3,louvain,xgboost,0,Xelaev18045095m.g,0.014292319305241108,15
3,louvain,xgboost,0,Xelaev18003734m.g,0.013676409609615803,16
3,louvain,xgboost,0,rtbdn.L,0.013334033079445362,17
3,louvain,xgboost,0,ppp1r10.S,0.013111955486238003,18
3,louvain,xgboost,0,ube2c.L,0.012910650111734867,19
3,louvain,xgboost,0,btg2.S,0.012763903476297855,20
3,louvain,xgboost,0,Xelaev18011461m.g,0.011978411115705967,21
3,louvain,xgboost,0,Xelaev18047460m.g,0.011408964172005653,22
3,louvain,xgboost,0,col1a2.S,0.011245613917708397,23
3,louvain,xgboost,0,atp6v0c.L,0.010801341384649277,24
3,louvain,xgboost,0,Xelaev18045082m.g,0.01074836403131485,25
3,louvain,xgboost,0,rragd.S,0.010415557771921158,26
3,louvain,xgboost,0,fos.L,0.009975340217351913,27
3,louvain,xgboost,0,lgmn.L,0.00983827468007803,28
3,louvain,xgboost,0,fgfbp2.L,0.009771264158189297,29
3,louvain,xgboost,0,Xelaev18045649m.g,0.009354195557534695,30
3,louvain,xgboost,0,Xelaev18047453m.g,0.00894350279122591,31
3,louvain,xgboost,0,Xelaev18016080m.g,0.008926192298531532,32
3,louvain,xgboost,0,loc100494945.S,0.008850500918924809,33
3,louvain,xgboost,0,krt12.L,0.008771123364567757,34
3,louvain,xgboost,0,Xelaev18047452m.g,0.008726220577955246,35
3,louvain,xgboost,0,Xelaev18022531m.g,0.00842332560569048,36
3,louvain,xgboost,0,cndp2.L,0.007877400144934654,37
3,louvain,xgboost,0,atp6v1d.L,0.007808363996446133,38
3,louvain,xgboost,0,Xelaev18014965m.g,0.007802246138453484,39
3,louvain,xgboost,0,tspan32.L,0.00774003379046917,40
3,louvain,xgboost,0,atp6v0c.S,0.007724517956376076,41
3,louvain,xgboost,0,ifitm1.S,0.00758251640945673,42
3,louvain,xgboost,0,cldn4.S,0.0075339749455451965,43
3,louvain,xgboost,0,rasl11b.L,0.007327662780880928,44
3,louvain,xgboost,0,krt12.S,0.007262670435011387,45
3,louvain,xgboost,0,ikzf1.L,0.007252879906445742,46
