time,method,model,cluster,gene,score,rank_in_cluster
all,leiden,logreg,0,krt12.S,0.8672784566879272,1
all,leiden,logreg,0,col1a2.L,0.8555748462677002,2
all,leiden,logreg,0,col1a1.S,0.7811680436134338,3
all,leiden,logreg,0,lum.S,0.6891014575958252,4
all,leiden,logreg,0,col1a1.L,0.6327388286590576,5
all,leiden,logreg,0,Xelaev18016080m.g,0.5915013551712036,6
all,leiden,logreg,0,msmb.3.L,0.5858873724937439,7
all,leiden,logreg,0,timp.1.S,0.5676408410072327,8
all,leiden,logreg,0,Xetrov90018123m.L,0.5313766598701477,9
all,leiden,logreg,0,Xelaev18021648m.g,0.5182129144668579,10
all,leiden,logreg,0,loc100127564.L,0.4834369719028473,11
all,leiden,logreg,0,col6a2.L,0.4779854416847229,12
all,leiden,logreg,0,loc549413.S,0.4578980803489685,13
all,leiden,logreg,0,ets2.L,0.4548697769641876,14
all,leiden,logreg,0,lmx1b.1.L,0.45482149720191956,15
all,leiden,logreg,0,ckm.L,0.41624999046325684,16
all,leiden,logreg,0,socs1.S,0.3880884051322937,17
all,leiden,logreg,0,hs3st1.L,0.34677597880363464,18
all,leiden,logreg,0,Xetrov90018123m.S,0.3438166379928589,19
all,leiden,logreg,0,ube2c.L,0.3324741721153259,20
all,leiden,logreg,0,ctsb.S,0.32844507694244385,21
all,leiden,logreg,0,cotl1.L,0.31003135442733765,22
all,leiden,logreg,0,c8orf4.S,0.29274892807006836,23
all,leiden,logreg,0,cyp26a1.S,0.2922137677669525,24
all,leiden,logreg,0,areg.S,0.29164591431617737,25
all,leiden,logreg,0,insig1.L,0.28766316175460815,26
all,leiden,logreg,0,s100z.S,0.2846144139766693,27
all,leiden,logreg,0,qdpr.L,0.2819240987300873,28
all,leiden,logreg,0,zc3h12a.L,0.27700066566467285,29
all,leiden,logreg,0,sox7.S,0.27199602127075195,30
all,leiden,logreg,0,Xelaev18002248m.g,0.2625337243080139,31
all,leiden,logreg,0,loc101734526.L,0.2623046040534973,32
all,leiden,logreg,0,smad4.1.S,0.26215288043022156,33
all,leiden,logreg,0,gamt.L,0.2609194815158844,34
all,leiden,logreg,0,gata3.S,0.25798431038856506,35
all,leiden,logreg,0,Xelaev18034626m.g,0.24669727683067322,36
all,leiden,logreg,0,serpinb5.S,0.24540814757347107,37
all,leiden,logreg,0,rsad2.S,0.24024604260921478,38
all,leiden,logreg,0,frem1.L,0.23505201935768127,39
all,leiden,logreg,0,hes6.1.S,0.23114821314811707,40
all,leiden,logreg,0,Xelaev18000469m.g,0.22937649488449097,41
all,leiden,logreg,0,map2.S,0.22608844935894012,42
all,leiden,logreg,0,ptgs1.S,0.22376692295074463,43
all,leiden,logreg,0,Xetrov90005752m.S,0.2206464558839798,44
all,leiden,logreg,0,esr.5.L,0.220368430018425,45
all,leiden,logreg,0,Xelaev18003734m.g,0.21973364055156708,46
all,leiden,logreg,0,epx.L,0.2182656228542328,47
all,leiden,logreg,0,tac1.S,0.217688649892807,48
all,leiden,logreg,0,loc100494945.S,0.2133062779903412,49
all,leiden,logreg,0,pgam1.S,0.21157312393188477,50
all,leiden,logreg,0,hey1.S,0.21136325597763062,51
all,leiden,logreg,0,anos1.L,0.21043625473976135,52
all,leiden,logreg,0,pgd.L,0.2033107578754425,53
all,leiden,logreg,0,sdsl.S,0.20330779254436493,54
all,leiden,logreg,0,pmel.like.L,0.2005079835653305,55
all,leiden,logreg,0,krt.S,0.20031049847602844,56
all,leiden,logreg,0,socs1.L,0.19881141185760498,57
all,leiden,logreg,0,atp6v1d.S,0.19776327908039093,58
all,leiden,logreg,0,top2a.L,0.1957482099533081,59
all,leiden,logreg,0,Xelaev18044308m.g,0.19279739260673523,60
all,leiden,logreg,0,htra4.L,0.18657968938350677,61
all,leiden,logreg,0,loc101732997.L,0.1852390468120575,62
all,leiden,logreg,0,Xelaev18013621m.g,0.18275241553783417,63
all,leiden,logreg,0,timp.1.L,0.17912138998508453,64
all,leiden,logreg,0,ptx3.L,0.17821095883846283,65
all,leiden,logreg,0,col11a2p1.S,0.1747402548789978,66
all,leiden,logreg,0,loc733553.L,0.17416222393512726,67
all,leiden,logreg,0,atp6v1h.S,0.17251674830913544,68
all,leiden,logreg,0,adcyap1.L,0.17102870345115662,69
all,leiden,logreg,0,Xetrov90005752m.L,0.17037333548069,70
all,leiden,logreg,0,bcam.L,0.1692562699317932,71
all,leiden,logreg,0,lep.L,0.1691955327987671,72
all,leiden,logreg,0,ecm2.1.L,0.16905577480793,73
all,leiden,logreg,0,Xelaev18008278m.g,0.16789177060127258,74
all,leiden,logreg,0,actc1.S,0.16788585484027863,75
all,leiden,logreg,1,hbg2.L,2.752091884613037,1
all,leiden,logreg,1,Xelaev18002241m.g,1.8135478496551514,2
all,leiden,logreg,1,ca2.L,1.5781549215316772,3
all,leiden,logreg,1,atp12a.like.S,0.925868809223175,4
all,leiden,logreg,1,Xelaev18016451m.g,0.9258521795272827,5
all,leiden,logreg,1,Xelaev18022531m.g,0.8579044938087463,6
all,leiden,logreg,1,stmn4.L,0.6964336633682251,7
all,leiden,logreg,1,gp1bb.S,0.6704941391944885,8
all,leiden,logreg,1,qdpr.L,0.6666159629821777,9
all,leiden,logreg,1,loc100127564.L,0.6223779320716858,10
all,leiden,logreg,1,loc100494945.L,0.6200721263885498,11
all,leiden,logreg,1,atp6v1g2.L,0.6122906804084778,12
all,leiden,logreg,1,tcn2.L,0.6106657981872559,13
all,leiden,logreg,1,c8orf4.S,0.6004582643508911,14
all,leiden,logreg,1,glul.like.1.S,0.5980779528617859,15
all,leiden,logreg,1,umod.2.L,0.5675313472747803,16
all,leiden,logreg,1,phldb3.S,0.5582239031791687,17
all,leiden,logreg,1,Xelaev18047462m.g,0.5469942688941956,18
all,leiden,logreg,1,MGC75752.L,0.5389893651008606,19
all,leiden,logreg,1,rnf128.L,0.5362739562988281,20
all,leiden,logreg,1,gsta1.L,0.5240879058837891,21
all,leiden,logreg,1,loc100485113.L,0.5228084921836853,22
all,leiden,logreg,1,rora.L,0.5208200216293335,23
all,leiden,logreg,1,loc100490918.like.L,0.5125011801719666,24
all,leiden,logreg,1,dse.S,0.5082003474235535,25
all,leiden,logreg,1,nova1.S,0.49547162652015686,26
all,leiden,logreg,1,Xelaev18014009m.g,0.492914617061615,27
all,leiden,logreg,1,susd1.S,0.48908716440200806,28
all,leiden,logreg,1,act3.L,0.46898481249809265,29
all,leiden,logreg,1,stmn3.L,0.46172988414764404,30
all,leiden,logreg,1,MGC75752.S,0.46127036213874817,31
all,leiden,logreg,1,Xelaev18040854m.g,0.44797825813293457,32
all,leiden,logreg,1,pltp.S,0.4363601803779602,33
all,leiden,logreg,1,slitrk6.L,0.4338119328022003,34
all,leiden,logreg,1,Xelaev18040322m.g,0.42701461911201477,35
all,leiden,logreg,1,Xelaev18032295m.g,0.42572829127311707,36
all,leiden,logreg,1,Xelaev18032450m.g,0.42460328340530396,37
all,leiden,logreg,1,selp.L,0.42347487807273865,38
all,leiden,logreg,1,cplx2.L,0.4234568476676941,39
all,leiden,logreg,1,nmral1.S,0.4174552857875824,40
all,leiden,logreg,1,mybph.S,0.4131946265697479,41
all,leiden,logreg,1,col27a1.S,0.4126773476600647,42
all,leiden,logreg,1,s100a1.S,0.41178053617477417,43
all,leiden,logreg,1,Xelaev18032446m.g,0.4106619358062744,44
all,leiden,logreg,1,Xelaev18022529m.g,0.4086184501647949,45
all,leiden,logreg,1,loc100490646.L,0.39825713634490967,46
all,leiden,logreg,1,scnn1b.S,0.3981938362121582,47
all,leiden,logreg,1,Xelaev18012141m.g,0.3965208828449249,48
all,leiden,logreg,1,col9a2.S,0.39598533511161804,49
all,leiden,logreg,1,Xelaev18003790m.g,0.39595621824264526,50
all,leiden,logreg,1,c3.L,0.3873480260372162,51
all,leiden,logreg,1,epgn.S,0.38593047857284546,52
all,leiden,logreg,1,loc100490489.L,0.3856464624404907,53
all,leiden,logreg,1,dnali1.S,0.3846343755722046,54
all,leiden,logreg,1,Xetrov90018123m.L,0.38459402322769165,55
all,leiden,logreg,1,loc100488751.S,0.37979641556739807,56
all,leiden,logreg,1,Xelaev18023481m.g,0.3795904219150543,57
all,leiden,logreg,1,gpm6a.L,0.37589550018310547,58
all,leiden,logreg,1,loc100494753.L,0.372672975063324,59
all,leiden,logreg,1,Xetrov90002578m.L,0.36986371874809265,60
all,leiden,logreg,1,cxcl12.L,0.36952635645866394,61
all,leiden,logreg,1,Xelaev18004130m.g,0.3694855272769928,62
all,leiden,logreg,1,cadm3.L,0.36768850684165955,63
all,leiden,logreg,1,Xelaev18015757m.g,0.36699771881103516,64
all,leiden,logreg,1,cav1.L,0.36449068784713745,65
all,leiden,logreg,1,Xelaev18034843m.g,0.36016005277633667,66
all,leiden,logreg,1,Xelaev18008278m.g,0.35970067977905273,67
all,leiden,logreg,1,enpp2.S,0.3587796986103058,68
all,leiden,logreg,1,loc100492852.S,0.35273510217666626,69
all,leiden,logreg,1,Xelaev18038710m.g,0.35185813903808594,70
all,leiden,logreg,1,Xelaev18024665m.g,0.350496381521225,71
all,leiden,logreg,1,sds.S,0.3488341271877289,72
all,leiden,logreg,1,lyg2.S,0.34252023696899414,73
all,leiden,logreg,1,Xelaev18039828m.g,0.3415655195713043,74
all,leiden,logreg,1,lama1.L,0.34106987714767456,75
all,leiden,logreg,2,Xelaev18002241m.g,1.9790327548980713,1
all,leiden,logreg,2,MGC75752.S,1.2765592336654663,2
all,leiden,logreg,2,ca2.L,1.1932506561279297,3
all,leiden,logreg,2,loc100494945.L,1.1350150108337402,4
all,leiden,logreg,2,tfcp2l1.L,0.8433022499084473,5
all,leiden,logreg,2,Xelaev18040854m.g,0.8026024699211121,6
all,leiden,logreg,2,otos.S,0.7260889410972595,7
all,leiden,logreg,2,Xelaev18038699m.g,0.7189734578132629,8
all,leiden,logreg,2,loc101733140.L,0.6870883703231812,9
all,leiden,logreg,2,MGC75752.L,0.6547160744667053,10
all,leiden,logreg,2,rtbdn.L,0.5977798700332642,11
all,leiden,logreg,2,has2.S,0.5936956405639648,12
all,leiden,logreg,2,mmp7.L,0.5628476738929749,13
all,leiden,logreg,2,Xelaev18032450m.g,0.557915985584259,14
all,leiden,logreg,2,itgbl1.L,0.5507859587669373,15
all,leiden,logreg,2,loc100490646.S,0.5444242358207703,16
all,leiden,logreg,2,actc1.L,0.5375888347625732,17
all,leiden,logreg,2,mmp13.S,0.5123384594917297,18
all,leiden,logreg,2,Xelaev18036117m.g,0.5119243264198303,19
all,leiden,logreg,2,angptl2.S,0.5049723386764526,20
all,leiden,logreg,2,loc100497154.S,0.5027568340301514,21
all,leiden,logreg,2,txn.L,0.49990761280059814,22
all,leiden,logreg,2,pgam1.S,0.4984081983566284,23
all,leiden,logreg,2,tal1.S,0.485519677400589,24
all,leiden,logreg,2,plvap.S,0.46587830781936646,25
all,leiden,logreg,2,hbg1.S,0.4533816874027252,26
all,leiden,logreg,2,Xelaev18034081m.g,0.45169395208358765,27
all,leiden,logreg,2,emilin3.S,0.44893118739128113,28
all,leiden,logreg,2,pam.L,0.4447673559188843,29
all,leiden,logreg,2,ppp1r15a.L,0.4309752881526947,30
all,leiden,logreg,2,Xelaev18022082m.g,0.4272497296333313,31
all,leiden,logreg,2,sdsl.S,0.426197350025177,32
all,leiden,logreg,2,Xelaev18037640m.g,0.423945814371109,33
all,leiden,logreg,2,Xelaev18014011m.g,0.42292505502700806,34
all,leiden,logreg,2,mmp8.L,0.4218789339065552,35
all,leiden,logreg,2,loc101731250.L,0.41373974084854126,36
all,leiden,logreg,2,Xelaev18018852m.g,0.41111496090888977,37
all,leiden,logreg,2,thbs3.L,0.4031509459018707,38
all,leiden,logreg,2,aplnr.S,0.3951965868473053,39
