time,method,model,cluster,gene,score,rank_in_cluster
all,louvain,svm,1,hbg2.L,-1.2583007021730714,1
all,louvain,svm,1,has2.L,-1.1084046971004184,2
all,louvain,svm,1,frem2.1.L,-1.0297776885563321,3
all,louvain,svm,1,Xelaev18010947m.g,-0.990005662754999,4
all,louvain,svm,1,ccl34.S,-0.9862565821120918,5
all,louvain,svm,1,Xetrov90018123m.S,-0.9322993756345045,6
all,louvain,svm,1,ptgs1.S,-0.9281967356676845,7
all,louvain,svm,1,gpi.L,-0.9088479741872694,8
all,louvain,svm,1,loc100494822.L,-0.9007079853347514,9
all,louvain,svm,1,loc105948211.L,-0.8962069724667373,10
all,louvain,svm,1,stmn4.S,0.8749111870687996,11
all,louvain,svm,1,vwc2l.2.L,-0.8688588502595752,12
all,louvain,svm,1,cav1.S,-0.8651925175062478,13
all,louvain,svm,1,clu.L,-0.8143717419679933,14
all,louvain,svm,1,ets2.L,-0.8108332021844105,15
all,louvain,svm,1,top2a.L,-0.7989542490873472,16
all,louvain,svm,1,htra4.L,-0.7741257576453213,17
all,louvain,svm,1,loc549413.S,-0.7728625396738367,18
all,louvain,svm,1,pram1.S,-0.7527721053752544,19
all,louvain,svm,1,col8a1.S,0.7409783054568606,20
all,louvain,svm,1,sncg.S,0.7289025898583942,21
all,louvain,svm,1,lta4h.L,-0.7246880786937772,22
all,louvain,svm,1,Xelaev18044758m.g,0.72289735342243,23
all,louvain,svm,1,ogn.L,-0.720651888854832,24
all,louvain,svm,1,Xetrov90005752m.S,0.718153361465312,25
all,louvain,svm,1,eif5b.L,-0.7144963895567285,26
all,louvain,svm,1,hbg1.S,-0.7132497722152558,27
all,louvain,svm,1,itln1.L,-0.7119508082628613,28
all,louvain,svm,1,foxi1.S,-0.7113540028588067,29
all,louvain,svm,1,psca.L,-0.7097569405574304,30
all,louvain,svm,1,rgs1.L,0.7066773104826073,31
all,louvain,svm,1,cdh11.L,-0.7025282542550125,32
all,louvain,svm,1,atp6v1b1.L,-0.7020500607526456,33
all,louvain,svm,1,prss57.S,-0.6995858783685884,34
all,louvain,svm,1,loc100137715.S,0.6967419175522899,35
all,louvain,svm,1,c8orf4.S,-0.6949155446767711,36
all,louvain,svm,1,tac1.L,0.6882367284023267,37
all,louvain,svm,1,loc100497338.like.L,-0.6860599169775763,38
all,louvain,svm,1,Xelaev18014965m.g,0.6847151106668188,39
all,louvain,svm,1,loc100496720.L,-0.6735415663010339,40
all,louvain,svm,1,tnni2.S,-0.6690628027729159,41
all,louvain,svm,1,loc100498168.S,0.6685190887861976,42
all,louvain,svm,1,cd53.S,-0.662338807330481,43
all,louvain,svm,1,cetp.L,-0.653996996473898,44
all,louvain,svm,1,insig1.L,0.6516694008449003,45
all,louvain,svm,1,postn.S,-0.6505699066700813,46
all,louvain,svm,1,rab6a.L,-0.6504225248938384,47
all,louvain,svm,1,cnp.like.S,-0.6489375219183673,48
all,louvain,svm,1,epb41l3.L,-0.6487733202205996,49
all,louvain,svm,1,chgb.S,-0.6476876903906513,50
all,louvain,svm,1,vsnl1.S,-0.6475741732298413,51
all,louvain,svm,1,tkt.S,0.6473115143112042,52
all,louvain,svm,1,tnmd.L,-0.6471169018255514,53
all,louvain,svm,1,snx31.L,-0.6438129899854508,54
all,louvain,svm,1,prph.S,0.6376141601846576,55
all,louvain,svm,1,Xelaev18021648m.g,-0.6360753930726966,56
all,louvain,svm,1,Xelaev18047610m.g,-0.6359836839474415,57
all,louvain,svm,1,vwa2.S,-0.6359633067289707,58
all,louvain,svm,1,Xelaev18036545m.g,-0.6339087746607857,59
all,louvain,svm,1,loc100127564.L,-0.6303383862213968,60
all,louvain,svm,1,col8a1.L,-0.6293541411604442,61
all,louvain,svm,1,loc101733140.L,-0.6256571402334958,62
all,louvain,svm,1,Xelaev18036303m.g,-0.6246558132441955,63
all,louvain,svm,1,loc100494786.S,-0.6232767137627415,64
all,louvain,svm,1,Xelaev18045303m.g,-0.6228052128183043,65
all,louvain,svm,1,susd1.S,0.6221346602375559,66
all,louvain,svm,1,ryr1.like.L,-0.6217747190288672,67
all,louvain,svm,1,ch25h.L,0.6214901977387403,68
all,louvain,svm,1,mia.L,-0.6182269655654435,69
all,louvain,svm,1,spock2.L,0.6169757222772495,70
all,louvain,svm,1,lgals2.L,-0.6167399130437743,71
all,louvain,svm,1,msln.L,-0.6096560255061334,72
all,louvain,svm,1,napsa.L,0.6045406513178504,73
all,louvain,svm,1,pgam1.S,-0.6038549379748313,74
all,louvain,svm,1,fabp3.L,-0.600487998712969,75
all,louvain,svm,12,slurp1l.S,0.2679709602672522,1
all,louvain,svm,12,prss57.S,-0.2332942128290876,2
all,louvain,svm,12,loc100485744.L,0.20273378015709956,3
all,louvain,svm,12,ccl34.S,0.17811442476556397,4
all,louvain,svm,12,crp.4.L,0.1655499916293704,5
all,louvain,svm,12,lyg2.S,0.1616908318495912,6
all,louvain,svm,12,ckm.L,-0.16066362583714872,7
all,louvain,svm,12,col1a2.L,-0.1511525206487062,8
all,louvain,svm,12,timp.1.S,-0.14522053572215035,9
all,louvain,svm,12,pgd.S,-0.14287688319098818,10
all,louvain,svm,12,loc100490489.S,-0.13763720826830703,11
all,louvain,svm,12,gpr141.L,-0.13555221057045055,12
all,louvain,svm,12,loc100492943.L,0.1345892858870117,13
all,louvain,svm,12,ccr3.L,0.12580780660062815,14
all,louvain,svm,12,cxcr3L..S,-0.12475578394850287,15
all,louvain,svm,12,mmp1.S,-0.11573851915686942,16
all,louvain,svm,12,loc100490587.L,-0.11326478537022595,17
all,louvain,svm,12,loc100494945.S,0.11276415977976378,18
all,louvain,svm,12,sla.L,-0.10722003357645603,19
all,louvain,svm,12,Xelaev18030549m.g,-0.10707403784380021,20
all,louvain,svm,12,f13a1.S,-0.10663900044624545,21
all,louvain,svm,12,fos.S,-0.10655474143496618,22
all,louvain,svm,12,ptgs1.S,-0.10445491636278358,23
all,louvain,svm,12,bcl11b.L,-0.1032317779840639,24
all,louvain,svm,12,MGC75752.L,-0.10270789266043642,25
all,louvain,svm,12,loc101732654.like.L,-0.10000942211772945,26
all,louvain,svm,12,mmp9.S,-0.09995855857697103,27
all,louvain,svm,12,postn.S,-0.09834781473459787,28
all,louvain,svm,12,fabp3.S,0.09766352497892722,29
all,louvain,svm,12,loc100486268.like.S,-0.09760203327329833,30
all,louvain,svm,12,krt5.7.S,-0.0973481232015987,31
all,louvain,svm,12,loc101733140.L,-0.09734713018521125,32
all,louvain,svm,12,Xelaev18001105m.g,-0.09661463877338247,33
all,louvain,svm,12,got1.S,0.0961778413053507,34
all,louvain,svm,12,ccnb1.2.L,0.09588364356334839,35
all,louvain,svm,12,krt12.S,-0.09497183753421803,36
all,louvain,svm,12,dstn.S,0.0933310498821239,37
all,louvain,svm,12,il1b.S,-0.09321931081326122,38
all,louvain,svm,12,Xelaev18022082m.g,0.09289784380019424,39
all,louvain,svm,12,Xelaev18021851m.g,-0.09275440401783874,40
all,louvain,svm,12,hk2.S,-0.09162735075690757,41
all,louvain,svm,12,Xelaev18040854m.g,-0.09086254679919112,42
all,louvain,svm,12,adam28.S,-0.09071726632305499,43
all,louvain,svm,12,lgals9c.S,-0.0893472802789924,44
all,louvain,svm,12,cst7.L,-0.08932969974280577,45
all,louvain,svm,12,Xetrov90002578m.L,0.0887299663963963,46
all,louvain,svm,12,ctsc.L,0.08827604735031969,47
all,louvain,svm,12,tcf7.S,-0.08619966171859021,48
all,louvain,svm,12,loc100487364.L,0.08535015932916307,49
all,louvain,svm,12,Xelaev18001597m.g,-0.08402989921178082,50
all,louvain,svm,12,il1b.L,0.08400516567687304,51
all,louvain,svm,12,prss57.L,-0.0831116868015937,52
all,louvain,svm,12,actc1.L,-0.08239281000780259,53
all,louvain,svm,12,cttn.like.1.L,-0.08230553371404992,54
all,louvain,svm,12,Xelaev18024498m.g,0.07959809505014022,55
all,louvain,svm,12,loc101731250.L,0.07929691129769151,56
all,louvain,svm,12,Xelaev18010301m.g,-0.07887435483774836,57
all,louvain,svm,12,hmox1.L,0.07879164600265598,58
all,louvain,svm,12,tcn2.L,-0.07872975675869144,59
all,louvain,svm,12,gzma.S,-0.07855479672919484,60
all,louvain,svm,12,itgb2.L,-0.07546847101433338,61
