time,method,model,cluster,marker_count,overlap_count,overlap_ratio
0,kmeans,logreg,0,75,0,0.0
2,leiden,xgboost,0,75,0,0.0
2,louvain,svm,2,75,0,0.0
2,louvain,xgboost,0,75,0,0.0
3,kmeans,logreg,0,75,0,0.0
3,kmeans,svm,0,75,0,0.0
3,kmeans,xgboost,0,75,0,0.0
3,leiden,logreg,0,75,0,0.0
3,leiden,svm,0,75,0,0.0
3,leiden,xgboost,0,75,0,0.0
3,louvain,logreg,0,75,0,0.0
3,louvain,svm,1,75,0,0.0
3,louvain,xgboost,0,75,0,0.0
all,kmeans,logreg,1,75,0,0.0
all,kmeans,svm,0,75,0,0.0
all,kmeans,xgboost,1,75,0,0.0
all,leiden,logreg,1,75,0,0.0
all,leiden,svm,3,75,0,0.0
all,leiden,xgboost,0,75,0,0.0
all,louvain,logreg,2,75,0,0.0
all,louvain,svm,3,75,0,0.0
2,louvain,logreg,2,75,0,0.0
2,leiden,svm,0,75,0,0.0
0,kmeans,svm,0,75,0,0.0
2,leiden,logreg,0,75,0,0.0
0,kmeans,xgboost,0,75,0,0.0
0,leiden,logreg,0,75,0,0.0
0,leiden,svm,0,75,0,0.0
0,leiden,xgboost,0,75,0,0.0
0,louvain,logreg,0,75,0,0.0
0,louvain,svm,0,75,0,0.0
0,louvain,xgboost,0,75,0,0.0
1,kmeans,logreg,5,75,0,0.0
1,kmeans,svm,0,75,0,0.0
1,kmeans,xgboost,8,75,0,0.0
1,leiden,logreg,0,75,0,0.0
1,leiden,svm,0,75,0,0.0
1,leiden,xgboost,2,75,0,0.0
1,louvain,logreg,0,75,0,0.0
1,louvain,svm,0,75,0,0.0
1,louvain,xgboost,0,75,0,0.0
2,kmeans,logreg,1,75,0,0.0
2,kmeans,svm,0,75,0,0.0
2,kmeans,xgboost,6,75,0,0.0
all,louvain,xgboost,0,75,0,0.0
